"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk_endast_manuell_disk","zoner_convrate_Fisk_endast_manuell_disk","zoner_count_Deli_endast_manuell","zoner_convrate_Deli_endast_manuell","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_count_Kampanj_1_bladet_eller_skagen","kampanj_convrate_Kampanj_1_bladet_eller_skagen","kampanj_count_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_convrate_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","kampanj_count_Kampanj_1_dryck","kampanj_convrate_Kampanj_1_dryck","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbvara","skylttyp_convrate_klubbvara","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"VENDELSÖ SÅGEN",202224,7999,798,0.0997624703087886,61,0.00762595324415552,50,0.00625078134766846,18,0.00225028128516064,212,0.0265033129141143,0,0,0,0,2,0.000250031253906738,80,0.0100012501562695,43,0.00537567195899487,5,0.000625078134766846,327,0.0408801100137517,780,0.097512189023628,422,0.0527565945743218,61,0.00762595324415552,32,0.00400050006250781,17,0.00212526565820728,1,0.000125015626953369,212,0.0265033129141143,0,0,0,0,0,0,2,0.000250031253906738,24,0.00300037504688086,56,0.00700087510938867,43,0.00537567195899487,5,0.000625078134766846,108,0.0135016877109639,219,0.0273784223027878,780,0.097512189023628,18,0.00225028128516064,43,0.00537567195899487,217,0.0271283910488811,80,0.0100012501562695,0,0
"VENDELSÖ SÅGEN",202223,8419,792,0.094072930276755,53,0.00629528447559093,60,0.00712673714217841,18,0.00213802114265352,266,0.0315952013303243,0,0,0,0,2,0.00023755790473928,55,0.00653284238033021,30,0.0035633685710892,11,0.00130656847606604,297,0.0352773488537831,769,0.0913410143722532,384,0.0456111177099418,53,0.00629528447559093,37,0.00439482123767668,17,0.00201924219028388,1,0.00011877895236964,266,0.0315952013303243,0,0,0,0,0,0,2,0.00023755790473928,40,0.0047511580947856,15,0.0017816842855446,30,0.0035633685710892,11,0.00130656847606604,129,0.0153224848556836,168,0.0199548639980995,769,0.0913410143722532,23,0.00273191590450172,30,0.0035633685710892,277,0.0329017698063903,55,0.00653284238033021,0,0
"VENDELSÖ SÅGEN",202222,8040,756,0.0940298507462687,59,0.00733830845771144,95,0.01181592039801,31,0.00385572139303483,125,0.015547263681592,0,0,0,0,5,0.000621890547263682,38,0.00472636815920398,26,0.00323383084577114,1,0.000124378109452736,376,0.0467661691542289,723,0.0899253731343284,500,0.0621890547263682,59,0.00733830845771144,62,0.00771144278606965,30,0.00373134328358209,1,0.000124378109452736,125,0.015547263681592,0,0,0,0,0,0,5,0.000621890547263682,28,0.00348258706467662,10,0.00124378109452736,26,0.00323383084577114,1,0.000124378109452736,136,0.0169154228855721,240,0.0298507462686567,723,0.0899253731343284,33,0.0041044776119403,26,0.00323383084577114,126,0.0156716417910448,38,0.00472636815920398,0,0
"VENDELSÖ SÅGEN",202221,7987,1158,0.144985601602604,183,0.0229122323776136,204,0.0255415049455365,24,0.003004882934769,239,0.0299236258920746,0,0,0,0,9,0.00112683110053837,106,0.0132715662952297,29,0.00363090021284587,4,0.0005008138224615,360,0.045073244021535,1004,0.125704269437836,472,0.059096031050457,183,0.0229122323776136,50,0.00626017278076875,20,0.0025040691123075,4,0.0005008138224615,239,0.0299236258920746,0,0,0,0,0,0,9,0.00112683110053837,28,0.0035056967572305,78,0.00976586953799925,29,0.00363090021284587,4,0.0005008138224615,113,0.0141479904845374,247,0.0309252535369976,1004,0.125704269437836,154,0.0192813321647677,29,0.00363090021284587,243,0.0304244397145361,106,0.0132715662952297,0,0
"VÄNERSBORG TORPA",202234,16016,5996.76,0.374423076923077,1797,0.1122002997003,1548,0.0966533466533467,184,0.0114885114885115,45,0.00280969030969031,0,0,12.76,0.000796703296703297,7,0.000437062937062937,465,0.0290334665334665,1288,0.0804195804195804,14,0.000874125874125874,636,0.0397102897102897,5487.76,0.342642357642358,3166.76,0.197724775224775,1797,0.1122002997003,1039,0.0648726273726274,135,0.00842907092907093,49,0.00305944055944056,15,0.000936563436563437,30,0.00187312687312687,0,0,12.76,0.000796703296703297,7,0.000437062937062937,167,0.0104270729270729,298,0.0186063936063936,1288,0.0804195804195804,14,0.000874125874125874,109,0.00680569430569431,527,0.0329045954045954,5487.76,0.342642357642358,509,0.0317807192807193,1288,0.0804195804195804,29,0.00181068931068931,495,0.0309065934065934,0,0
"VÄNERSBORG TORPA",202233,15975,921,0.0576525821596244,83,0.00519561815336463,154,0.00964006259780908,65,0.00406885758998435,30,0.00187793427230047,0,0,0,0,24,0.00150234741784038,98,0.00613458528951487,45,0.0028169014084507,7,0.000438184663536776,415,0.0259780907668232,883,0.0552738654147105,665,0.0416275430359937,83,0.00519561815336463,116,0.00726134585289515,58,0.00363067292644757,7,0.000438184663536776,6,0.000375586854460094,24,0.00150234741784038,0,0,0,0,24,0.00150234741784038,54,0.00338028169014085,44,0.00275430359937402,45,0.0028169014084507,7,0.000438184663536776,39,0.00244131455399061,376,0.0235367762128326,883,0.0552738654147105,38,0.00237871674491393,45,0.0028169014084507,13,0.00081377151799687,122,0.00763693270735524,0,0
"VÄNERSBORG TORPA",202232,15380,1472,0.0957087126137841,380,0.0247074122236671,413,0.026853055916775,59,0.00383615084525358,33,0.00214564369310793,0,0,0,0,9,0.0005851755526658,61,0.00396618985695709,85,0.00552665799739922,15,0.000975292587776333,417,0.0271131339401821,1177,0.0765279583875162,688,0.0447334200260078,380,0.0247074122236671,118,0.00767230169050715,49,0.00318595578673602,10,0.000650195058517555,11,0.000715214564369311,22,0.00143042912873862,0,0,0,0,9,0.0005851755526658,31,0.00201560468140442,30,0.00195058517555267,85,0.00552665799739922,15,0.000975292587776333,52,0.00338101430429129,365,0.0237321196358908,1177,0.0765279583875162,295,0.0191807542262679,85,0.00552665799739922,26,0.00169050715214564,83,0.00539661898569571,0,0
"VÄNERSBORG TORPA",202231,13715,1548,0.112869121399927,122,0.00889537003281079,721,0.0525701786365293,53,0.0038643820634342,30,0.002187386073642,0,0,0,0,22,0.0016040831206708,78,0.00568720379146919,95,0.00692672256653299,8,0.000583302952971199,419,0.0305504921618666,1521,0.110900473933649,1283,0.0935472110827561,122,0.00889537003281079,694,0.0506015311702515,42,0.0030623405030988,11,0.000802041560335399,11,0.000802041560335399,19,0.0013853445133066,0,0,0,0,22,0.0016040831206708,43,0.0031352533722202,35,0.002551950419249,95,0.00692672256653299,8,0.000583302952971199,54,0.0039372949325556,365,0.026613197229311,1521,0.110900473933649,27,0.0019686474662778,95,0.00692672256653299,19,0.0013853445133066,97,0.00707254830477579,0,0
"VÄNERSBORG TORPA",202230,13824,1168,0.0844907407407407,128,0.00925925925925926,141,0.0101996527777778,67,0.00484664351851852,25,0.00180844907407407,0,0,0,0,18,0.00130208333333333,77,0.00557002314814815,94,0.00679976851851852,15,0.00108506944444444,603,0.0436197916666667,1134,0.08203125,889,0.0643084490740741,128,0.00925925925925926,107,0.00774016203703704,57,0.00412326388888889,10,0.00072337962962963,3,0.000217013888888889,22,0.00159143518518519,0,0,0,0,18,0.00130208333333333,38,0.00274884259259259,39,0.00282118055555556,94,0.00679976851851852,15,0.00108506944444444,62,0.0044849537037037,541,0.039134837962963,1134,0.08203125,34,0.00245949074074074,94,0.00679976851851852,18,0.00130208333333333,99,0.00716145833333333,0,0
"VÄNERSBORG TORPA",202229,14252,960,0.0673589671625035,114,0.00799887735054729,117,0.00820937412293012,62,0.00435026662924502,31,0.00217513331462251,0,0,0,0,4,0.000280662363177098,74,0.00519225371877631,95,0.00666573112545608,12,0.000841987089531294,451,0.0316446814482178,941,0.0660258209374123,710,0.0498175694639349,114,0.00799887735054729,98,0.0068762278978389,57,0.00399943867527365,5,0.000350827953971372,13,0.000912152680325568,18,0.00126298063429694,0,0,0,0,4,0.000280662363177098,35,0.00245579567779961,39,0.0027364580409767,95,0.00666573112545608,12,0.000841987089531294,46,0.00322761717653663,405,0.0284170642716812,941,0.0660258209374123,19,0.00133314622509122,95,0.00666573112545608,25,0.00175413976985686,92,0.00645523435307325,0,0
"VÄNERSBORG TORPA",202228,14426,1062,0.0736170802717316,125,0.00866491057812283,186,0.0128933869402468,65,0.00450575350062387,20,0.00138638569249965,0,0,0,0,20,0.00138638569249965,77,0.00533758491612367,98,0.0067932898932483,6,0.000415915707749896,465,0.0322334673506169,1035,0.0717454595868571,807,0.055940662692361,125,0.00866491057812283,159,0.0110217662553722,53,0.00367392208512408,12,0.000831831415499792,6,0.000415915707749896,14,0.000970469984749757,0,0,0,0,20,0.00138638569249965,33,0.00228753639262443,44,0.00305004852349924,98,0.0067932898932483,6,0.000415915707749896,50,0.00346596423124913,415,0.0287675031193678,1035,0.0717454595868571,27,0.00187162068487453,98,0.0067932898932483,12,0.000831831415499792,91,0.00630805490087342,0,0
"VÄNERSBORG TORPA",202227,14516,1210,0.0833562965004133,120,0.00826674014880132,123,0.00847340865252136,47,0.00323780655828052,27,0.0018600165334803,0,0,0,0,8,0.000551116009920088,90,0.00620005511160099,92,0.00633783411408101,3,0.000206668503720033,700,0.0482226508680077,1182,0.081427390465693,942,0.0648939101680904,120,0.00826674014880132,95,0.00654450261780105,40,0.00275558004960044,7,0.000482226508680077,6,0.000413337007440066,21,0.00144667952604023,0,0,0,0,8,0.000551116009920088,37,0.00254891154588041,53,0.00365114356572058,92,0.00633783411408101,3,0.000206668503720033,255,0.0175668228162028,445,0.0306558280518049,1182,0.081427390465693,28,0.00192890603472031,92,0.00633783411408101,9,0.000620005511160099,111,0.00764673463764122,0,0
"VÄNERSBORG TORPA",202226,15470,984,0.0636069812540401,80,0.00517129928894635,106,0.00685197155785391,81,0.00523594053005818,24,0.0015513897866839,0,0,0,0,13,0.000840336134453782,97,0.00627020038784745,52,0.00336134453781513,12,0.000775694893341952,519,0.0335488041370394,956,0.0617970265029089,743,0.0480284421460892,80,0.00517129928894635,78,0.00504201680672269,78,0.00504201680672269,3,0.000193923723335488,4,0.000258564964447317,20,0.00129282482223659,0,0,0,0,13,0.000840336134453782,49,0.00316742081447964,48,0.00310277957336781,52,0.00336134453781513,12,0.000775694893341952,69,0.00446024563671622,450,0.0290885585003232,956,0.0617970265029089,28,0.00180995475113122,52,0.00336134453781513,16,0.00103425985778927,117,0.00756302521008403,0,0
"VÄNERSBORG TORPA",202225,14796,1282,0.0866450391997837,86,0.00581238172479048,111,0.00750202757502028,72,0.0048661800486618,31,0.00209516085428494,0,0,0,0,27,0.00182481751824818,103,0.00696134090294674,63,0.00425790754257908,4,0.000270343336036767,785,0.0530548796972155,1259,0.0850905650175723,1035,0.0699513381995134,86,0.00581238172479048,88,0.00594755339280887,61,0.00412273587456069,11,0.000743444174101108,12,0.0008110300081103,19,0.00128413084617464,0,0,0,0,27,0.00182481751824818,54,0.00364963503649635,49,0.00331170586645039,63,0.00425790754257908,4,0.000270343336036767,254,0.0171668018383347,531,0.0358880778588808,1259,0.0850905650175723,23,0.00155447418221141,63,0.00425790754257908,16,0.00108137334414707,122,0.00824547174912138,0,0
"VÄNERSBORG TORPA",202224,15620,1752,0.112163892445583,119,0.00761843790012804,141,0.00902688860435339,66,0.00422535211267606,41,0.00262483994878361,0,0,0,0,32,0.00204865556978233,526,0.0336747759282971,91,0.0058258642765685,26,0.00166453265044814,710,0.0454545454545455,1724,0.110371318822023,1012,0.0647887323943662,119,0.00761843790012804,113,0.00723431498079385,59,0.00377720870678617,7,0.000448143405889885,14,0.00089628681177977,27,0.00172855313700384,0,0,0,0,32,0.00204865556978233,156,0.00998719590268886,370,0.0236875800256082,91,0.0058258642765685,26,0.00166453265044814,65,0.00416133162612036,645,0.0412932138284251,1724,0.110371318822023,28,0.00179257362355954,91,0.0058258642765685,40,0.00256081946222791,553,0.0354033290653009,0,0
"VÄNERSBORG TORPA",202223,16117,1324,0.0821492833653906,163,0.0101135447043494,170,0.0105478687100577,62,0.00384686976484457,52,0.00322640689954706,0,0,0,0,30,0.00186138859589254,204,0.0126574424520692,106,0.00657690637215363,7,0.000434324005708258,530,0.0328845318607681,1267,0.0786126450331948,841,0.0521809269715208,163,0.0101135447043494,113,0.00701123037786189,56,0.00347459204566607,6,0.000372277719178507,27,0.00167524973630328,25,0.00155115716324378,0,0,0,0,30,0.00186138859589254,151,0.00936898926599243,53,0.00328845318607681,106,0.00657690637215363,7,0.000434324005708258,53,0.00328845318607681,477,0.0295960786746913,1267,0.0786126450331948,57,0.00353663833219582,106,0.00657690637215363,34,0.00210957374201154,229,0.014208599615313,0,0
"VÄNERSBORG TORPA",202222,15832,1167,0.073711470439616,174,0.0109903991915109,241,0.01522233451238,72,0.0045477513895907,37,0.00233703890853967,0,0,0,0,31,0.00195805962607377,99,0.00625315816068722,89,0.00562152602324406,9,0.000568468923698838,415,0.0262127337038909,1082,0.0683425972713492,763,0.0481935320869126,174,0.0109903991915109,156,0.00985346134411319,60,0.00378979282465892,12,0.000757958564931784,14,0.000884284992420414,23,0.00145275391611925,0,0,0,0,31,0.00195805962607377,42,0.00265285497726124,57,0.00360030318342597,89,0.00562152602324406,9,0.000568468923698838,55,0.00347397675593734,360,0.0227387569479535,1082,0.0683425972713492,85,0.0053688731682668,89,0.00562152602324406,23,0.00145275391611925,122,0.00770591207680647,0,0
"VÄNERSBORG TORPA",202221,15715,1384.988,0.0881315940184537,144,0.00916321985364302,162,0.0103086223353484,51,0.00324530703149857,28,0.00178173719376392,0,0,19.988,0.00127190582246262,39,0.00248170537702832,353,0.0224626153356666,113,0.00719058224626153,13,0.000827235125676106,462,0.0293986636971047,1353.988,0.0861589564110722,815.988,0.0519241489023226,144,0.00916321985364302,131,0.00833598472796691,44,0.00279987273305759,7,0.00044543429844098,5,0.000318167356029271,23,0.00146356983773465,0,0,19.988,0.00127190582246262,39,0.00248170537702832,64,0.00407254215717467,289,0.0183900731784919,113,0.00719058224626153,13,0.000827235125676106,56,0.00356347438752784,406,0.0258351893095768,1353.988,0.0861589564110722,31,0.00197263760738148,113,0.00719058224626153,18,0.00114540248170538,376,0.0239261851734012,0,0
"UPPSALA VÄSTERTORG",202234,8439,4890,0.579452541770352,1534,0.181775091835526,1291,0.152980210925465,182,0.0215665363194691,174,0.0206185567010309,0,0,0,0,10,0.00118497452304775,586,0.0694395070505984,878,0.104040763123593,18,0.00213295414148596,217,0.0257139471501363,4353,0.515819409882687,2160,0.255954496978315,1534,0.181775091835526,754,0.0893470790378007,148,0.0175376229411068,34,0.00402891337836237,157,0.0186041000118497,17,0.00201445668918118,0,0,0,0,10,0.00118497452304775,318,0.0376821898329186,268,0.0317573172176798,878,0.104040763123593,18,0.00213295414148596,64,0.00758383694750563,153,0.0181301102026306,4353,0.515819409882687,537,0.0636331318876644,878,0.104040763123593,175,0.0207370541533357,603,0.0714539637397796,0,0
