"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk_endast_manuell_disk","zoner_convrate_Fisk_endast_manuell_disk","zoner_count_Deli_endast_manuell","zoner_convrate_Deli_endast_manuell","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_ABP","kampanj_count_Kampanj_1_bladet_eller_skagen","kampanj_convrate_Kampanj_1_bladet_eller_skagen","kampanj_count_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_convrate_Kampanj_1_Triangeln_Mölnlycke_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","kampanj_count_Kampanj_1_dryck","kampanj_convrate_Kampanj_1_dryck","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbvara","skylttyp_convrate_klubbvara","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"ÖSTERVÅLA TORGET",202231,2022-08-05,857,155,0.180863477246208,13,0.015169194865811,54,0.0630105017502917,5,0.0058343057176196,12,0.014002333722287,0,0,0,0,2,0.00233372228704784,9,0.0105017502917153,0,0,0,0,60,0.0700116686114352,150,0.175029171528588,124,0.144690781796966,13,0.015169194865811,49,0.0571761960326721,5,0.0058343057176196,0,0,12,0.014002333722287,0,0,0,0,0,0,2,0.00233372228704784,9,0.0105017502917153,0,0,0,0,0,0,9,0.0105017502917153,51,0.05950991831972,150,0.175029171528588,5,0.0058343057176196,0,0,12,0.014002333722287,9,0.0105017502917153,0,0
"ÖSTERVÅLA TORGET",202231,2022-08-04,839,102,0.121573301549464,16,0.0190703218116806,42,0.0500595947556615,2,0.00238379022646007,15,0.0178784266984505,0,0,0,0,2,0.00238379022646007,1,0.00119189511323004,2,0.00238379022646007,0,0,22,0.0262216924910608,101,0.120381406436234,82,0.0977353992848629,16,0.0190703218116806,41,0.0488676996424315,2,0.00238379022646007,0,0,15,0.0178784266984505,0,0,0,0,0,0,2,0.00238379022646007,1,0.00119189511323004,0,0,2,0.00238379022646007,0,0,4,0.00476758045292014,18,0.0214541120381406,101,0.120381406436234,1,0.00119189511323004,2,0.00238379022646007,15,0.0178784266984505,1,0.00119189511323004,0,0
"ÖSTERVÅLA TORGET",202231,2022-08-03,840,147,0.175,12,0.0142857142857143,80,0.0952380952380952,7,0.00833333333333333,12,0.0142857142857143,0,0,0,0,1,0.00119047619047619,7,0.00833333333333333,4,0.00476190476190476,0,0,24,0.0285714285714286,145,0.172619047619048,120,0.142857142857143,12,0.0142857142857143,78,0.0928571428571429,5,0.00595238095238095,2,0.00238095238095238,12,0.0142857142857143,0,0,0,0,0,0,1,0.00119047619047619,6,0.00714285714285714,1,0.00119047619047619,4,0.00476190476190476,0,0,1,0.00119047619047619,23,0.0273809523809524,145,0.172619047619048,2,0.00238095238095238,4,0.00476190476190476,12,0.0142857142857143,7,0.00833333333333333,0,0
"ÖSTERVÅLA TORGET",202231,2022-08-02,755,125,0.165562913907285,16,0.0211920529801325,61,0.080794701986755,5,0.00662251655629139,12,0.0158940397350993,0,0,0,0,1,0.00132450331125828,2,0.00264900662251656,6,0.00794701986754967,0,0,22,0.0291390728476821,123,0.162913907284768,101,0.133774834437086,16,0.0211920529801325,59,0.0781456953642384,2,0.00264900662251656,3,0.00397350993377483,12,0.0158940397350993,0,0,0,0,0,0,1,0.00132450331125828,2,0.00264900662251656,0,0,6,0.00794701986754967,0,0,5,0.00662251655629139,17,0.0225165562913907,123,0.162913907284768,2,0.00264900662251656,6,0.00794701986754967,12,0.0158940397350993,2,0.00264900662251656,0,0
"ÖSTERVÅLA TORGET",202231,2022-08-01,795,118,0.148427672955975,16,0.020125786163522,52,0.0654088050314465,3,0.00377358490566038,12,0.0150943396226415,0,0,0,0,6,0.00754716981132075,2,0.00251572327044025,6,0.00754716981132075,0,0,21,0.0264150943396226,117,0.147169811320755,96,0.120754716981132,16,0.020125786163522,51,0.0641509433962264,2,0.00251572327044025,1,0.00125786163522013,12,0.0150943396226415,0,0,0,0,0,0,6,0.00754716981132075,0,0,2,0.00251572327044025,6,0.00754716981132075,0,0,2,0.00251572327044025,19,0.0238993710691824,117,0.147169811320755,1,0.00125786163522013,6,0.00754716981132075,12,0.0150943396226415,2,0.00251572327044025,0,0
"ÖSTERVÅLA TORGET",202230,2022-07-31,630,59,0.0936507936507937,1,0.00158730158730159,6,0.00952380952380952,3,0.00476190476190476,11,0.0174603174603175,0,0,0,0,3,0.00476190476190476,1,0.00158730158730159,1,0.00158730158730159,0,0,33,0.0523809523809524,59,0.0936507936507937,46,0.073015873015873,1,0.00158730158730159,6,0.00952380952380952,2,0.00317460317460317,1,0.00158730158730159,11,0.0174603174603175,0,0,0,0,0,0,3,0.00476190476190476,1,0.00158730158730159,0,0,1,0.00158730158730159,0,0,0,0,33,0.0523809523809524,59,0.0936507936507937,0,0,1,0.00158730158730159,11,0.0174603174603175,1,0.00158730158730159,0,0
"ÖSTERVÅLA TORGET",202230,2022-07-30,849,142,0.167255594817432,29,0.0341578327444052,12,0.0141342756183746,0,0,11,0.0129564193168433,0,0,0,0,2,0.00235571260306243,0,0,5,0.00588928150765607,0,0,83,0.0977620730270907,140,0.16489988221437,122,0.143698468786808,29,0.0341578327444052,10,0.0117785630153121,0,0,0,0,11,0.0129564193168433,0,0,0,0,0,0,2,0.00235571260306243,0,0,0,0,5,0.00588928150765607,0,0,6,0.00706713780918728,77,0.0906949352179034,140,0.16489988221437,2,0.00235571260306243,5,0.00588928150765607,11,0.0129564193168433,0,0,0,0
"ÖSTERVÅLA TORGET",202230,2022-07-29,883,164,0.185730464326161,43,0.0486976217440544,14,0.0158550396375991,5,0.00566251415628539,10,0.0113250283125708,0,0,0,0,2,0.00226500566251416,7,0.00792751981879955,0,0,0,0,83,0.0939977349943375,161,0.18233295583239,141,0.159682899207248,43,0.0486976217440544,11,0.0124575311438279,3,0.00339750849377123,2,0.00226500566251416,10,0.0113250283125708,0,0,0,0,0,0,2,0.00226500566251416,5,0.00566251415628539,2,0.00226500566251416,0,0,0,0,3,0.00339750849377123,80,0.0906002265005662,161,0.18233295583239,3,0.00339750849377123,0,0,10,0.0113250283125708,7,0.00792751981879955,0,0
"ÖSTERVÅLA TORGET",202230,2022-07-28,832,123,0.147836538461538,43,0.0516826923076923,14,0.0168269230769231,4,0.00480769230769231,8,0.00961538461538462,0,0,0,0,0,0,2,0.00240384615384615,2,0.00240384615384615,0,0,50,0.0600961538461538,121,0.145432692307692,107,0.128605769230769,43,0.0516826923076923,12,0.0144230769230769,4,0.00480769230769231,0,0,8,0.00961538461538462,0,0,0,0,0,0,0,0,1,0.00120192307692308,1,0.00120192307692308,2,0.00240384615384615,0,0,0,0,50,0.0600961538461538,121,0.145432692307692,2,0.00240384615384615,2,0.00240384615384615,8,0.00961538461538462,2,0.00240384615384615,0,0
"ÖSTERVÅLA TORGET",202230,2022-07-27,906,154,0.169977924944812,64,0.0706401766004415,24,0.0264900662251656,3,0.0033112582781457,15,0.0165562913907285,0,0,0,0,7,0.00772626931567329,4,0.00441501103752759,1,0.0011037527593819,0,0,36,0.0397350993377483,151,0.166666666666667,128,0.141280353200883,64,0.0706401766004415,21,0.0231788079470199,2,0.0022075055187638,1,0.0011037527593819,15,0.0165562913907285,0,0,0,0,0,0,7,0.00772626931567329,3,0.0033112582781457,1,0.0011037527593819,1,0.0011037527593819,0,0,2,0.0022075055187638,34,0.0375275938189845,151,0.166666666666667,3,0.0033112582781457,1,0.0011037527593819,15,0.0165562913907285,4,0.00441501103752759,0,0
