"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"ÖRNSKÖLDSVIK DOMSJÖ",202224,2022-06-19,840,47.235,0.0562321428571429,2,0.00238095238095238,8.235,0.00980357142857143,8,0.00952380952380952,12,0.0142857142857143,0,0,0,0,0,0,12,0.0142857142857143,3,0.00357142857142857,1,0.00119047619047619,1,0.00119047619047619,47.235,0.0562321428571429,20.235,0.0240892857142857,0,0,0,0,2,0.00238095238095238,8.235,0.00980357142857143,6,0.00714285714285714,2,0.00238095238095238,0,0,12,0.0142857142857143,0,0,0,0,0,0,0,0,0,0,8,0.00952380952380952,4,0.00476190476190476,2,0.00238095238095238,1,0.00119047619047619,1,0.00119047619047619,1,0.00119047619047619,47.235,0.0562321428571429,9,0.0107142857142857,2,0.00238095238095238,15,0.0178571428571429,1,0.00119047619047619
"ÖRNSKÖLDSVIK DOMSJÖ",202224,2022-06-18,887,28.624,0.0322705749718151,1,0.00112739571589628,5.69,0.00641488162344983,10,0.0112739571589628,0,0,0,0,0.934,0.00105298759864713,2,0.00225479143179256,6,0.00676437429537768,1,0.00112739571589628,2,0.00225479143179256,0,0,28.624,0.0322705749718151,22.624,0.0255062006764374,0,0,0,0,1,0.00112739571589628,5.69,0.00641488162344983,7,0.00789177001127396,3,0.00338218714768884,0,0,0,0,0,0,0,0,0.934,0.00105298759864713,0,0,2,0.00225479143179256,2,0.00225479143179256,4,0.00450958286358512,0,0,1,0.00112739571589628,2,0.00225479143179256,0,0,28.624,0.0322705749718151,2,0.00225479143179256,1,0.00112739571589628,2,0.00225479143179256,1,0.00112739571589628
"ÖRNSKÖLDSVIK DOMSJÖ",202224,2022-06-17,1057,30.638,0.0289858088930937,2,0.00189214758751183,8.75,0.00827814569536424,5,0.00473036896877956,0,0,0,0,0.888,0.000840113528855251,1,0.000946073793755913,0,0,7,0.00662251655629139,2,0.00189214758751183,4,0.00378429517502365,30.638,0.0289858088930937,15.638,0.014794701986755,0,0,0,0,2,0.00189214758751183,8.75,0.00827814569536424,4,0.00378429517502365,1,0.000946073793755913,0,0,0,0,0,0,0,0,0.888,0.000840113528855251,0,0,1,0.000946073793755913,0,0,0,0,6,0.00567644276253548,1,0.000946073793755913,2,0.00189214758751183,4,0.00378429517502365,30.638,0.0289858088930937,4,0.00378429517502365,2,0.00189214758751183,8,0.0075685903500473,1,0.000946073793755913
"ÖRNSKÖLDSVIK DOMSJÖ",202224,2022-06-16,991,42.273,0.042656912209889,3,0.00302724520686176,10.105,0.010196770938446,9,0.00908173562058527,8,0.00807265388496468,0,0,0.168,0.000169525731584258,0,0,8,0.00807265388496468,0,0,4,0.00403632694248234,0,0,42.273,0.042656912209889,23.273,0.0234843592330979,0,0,0,0,3,0.00302724520686176,10.105,0.010196770938446,7,0.0070635721493441,2,0.00201816347124117,0,0,8,0.00807265388496468,0,0,0,0,0.168,0.000169525731584258,0,0,0,0,4,0.00403632694248234,4,0.00403632694248234,0,0,0,0,4,0.00403632694248234,0,0,42.273,0.042656912209889,4,0.00403632694248234,3,0.00302724520686176,12,0.012108980827447,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202224,2022-06-15,1025,57.102,0.0557092682926829,4,0.00390243902439024,7.78,0.00759024390243902,7,0.00682926829268293,17,0.0165853658536585,0,0,0.322,0.000314146341463415,0,0,12,0.0117073170731707,4,0.00390243902439024,3,0.00292682926829268,2,0.00195121951219512,57.102,0.0557092682926829,23.102,0.0225385365853659,0,0,0,0,4,0.00390243902439024,7.78,0.00759024390243902,6,0.00585365853658537,1,0.000975609756097561,0,0,17,0.0165853658536585,0,0,0,0,0.322,0.000314146341463415,0,0,0,0,4,0.00390243902439024,8,0.00780487804878049,3,0.00292682926829268,1,0.000975609756097561,3,0.00292682926829268,2,0.00195121951219512,57.102,0.0557092682926829,6,0.00585365853658537,4,0.00390243902439024,23,0.0224390243902439,1,0.000975609756097561
"ÖRNSKÖLDSVIK DOMSJÖ",202224,2022-06-14,1006,37.482,0.0372584493041749,2,0.00198807157057654,4.17,0.00414512922465209,5,0.00497017892644135,0,0,0,0,2.312,0.00229821073558648,2,0.00198807157057654,15,0.0149105367793241,4,0.00397614314115308,0,0,3,0.00298210735586481,37.482,0.0372584493041749,23.482,0.0233419483101392,0,0,0,0,2,0.00198807157057654,4.17,0.00414512922465209,4,0.00397614314115308,1,0.00099403578528827,0,0,0,0,0,0,0,0,0.312,0.00031013916500994,2,0.00198807157057654,2,0.00198807157057654,5,0.00497017892644135,10,0.0099403578528827,3,0.00298210735586481,1,0.00099403578528827,0,0,3,0.00298210735586481,37.482,0.0372584493041749,8,0.00795228628230616,2,0.00198807157057654,3,0.00298210735586481,1,0.00099403578528827
"ÖRNSKÖLDSVIK DOMSJÖ",202224,2022-06-13,1044,34.316,0.0328697318007663,3,0.0028735632183908,0.92,0.000881226053639847,13,0.0124521072796935,0,0,0,0,3.396,0.00325287356321839,1,0.000957854406130268,10,0.00957854406130268,2,0.00191570881226054,0,0,1,0.000957854406130268,34.316,0.0328697318007663,24.316,0.0232911877394636,0,0,0,0,3,0.0028735632183908,0.92,0.000881226053639847,9,0.00862068965517241,4,0.00383141762452107,0,0,0,0,0,0,0,0,0.396,0.000379310344827586,3,0.0028735632183908,1,0.000957854406130268,4,0.00383141762452107,6,0.00574712643678161,2,0.00191570881226054,0,0,0,0,1,0.000957854406130268,34.316,0.0328697318007663,5,0.00478927203065134,3,0.0028735632183908,2,0.00191570881226054,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202223,2022-06-12,951,73.117,0.0768843322818086,1,0.0010515247108307,1.855,0.00195057833859096,32,0.0336487907465825,7,0.00736067297581493,0,0,4.262,0.00448159831756046,0,0,13,0.0136698212407992,7,0.00736067297581493,0,0,7,0.00736067297581493,73.117,0.0768843322818086,47.117,0.0495446898002103,0,0,0,0,1,0.0010515247108307,1.855,0.00195057833859096,28,0.0294426919032597,4,0.00420609884332282,0,0,7,0.00736067297581493,0,0,0,0,0.262,0.000275499474237645,4,0.00420609884332282,0,0,4,0.00420609884332282,9,0.00946372239747634,6,0.00630914826498423,1,0.0010515247108307,0,0,7,0.00736067297581493,73.117,0.0768843322818086,11,0.0115667718191377,1,0.0010515247108307,13,0.0136698212407992,1,0.0010515247108307
"ÖRNSKÖLDSVIK DOMSJÖ",202223,2022-06-11,955,50.208,0.0525738219895288,3,0.0031413612565445,0.99,0.00103664921465969,17,0.0178010471204188,5,0.00523560209424084,2,0.00209424083769634,4.218,0.00441675392670157,1,0.00104712041884817,4,0.00418848167539267,5,0.00523560209424084,0,0,8,0.00837696335078534,50.208,0.0525738219895288,27.208,0.0284900523560209,0,0,0,0,3,0.0031413612565445,0.99,0.00103664921465969,17,0.0178010471204188,0,0,0,0,5,0.00523560209424084,2,0.00209424083769634,0,0,0.218,0.000228272251308901,4,0.00418848167539267,1,0.00104712041884817,2,0.00209424083769634,2,0.00209424083769634,5,0.00523560209424084,0,0,0,0,8,0.00837696335078534,50.208,0.0525738219895288,10,0.0104712041884817,3,0.0031413612565445,10,0.0104712041884817,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202223,2022-06-10,1062,81.51,0.0767514124293785,4,0.00376647834274953,2.37,0.0022316384180791,24,0.0225988700564972,5,0.00470809792843691,0,0,7.14,0.00672316384180791,1,0.000941619585687382,12,0.0112994350282486,4,0.00376647834274953,0,0,22,0.0207156308851224,81.51,0.0767514124293785,41.51,0.0390866290018832,0,0,0,0,4,0.00376647834274953,2.37,0.0022316384180791,24,0.0225988700564972,0,0,0,0,5,0.00470809792843691,0,0,0,0,1.158,0.00109039548022599,5.982,0.00563276836158192,1,0.000941619585687382,5,0.00470809792843691,7,0.00659133709981168,3,0.00282485875706215,1,0.000941619585687382,0,0,22,0.0207156308851224,81.51,0.0767514124293785,27,0.0254237288135593,4,0.00376647834274953,8,0.00753295668549906,1,0.000941619585687382
"ÖRNSKÖLDSVIK DOMSJÖ",202223,2022-06-09,1067,81.155,0.0760590440487348,0,0,1.045,0.000979381443298969,24,0.0224929709465792,15,0.014058106841612,0,0,0.11,0.000103092783505155,3,0.0028116213683224,18,0.0168697282099344,5,0.00468603561387067,1,0.000937207122774133,14,0.0131208997188379,81.155,0.0760590440487348,37.155,0.0348219306466729,0,0,0,0,0,0,1.045,0.000979381443298969,19,0.0178069353327085,5,0.00468603561387067,0,0,15,0.014058106841612,0,0,0,0,0.11,0.000103092783505155,0,0,3,0.0028116213683224,9,0.0084348641049672,9,0.0084348641049672,5,0.00468603561387067,0,0,1,0.000937207122774133,14,0.0131208997188379,81.155,0.0760590440487348,23,0.0215557638238051,0,0,21,0.0196813495782568,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202223,2022-06-08,1002,72.861,0.0727155688622755,4,0.00399201596806387,3.895,0.0038872255489022,21,0.0209580838323353,14,0.0139720558882236,0,0,0.966,0.000964071856287425,0,0,12,0.0119760479041916,4,0.00399201596806387,1,0.000998003992015968,12,0.0119760479041916,72.861,0.0727155688622755,30.861,0.0307994011976048,0,0,0,0,4,0.00399201596806387,3.895,0.0038872255489022,20,0.0199600798403194,1,0.000998003992015968,0,0,14,0.0139720558882236,0,0,0,0,0.966,0.000964071856287425,0,0,0,0,7,0.00698602794411178,5,0.00499001996007984,3,0.0029940119760479,1,0.000998003992015968,1,0.000998003992015968,12,0.0119760479041916,72.861,0.0727155688622755,19,0.0189620758483034,4,0.00399201596806387,18,0.0179640718562874,1,0.000998003992015968
