"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_convrate_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_Alltid_bra_pris","skylttyp_convrate_Alltid_bra_pris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"FALUN HOSJÖ",202224,2022-06-18,1238,176.145,0.142281906300485,6,0.00484652665589661,3,0.0024232633279483,0,0,10,0.00807754442649435,0,0,0,0,11,0.00888529886914378,49,0.0395799676898223,2,0.00161550888529887,7,0.00565428109854604,88.145,0.0711995153473344,174.145,0.140666397415186,104.145,0.0841235864297254,2,0.00161550888529887,3,0.0024232633279483,1,0.000807754442649435,1,0.000807754442649435,0,0,10,0.00807754442649435,0,0,0,0,0,0,0,0,0,0,34,0.0274636510500808,10,0.00807754442649435,16,0.012924071082391,0,0,9,0.00726978998384491,42,0.0339256865912763,46.145,0.0372738287560582,173.145,0.139858642972536,39,0.031502423263328,1,0.000807754442649435,0,0,19,0.0153473344103393,10,0.00807754442649435
"FALUN HOSJÖ",202224,2022-06-17,1327,226.215,0.170470987189148,11,0.00828937452901281,6,0.00452147701582517,0,0,21,0.0158251695553881,0,0,0,0,22,0.0165787490580256,50,0.0376789751318764,1,0.000753579502637528,12,0.00904295403165034,103.215,0.0777807083647325,223.215,0.168210248681236,115.215,0.0868236623963828,3,0.00226073850791258,5,0.00376789751318764,3,0.00226073850791258,3,0.00226073850791258,0,0,21,0.0158251695553881,0,0,0,0,0,0,0,0,0,0,41,0.0308967596081387,19,0.014318010550113,12,0.00904295403165034,2,0.00150715900527506,11,0.00828937452901281,68,0.0512434061793519,35.215,0.0265373021853806,220.215,0.165949510173323,49,0.0369253956292389,3,0.00226073850791258,3,0.00226073850791258,31,0.0233609645817634,19,0.014318010550113
"FALUN HOSJÖ",202224,2022-06-16,1219,149.52,0.122657916324856,8,0.00656275635767022,8,0.00656275635767022,0,0,33,0.0270713699753897,0,0,0,0,10,0.00820344544708778,44,0.0360951599671862,2,0.00164068908941756,8,0.00656275635767022,36.52,0.0299589827727646,145.52,0.119376538146021,43.52,0.035701394585726,4,0.00328137817883511,0,0,4,0.00328137817883511,4,0.00328137817883511,0,0,33,0.0270713699753897,0,0,0,0,0,0,0,0,0,0,38,0.0311730926989336,9,0.007383100902379,7,0.00574241181296144,2,0.00164068908941756,8,0.00656275635767022,27,0.022149302707137,9.52,0.00780968006562756,141.52,0.116095159967186,42,0.0344544708777687,4,0.00328137817883511,4,0.00328137817883511,39,0.0319934372436423,9,0.007383100902379
"FALUN HOSJÖ",202224,2022-06-15,1196,152.265,0.127311872909699,8,0.00668896321070234,7,0.00585284280936455,0,0,30,0.0250836120401338,0,0,0,0,19,0.0158862876254181,45,0.0376254180602007,5,0.00418060200668896,15,0.0125418060200669,23.265,0.0194523411371237,150.265,0.125639632107023,35.265,0.0294857859531773,2,0.00167224080267559,1,0.000836120401337793,5,0.00418060200668896,5,0.00418060200668896,0,0,30,0.0250836120401338,0,0,0,0,0,0,0,0,0,0,34,0.0284280936454849,18,0.0150501672240803,12,0.0100334448160535,7,0.00585284280936455,13,0.0108695652173913,15,0.0125418060200669,8.265,0.00691053511705686,145.265,0.121459030100334,37,0.0309364548494983,5,0.00418060200668896,2,0.00167224080267559,48,0.040133779264214,18,0.0150501672240803
"FALUN HOSJÖ",202224,2022-06-14,1182,152.5,0.129018612521151,9,0.00761421319796954,9,0.00761421319796954,0,0,11,0.00930626057529611,0,0,0,0,28,0.0236886632825719,55,0.0465313028764805,3,0.00253807106598985,20,0.0169204737732657,17.5,0.0148054145516074,149.5,0.126480541455161,26.5,0.022419627749577,3,0.00253807106598985,0,0,6,0.0050761421319797,6,0.0050761421319797,0,0,11,0.00930626057529611,0,0,0,0,0,0,0,0,0,0,48,0.0406091370558376,26,0.0219966159052453,9,0.00761421319796954,4,0.00338409475465313,19,0.0160744500846024,13,0.0109983079526227,4.5,0.00380710659898477,143.5,0.121404399323181,51,0.0431472081218274,6,0.0050761421319797,7,0.00592216582064298,27,0.0228426395939086,26,0.0219966159052453
"FALUN HOSJÖ",202224,2022-06-13,1131,135.635,0.119924845269673,6,0.00530503978779841,6,0.00530503978779841,0,0,25,0.02210433244916,0,0,0,0,8,0.00707338638373121,48,0.0424403183023873,1,0.000884173297966401,25,0.02210433244916,16.635,0.0147082228116711,133.635,0.11815649867374,33.635,0.0297391688770999,2,0.0017683465959328,0,0,4,0.00353669319186561,4,0.00353669319186561,0,0,25,0.02210433244916,0,0,0,0,0,0,0,0,0,0,31,0.0274093722369584,8,0.00707338638373121,17,0.0150309460654288,8,0.00707338638373121,18,0.0159151193633952,9,0.00795755968169761,7.635,0.00675066312997347,129.635,0.114619805481874,33,0.0291777188328912,4,0.00353669319186561,6,0.00530503978779841,45,0.0397877984084881,8,0.00707338638373121
"FALUN HOSJÖ",202223,2022-06-12,1028,134.71,0.131040856031128,10,0.00972762645914397,10,0.00972762645914397,0,0,7,0.00680933852140078,0,0,0,0,18,0.0175097276264591,37,0.0359922178988327,3,0.00291828793774319,23,0.0223735408560311,26.71,0.0259824902723735,131.71,0.128122568093385,38.71,0.0376556420233463,3,0.00291828793774319,0,0,7,0.00680933852140078,7,0.00680933852140078,0,0,7,0.00680933852140078,0,0,0,0,0,0,0,0,0,0,29,0.0282101167315175,14,0.0136186770428016,12,0.0116731517509728,2,0.00194552529182879,24,0.0233463035019455,14,0.0136186770428016,12.71,0.012363813229572,124.71,0.121313229571984,32,0.0311284046692607,7,0.00680933852140078,2,0.00194552529182879,31,0.0301556420233463,14,0.0136186770428016
"FALUN HOSJÖ",202223,2022-06-11,1197,189.85,0.158604845446951,6,0.0050125313283208,6,0.0050125313283208,0,0,23,0.0192147034252297,0,0,0,0,6,0.0050125313283208,23,0.0192147034252297,0,0,22,0.0183792815371763,103.85,0.0867585630743525,187.85,0.156934001670844,107.85,0.0901002506265664,2,0.00167084377610693,0,0,4,0.00334168755221387,4,0.00334168755221387,0,0,23,0.0192147034252297,0,0,0,0,0,0,0,0,0,0,20,0.0167084377610693,5,0.00417710944026733,4,0.00334168755221387,0,0,22,0.0183792815371763,36,0.0300751879699248,67.85,0.0566833751044277,183.85,0.15359231411863,22,0.0183792815371763,4,0.00334168755221387,5,0.00417710944026733,40,0.0334168755221387,5,0.00417710944026733
"FALUN HOSJÖ",202223,2022-06-10,1255,215,0.171314741035857,37,0.0294820717131474,8,0.00637450199203187,0,0,35,0.0278884462151394,0,0,0,0,12,0.00956175298804781,34,0.0270916334661355,2,0.00159362549800797,20,0.0159362549800797,67,0.0533864541832669,210,0.167330677290837,68,0.0541832669322709,5,0.00398406374501992,29,0.0231075697211155,3,0.00239043824701195,3,0.00239043824701195,0,0,35,0.0278884462151394,0,0,0,0,0,0,0,0,0,0,34,0.0270916334661355,11,0.00876494023904383,1,0.000796812749003984,1,0.000796812749003984,21,0.0167330677290837,44,0.0350597609561753,23,0.0183266932270916,207,0.164940239043825,68,0.0541832669322709,3,0.00239043824701195,4,0.00318725099601594,53,0.0422310756972112,11,0.00876494023904383
"FALUN HOSJÖ",202223,2022-06-09,1225,197.34,0.16109387755102,41,0.033469387755102,5,0.00408163265306122,0,0,40,0.0326530612244898,0,0,0,0,17,0.0138775510204082,28,0.0228571428571429,4,0.00326530612244898,34,0.0277551020408163,28.34,0.023134693877551,193.34,0.157828571428571,36.34,0.029665306122449,4,0.00326530612244898,36,0.0293877551020408,1,0.000816326530612245,1,0.000816326530612245,0,0,40,0.0326530612244898,0,0,0,0,0,0,0,0,0,0,22,0.0179591836734694,15,0.0122448979591837,8,0.00653061224489796,5,0.00408163265306122,33,0.0269387755102041,14,0.0114285714285714,14.34,0.0117061224489796,192.34,0.157012244897959,62,0.0506122448979592,1,0.000816326530612245,0,0,78,0.0636734693877551,15,0.0122448979591837
"FALUN HOSJÖ",202223,2022-06-08,1182,213.335,0.180486463620981,66,0.0558375634517767,7,0.00592216582064298,0,0,50,0.0423011844331641,0,0,0,0,11,0.00930626057529611,33,0.0279187817258883,6,0.0050761421319797,24,0.0203045685279188,16.335,0.0138197969543147,210.335,0.177948392554992,24.335,0.020587986463621,3,0.00253807106598985,59,0.0499153976311337,4,0.00338409475465313,4,0.00338409475465313,0,0,50,0.0423011844331641,0,0,0,0,0,0,0,0,0,0,26,0.0219966159052453,10,0.00846023688663283,8,0.00676818950930626,2,0.00169204737732657,28,0.0236886632825719,7,0.00592216582064298,9.335,0.00789763113367174,206.335,0.174564297800338,88,0.0744500846023689,4,0.00338409475465313,1,0.000846023688663283,79,0.0668358714043993,10,0.00846023688663283
"FALUN HOSJÖ",202223,2022-06-07,1195,189.48,0.158560669456067,67,0.0560669456066946,5,0.00418410041841004,0,0,32,0.0267782426778243,0,0,0,0,12,0.0100418410041841,35,0.0292887029288703,3,0.00251046025104603,21,0.0175732217573222,14.48,0.0121171548117155,184.48,0.154376569037657,21.48,0.0179748953974895,5,0.00418410041841004,62,0.0518828451882845,0,0,0,0,0,0,32,0.0267782426778243,0,0,0,0,0,0,0,0,0,0,30,0.0251046025104603,10,0.00836820083682008,7,0.00585774058577406,5,0.00418410041841004,19,0.0158995815899582,10,0.00836820083682008,4.48,0.0037489539748954,184.48,0.154376569037657,97,0.0811715481171548,0,0,9,0.00753138075313808,47,0.0393305439330544,10,0.00836820083682008
"FALUN HOSJÖ",202223,2022-06-06,1230,165.775,0.134776422764228,17,0.0138211382113821,13,0.0105691056910569,0,0,39,0.0317073170731707,0,0,0,0,12,0.00975609756097561,35,0.0284552845528455,2,0.0016260162601626,16,0.0130081300813008,31.775,0.0258333333333333,160.775,0.130711382113821,40.775,0.033150406504065,5,0.0040650406504065,4,0.0032520325203252,8,0.00650406504065041,8,0.00650406504065041,0,0,39,0.0317073170731707,0,0,0,0,0,0,0,0,0,0,26,0.0211382113821138,12,0.00975609756097561,9,0.00731707317073171,1,0.000813008130081301,17,0.0138211382113821,19,0.0154471544715447,12.775,0.0103861788617886,152.775,0.124207317073171,35,0.0284552845528455,8,0.00650406504065041,3,0.0024390243902439,54,0.0439024390243902,12,0.00975609756097561
"FALUN HOSJÖ",202222,2022-06-05,1139,163.435,0.143489903424056,14,0.0122914837576822,12,0.0105355575065847,0,0,30,0.0263388937664618,0,0,0,0,11,0.009657594381036,29,0.0254609306409131,0,0,5,0.00438981562774363,62.435,0.0548156277436348,159.435,0.139978050921861,72.435,0.063595258999122,4,0.00351185250219491,2,0.00175592625109745,8,0.00702370500438982,8,0.00702370500438982,0,0,30,0.0263388937664618,0,0,0,0,0,0,0,0,0,0,20,0.0175592625109745,10,0.00877963125548727,10,0.00877963125548727,2,0.00175592625109745,3,0.00263388937664618,35,0.0307287093942054,27.435,0.0240869183494293,151.435,0.132954345917471,26,0.0228270412642669,8,0.00702370500438982,2,0.00175592625109745,33,0.028972783143108,10,0.00877963125548727
"FALUN HOSJÖ",202222,2022-06-04,1165,245.03,0.210326180257511,13,0.0111587982832618,12,0.0103004291845494,4,0.00343347639484979,43,0.0369098712446352,3,0.00257510729613734,0,0,28,0.0240343347639485,31,0.0266094420600858,2,0.00171673819742489,6,0.00515021459227468,103.03,0.0884377682403433,243.03,0.208609442060086,121.03,0.103888412017167,2,0.00171673819742489,1,0.000858369098712446,10,0.00858369098712446,10,0.00858369098712446,4,0.00343347639484979,43,0.0369098712446352,3,0.00257510729613734,0,0,0,0,0,0,0,0,22,0.0188841201716738,26,0.0223175965665236,11,0.00944206008583691,0,0,8,0.00686695278969957,46,0.0394849785407725,57.03,0.0489527896995708,233.03,0.200025751072961,25,0.0214592274678112,10,0.00858369098712446,3,0.00257510729613734,48,0.0412017167381974,26,0.0223175965665236
"FALUN HOSJÖ",202222,2022-06-03,1134,256.165,0.225895061728395,25,0.0220458553791887,16,0.0141093474426808,23,0.0202821869488536,24,0.0211640211640212,2,0.0017636684303351,0,0,17,0.0149911816578483,40,0.0352733686067019,3,0.00264550264550265,8,0.00705467372134039,98.165,0.0865652557319224,249.165,0.219722222222222,145.165,0.128011463844797,7,0.00617283950617284,9,0.00793650793650794,9,0.00793650793650794,9,0.00793650793650794,23,0.0202821869488536,24,0.0211640211640212,2,0.0017636684303351,0,0,0,0,0,0,0,0,21,0.0185185185185185,14,0.0123456790123457,22,0.0194003527336861,2,0.0017636684303351,9,0.00793650793650794,75,0.0661375661375661,23.165,0.0204276895943563,240.165,0.211785714285714,37,0.0326278659611993,9,0.00793650793650794,4,0.00352733686067019,31,0.027336860670194,14,0.0123456790123457
"FALUN HOSJÖ",202222,2022-06-02,1017,182.405,0.179355948869223,11,0.0108161258603736,8,0.00786627335299902,18,0.0176991150442478,35,0.0344149459193707,0,0,0,0,14,0.0137659783677483,44,0.0432645034414946,4,0.00393313667649951,18,0.0176991150442478,30.405,0.0298967551622419,181.405,0.178372664700098,63.405,0.0623451327433628,1,0.000983284169124877,3,0.00294985250737463,7,0.00688298918387414,7,0.00688298918387414,18,0.0176991150442478,35,0.0344149459193707,0,0,0,0,0,0,0,0,0,0,29,0.0285152409046214,14,0.0137659783677483,15,0.0147492625368732,4,0.00393313667649951,18,0.0176991150442478,24,0.023598820058997,6.405,0.00629793510324484,174.405,0.171489675516224,33,0.0324483775811209,7,0.00688298918387414,12,0.0117994100294985,45,0.0442477876106195,14,0.0137659783677483
"FALUN HOSJÖ",202222,2022-06-01,1072,150.82,0.140690298507463,13,0.0121268656716418,9,0.0083955223880597,8,0.00746268656716418,24,0.0223880597014925,3,0.00279850746268657,0,0,19,0.0177238805970149,40,0.0373134328358209,4,0.00373134328358209,8,0.00746268656716418,22.82,0.0212873134328358,148.82,0.138824626865672,50.82,0.0474067164179105,2,0.00186567164179104,4,0.00373134328358209,7,0.00652985074626866,7,0.00652985074626866,8,0.00746268656716418,24,0.0223880597014925,3,0.00279850746268657,0,0,0,0,0,0,0,0,25,0.0233208955223881,17,0.0158582089552239,17,0.0158582089552239,2,0.00186567164179104,10,0.00932835820895522,10,0.00932835820895522,12.82,0.0119589552238806,141.82,0.132294776119403,31,0.0289179104477612,7,0.00652985074626866,5,0.00466417910447761,31,0.0289179104477612,17,0.0158582089552239
