"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,2022-06-04,932,35,0.0375536480686695,5,0.00536480686695279,27,0.0289699570815451,2,0.00214592274678112,1,0.00107296137339056,0,0,35,0.0375536480686695,5,0.00536480686695279,5,0.00536480686695279,27,0.0289699570815451,2,0.00214592274678112,1,0.00107296137339056,0,0,35,0.0375536480686695,1,0.00107296137339056,27,0.0289699570815451,2,0.00214592274678112
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,2022-06-03,871,42,0.0482204362801378,8,0.00918484500574053,28,0.0321469575200918,2,0.00229621125143513,2,0.00229621125143513,2,0.00229621125143513,42,0.0482204362801378,8,0.00918484500574053,8,0.00918484500574053,28,0.0321469575200918,2,0.00229621125143513,2,0.00229621125143513,2,0.00229621125143513,42,0.0482204362801378,2,0.00229621125143513,30,0.034443168771527,2,0.00229621125143513
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,2022-06-02,800,37,0.04625,5,0.00625,27,0.03375,5,0.00625,0,0,0,0,37,0.04625,5,0.00625,5,0.00625,27,0.03375,5,0.00625,0,0,0,0,37,0.04625,0,0,27,0.03375,5,0.00625
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,2022-06-01,764,44,0.0575916230366492,9,0.0117801047120419,29,0.0379581151832461,2,0.00261780104712042,3,0.00392670157068063,1,0.00130890052356021,44,0.0575916230366492,9,0.0117801047120419,9,0.0117801047120419,29,0.0379581151832461,2,0.00261780104712042,3,0.00392670157068063,1,0.00130890052356021,44,0.0575916230366492,3,0.00392670157068063,30,0.0392670157068063,2,0.00261780104712042
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,2022-05-31,773,35,0.0452781371280724,12,0.0155239327296248,17,0.0219922380336352,1,0.00129366106080207,3,0.00388098318240621,2,0.00258732212160414,35,0.0452781371280724,12,0.0155239327296248,12,0.0155239327296248,17,0.0219922380336352,1,0.00129366106080207,3,0.00388098318240621,2,0.00258732212160414,35,0.0452781371280724,3,0.00388098318240621,19,0.0245795601552393,1,0.00129366106080207
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,2022-05-30,719,28,0.0389429763560501,6,0.00834492350486787,10,0.0139082058414465,7,0.00973574408901252,1,0.00139082058414465,4,0.00556328233657858,28,0.0389429763560501,6,0.00834492350486787,6,0.00834492350486787,10,0.0139082058414465,7,0.00973574408901252,1,0.00139082058414465,4,0.00556328233657858,28,0.0389429763560501,1,0.00139082058414465,14,0.019471488178025,7,0.00973574408901252
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,2022-05-29,959,75,0.0782064650677789,16,0.0166840458811262,54,0.0563086548488008,0,0,4,0.00417101147028154,1,0.00104275286757039,75,0.0782064650677789,16,0.0166840458811262,16,0.0166840458811262,54,0.0563086548488008,0,0,4,0.00417101147028154,1,0.00104275286757039,75,0.0782064650677789,4,0.00417101147028154,55,0.0573514077163712,0,0
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,2022-05-28,837,31,0.037037037037037,9,0.010752688172043,19,0.022700119474313,1,0.001194743130227,2,0.002389486260454,0,0,31,0.037037037037037,9,0.010752688172043,9,0.010752688172043,19,0.022700119474313,1,0.001194743130227,2,0.002389486260454,0,0,31,0.037037037037037,2,0.002389486260454,19,0.022700119474313,1,0.001194743130227
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,2022-05-27,878,45,0.05125284738041,14,0.0159453302961276,21,0.0239179954441913,4,0.00455580865603645,4,0.00455580865603645,2,0.00227790432801822,45,0.05125284738041,14,0.0159453302961276,14,0.0159453302961276,21,0.0239179954441913,4,0.00455580865603645,4,0.00455580865603645,2,0.00227790432801822,45,0.05125284738041,4,0.00455580865603645,23,0.0261958997722096,4,0.00455580865603645
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,2022-05-26,807,45,0.0557620817843866,12,0.0148698884758364,32,0.0396530359355638,0,0,1,0.00123915737298637,0,0,45,0.0557620817843866,12,0.0148698884758364,12,0.0148698884758364,32,0.0396530359355638,0,0,1,0.00123915737298637,0,0,45,0.0557620817843866,1,0.00123915737298637,32,0.0396530359355638,0,0
