"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_OBS_snabbnudlar_Trianglen","kampanj_convrate_OBS_snabbnudlar_Trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"NORRKÖPING LASARETTSGATAN",202203,6351,930.784,0.146557077625571,345.462,0.0543948984411904,198.322,0.0312268934026138,10,0.00157455518815934,120,0.0188946622579121,0,0,5,0.000787277594079672,53,0.00834514249724453,14,0.00220437726342308,139,0.0218863171154149,46,0.00724295386553299,732.462,0.115330184222957,265.462,0.0417984569359156,198.322,0.0312268934026138,6.14,0.000966776885529838,141,0.0222012281530468,0,0,10,0.00157455518815934,3,0.000472366556447804,117,0.0184222957014643,0,0,0,0,0,0,5,0.000787277594079672,40,0.00629822075263738,13,0.00204692174460715,9,0.00141709966934341,5,0.000787277594079672,114,0.0179499291450165,25,0.00393638797039836,46,0.00724295386553299,0,0,732.462,0.115330184222957,141,0.0222012281530468,281,0.0442450007872776,0,0,40,0.00629822075263738,5,0.000787277594079672
"NORRKÖPING LASARETTSGATAN",202202,6500,552.12,0.0849415384615385,198.6,0.0305538461538462,72.52,0.0111569230769231,11,0.00169230769230769,64,0.00984615384615385,0,0,5,0.000769230769230769,43,0.00661538461538461,37,0.00569230769230769,82,0.0126153846153846,39,0.006,479.6,0.0737846153846154,132.6,0.0204,72.52,0.0111569230769231,5.08,0.000781538461538462,121,0.0186153846153846,0,0,11,0.00169230769230769,0,0,64,0.00984615384615385,0,0,0,0,0,0,5,0.000769230769230769,38,0.00584615384615385,5,0.000769230769230769,24,0.00369230769230769,13,0.002,59,0.00907692307692308,23,0.00353846153846154,39,0.006,0,0,479.6,0.0737846153846154,121,0.0186153846153846,175,0.0269230769230769,0,0,38,0.00584615384615385,13,0.002
"NORRKÖPING LASARETTSGATAN",202201,5786,565.175,0.0976797442101625,203.277,0.0351325613549948,73.898,0.0127718631178707,13,0.00224680262703076,60,0.0103698582786035,0,0,6,0.00103698582786035,50,0.00864154856550294,40,0.00691323885240235,72,0.0124438299343242,47,0.00812305565157276,491.277,0.0849078810922917,163.277,0.0282193225025925,73.898,0.0127718631178707,23.379,0.00404061527825786,106,0.0183200829588662,0,0,13,0.00224680262703076,0,0,60,0.0103698582786035,0,0,0,0,0,0,6,0.00103698582786035,37,0.00639474593847217,13,0.00224680262703076,26,0.00449360525406153,14,0.00241963359834082,54,0.00933287245074317,18,0.00311095748358106,47,0.00812305565157276,0,0,491.277,0.0849078810922917,106,0.0183200829588662,171,0.02955409609402,0,0,37,0.00639474593847217,14,0.00241963359834082
"DALA-JÄRNA MYRBACKA",202239,5830,3247.756,0.557076500857633,1695.877,0.290887993138937,702.119,0.120432075471698,249,0.0427101200686106,46,0.00789022298456261,3.76,0.000644939965694683,70,0.0120068610634648,142,0.0243567753001715,70,0.0120068610634648,195,0.0334476843910806,74,0.0126929674099485,2619.281,0.449276329331046,1143.969,0.196221097770154,629.027,0.107894854202401,48.85,0.00837907375643225,1018,0.174614065180103,73.092,0.0125372212692967,249,0.0427101200686106,46,0.00789022298456261,0,0,1.736,0.000297770154373928,0.552,9.46826758147513e-05,2.024,0.000347169811320755,70,0.0120068610634648,115,0.0197255574614065,27,0.00463121783876501,48,0.00823327615780446,22,0.00377358490566038,177,0.0303602058319039,18,0.00308747855917667,33,0.00566037735849057,41,0.00703259005145798,2618.729,0.449181646655232,1018,0.174614065180103,316,0.0542024013722127,3.76,0.000644939965694683,115,0.0197255574614065,22,0.00377358490566038
"DALA-JÄRNA MYRBACKA",202233,6594,775.177,0.117557931452836,267.852,0.0406205641492266,101.207,0.0153483469821049,119,0.0180467091295117,19,0.00288140734000607,3.118,0.000472854109796785,14,0.00212314225053079,51,0.00773430391264786,78,0.0118289353958144,94,0.0142553836821353,28,0.00424628450106157,673.97,0.102209584470731,341.852,0.0518428874734607,101.207,0.0153483469821049,79.645,0.0120784046102517,87,0.0131938125568699,0,0,119,0.0180467091295117,19,0.00288140734000607,0,0,0.408,6.18744313011829e-05,0,0,2.71,0.000410979678495602,14,0.00212314225053079,27,0.00409463148316652,24,0.00363967242948135,68,0.0103124052168638,10,0.00151653017895056,89,0.01349711859266,5,0.000758265089475281,21,0.00318471337579618,7,0.00106157112526539,673.97,0.102209584470731,87,0.0131938125568699,205,0.0310888686684865,3.118,0.000472854109796785,27,0.00409463148316652,10,0.00151653017895056
"DALA-JÄRNA MYRBACKA",202232,6945,598.886,0.0862326853851692,225.633,0.0324885529157667,104.633,0.0150659467242621,0,0,37,0.00532757379409647,2.62,0.000377249820014399,10,0.00143988480921526,48,0.00691144708423326,83,0.0119510439164867,42,0.0060475161987041,46,0.00662347012239021,495.065,0.0712836573074154,160.633,0.0231293016558675,104.633,0.0150659467242621,0,0,121,0.0174226061915047,0,0,0,0,37,0.00532757379409647,0,0,0.812,0.000116918646508279,0.812,0.000116918646508279,1.808,0.00026033117350612,10,0.00143988480921526,25,0.00359971202303816,23,0.0033117350611951,69,0.00993520518358531,14,0.00201583873290137,35,0.00503959683225342,7,0.00100791936645068,38,0.005471562275018,8,0.00115190784737221,494.253,0.0711667386609071,121,0.0174226061915047,171,0.024622030237581,2.62,0.000377249820014399,25,0.00359971202303816,14,0.00201583873290137
"DALA-JÄRNA MYRBACKA",202231,8564,877.169,0.102425151798225,308.002,0.035964736104624,135.08,0.0157730032695002,0,0,55,0.00642223260158804,7.087,0.00082753386268099,19,0.00221858944418496,59,0.00688930406352172,91,0.0106258757589911,144,0.0168145726296123,59,0.00688930406352172,743.058,0.0867652965903783,250.002,0.0291921999065857,135.08,0.0157730032695002,36.922,0.00431130312937879,136,0.015880429705745,0,0,0,0,51,0.00595516113965437,4,0.000467071461933676,2.001,0.000233652498832321,0.969,0.000113148061653433,5.086,0.000593881363848669,19,0.00221858944418496,29,0.00338626809901915,30,0.00350303596450257,79,0.0092246613731901,12,0.00140121438580103,124,0.014479215319944,20,0.00233535730966838,46,0.00537132181223727,13,0.00151798225128445,742.089,0.0866521485287249,136,0.015880429705745,308,0.035964502568893,7.087,0.00082753386268099,29,0.00338626809901915,12,0.00140121438580103
"DALA-JÄRNA MYRBACKA",202230,6756,766.565,0.113464328004737,265.347,0.0392757548845471,124.774,0.0184686204854944,0,0,93,0.013765541740675,4.444,0.000657785671995264,17,0.00251628182356424,54,0.00799289520426288,76,0.0112492599171107,94,0.0139135583185317,38,0.00562462995855536,644.133,0.0953423623445826,205.347,0.0303947602131439,124.774,0.0184686204854944,25.573,0.0037852279455299,115,0.0170219064535228,0,0,0,0,87,0.0128774422735346,6,0.00088809946714032,3.008,0.000445233866193014,2.342,0.000346654825340438,1.436,0.00021255180580225,17,0.00251628182356424,22,0.00325636471284784,32,0.00473653049141504,60,0.0088809946714032,16,0.00236826524570752,82,0.012137359384251,12,0.00177619893428064,34,0.00503256364712848,4,0.00059206631142688,641.791,0.0949957075192421,115,0.0170219064535228,279,0.0412966252220249,4.444,0.000657785671995264,22,0.00325636471284784,16,0.00236826524570752
"DALA-JÄRNA MYRBACKA",202229,6925,593.242,0.085666714801444,207.041,0.0298976173285199,115.041,0.0166124187725632,0,0,42,0.00606498194945848,4.16,0.00060072202166065,13,0.00187725631768953,65,0.00938628158844765,48,0.00693140794223827,57,0.00823104693140794,42,0.00606498194945848,478.617,0.0691143682310469,170.041,0.0245546570397112,115.041,0.0166124187725632,0,0,92,0.0132851985559567,0,0,0,0,42,0.00606498194945848,0,0,0.848,0.000122454873646209,0.416,6.0072202166065e-05,3.312,0.00047826714801444,13,0.00187725631768953,33,0.00476534296028881,32,0.00462093862815885,36,0.0051985559566787,12,0.00173285198555957,51,0.00736462093862816,6,0.000866425992779783,36,0.0051985559566787,6,0.000866425992779783,478.201,0.0690542960288809,92,0.0132851985559567,167,0.024115523465704,4.16,0.00060072202166065,33,0.00476534296028881,12,0.00173285198555957
"DALA-JÄRNA MYRBACKA",202228,6918,671.376,0.0970477016478751,229.065,0.03311144839549,133.065,0.0192346053772767,0,0,33,0.00477016478751084,3.246,0.000469210754553339,16,0.00231280716970223,46,0.0066493206128939,57,0.00823937554206418,120,0.0173460537727667,34,0.00491471523561723,538.311,0.0778130962705984,183.065,0.0264621277825961,133.065,0.0192346053772767,0,0,96,0.0138768430182134,0,0,0,0,33,0.00477016478751084,0,0,0.45,6.50477016478751e-05,0,0,2.796,0.000404163052905464,16,0.00231280716970223,19,0.00274645851402139,27,0.00390286209887251,40,0.00578201792425556,17,0.00245735761780862,115,0.0166233015322347,5,0.000722752240531946,29,0.00419196299508528,5,0.000722752240531946,538.311,0.0778130962705984,96,0.0138768430182134,220,0.0318010985834056,3.246,0.000469210754553339,19,0.00274645851402139,17,0.00245735761780862
"DALA-JÄRNA MYRBACKA",202227,6691,589.042,0.0880349723509191,219.623,0.0328236437004932,104.623,0.0156363772231356,0,0,0,0,2.796,0.000417874757136452,8,0.00119563592885966,47,0.00702436108205052,63,0.00941563293976984,102,0.0152443580929607,42,0.00627708862651323,484.419,0.0723985951277836,154.623,0.0231091017785084,104.623,0.0156363772231356,0,0,115,0.0171872664773576,0,0,0,0,0,0,0,0,0.23,3.43745329547153e-05,0,0,2.566,0.000383500224181737,8,0.00119563592885966,20,0.00298908982214916,27,0.00403527125990136,44,0.00657599760872814,19,0.0028396353310417,96,0.0143476311463159,6,0.000896726946644747,31,0.00463308922433119,11,0.00164399940218204,484.419,0.0723985951277836,115,0.0171872664773576,173,0.0258556269615902,2.796,0.000417874757136452,20,0.00298908982214916,19,0.0028396353310417
"DALA-JÄRNA MYRBACKA",202226,6440,635.822,0.0987301242236025,218.182,0.0338791925465839,81.182,0.012605900621118,0,0,71,0.0110248447204969,2.458,0.00038167701863354,18,0.00279503105590062,44,0.00683229813664596,58,0.00900621118012422,112,0.0173913043478261,31,0.00481366459627329,554.64,0.0861242236024845,130.182,0.0202145962732919,81.182,0.012605900621118,0,0,137,0.0212732919254658,0,0,0,0,35,0.00543478260869565,36,0.00559006211180124,0.224,3.47826086956522e-05,0,0,2.234,0.000346894409937888,18,0.00279503105590062,16,0.00248447204968944,28,0.00434782608695652,45,0.00698757763975155,13,0.00201863354037267,108,0.0167701863354037,4,0.00062111801242236,25,0.00388198757763975,6,0.00093167701863354,554.64,0.0861242236024845,137,0.0212732919254658,256,0.0397515527950311,2.458,0.00038167701863354,16,0.00248447204968944,13,0.00201863354037267
"DALA-JÄRNA MYRBACKA",202225,7114,855.095,0.120198903570425,239.598,0.0336797863368007,88.598,0.0124540342985662,0,0,226,0.0317683441102052,7.899,0.00111034579701996,19,0.00267078999156593,59,0.00829350576328367,31,0.00435760472308125,146,0.0205229125667697,38,0.00534157998313185,767.562,0.10789457407928,145.598,0.020466404273264,88.598,0.0124540342985662,0,0,151,0.0212257520382345,0,0,0,0,68,0.00955861681192016,158,0.0222097272982851,1.511,0.000212398088276638,1.065,0.000149704807421985,6.388,0.000897947708743323,19,0.00267078999156593,27,0.00379533314590947,32,0.00449817261737419,25,0.00351419735732359,6,0.000843407365757661,144,0.0202417767781839,2,0.000281135788585887,36,0.00506044419454597,2,0.000281135788585887,766.497,0.107744869271858,151,0.0212257520382345,429,0.0603036266516728,7.899,0.00111034579701996,27,0.00379533314590947,6,0.000843407365757661
"DALA-JÄRNA MYRBACKA",202224,6466,640.391,0.0990397463656047,202.333,0.0312918342097123,106.333,0.0164449427776059,0,0,46,0.00711413547788432,7.725,0.00119471079492731,11,0.00170120630992886,48,0.0074234457160532,42,0.00649551500154655,152,0.0235075781008351,25,0.00386637797711104,535.65,0.0828410145375812,142.333,0.0220125270646458,106.333,0.0164449427776059,0,0,96,0.0148468914321064,0,0,0,0,46,0.00711413547788432,0,0,6.61,0.00102227033714816,1.592,0.000246210949582431,1.115,0.000172440457779152,11,0.00170120630992886,22,0.00340241261985772,26,0.00402103309619548,26,0.00402103309619548,16,0.00247448190535107,141,0.0218063717909063,11,0.00170120630992886,23,0.00355706773894216,2,0.000309310238168883,534.058,0.0825948035879988,96,0.0148468914321064,250,0.0386637797711104,7.725,0.00119471079492731,22,0.00340241261985772,16,0.00247448190535107
"DALA-JÄRNA MYRBACKA",202223,6551,534.068,0.0815246527247748,216.404,0.0330337353075866,90.404,0.0138000305296901,0,0,24,0.00366356281483743,2.26,0.000344985498397191,9,0.00137383605556404,44,0.00671653182720195,56,0.00854831323462067,70,0.0106853915432758,22,0.00335826591360098,443.98,0.0677728591054801,121.404,0.0185321324988551,90.404,0.0138000305296901,0,0,126,0.0192337047778965,0,0,0,0,24,0.00366356281483743,0,0,0.478,7.29659593955121e-05,0.316,4.82369103953595e-05,1.782,0.000272019539001679,9,0.00137383605556404,22,0.00335826591360098,22,0.00335826591360098,49,0.00747977408029309,7,0.00106853915432758,66,0.0100747977408029,4,0.000610593802472905,20,0.00305296901236452,2,0.000305296901236452,443.664,0.0677246221950847,126,0.0192337047778965,165,0.0251869943520073,2.26,0.000344985498397191,22,0.00335826591360098,7,0.00106853915432758
"DALA-JÄRNA MYRBACKA",202222,6388,606.916,0.0950087664370695,201.457,0.0315367877269881,98.457,0.0154128052598622,0,0,50,0.00782717595491547,5.002,0.000783030682529743,13,0.00203506574827802,50,0.00782717595491547,41,0.00641828428303068,105,0.0164370695053225,43,0.0067313713212273,508.821,0.0796526299311208,154.457,0.0241792423293676,98.457,0.0154128052598622,0,0,103,0.0161239824671259,0,0,0,0,50,0.00782717595491547,0,0,1.132,0.000177207263619286,0.362,5.6668753913588e-05,3.87,0.000605823418910457,13,0.00203506574827802,25,0.00391358797745773,25,0.00391358797745773,29,0.00453976205385097,12,0.00187852222917971,100,0.0156543519098309,5,0.000782717595491547,40,0.00626174076393237,3,0.000469630557294928,508.459,0.0795959611772073,103,0.0161239824671259,209,0.0327175954915467,5.002,0.000783030682529743,25,0.00391358797745773,12,0.00187852222917971
