"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"FALUN HOSJÖ",202242,2022-10-19,1012,377.413,0.372937747035573,122.403,0.120951581027668,104,0.102766798418972,26,0.0256916996047431,19,0.0187747035573123,4,0.00395256916996047,0,0,19,0.0187747035573123,40,0.0395256916996047,2,0.00197628458498024,8,0.00790513833992095,33.01,0.0326185770750988,313.413,0.309696640316206,78,0.0770750988142292,64,0.0632411067193676,16.403,0.0162084980237154,42,0.041501976284585,40,0.0395256916996047,26,0.0256916996047431,8,0.00790513833992095,11,0.0108695652173913,4,0.00395256916996047,0,0,0,0,0,0,0,0,32,0.0316205533596838,27,0.0266798418972332,0,0,10,0.00988142292490119,10.01,0.00989130434782609,23,0.0227272727272727,313.413,0.309696640316206,165.413,0.163451581027668,42,0.041501976284585,21,0.0207509881422925,7,0.00691699604743083
"FALUN HOSJÖ",202242,2022-10-18,1077,700.125,0.650069637883008,201.795,0.187367688022284,177,0.164345403899721,35,0.0324976787372331,23,0.021355617455896,2,0.00185701021355617,0,0,26,0.0241411327762303,137,0.127205199628598,4,0.00371402042711235,22,0.0204271123491179,72.33,0.0671587743732591,610.125,0.56650417827298,143,0.132776230269266,90,0.0835654596100279,24.795,0.0230222841225627,87,0.0807799442896936,87,0.0807799442896936,35,0.0324976787372331,19,0.0176415970287837,4,0.00371402042711235,2,0.00185701021355617,0,0,0,0,0,0,0,0,40,0.0371402042711235,123,0.114206128133705,0,0,26,0.0241411327762303,15.33,0.0142339832869081,57,0.052924791086351,610.125,0.56650417827298,340.125,0.315807799442897,87,0.0807799442896936,30,0.0278551532033426,10,0.00928505106778087
"FALUN HOSJÖ",202242,2022-10-17,950,491.044,0.516888421052632,175.944,0.185204210526316,124,0.130526315789474,21,0.0221052631578947,31,0.0326315789473684,0,0,0,0,20,0.0210526315789474,72,0.0757894736842105,3,0.00315789473684211,14,0.0147368421052632,30.1,0.0316842105263158,416.044,0.437941052631579,86,0.0905263157894737,75,0.0789473684210526,15.944,0.0167831578947368,85,0.0894736842105263,49,0.0515789473684211,21,0.0221052631578947,16,0.0168421052631579,15,0.0157894736842105,0,0,0,0,0,0,0,0,0,0,34,0.0357894736842105,58,0.0610526315789474,2,0.00210526315789474,15,0.0157894736842105,6.1,0.00642105263157895,24,0.0252631578947368,416.044,0.437941052631579,207.044,0.217941052631579,85,0.0894736842105263,32,0.0336842105263158,6,0.00631578947368421
"FALUN HOSJÖ",202233,2022-08-21,1052,103.047,0.0979534220532319,15.792,0.0150114068441065,2,0.00190114068441065,5,0.00475285171102662,17,0.0161596958174905,0,0,0,0,15,0.0142585551330798,5,0.00475285171102662,11,0.0104562737642586,23,0.0218631178707224,9.255,0.00879752851711026,101.047,0.0960522813688213,19,0.0180608365019011,2,0.00190114068441065,8.792,0.0083574144486692,5,0.00475285171102662,0,0,5,0.00475285171102662,14,0.0133079847908745,3,0.00285171102661597,0,0,0,0,0,0,0,0,0,0,15,0.0142585551330798,5,0.00475285171102662,12,0.0114068441064639,22,0.0209125475285171,5.255,0.00499524714828897,4,0.00380228136882129,101.047,0.0960522813688213,32.047,0.030462927756654,5,0.00475285171102662,37,0.035171102661597,8,0.00760456273764259
"FALUN HOSJÖ",202233,2022-08-20,1141,95.649,0.083829097283085,12.969,0.0113663453111306,2,0.00175284837861525,3,0.00262927256792287,23,0.0201577563540754,0,0,0,0,14,0.0122699386503067,18,0.0157756354075372,3,0.00262927256792287,5,0.00438212094653812,14.68,0.0128659070990359,93.649,0.0820762489044698,24,0.021034180543383,2,0.00175284837861525,0.969,0.000849255039439089,10,0.00876424189307625,0,0,3,0.00262927256792287,21,0.0184049079754601,2,0.00175284837861525,0,0,0,0,0,0,0,0,0,0,23,0.0201577563540754,9,0.00788781770376862,5,0.00438212094653812,3,0.00262927256792287,11.68,0.0102366345311131,3,0.00262927256792287,93.649,0.0820762489044698,43.649,0.0382550394390885,10,0.00876424189307625,10,0.00876424189307625,6,0.00525854513584575
"FALUN HOSJÖ",202233,2022-08-19,1268,115.985,0.0914708201892745,10.92,0.00861198738170347,8,0.00630914826498423,9,0.00709779179810726,23,0.0181388012618297,0,0,0,0,18,0.0141955835962145,30,0.0236593059936909,3,0.00236593059936909,4,0.00315457413249211,10.065,0.00793769716088328,107.985,0.0851616719242902,24,0.0189274447949527,8,0.00630914826498423,0.92,0.000725552050473186,2,0.00157728706624606,0,0,9,0.00709779179810726,15,0.0118296529968454,8,0.00630914826498423,0,0,0,0,0,0,0,0,0,0,29,0.0228706624605678,19,0.0149842271293375,1,0.000788643533123028,6,0.00473186119873817,8.065,0.00636041009463722,2,0.00157728706624606,107.985,0.0851616719242902,56.985,0.0449408517350158,2,0.00157728706624606,15,0.0118296529968454,10,0.00788643533123028
"FALUN HOSJÖ",202233,2022-08-18,1155,83.805,0.0725584415584416,16.86,0.0145974025974026,2,0.00173160173160173,8,0.00692640692640693,6,0.00519480519480519,0,0,0,0,13,0.0112554112554113,18,0.0155844155844156,6,0.00519480519480519,7,0.00606060606060606,6.945,0.00601298701298701,81.805,0.0708268398268398,11,0.00952380952380952,2,0.00173160173160173,1.86,0.00161038961038961,13,0.0112554112554113,0,0,8,0.00692640692640693,3,0.0025974025974026,3,0.0025974025974026,0,0,0,0,0,0,0,0,0,0,26,0.0225108225108225,5,0.00432900432900433,7,0.00606060606060606,6,0.00519480519480519,4.945,0.00428138528138528,2,0.00173160173160173,81.805,0.0708268398268398,34.805,0.0301341991341991,13,0.0112554112554113,16,0.0138528138528139,7,0.00606060606060606
"FALUN HOSJÖ",202233,2022-08-17,1147,69.309,0.0604263295553618,8.009,0.00698256320836966,5,0.004359197907585,7,0.00610287707061901,8,0.00697471665213601,0,0,0,0,6,0.00523103748910201,15,0.013077593722755,3,0.002615518744551,9,0.00784655623365301,8.3,0.00723626852659111,64.309,0.0560671316477768,7,0.00610287707061901,5,0.004359197907585,1.009,0.000879686137750654,2,0.001743679163034,0,0,7,0.00610287707061901,0,0,8,0.00697471665213601,0,0,0,0,0,0,0,0,0,0,20,0.01743679163034,1,0.000871839581517001,3,0.002615518744551,9,0.00784655623365301,8.3,0.00723626852659111,0,0,64.309,0.0560671316477768,33.309,0.0290401046207498,2,0.001743679163034,20,0.01743679163034,2,0.001743679163034
"FALUN HOSJÖ",202233,2022-08-16,1174,113.587,0.096752129471891,15.842,0.0134940374787053,6,0.00511073253833049,9,0.00766609880749574,8,0.00681431005110733,0,0,0,0,26,0.0221465076660988,20,0.0170357751277683,4,0.00340715502555366,14,0.0119250425894378,10.745,0.00915247018739353,107.587,0.0916413969335605,12,0.010221465076661,6,0.00511073253833049,1.842,0.00156899488926746,8,0.00681431005110733,0,0,9,0.00766609880749574,3,0.00255536626916525,5,0.00425894378194208,0,0,0,0,0,0,0,0,0,0,40,0.0340715502555366,6,0.00511073253833049,6,0.00511073253833049,12,0.010221465076661,6.745,0.00574531516183986,4,0.00340715502555366,107.587,0.0916413969335605,49.587,0.0422376490630324,8,0.00681431005110733,23,0.0195911413969336,15,0.0127768313458262
"FALUN HOSJÖ",202233,2022-08-15,1148,97.835,0.0852221254355401,15,0.0130662020905923,8,0.00696864111498258,10,0.00871080139372822,11,0.00958188153310104,0,0,0,0,14,0.0121951219512195,15,0.0130662020905923,3,0.00261324041811847,15,0.0130662020905923,6.835,0.00595383275261324,89.835,0.0782534843205575,18,0.0156794425087108,8,0.00696864111498258,0,0,7,0.00609756097560976,0,0,10,0.00871080139372822,8,0.00696864111498258,3,0.00261324041811847,0,0,0,0,0,0,0,0,0,0,28,0.024390243902439,1,0.000871080139372822,10,0.00871080139372822,8,0.00696864111498258,6.835,0.00595383275261324,0,0,89.835,0.0782534843205575,33.835,0.0294729965156794,7,0.00609756097560976,21,0.0182926829268293,10,0.00871080139372822
"FALUN HOSJÖ",202232,2022-08-14,1160,81.737,0.0704629310344828,9.952,0.00857931034482759,15,0.0129310344827586,8,0.00689655172413793,9,0.00775862068965517,0,0,0,0,8,0.00689655172413793,0,0,5,0.00431034482758621,15,0.0129310344827586,11.785,0.0101594827586207,78.737,0.067876724137931,29,0.025,3,0.00258620689655172,0.952,0.000820689655172414,6,0.00517241379310345,12,0.0103448275862069,8,0.00689655172413793,9,0.00775862068965517,0,0,0,0,0,0,0,0,0,0,0,0,8,0.00689655172413793,0,0,1,0.000862068965517241,19,0.0163793103448276,1.785,0.00153879310344828,10,0.00862068965517241,78.737,0.067876724137931,17.737,0.0152905172413793,6,0.00517241379310345,20,0.0172413793103448,6,0.00517241379310345
"FALUN HOSJÖ",202232,2022-08-13,1207,105.496,0.0874034797017399,10.941,0.00906462303231152,12,0.00994200497100249,2,0.00165700082850041,42,0.0347970173985087,0,0,0,0,19,0.0157415078707539,1,0.000828500414250207,1,0.000828500414250207,12,0.00994200497100249,5.555,0.0046023198011599,100.496,0.0832609776304888,50,0.0414250207125104,5,0.00414250207125104,5.941,0.00492212096106048,0,0,7,0.00579950289975145,2,0.00165700082850041,41,0.0339685169842585,1,0.000828500414250207,0,0,0,0,0,0,0,0,0,0,19,0.0157415078707539,1,0.000828500414250207,1,0.000828500414250207,12,0.00994200497100249,3.555,0.00294531897265949,2,0.00165700082850041,100.496,0.0832609776304888,17.496,0.0144954432477216,0,0,14,0.0115990057995029,19,0.0157415078707539
"FALUN HOSJÖ",202232,2022-08-12,1383,108.953,0.0787801879971077,16.858,0.0121894432393348,25,0.0180766449746927,7,0.00506146059291396,29,0.0209689081706435,0,0,0,0,9,0.00650759219088937,1,0.000723065798987708,2,0.00144613159797542,7,0.00506146059291396,12.095,0.00874548083875633,100.953,0.0729956616052061,50,0.0361532899493854,8,0.00578452639190166,1.858,0.00134345625451916,7,0.00506146059291396,17,0.012292118582791,7,0.00506146059291396,26,0.0187997107736804,3,0.00216919739696312,0,0,0,0,0,0,0,0,0,0,9,0.00650759219088937,1,0.000723065798987708,2,0.00144613159797542,7,0.00506146059291396,5.095,0.00368402024584237,7,0.00506146059291396,100.953,0.0729956616052061,22.953,0.0165965292841649,7,0.00506146059291396,12,0.00867678958785249,9,0.00650759219088937
"FALUN HOSJÖ",202232,2022-08-11,1223,103.167,0.0843556827473426,19.302,0.0157825020441537,18,0.0147179067865904,5,0.00408830744071954,24,0.0196238757154538,0,0,0,0,11,0.00899427636958299,1,0.000817661488143908,4,0.00327064595257563,14,0.0114472608340147,6.865,0.00561324611610793,94.167,0.0769967293540474,29,0.0237121831561733,9,0.00735895339329518,3.302,0.00269991823385119,7,0.00572363041700736,9,0.00735895339329518,5,0.00408830744071954,15,0.0122649223221586,9,0.00735895339329518,0,0,0,0,0,0,0,0,0,0,11,0.00899427636958299,1,0.000817661488143908,3,0.00245298446443173,15,0.0122649223221586,3.865,0.00316026165167621,3,0.00245298446443173,94.167,0.0769967293540474,23.167,0.0189427636958299,7,0.00572363041700736,27,0.0220768601798855,8,0.00654129190515127
"FALUN HOSJÖ",202232,2022-08-10,1195,78.487,0.0656794979079498,13.747,0.0115037656903766,16,0.0133891213389121,6,0.00502092050209205,8,0.00669456066945607,4,0.00334728033472803,0,0,12,0.0100418410041841,1,0.000836820083682008,1,0.000836820083682008,10,0.00836820083682008,6.74,0.00564016736401674,72.487,0.0606585774058577,24,0.0200836820083682,6,0.00502092050209205,2.747,0.00229874476987448,5,0.00418410041841004,10,0.00836820083682008,6,0.00502092050209205,4,0.00334728033472803,4,0.00334728033472803,4,0.00334728033472803,0,0,0,0,0,0,0,0,12,0.0100418410041841,1,0.000836820083682008,0,0,11,0.00920502092050209,2.74,0.0022928870292887,4,0.00334728033472803,72.487,0.0606585774058577,18.487,0.0154702928870293,5,0.00418410041841004,15,0.0125523012552301,10,0.00836820083682008
"FALUN HOSJÖ",202232,2022-08-09,1228,120.203,0.0978851791530945,22.018,0.0179299674267101,16,0.0130293159609121,10,0.00814332247557003,14,0.011400651465798,0,0,0,0,16,0.0130293159609121,1,0.000814332247557003,4,0.00325732899022801,32,0.0260586319218241,5.185,0.00422231270358306,113.203,0.0921848534201954,28,0.0228013029315961,7,0.00570032573289902,2.018,0.00164332247557003,13,0.010586319218241,9,0.00732899022801303,10,0.00814332247557003,9,0.00732899022801303,5,0.00407166123778502,0,0,0,0,0,0,0,0,0,0,16,0.0130293159609121,1,0.000814332247557003,7,0.00570032573289902,29,0.0236156351791531,2.185,0.00177931596091205,3,0.00244299674267101,113.203,0.0921848534201954,15.203,0.0123802931596091,13,0.010586319218241,41,0.0333876221498371,16,0.0130293159609121
"FALUN HOSJÖ",202232,2022-08-08,1188,96.12,0.0809090909090909,15,0.0126262626262626,12,0.0101010101010101,11,0.00925925925925926,21,0.0176767676767677,0,0,0,0,1,0.000841750841750842,1,0.000841750841750842,2,0.00168350168350168,29,0.0244107744107744,4.12,0.00346801346801347,91.12,0.0767003367003367,39,0.0328282828282828,5,0.00420875420875421,0,0,10,0.00841750841750842,7,0.00589225589225589,11,0.00925925925925926,21,0.0176767676767677,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000841750841750842,1,0.000841750841750842,6,0.00505050505050505,25,0.021043771043771,1.12,0.000942760942760943,3,0.00252525252525253,91.12,0.0767003367003367,10.12,0.00851851851851852,10,0.00841750841750842,31,0.0260942760942761,1,0.000841750841750842
"FALUN HOSJÖ",202231,2022-08-07,1072,123.325,0.11504197761194,75.74,0.0706529850746269,6,0.00559701492537313,1,0.000932835820895522,7,0.00652985074626866,0,0,0,0,14,0.0130597014925373,2,0.00186567164179104,2,0.00186567164179104,12,0.0111940298507463,3.585,0.00334421641791045,119.325,0.111310634328358,9,0.0083955223880597,4,0.00373134328358209,4.74,0.00442164179104478,67,0.0625,2,0.00186567164179104,1,0.000932835820895522,6,0.00559701492537313,1,0.000932835820895522,0,0,0,0,0,0,0,0,0,0,14,0.0130597014925373,2,0.00186567164179104,0,0,14,0.0130597014925373,1.585,0.0014785447761194,2,0.00186567164179104,119.325,0.111310634328358,14.325,0.0133628731343284,67,0.0625,15,0.0139925373134328,14,0.0130597014925373
