"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"GÖTEBORG GULDHEDEN",202242,10272,3042.752,0.296218068535826,1322.042,0.128703465732087,373,0.0363123052959502,149,0.0145054517133956,284,0.0276479750778816,16,0.00155763239875389,0,0,93,0.00905373831775701,421,0.0409852024922118,44,0.00428348909657321,145,0.0141160436137072,195.71,0.0190527647975078,2669.752,0.259905763239875,358,0.0348520249221184,373,0.0363123052959502,108.042,0.0105181074766355,841,0.0818730529595016,0,0,149,0.0145054517133956,193,0.0187889408099688,91,0.00885903426791277,16,0.00155763239875389,0,0,0,0,0,0,0,0,154,0.0149922118380062,360,0.0350467289719626,80,0.00778816199376947,109,0.0106113707165109,57.71,0.00561818535825545,138,0.0134345794392523,2669.752,0.259905763239875,1123.752,0.10939953271028,841,0.0818730529595016,280,0.0272585669781931,67,0.00652258566978193
"GÖTEBORG GULDHEDEN",202233,10287,663.622,0.0645107417128414,115.307,0.0112090016525712,0,0,58,0.0056381841158744,100,0.00972100709633518,0,0,0,0,53,0.00515213376105765,102,0.00991542723826188,42,0.00408282298046078,170,0.0165257120637698,23.315,0.00226645280451055,663.622,0.0645107417128414,88,0.00855448624477496,0,0,10.307,0.00100194420141927,105,0.0102070574511519,0,0,58,0.0056381841158744,30,0.00291630212890055,70,0.00680470496743463,0,0,0,0,0,0,0,0,0,0,134,0.0130261495090891,21,0.00204141149023039,61,0.00592981432876446,151,0.0146787207154661,6.315,0.000613881598133567,17,0.00165257120637698,663.622,0.0645107417128415,140.622,0.0136698745990085,105,0.0102070574511519,282,0.0274132400116652,48,0.00466608340624089
"GÖTEBORG GULDHEDEN",202232,9118,648.294,0.0711004606273306,201.434,0.0220919061197631,0,0,61,0.00669006361044089,110,0.0120640491335819,0,0,0,0,36,0.00394823426189954,14,0.00153542443518315,29,0.00318052204430796,178,0.0195218249616144,18.86,0.00206843606053959,648.294,0.0711004606273306,106,0.0116253564378153,0,0,14.434,0.00158302259267383,187,0.0205088835270893,0,0,61,0.00669006361044089,45,0.00493529282737442,65,0.0071287563062075,0,0,0,0,0,0,0,0,0,0,36,0.00394823426189954,14,0.00153542443518315,33,0.00361921474007458,174,0.0190831322658478,8.86,0.000971704321123053,10,0.00109673173941654,648.294,0.0711004606273306,50.294,0.00551590261022154,187,0.0205088835270893,272,0.0298311033121299,33,0.00361921474007458
"GÖTEBORG GULDHEDEN",202231,7987,1109.705,0.13893890071366,722.105,0.0904100413171404,0,0,59,0.00738700388130712,97,0.0121447351946914,6,0.00075122073369225,0,0,43,0.00538374859146112,31,0.00388130712407662,33,0.00413171403530737,93,0.0116439213722299,25.6,0.0032052084637536,1109.705,0.13893890071366,116,0.0145236008513835,0,0,9.105,0.00113997746337799,713,0.0892700638537624,0,0,59,0.00738700388130712,51,0.00638537623638412,46,0.00575935895830725,6,0.00075122073369225,0,0,0,0,0,0,0,0,43,0.00538374859146112,31,0.00388130712407662,33,0.00413171403530737,93,0.0116439213722299,7.6,0.00095154626267685,18,0.00225366220107675,1109.705,0.13893890071366,67.705,0.00847689996243896,713,0.0892700638537624,172,0.0215349943658445,41,0.00513334168023037
"GÖTEBORG GULDHEDEN",202230,7718,600.081,0.0777508421870951,97.411,0.0126212749416947,0,0,48,0.00621922777921741,172,0.0222855662088624,10,0.00129567245400363,0,0,65,0.00842187095102358,29,0.00375745011661052,22,0.00285047939880798,137,0.0177507126198497,19.67,0.00254858771702514,600.081,0.0777508421870951,154,0.0199533557916559,0,0,6.411,0.000830655610261726,91,0.011790619331433,0,0,48,0.00621922777921741,96,0.0124384555584348,76,0.00984711065042757,10,0.00129567245400363,0,0,0,0,0,0,0,0,65,0.00842187095102358,29,0.00375745011661052,29,0.00375745011661052,130,0.0168437419020472,9.67,0.00125291526302151,10,0.00129567245400363,600.081,0.0777508421870951,56.081,0.00726626068929775,91,0.011790619331433,235,0.0304483026690853,64,0.00829230370562322
"GÖTEBORG GULDHEDEN",202229,7820,505.303,0.0646167519181586,104.323,0.013340537084399,0,0,37,0.00473145780051151,143,0.0182864450127877,0,0,0,0,35,0.00447570332480818,16,0.0020460358056266,21,0.00268542199488491,130,0.0166240409207161,18.98,0.00242710997442455,505.303,0.0646167519181586,102,0.0130434782608696,0,0,16.323,0.00208734015345269,88,0.0112531969309463,0,0,37,0.00473145780051151,65,0.00831202046035806,78,0.00997442455242967,0,0,0,0,0,0,0,0,0,0,35,0.00447570332480818,16,0.0020460358056266,29,0.00370843989769821,122,0.0156010230179028,6.98,0.000892583120204604,12,0.00153452685421995,505.303,0.0646167519181586,52.303,0.0066883631713555,88,0.0112531969309463,229,0.0292838874680307,34,0.00434782608695652
"GÖTEBORG GULDHEDEN",202228,7627,407.145,0.0533820637209912,77.97,0.0102228923561033,0,0,44,0.00576897862855644,81,0.0106201652025698,0,0,0,0,30,0.0039333945194703,25,0.00327782876622525,19,0.00249114986233119,110,0.0144224465713911,20.175,0.00264520781434378,407.145,0.0533820637209912,91,0.0119312967090599,0,0,12.97,0.00170053756391766,65,0.00852235479218566,0,0,44,0.00576897862855644,47,0.00616231808050347,34,0.00445784712206634,0,0,0,0,0,0,0,0,0,0,30,0.0039333945194703,25,0.00327782876622525,32,0.00419562082076832,97,0.012717975612954,8.175,0.00107185000655566,12,0.00157335780778812,407.145,0.0533820637209912,61.145,0.00801691359643372,65,0.00852235479218566,163,0.0213714435557886,27,0.00354005506752327
"GÖTEBORG GULDHEDEN",202227,8612,594.788,0.0690650255457501,70.333,0.00816686019507664,0,0,52,0.00603808639108221,100,0.011611704598235,3,0.000348351137947051,0,0,51,0.00592196934509986,21,0.00243845796562935,124,0.0143985137018114,150,0.0174175568973525,23.455,0.00272352531351602,594.788,0.0690650255457501,94,0.0109150023223409,0,0,16.333,0.00189653971202973,54,0.00627032048304691,0,0,52,0.00603808639108221,39,0.00452856479331166,61,0.00708313980492336,3,0.000348351137947051,0,0,0,0,0,0,0,0,51,0.00592196934509986,21,0.00243845796562935,140,0.016256386437529,134,0.0155596841616349,5.455,0.00063341848583372,18,0.0020901068276823,594.788,0.0690650255457501,60.788,0.0070585229911751,54,0.00627032048304691,335,0.0388992104040873,51,0.00592196934509986
"GÖTEBORG GULDHEDEN",202226,8862,514.226,0.0580259535093658,90.791,0.0102449785601444,0,0,55,0.00620627397878583,120,0.01354096140826,8,0.000902730760550666,0,0,39,0.0044008124576845,26,0.00293387497178966,26,0.00293387497178966,135,0.0152335815842925,14.435,0.00162886481606861,514.226,0.0580259535093658,106,0.0119611825772963,0,0,21.791,0.00245892575039494,69,0.00778605280974949,0,0,55,0.00620627397878583,43,0.00485217783795983,77,0.00868878357030016,8,0.000902730760550666,0,0,0,0,0,0,0,0,39,0.0044008124576845,26,0.00293387497178966,24,0.002708192281652,137,0.0154592642744302,7.435,0.000838975400586775,7,0.000789889415481833,514.226,0.0580259535093658,64.226,0.00724734822839088,69,0.00778605280974949,238,0.0268562401263823,37,0.00417512976754683
"GÖTEBORG GULDHEDEN",202225,8391,512.099,0.0610295554761054,78.809,0.0093920867596234,0,0,52,0.00619711595757359,78,0.00929567393636039,4,0.000476701227505661,0,0,57,0.00679299249195567,29,0.00345608389941604,24,0.00286020736503396,141,0.0168037182695745,48.29,0.00575497556906209,512.099,0.0610295554761054,87,0.0103682516982481,0,0,15.809,0.00188404242640925,63,0.00750804433321416,0,0,52,0.00619711595757359,31,0.00369443451316887,47,0.00560123942319151,4,0.000476701227505661,0,0,0,0,0,0,0,0,57,0.00679299249195567,29,0.00345608389941604,33,0.0039327851269217,132,0.0157311405076868,33.29,0.00396734596591586,15,0.00178762960314623,512.099,0.0610295554761054,100.099,0.0119293290430223,63,0.00750804433321416,212,0.0252651650578,50,0.00595876534382076
"GÖTEBORG GULDHEDEN",202224,9720,715.661,0.0736276748971193,96.406,0.00991831275720165,0,0,52,0.00534979423868313,175,0.0180041152263374,2,0.000205761316872428,0,0,113,0.0116255144032922,73,0.00751028806584362,36,0.0037037037037037,145,0.014917695473251,23.255,0.00239248971193416,715.661,0.0736276748971193,120,0.0123456790123457,0,0,7.406,0.000761934156378601,89,0.00915637860082305,0,0,52,0.00534979423868313,66,0.00679012345679012,109,0.0112139917695473,2,0.000205761316872428,0,0,0,0,0,0,0,0,179,0.0184156378600823,7,0.000720164609053498,47,0.00483539094650206,134,0.0137860082304527,7.255,0.000746399176954732,16,0.00164609053497942,715.661,0.0736276748971193,108.661,0.0111791152263374,89,0.00915637860082305,290,0.0298353909465021,108,0.0111111111111111
"GÖTEBORG GULDHEDEN",202223,9603,819.489,0.0853367697594502,153.364,0.0159704259085702,0,0,50,0.00520670623763407,218,0.0227012391960846,6,0.000624804748516089,0,0,46,0.00479016973862335,34,0.00354056024159117,43,0.0044777673643653,238,0.0247839216911382,31.125,0.00324117463292721,819.489,0.0853367697594502,198,0.0206185567010309,0,0,83.364,0.00868103717588254,70,0.0072893887326877,0,0,50,0.00520670623763407,142,0.0147870457148808,76,0.00791419348120379,6,0.000624804748516089,0,0,0,0,0,0,0,0,46,0.00479016973862335,34,0.00354056024159117,46,0.00479016973862335,235,0.0244715193168801,10.125,0.0010543580131209,21,0.00218681661980631,819.489,0.0853367697594502,153.489,0.0159834426741643,70,0.0072893887326877,357,0.0371758825367073,41,0.00426949911485994
"GÖTEBORG GULDHEDEN",202222,10174,663.908,0.0652553567918223,140.463,0.0138060743070572,0,0,58,0.0057008059760173,112,0.0110084529192058,0,0,0,0,65,0.00638883428346766,27,0.00265382347159426,28,0.00275211322980145,202,0.0198545311578534,31.445,0.00309072144682524,663.908,0.0652553567918223,82,0.00805976017298997,0,0,17.463,0.00171643404757224,123,0.012089640259485,0,0,58,0.0057008059760173,24,0.00235895419697268,88,0.00864949872223314,0,0,0,0,0,0,0,0,0,0,65,0.00638883428346766,27,0.00265382347159426,60,0.00589738549243169,170,0.0167092588952231,12.445,0.00122321604088854,19,0.0018675054059367,663.908,0.0652553567918223,87.908,0.00864045606447808,123,0.012089640259485,318,0.031256143109888,53,0.00520935718498132
