"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"TROLLHÄTTAN HJORTMOSSEN",202219,11392,1028.79,0.0903081109550562,121,0.0106214887640449,46,0.00403792134831461,93,0.00816362359550562,436,0.0382724719101124,0,0,3.79,0.000332689606741573,5,0.000438904494382022,65,0.00570575842696629,119,0.0104459269662921,9,0.00079002808988764,131,0.011499297752809,1027.79,0.0902203300561798,230,0.020189606741573,1,8.77808988764045e-05,92,0.00807584269662921,28,0.00245786516853933,45,0.0039501404494382,65,0.00570575842696629,28,0.00245786516853933,370,0.0324789325842697,66,0.0057935393258427,0,0,0,0,0,0,0,0,3.79,0.000332689606741573,24,0.00210674157303371,46,0.00403792134831461,119,0.0104459269662921,9,0.00079002808988764,40,0.00351123595505618,91,0.00798806179775281,1027.79,0.0902203300561798,162,0.0142205056179775,28,0.00245786516853933,604,0.0530196629213483,3.79,0.000332689606741573
"TROLLHÄTTAN HJORTMOSSEN",202218,11659,1804.422,0.154766446522,115,0.00986362466763873,456,0.0391114160734197,234,0.0200703319324127,604,0.0518054721674243,0,0,5.422,0.000465048460416845,5,0.000428853246419075,59,0.00506046830774509,178,0.0152671755725191,6,0.000514623895702891,142,0.0121794321983017,1787.422,0.153308345484175,783,0.0671584183892272,17,0.00145810103782486,72,0.00617548674843469,26,0.00223003688137919,439,0.0376533150355948,40,0.0034308259713526,194,0.0166395059610601,89,0.00763358778625954,515,0.0441718843811648,0,0,0,0,0,0,0,0,5.422,0.000465048460416845,8,0.000686165194270521,56,0.00480315635989364,178,0.0152671755725191,6,0.000514623895702891,49,0.00420276181490694,93,0.0079766703833948,1787.422,0.153308345484175,136,0.0116648083025989,26,0.00223003688137919,837,0.0717900334505532,5.422,0.000465048460416845
"TROLLHÄTTAN HJORTMOSSEN",202217,10708,1943.994,0.181545946955547,331,0.0309114680612626,397,0.0370750840493089,55,0.00513634665670527,763,0.0712551363466567,0,0,2.994,0.000279604034366829,5,0.000466940605155024,48,0.00448262980948823,144,0.0134478894284647,6,0.000560328726186029,192,0.0179305192379529,1646.994,0.153809675009339,553,0.0516436309301457,297,0.0277362719462084,10,0.000933881210310049,24,0.00224131490474412,100,0.00933881210310048,33,0.00308180799402316,22,0.00205453866268211,207,0.019331341053418,556,0.0519237952932387,0,0,0,0,0,0,0,0,2.994,0.000279604034366829,10,0.000933881210310049,43,0.00401568920433321,144,0.0134478894284647,6,0.000560328726186029,91,0.00849831901382144,101,0.00943220022413149,1646.994,0.153809675009339,63,0.00588345162495331,24,0.00224131490474412,1004,0.0937616735151289,2.994,0.000279604034366829
"STOCKHOLM VÄSTERTORP",202236,7304,2101,0.287650602409639,917,0.125547645125958,286,0.0391566265060241,230,0.0314895947426068,182,0.0249178532311062,8,0.00109529025191676,0,0,42,0.00575027382256298,235,0.0321741511500548,107,0.0146495071193866,10,0.00136911281489595,84,0.011500547645126,1935,0.264923329682366,553,0.0757119386637459,166,0.0227272727272727,62,0.00848849945235487,689,0.0943318729463308,120,0.0164293537787514,120,0.0164293537787514,110,0.0150602409638554,146,0.0199890470974808,36,0.00492880613362541,8,0.00109529025191676,0,0,0,0,0,0,0,0,131,0.0179353778751369,146,0.0199890470974808,107,0.0146495071193866,10,0.00136911281489595,55,0.00753012048192771,29,0.00397042716319825,1935,0.264923329682366,339,0.0464129244249726,689,0.0943318729463308,354,0.0484665936473165,0,0
"STOCKHOLM VÄSTERTORP",202233,7194,1247,0.17333889352238,392,0.0544898526549903,314,0.0436474840144565,44,0.00611620795107034,130,0.0180706144008896,21,0.00291909924937448,0,0,9,0.00125104253544621,73,0.0101473450097303,198,0.0275229357798165,24,0.00333611342785655,42,0.00583819849874896,934,0.129830414234084,392,0.0544898526549903,313,0.0435084792882958,8,0.00111203780928552,71,0.00986933555740895,1,0.000139004726160689,4,0.000556018904642758,40,0.00556018904642758,112,0.0155685293299972,18,0.00250208507089241,21,0.00291909924937448,0,0,0,0,0,0,0,0,28,0.0038921323324993,54,0.00750625521267723,198,0.0275229357798165,24,0.00333611342785655,29,0.00403113705865999,13,0.00180706144008896,934,0.129830414234084,90,0.0125104253544621,71,0.00986933555740895,381,0.0529608006672227,0,0
"STOCKHOLM VÄSTERTORP",202232,6383,496,0.0777064076453079,96,0.0150399498668338,12,0.00187999373335422,35,0.00548331505561648,111,0.0173899420335266,0,0,0,0,6,0.000939996866677111,48,0.00751997493341689,127,0.0198966003446655,27,0.004229985900047,34,0.0053266489111703,495,0.0775497415008617,59,0.00924330252232492,1,0.000156666144446185,8,0.00125332915556948,87,0.0136299545668181,11,0.00172332758890804,0,0,35,0.00548331505561648,108,0.016919943600188,3,0.000469998433338556,0,0,0,0,0,0,0,0,0,0,16,0.00250665831113896,38,0.00595331348895504,127,0.0198966003446655,27,0.004229985900047,22,0.00344665517781607,12,0.00187999373335422,495,0.0775497415008617,62,0.00971330095566348,87,0.0136299545668181,287,0.0449631834560551,0,0
"STOCKHOLM VÄSTERTORP",202231,5843,625,0.106965599863084,174,0.0297792230018826,110,0.0188259455759028,49,0.00838610302926579,81,0.0138627417422557,0,0,0,0,9,0.00154030463802841,59,0.0100975526270751,107,0.01831251069656,4,0.000684579839123738,32,0.0054766387129899,515,0.0881396542871812,177,0.0302926578812254,110,0.0188259455759028,10,0.00171144959780934,54,0.00924182782817046,0,0,7,0.00119801471846654,42,0.00718808831079925,69,0.0118090022248845,12,0.00205373951737121,0,0,0,0,0,0,0,0,0,0,31,0.00530549375320897,37,0.00633236351189458,107,0.01831251069656,4,0.000684579839123738,14,0.00239602943693308,18,0.00308060927605682,515,0.0881396542871812,78,0.0133493068629129,54,0.00924182782817046,206,0.0352558617148725,0,0
"STOCKHOLM VÄSTERTORP",202230,5558,538,0.0967974091399784,58,0.0104354084202951,71,0.0127743792731198,36,0.00647715005397625,105,0.0188916876574307,0,0,0,0,3,0.000539762504498021,90,0.0161928751349406,122,0.0219503418495862,8,0.00143936667866139,45,0.00809643756747031,538,0.0967974091399784,124,0.0223101835192515,0,0,4,0.000719683339330694,54,0.00971572508096438,71,0.0127743792731198,8,0.00143936667866139,28,0.00503778337531486,76,0.0136739834472832,29,0.00521770421014753,0,0,0,0,0,0,0,0,0,0,13,0.00233897085282476,80,0.0143936667866139,122,0.0219503418495862,8,0.00143936667866139,28,0.00503778337531486,17,0.00305865419215545,538,0.0967974091399784,97,0.0174523209787693,54,0.00971572508096438,263,0.0473191795609932,0,0
"STOCKHOLM VÄSTERTORP",202229,5304,412,0.0776772247360483,72,0.0135746606334842,43,0.00810708898944193,29,0.00546757164404223,78,0.0147058823529412,0,0,0,0,4,0.000754147812971342,37,0.00697586726998492,90,0.0169683257918552,7,0.00131975867269985,52,0.00980392156862745,412,0.0776772247360483,94,0.0177224736048265,0,0,9,0.00169683257918552,63,0.0118778280542986,43,0.00810708898944193,8,0.00150829562594268,21,0.00395927601809955,57,0.0107466063348416,21,0.00395927601809955,0,0,0,0,0,0,0,0,0,0,14,0.0026395173453997,27,0.00509049773755656,90,0.0169683257918552,7,0.00131975867269985,30,0.00565610859728507,22,0.00414781297134238,412,0.0776772247360483,50,0.00942684766214178,63,0.0118778280542986,205,0.0386500754147813,0,0
"STOCKHOLM VÄSTERTORP",202228,5431,421,0.0775179524949365,56,0.0103111765788989,7,0.00128889707236236,51,0.0093905358129258,119,0.0219112502301602,0,0,0,0,3,0.00055238445958387,54,0.00994292027250967,63,0.0116000736512613,6,0.00110476891916774,62,0.0114159454980667,421,0.0775179524949365,82,0.0150985085619591,0,0,8,0.00147302522555699,48,0.00883815135334193,7,0.00128889707236236,5,0.000920640765973117,46,0.00846989504695268,87,0.0160191493279322,32,0.00589210090222795,0,0,0,0,0,0,0,0,0,0,14,0.00257779414472473,43,0.00791751058736881,63,0.0116000736512613,6,0.00110476891916774,38,0.00699686982139569,24,0.00441907567667096,421,0.0775179524949365,65,0.0119683299576505,48,0.00883815135334193,226,0.0416129626219849,0,0
"STOCKHOLM VÄSTERTORP",202227,5843,543,0.0929317131610474,187,0.0320041074790347,22,0.00376518911518056,30,0.00513434879342803,79,0.0135204518226938,0,0,0,0,9,0.00154030463802841,51,0.00872839294882766,107,0.01831251069656,12,0.00205373951737121,46,0.00787266814992298,543,0.0929317131610474,69,0.0118090022248845,0,0,7,0.00119801471846654,180,0.0308060927605682,22,0.00376518911518056,2,0.000342289919561869,28,0.00479205887386616,53,0.00907068286838953,26,0.0044497689543043,0,0,0,0,0,0,0,0,0,0,14,0.00239602943693308,46,0.00787266814992298,107,0.01831251069656,12,0.00205373951737121,29,0.0049632038336471,17,0.00290946431627589,543,0.0929317131610474,67,0.0114667123053226,180,0.0308060927605682,227,0.0388499058702721,0,0
"STOCKHOLM VÄSTERTORP",202226,6303,1213,0.19244804061558,429,0.0680628272251309,223,0.0353799777883547,84,0.0133269871489767,148,0.0234808821196256,0,0,0,0,6,0.000951927653498334,162,0.025702046644455,106,0.0168173885451372,4,0.000634618435665556,51,0.00809138505473584,1088,0.172616214501031,339,0.0537839124226559,125,0.0198318261145486,9,0.0014278914802475,295,0.0468031096303348,98,0.0155481516738061,63,0.00999524036173251,21,0.00333174678724417,81,0.0128510233222275,67,0.0106298587973981,0,0,0,0,0,0,0,0,0,0,15,0.00237981913374584,153,0.0242741551642075,106,0.0168173885451372,4,0.000634618435665556,19,0.00301443756941139,32,0.00507694748532445,1088,0.172616214501031,177,0.0280818657782009,295,0.0468031096303348,277,0.0439473266698398,0,0
