"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_OBS_endast_trianglen","kampanj_convrate_OBS_endast_trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"LINKÖPING RYD",202230,13662,1703.872,0.124716146977017,427,0.0312545747328356,233,0.0170546040111258,166,0.01215049041136,253,0.0185185185185185,2.872,0.000210218123261602,52,0.0038061777192212,95,0.00695359391011565,42,0.00307422046552481,387,0.0283267457180501,46,0.00336700336700337,1575.768,0.115339481774264,390,0.028546332894159,130,0.00951544429805299,44,0.00322061191626409,253,0.0185185185185185,103,0.00753915971307276,32,0.00234226321182843,134,0.00980822719953155,253,0.0185185185185185,2.57,0.000188113014199971,0,0,1.896,0.000138779095300834,0.302,2.21051090616308e-05,79,0.00578246230420143,68,0.00497730932513541,42,0.00307422046552481,373,0.0273020055628751,14,0.00102474015517494,7,0.000512370077587469,39,0.0028546332894159,1320.872,0.096682184160445,246,0.018006148440931,253,0.0185185185185185,2.872,0.000210218123261602,429,0.0314009661835749
"LINKÖPING RYD",202229,13012,2621.32,0.201454042422379,415,0.0318936366430987,483,0.0371195819243775,172,0.0132185674761758,255,0.0195972948047956,0.32,2.45926836766062e-05,38,0.00292038118659699,90,0.0069166922840455,755,0.0580233630494928,375,0.0288195511835229,38,0.00292038118659699,2491.32,0.191463264678758,620,0.0476483246234245,130,0.00999077774362127,30,0.00230556409468183,255,0.0195972948047956,353,0.0271288041807562,24,0.00184445127574547,148,0.0113741162004304,255,0.0195972948047956,0.204,1.56778358438365e-05,0,0,0,0,0.116,8.91484783276975e-06,75,0.00576391023670458,53,0.0040731632339379,755,0.0580233630494928,361,0.0277436212726714,14,0.00107592991085152,8,0.000614817091915155,30,0.00230556409468183,2236.32,0.171865969873963,231,0.0177528435290501,255,0.0195972948047956,0.32,2.45926836766062e-05,1130,0.0868429142330157
"LINKÖPING RYD",202228,13099,2314.442,0.176688449499962,658,0.0502328422016948,584,0.044583555996641,242,0.0184746927246355,248,0.0189327429574777,0.442,3.37430338193755e-05,102,0.00778685395831743,76,0.00580196961600122,35,0.00267195969157951,337,0.025727154744637,32,0.00244293457515841,2201.442,0.168061836781434,776,0.0592411634475914,113,0.00862661271852813,297,0.022673486525689,248,0.0189327429574777,471,0.0359569432781128,36,0.00274830139705321,206,0.0157263913275823,248,0.0189327429574777,0.102,7.78685395831743e-06,0,0,0,0,0.34,2.59561798610581e-05,124,0.00946637147873883,54,0.00412245209557982,35,0.00267195969157951,320,0.0244293457515841,17,0.0012978089930529,7,0.000534391938315902,25,0.00190854263684251,1953.442,0.149129093823956,557,0.0425223299488511,248,0.0189327429574777,0.442,3.37430338193755e-05,372,0.0283991144362165
"LINKÖPING RYD",202227,13399,5368.466,0.400661691170983,2112,0.157623703261437,501,0.0373908500634376,210,0.0156728114038361,1869,0.139488021494141,0.466,3.47787148294649e-05,45,0.00335845958653631,97,0.00723934621986715,58,0.00432868124486902,397,0.0296290767967759,79,0.00589596238525263,5235.466,0.390735577281887,690,0.0514963803268901,133,0.0099261138890962,110,0.00820956787819987,1869,0.139488021494141,368,0.0274647361743414,28,0.00208970818717815,182,0.013583103216658,1869,0.139488021494141,0.466,3.47787148294649e-05,0,0,0,0,0,0,82,0.00611985969102172,60,0.00447794611538174,58,0.00432868124486902,360,0.0268676766922905,37,0.00276140010448541,33,0.00246287036345996,46,0.00343309202179267,3366.466,0.251247555787745,352,0.0262706172102396,1869,0.139488021494141,0.466,3.47787148294649e-05,455,0.0339577580416449
"LINKÖPING RYD",202226,13896,1908.11,0.1373136154289,564,0.040587219343696,183,0.0131692573402418,211,0.0151842256764537,258,0.018566493955095,0.11,7.91594703511802e-06,45,0.00323834196891192,113,0.00813183649971215,24,0.00172711571675302,448,0.0322394933793897,62,0.00446171560161197,1787.11,0.128606073690271,359,0.0258347725964306,121,0.00870754173862982,185,0.0133131836499712,258,0.018566493955095,62,0.00446171560161197,36,0.00259067357512953,175,0.0125935521013241,258,0.018566493955095,0.11,7.91594703511802e-06,0,0,0,0,0,0,78,0.00561312607944732,80,0.00575705238917674,24,0.00172711571675302,408,0.0293609671848014,40,0.00287852619458837,13,0.000935521013241221,49,0.00352619458837075,1529.11,0.110039579735176,440,0.0316637881404721,258,0.018566493955095,0.11,7.91594703511802e-06,472,0.0339666090961428
"LINKÖPING RYD",202225,13942,2956.358,0.212046908621432,1077,0.0772486013484436,612,0.0438961411562186,188,0.013484435518577,275,0.019724573231961,2.358,0.00016912924974896,50,0.00358628604217472,113,0.00810500645531488,18,0.0012910629751829,489,0.0350738774924688,132,0.00946779515134127,2432.452,0.1744693731172,853,0.0611820398795008,525,0.0376560034428346,277,0.019868024673648,275,0.019724573231961,87,0.00624013771338402,17,0.00121933725433941,171,0.0122650982642376,275,0.019724573231961,1.248,8.95136996126811e-05,0,0,1.094,7.8467938602783e-05,1.11,7.96155501362789e-05,92,0.00659876631760149,71,0.00509252617988811,18,0.0012910629751829,466,0.0334241859130684,23,0.00164969157940037,14,0.00100416009180892,118,0.00846363505953235,2156.358,0.154666331946636,519,0.0372256491177736,275,0.019724573231961,2.358,0.00016912924974896,507,0.0363649404676517
"LINKÖPING RYD",202224,15371,2078.298,0.135209029991542,549,0.0357166091991412,228,0.0148331273176761,195,0.0126862273111704,338,0.0219894606726953,8.298,0.000539847765272266,47,0.00305770606987184,117,0.00761173638670223,41,0.00266736061414352,521,0.0338949970724091,34,0.00221195758246048,1930.37,0.125585192895713,409,0.0266085485654804,152,0.00988875154511743,59,0.00383839698132848,338,0.0219894606726953,76,0.00494437577255871,21,0.00136620909504912,174,0.0113200182161213,338,0.0219894606726953,7.814,0.000508359898510182,0,0,4.072,0.00026491444928762,0.484,3.14878667620844e-05,126,0.00819725457029471,38,0.00247218788627936,41,0.00266736061414352,491,0.0319432697937675,30,0.0019517272786416,11,0.000715633335501919,23,0.00149632424695856,1588.298,0.10333081777373,271,0.0176306030837291,338,0.0219894606726953,8.298,0.000539847765272266,562,0.0365623576865526
"LINKÖPING RYD",202223,18053,6000.282,0.332370353957791,2353,0.130338447903396,323,0.0178917631418601,297,0.0164515592976237,2114,0.11709965102753,2.282,0.000126405583559519,60,0.00332354733285327,121,0.00670248712125408,50,0.00276962277737772,617,0.0341771450728411,63,0.00348972469949593,5799.282,0.321236470392733,527,0.0291918240735612,201,0.0111338835650584,38,0.00210491331080707,2114,0.11709965102753,122,0.00675787957680164,40,0.00221569822190218,257,0.0142358610757215,2114,0.11709965102753,0.632,3.50080319060544e-05,0,0,0,0,1.65,9.13975516534648e-05,101,0.005594638010303,80,0.00443139644380435,50,0.00276962277737772,588,0.032570763861962,29,0.00160638121087908,16,0.000886279288760871,47,0.00260344541073506,3685.282,0.204136819365202,375,0.0207721708303329,2114,0.11709965102753,2.282,0.000126405583559519,667,0.0369467678502188
"LINKÖPING RYD",202222,20439,3769.768,0.184439943245756,1073,0.0524976760115466,389,0.019032242281912,398,0.0194725769362493,453,0.0221635109349772,0.768,3.75752238367826e-05,195,0.00954058417730809,541,0.0264690053329419,51,0.00249522970791135,613,0.0299916825676403,56,0.00273986007143207,3517.768,0.172110572924311,756,0.0369881109643329,252,0.0123293703214443,368,0.018004794755125,453,0.0221635109349772,137,0.00670287196046773,56,0.00273986007143207,342,0.0167327168648173,453,0.0221635109349772,0.402,1.96682812270659e-05,0,0,0,0,0.366,1.79069426097167e-05,255,0.0124761485395567,481,0.0235334409706933,51,0.00249522970791135,576,0.028181417877587,37,0.00181026469005333,16,0.000782817163266305,40,0.00195704290816576,3064.768,0.149947061989334,1191,0.0582709525906355,453,0.0221635109349772,0.768,3.75752238367826e-05,664,0.0324869122755516
"LINKÖPING RYD",202221,19500,3659.106,0.187646461538462,848,0.0434871794871795,1140,0.0584615384615385,513,0.0263076923076923,427,0.0218974358974359,1.106,5.67179487179487e-05,70,0.00358974358974359,131,0.00671794871794872,25,0.00128205128205128,449,0.023025641025641,55,0.00282051282051282,3434.106,0.176108,1374,0.0704615384615385,225,0.0115384615384615,196,0.0100512820512821,427,0.0218974358974359,915,0.0469230769230769,60,0.00307692307692308,453,0.0232307692307692,427,0.0218974358974359,0.886,4.54358974358974e-05,0,0,0,0,0.22,1.12820512820513e-05,119,0.0061025641025641,82,0.00420512820512821,25,0.00128205128205128,437,0.0224102564102564,12,0.000615384615384615,12,0.000615384615384615,43,0.0022051282051282,3007.106,0.154210564102564,731,0.0374871794871795,427,0.0218974358974359,1.106,5.67179487179487e-05,474,0.0243076923076923
"LEKSAND C",202240,13781,14450.761,1.04860031928017,6086,0.441622523764603,1559,0.113126768739569,690,0.0500689354908933,4852,0.352078949277991,1.761,0.000127784631013715,74,0.00536971192221174,744,0.0539873739206153,66,0.00478920252521588,97,0.00703867643857485,281,0.0203903925694797,13709.761,0.994830636383427,2244,0.16283288585734,741,0.0537696828967419,493,0.0357738915898701,4852,0.352078949277991,818,0.0593570858428271,48,0.00348305638197518,642,0.0465858791089181,4852,0.352078949277991,1.761,0.000127784631013715,0,0,0,0,0,0,356,0.0258326681663159,462,0.0335244176765111,66,0.00478920252521588,89,0.00645816704157899,8,0.000580509396995864,98,0.00711124011319933,183,0.0132791524562804,8857.761,0.642751687105435,1597,0.115884188375299,4852,0.352078949277991,1.761,0.000127784631013715,163,0.0118278789637907
"LEKSAND C",202233,14731,2723.518,0.184883443079221,692,0.0469757653927092,423,0.0287149548571041,301,0.0204331002647478,334,0.0226732740479261,0.518,3.51639399904962e-05,88,0.00597379675514222,557,0.0378114180978888,71,0.0048197678365352,134,0.00909646324078474,123,0.00834973864639196,2413.518,0.163839386328152,755,0.0512524607969588,310,0.0210440567510692,48,0.00325843459371394,334,0.0226732740479261,113,0.00767089810603489,72,0.00488765189057091,229,0.0155454483741769,334,0.0226732740479261,0.518,3.51639399904962e-05,0,0,0,0,0,0,137,0.00930011540289186,508,0.0344850994501392,71,0.0048197678365352,114,0.0077387821600706,20,0.00135768108071414,62,0.00420881135021384,61,0.00414092729617813,2079.518,0.141166112280225,785,0.05328898241803,334,0.0226732740479261,0.518,3.51639399904962e-05,205,0.0139162310773199
"LEKSAND C",202232,15338,2996.781,0.195382774807667,783,0.051049680532012,650,0.0423784065719129,344,0.0224279567088277,362,0.0236015125831269,1.781,0.000116116834007041,73,0.00475942104576868,524,0.034163515451819,67,0.00436823575433564,91,0.00593297692006781,101,0.00658495240578954,2653.398,0.172995044986309,1334,0.0869735297952797,344,0.0224279567088277,77,0.00502021124005737,362,0.0236015125831269,306,0.0199504498630851,58,0.00378145781718607,286,0.0186464988916417,362,0.0236015125831269,1.781,0.000116116834007041,0,0,0.617,4.02268874690312e-05,0,0,525,0.0342287130003912,72,0.00469422349719651,67,0.00436823575433564,72,0.00469422349719651,19,0.0012387534228713,74,0.00482461859434085,27,0.00176033381144869,2290.781,0.149353305515713,435,0.0283609336288956,362,0.0236015125831269,1.781,0.000116116834007041,158,0.0103012126744034
"LEKSAND C",202231,15466,7219.578,0.466803181171602,3140,0.203025992499677,559,0.036143799301694,592,0.0382775119617225,2361,0.152657442131126,3.578,0.0002313461787146,74,0.00478468899521531,190,0.0122850122850123,82,0.00530195267037372,138,0.00892279839648261,80,0.00517263675158412,6893.522,0.445721065563171,855,0.0552825552825553,328,0.0212078106814949,451,0.0291607396870555,2361,0.152657442131126,231,0.0149359886201991,73,0.00472003103582051,519,0.033557480925902,2361,0.152657442131126,3.578,0.0002313461787146,0,0,1.944,0.000125695073063494,0,0,143,0.00924608819345661,121,0.00782361308677098,82,0.00530195267037372,130,0.0084055347213242,8,0.000517263675158412,36,0.00232768653821285,44,0.00284495021337127,4530.578,0.292937928358981,1091,0.0705418336997284,2361,0.152657442131126,3.578,0.0002313461787146,220,0.0142247510668563
"LEKSAND C",202230,15903,3112.246,0.195701817267182,925,0.0581651260768409,581,0.0365339872979941,532,0.033452807646356,421,0.0264729925171351,6.246,0.000392756083757782,66,0.00415016034710432,214,0.0134565805193989,93,0.00584795321637427,186,0.0116959064327485,88,0.00553354712947243,2747.668,0.172776708797082,889,0.0559014022511476,370,0.0232660504307363,134,0.00842608312896938,421,0.0264729925171351,211,0.0132679368672577,66,0.00415016034710432,466,0.0293026472992517,421,0.0264729925171351,6.246,0.000392756083757782,0,0,5.422,0.000340941960636358,0,0,154,0.00968370747657675,126,0.00792303338992643,93,0.00584795321637427,168,0.0105640445199019,18,0.00113186191284663,43,0.00270389234735584,45,0.00282965478211658,2321.246,0.145962774319311,726,0.0456517638181475,421,0.0264729925171351,6.246,0.000392756083757782,279,0.0175438596491228
"LEKSAND C",202229,15960,3638.044,0.227947619047619,1005,0.0629699248120301,898,0.056265664160401,612,0.0383458646616541,483,0.0302631578947368,1.044,6.54135338345865e-05,48,0.00300751879699248,192,0.0120300751879699,133,0.00833333333333333,156,0.00977443609022556,110,0.0068922305764411,3295.044,0.206456390977444,1180,0.0739348370927318,343,0.0214912280701754,179,0.0112155388471178,483,0.0302631578947368,555,0.0347744360902256,64,0.00401002506265664,548,0.0343358395989975,483,0.0302631578947368,1.044,6.54135338345865e-05,0,0,0,0,0,0,108,0.00676691729323308,132,0.00827067669172932,133,0.00833333333333333,145,0.00908521303258145,11,0.00068922305764411,58,0.00363408521303258,52,0.00325814536340852,2812.044,0.176193233082707,859,0.0538220551378446,483,0.0302631578947368,1.044,6.54135338345865e-05,289,0.0181077694235589
"LEKSAND C",202228,15259,4144.75,0.271626581034144,1570,0.10289009764729,805,0.0527557507045023,645,0.0422701356576447,514,0.03368503833803,2.75,0.000180221508617865,121,0.00792974637918605,166,0.0108788256111148,70,0.0045874565830002,69,0.00452192148895734,182,0.0119273871158005,3837.75,0.251507307162986,1248,0.0817877973654892,307,0.020119273871158,749,0.0490857854381021,514,0.03368503833803,498,0.0326364768333443,65,0.0042597811127859,580,0.0380103545448588,514,0.03368503833803,2.75,0.000180221508617865,0,0,0,0,0,0,196,0.0128448784324005,91,0.00596369355790026,70,0.0045874565830002,56,0.00366996526640016,13,0.000851956222557179,97,0.00635690412215742,85,0.0055704829936431,3323.75,0.217822268824956,1420,0.0930598335408611,514,0.03368503833803,2.75,0.000180221508617865,139,0.00910937807195753
