"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie","skylttyp_count_Deli","skylttyp_convrate_Deli","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"GÖTEBORG MAJORNA",202235,2022-09-02,1542,826.327,0.535880025940337,197.561,0.128119974059663,228,0.147859922178988,34,0.0220492866407263,179,0.116083009079118,0,0,7.766,0.00503631647211414,17,0.0110246433203632,35,0.0226977950713359,4,0.00259403372243839,0,0,124,0.0804150453955901,650.327,0.421742542153048,497,0.32230869001297,176,0.114137483787289,15.561,0.010091439688716,6,0.00389105058365759,52,0.0337224383916991,4,0.00259403372243839,30,0.0194552529182879,175,0.11348897535668,4,0.00259403372243839,0,0,7.766,0.00503631647211414,0,0,0,0,0,0,37,0.0239948119325551,15,0.00972762645914397,4,0.00259403372243839,0,0,55,0.0356679636835279,69,0.0447470817120623,650.327,0.421742542153048,131.561,0.0853184176394293,6,0.00389105058365759,4,0.00259403372243839,0,0,7.766,0.00503631647211414,4,0.00259403372243839
"GÖTEBORG MAJORNA",202235,2022-09-01,1405,465.653,0.331425622775801,39.931,0.028420640569395,97,0.0690391459074733,20,0.0142348754448399,160,0.113879003558719,0,0,10.722,0.00763131672597865,17,0.0120996441281139,20,0.0142348754448399,16,0.0113879003558719,3,0.00213523131672598,82,0.0583629893238434,436.653,0.310785053380783,297,0.211387900355872,29,0.0206405693950178,0.931,0.000662633451957295,10,0.00711743772241993,68,0.0483985765124555,3,0.00213523131672598,17,0.0120996441281139,156,0.111032028469751,4,0.00284697508896797,0,0,10.722,0.00763131672597865,0,0,0,0,0,0,28,0.0199288256227758,9,0.00640569395017794,16,0.0113879003558719,3,0.00213523131672598,21,0.0149466192170819,61,0.0434163701067616,436.653,0.310785053380783,95.931,0.0682782918149466,10,0.00711743772241993,4,0.00284697508896797,0,0,10.722,0.00763131672597865,19,0.0135231316725979
"GÖTEBORG MAJORNA",202235,2022-08-31,1460,583.071,0.399363698630137,91.161,0.0624390410958904,148,0.101369863013699,24,0.0164383561643836,178,0.121917808219178,0,0,8.91,0.0061027397260274,15,0.0102739726027397,30,0.0205479452054795,10,0.00684931506849315,2,0.00136986301369863,76,0.0520547945205479,518.071,0.354843150684932,373,0.255479452054794,65,0.0445205479452055,22.161,0.0151787671232877,4,0.00273972602739726,83,0.0568493150684932,6,0.00410958904109589,18,0.0123287671232877,166,0.113698630136986,12,0.00821917808219178,0,0,8.91,0.0061027397260274,0,0,0,0,0,0,30,0.0205479452054795,15,0.0102739726027397,10,0.00684931506849315,2,0.00136986301369863,23,0.0157534246575342,53,0.0363013698630137,518.071,0.354843150684932,108.161,0.0740828767123288,4,0.00273972602739726,12,0.00821917808219178,0,0,8.91,0.0061027397260274,12,0.00821917808219178
"GÖTEBORG MAJORNA",202235,2022-08-30,1539,744.271,0.483606887589344,153.271,0.0995912930474334,184,0.119558154645874,22,0.0142949967511371,253,0.164392462638077,0,0,0,0,17,0.0110461338531514,46,0.0298895386614685,9,0.00584795321637427,1,0.000649772579597141,59,0.0383365821962313,614.271,0.399136452241715,468,0.304093567251462,130,0.0844704353476283,10.271,0.00667381416504224,13,0.00844704353476283,54,0.0350877192982456,5,0.0032488628979857,17,0.0110461338531514,221,0.143599740090968,32,0.0207927225471085,0,0,0,0,0,0,0,0,0,0,51,0.0331384015594542,12,0.00779727095516569,9,0.00584795321637427,1,0.000649772579597141,12,0.00779727095516569,47,0.0305393112410656,614.271,0.399136452241715,91.271,0.0593053931124107,13,0.00844704353476283,32,0.0207927225471085,0,0,0,0,10,0.00649772579597141
"GÖTEBORG MAJORNA",202235,2022-08-29,1595,960.835,0.602404388714734,276.835,0.173564263322884,314,0.196865203761755,19,0.0119122257053292,165,0.103448275862069,0,0,0,0,37,0.0231974921630094,57,0.0357366771159875,18,0.0112852664576802,8,0.00501567398119122,66,0.0413793103448276,736.835,0.461965517241379,544,0.341065830721003,224,0.140438871473354,38.835,0.0243479623824451,14,0.00877742946708464,90,0.0564263322884013,3,0.00188087774294671,16,0.0100313479623824,159,0.0996865203761755,6,0.00376175548589342,0,0,0,0,0,0,0,0,0,0,68,0.0426332288401254,26,0.0163009404388715,18,0.0112852664576802,8,0.00501567398119122,11,0.00689655172413793,55,0.0344827586206897,736.835,0.461965517241379,146.835,0.0920595611285266,14,0.00877742946708464,6,0.00376175548589342,0,0,0,0,26,0.0163009404388715
"GÖTEBORG MAJORNA",202233,2022-08-21,1352,223.193,0.165083579881657,17.873,0.013219674556213,37,0.0273668639053254,10,0.00739644970414201,35,0.025887573964497,0,0,8.32,0.00615384615384615,0,0,17,0.0125739644970414,41,0.0303254437869822,10,0.00739644970414201,47,0.0347633136094675,215.193,0.159166420118343,93,0.0687869822485207,8,0.00591715976331361,9.873,0.00730251479289941,0,0,29,0.0214497041420118,1,0.000739644970414201,9,0.00665680473372781,23,0.0170118343195266,12,0.00887573964497041,0,0,8.32,0.00615384615384615,0,0,0,0,0,0,5,0.00369822485207101,12,0.00887573964497041,41,0.0303254437869822,10,0.00739644970414201,15,0.011094674556213,32,0.0236686390532544,215.193,0.159166420118343,50.873,0.0376279585798817,0,0,12,0.00887573964497041,0,0,8.32,0.00615384615384615,51,0.0377218934911243
"GÖTEBORG MAJORNA",202233,2022-08-20,1438,209.829,0.145917246175243,36.019,0.025047983310153,26,0.0180806675938804,6,0.00417246175243394,34,0.023643949930459,0,0,6.81,0.00473574408901252,1,0.000695410292072323,15,0.0104311543810848,26,0.0180806675938804,3,0.00208623087621697,56,0.0389429763560501,196.829,0.136876912378303,89,0.0618915159944367,13,0.0090403337969402,23.019,0.0160076495132128,0,0,13,0.0090403337969402,1,0.000695410292072323,5,0.00347705146036161,21,0.0146036161335188,13,0.0090403337969402,0,0,6.81,0.00473574408901252,0,0,0,0,0,0,6,0.00417246175243394,10,0.00695410292072323,26,0.0180806675938804,3,0.00208623087621697,26,0.0180806675938804,30,0.0208623087621697,196.829,0.136876912378303,59.019,0.0410424200278164,0,0,13,0.0090403337969402,0,0,6.81,0.00473574408901252,29,0.0201668984700974
"GÖTEBORG MAJORNA",202233,2022-08-19,1508,226.01,0.14987400530504,23.252,0.0154190981432361,36,0.0238726790450928,8,0.00530503978779841,33,0.0218832891246684,0,0,10.758,0.00713395225464191,0,0,10,0.00663129973474801,28,0.0185676392572944,2,0.0013262599469496,75,0.0497347480106101,214.01,0.141916445623342,111,0.0736074270557029,12,0.00795755968169761,11.252,0.00746153846153846,0,0,24,0.0159151193633952,0,0,8,0.00530503978779841,20,0.013262599469496,13,0.00862068965517241,0,0,10.758,0.00713395225464191,0,0,0,0,0,0,4,0.0026525198938992,6,0.00397877984084881,28,0.0185676392572944,2,0.0013262599469496,45,0.029840848806366,30,0.019893899204244,214.01,0.141916445623342,49.252,0.0326604774535809,0,0,13,0.00862068965517241,0,0,10.758,0.00713395225464191,30,0.019893899204244
"GÖTEBORG MAJORNA",202233,2022-08-18,1491,179.598,0.120454728370221,25.306,0.016972501676727,37,0.0248155600268276,9,0.00603621730382294,34,0.02280348759222,0,0,15.292,0.0102562038900067,0,0,10,0.00670690811535882,18,0.0120724346076459,3,0.00201207243460765,28,0.0187793427230047,171.598,0.115089201877934,78,0.0523138832997988,8,0.00536552649228706,17.306,0.01160697518444,0,0,29,0.0194500335345406,1,0.000670690811535882,8,0.00536552649228706,21,0.0140845070422535,13,0.00871898054996647,0,0,15.292,0.0102562038900067,0,0,0,0,0,0,5,0.00335345405767941,5,0.00335345405767941,18,0.0120724346076459,3,0.00201207243460765,9,0.00603621730382294,19,0.0127431254191818,171.598,0.115089201877934,44.306,0.0297156270959088,0,0,13,0.00871898054996647,0,0,15.292,0.0102562038900067,21,0.0140845070422535
"GÖTEBORG MAJORNA",202233,2022-08-17,1435,134.721,0.0938822299651568,23.387,0.0162975609756098,25,0.0174216027874564,9,0.00627177700348432,21,0.0146341463414634,0,0,9.334,0.00650452961672474,0,0,17,0.0118466898954704,12,0.00836236933797909,2,0.00139372822299652,16,0.0111498257839721,127.721,0.089004181184669,65,0.0452961672473868,7,0.0048780487804878,16.387,0.011419512195122,0,0,18,0.0125435540069686,1,0.000696864111498258,8,0.00557491289198606,16,0.0111498257839721,5,0.00348432055749129,0,0,9.334,0.00650452961672474,0,0,0,0,0,0,8,0.00557491289198606,9,0.00627177700348432,12,0.00836236933797909,2,0.00139372822299652,6,0.00418118466898955,10,0.00696864111498258,127.721,0.089004181184669,34.387,0.0239630662020906,0,0,5,0.00348432055749129,0,0,9.334,0.00650452961672474,14,0.00975609756097561
"GÖTEBORG MAJORNA",202233,2022-08-16,1498,197.384,0.131765020026702,34.776,0.023214953271028,33,0.0220293724966622,12,0.00801068090787717,35,0.0233644859813084,0,0,11.608,0.00774899866488651,0,0,19,0.0126835781041389,22,0.0146862483311081,9,0.00600801068090788,21,0.014018691588785,188.384,0.125757009345794,90,0.0600801068090788,9,0.00600801068090788,25.776,0.0172069425901202,0,0,24,0.0160213618157543,3,0.00200267022696929,9,0.00600801068090788,26,0.0173564753004005,9,0.00600801068090788,0,0,11.608,0.00774899866488651,0,0,0,0,0,0,7,0.00467289719626168,12,0.00801068090787717,22,0.0146862483311081,9,0.00600801068090788,9,0.00600801068090788,12,0.00801068090787717,188.384,0.125757009345794,46.776,0.0312256341789052,0,0,9,0.00600801068090788,0,0,11.608,0.00774899866488651,31,0.020694259012016
"GÖTEBORG MAJORNA",202233,2022-08-15,1554,179.323,0.115394465894466,29.013,0.0186698841698842,30,0.0193050193050193,8,0.00514800514800515,38,0.0244530244530245,0,0,9.31,0.00599099099099099,2,0.00128700128700129,10,0.00643500643500643,29,0.0186615186615187,3,0.00193050193050193,21,0.0135135135135135,179.323,0.115394465894466,73,0.046975546975547,0,0,29.013,0.0186698841698842,0,0,30,0.0193050193050193,0,0,8,0.00514800514800515,24,0.0154440154440154,14,0.00900900900900901,0,0,9.31,0.00599099099099099,0,0,0,0,0,0,7,0.0045045045045045,5,0.00321750321750322,29,0.0186615186615187,3,0.00193050193050193,9,0.00579150579150579,12,0.00772200772200772,179.323,0.115394465894466,51.013,0.0328268983268983,0,0,14,0.00900900900900901,0,0,9.31,0.00599099099099099,32,0.0205920205920206
"GÖTEBORG MAJORNA",202232,2022-08-14,1424,193.309,0.135750702247191,18.023,0.0126566011235955,37,0.0259831460674157,10,0.00702247191011236,40,0.0280898876404494,0,0,6.286,0.00441432584269663,0,0,9,0.00632022471910112,30,0.0210674157303371,5,0.00351123595505618,38,0.026685393258427,176.309,0.1238125,87,0.0610955056179775,17,0.011938202247191,1.023,0.000718398876404494,0,0,20,0.0140449438202247,4,0.00280898876404494,6,0.00421348314606742,21,0.014747191011236,19,0.0133426966292135,0,0,6.286,0.00441432584269663,0,0,0,0,0,0,2,0.00140449438202247,7,0.00491573033707865,30,0.0210674157303371,5,0.00351123595505618,16,0.0112359550561798,22,0.0154494382022472,176.309,0.1238125,29.023,0.0203813202247191,0,0,19,0.0133426966292135,0,0,6.286,0.00441432584269663,35,0.0245786516853933
"GÖTEBORG MAJORNA",202232,2022-08-13,1277,215.289,0.168589663273297,32.937,0.0257924823805795,49,0.038371182458888,16,0.0125293657008614,29,0.0227094753328113,0,0,6.352,0.00497415818324197,2,0.00156617071260767,6,0.00469851213782302,23,0.0180109631949883,0,0,51,0.0399373531714957,184.289,0.144314017227878,111,0.0869224745497259,31,0.024275646045419,1.937,0.00151683633516053,0,0,18,0.0140955364134691,4,0.00313234142521535,12,0.00939702427564605,29,0.0227094753328113,0,0,0,0,6.352,0.00497415818324197,0,0,0,0,0,0,3,0.00234925606891151,5,0.00391542678151919,23,0.0180109631949883,0,0,23,0.0180109631949883,28,0.0219263899765074,184.289,0.144314017227878,43.937,0.0344064212999217,0,0,0,0,0,0,6.352,0.00497415818324197,23,0.0180109631949883
"GÖTEBORG MAJORNA",202232,2022-08-12,1471,230.9,0.156968048946295,22,0.0149558123725357,49,0.0333106730115568,12,0.00815771583956492,47,0.0319510537049626,0,0,12.9,0.00876954452753229,2,0.00135961930659415,8,0.00543847722637661,13,0.008837525492862,2,0.00135961930659415,63,0.0428280081577158,208.9,0.142012236573759,119,0.0808973487423521,22,0.0149558123725357,0,0,0,0,27,0.0183548606390211,4,0.00271923861318831,8,0.00543847722637661,27,0.0183548606390211,20,0.0135961930659415,0,0,12.9,0.00876954452753229,0,0,0,0,0,0,2,0.00135961930659415,8,0.00543847722637661,13,0.008837525492862,2,0.00135961930659415,31,0.0210740992522094,32,0.0217539089055065,208.9,0.142012236573759,42,0.0285520054384772,0,0,20,0.0135961930659415,0,0,12.9,0.00876954452753229,15,0.0101971447994562
"GÖTEBORG MAJORNA",202232,2022-08-11,1406,206.658,0.14698293029872,16,0.0113798008534851,28,0.0199146514935989,7,0.00497866287339972,71,0.05049786628734,0,0,13.658,0.00971408250355619,2,0.00142247510668563,6,0.0042674253200569,15,0.0106685633001422,2,0.00142247510668563,46,0.0327169274537696,190.658,0.135603129445235,108,0.0768136557610242,16,0.0113798008534851,0,0,0,0,12,0.0085348506401138,0,0,7,0.00497866287339972,55,0.0391180654338549,16,0.0113798008534851,0,0,13.658,0.00971408250355619,0,0,0,0,0,0,4,0.00284495021337127,4,0.00284495021337127,15,0.0106685633001422,2,0.00142247510668563,19,0.0135135135135135,27,0.019203413940256,190.658,0.135603129445235,36,0.0256045519203414,0,0,16,0.0113798008534851,0,0,13.658,0.00971408250355619,17,0.0120910384068279
