"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"GÖTEBORG GULDHEDEN",202221,2022-05-27,1417,103,0.0726887791107975,14,0.00988002822865208,8,0.00564573041637262,11,0.00776287932251235,11,0.00776287932251235,0,0,3,0.00211714890613973,13,0.00917431192660551,1,0.000705716302046577,33,0.0232886379675371,9,0.0063514467184192,100,0.0705716302046577,35,0.0247000705716302,3,0.00211714890613973,0,0,11,0.00776287932251235,5,0.00352858151023289,0,0,11,0.00776287932251235,11,0.00776287932251235,0,0,0,0,0,0,0,0,0,0,6,0.00423429781227946,3,0.00211714890613973,7,0.00494001411432604,7,0.00494001411432604,27,0.0190543401552576,9,0.0063514467184192,0,0,100,0.0705716302046577,11,0.00776287932251235,17,0.0119971771347918,3,0.00211714890613973,34,0.0239943542695836
"GÖTEBORG GULDHEDEN",202221,2022-05-26,1418,71,0.0500705218617771,4,0.00282087447108604,17,0.0119887165021157,10,0.00705218617771509,0,0,0,0,1,0.000705218617771509,6,0.00423131170662906,0,0,23,0.0162200282087447,10,0.00705218617771509,67,0.0472496473906911,38,0.0267983074753173,4,0.00282087447108604,0,0,0,0,13,0.00916784203102962,0,0,10,0.00705218617771509,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00352609308885755,1,0.000705218617771509,1,0.000705218617771509,3,0.00211565585331453,20,0.0141043723554302,10,0.00705218617771509,0,0,67,0.0472496473906911,0,0,5,0.00352609308885755,1,0.000705218617771509,23,0.0162200282087447
"GÖTEBORG GULDHEDEN",202221,2022-05-25,1459,100,0.0685400959561343,23,0.0157642220699109,15,0.0102810143934202,14,0.00959561343385881,4,0.00274160383824537,0,0,6,0.00411240575736806,6,0.00411240575736806,3,0.00205620287868403,22,0.0150788211103496,7,0.0047978067169294,96,0.065798492117889,39,0.0267306374228924,4,0.00274160383824537,0,0,19,0.0130226182316655,11,0.00753941055517478,4,0.00274160383824537,10,0.00685400959561343,4,0.00274160383824537,0,0,0,0,0,0,0,0,0,0,3,0.00205620287868403,6,0.00411240575736806,3,0.00205620287868403,5,0.00342700479780672,20,0.0137080191912269,7,0.0047978067169294,0,0,96,0.065798492117889,19,0.0130226182316655,7,0.0047978067169294,6,0.00411240575736806,25,0.0171350239890336
"GÖTEBORG GULDHEDEN",202221,2022-05-24,1388,86,0.0619596541786743,20,0.0144092219020173,19,0.0136887608069164,6,0.00432276657060519,5,0.00360230547550432,0,0,1,0.000720461095100865,18,0.0129682997118156,4,0.00288184438040346,10,0.00720461095100865,3,0.00216138328530259,82,0.0590778097982709,39,0.0280979827089337,4,0.00288184438040346,0,0,16,0.0115273775216138,15,0.010806916426513,0,0,6,0.00432276657060519,5,0.00360230547550432,0,0,0,0,0,0,0,0,0,0,7,0.00504322766570605,1,0.000720461095100865,11,0.00792507204610951,3,0.00216138328530259,11,0.00792507204610951,3,0.00216138328530259,0,0,82,0.0590778097982709,16,0.0115273775216138,12,0.00864553314121038,1,0.000720461095100865,14,0.0100864553314121
"GÖTEBORG GULDHEDEN",202221,2022-05-23,1523,112,0.0735390676296783,20,0.0131319763624425,18,0.0118187787261983,9,0.00590938936309915,0,0,0,0,9,0.00590938936309915,9,0.00590938936309915,4,0.00262639527248851,34,0.0223243598161523,9,0.00590938936309915,104,0.0682862770847013,38,0.0249507550886408,8,0.00525279054497702,0,0,12,0.00787918581746553,10,0.00656598818122127,2,0.00131319763624425,7,0.00459619172685489,0,0,0,0,0,0,0,0,0,0,0,0,7,0.00459619172685489,9,0.00590938936309915,2,0.00131319763624425,14,0.00919238345370978,24,0.0157583716349311,7,0.00459619172685489,2,0.00131319763624425,104,0.0682862770847013,12,0.00787918581746553,7,0.00459619172685489,9,0.00590938936309915,38,0.0249507550886408
"FALUN HOSJÖ",202246,2022-11-20,805,299,0.371428571428571,124,0.154037267080745,113,0.140372670807453,28,0.0347826086956522,10,0.0124223602484472,0,0,3,0.00372670807453416,5,0.0062111801242236,4,0.00496894409937888,5,0.0062111801242236,7,0.00869565217391304,219,0.272049689440994,159,0.197515527950311,80,0.0993788819875776,0,0,44,0.0546583850931677,33,0.0409937888198758,23,0.0285714285714286,5,0.0062111801242236,4,0.00496894409937888,6,0.00745341614906832,0,0,0,0,0,0,0,0,4,0.00496894409937888,1,0.00124223602484472,3,0.00372670807453416,4,0.00496894409937888,5,0.0062111801242236,7,0.00869565217391304,0,0,219,0.272049689440994,44,0.0546583850931677,6,0.00745341614906832,1,0.00124223602484472,9,0.0111801242236025
"FALUN HOSJÖ",202246,2022-11-19,1046,462,0.441682600382409,192,0.183556405353728,148,0.141491395793499,57,0.0544933078393881,21,0.0200764818355641,0,0,6,0.00573613766730402,7,0.00669216061185468,0,0,8,0.00764818355640535,23,0.0219885277246654,350,0.334608030592734,243,0.232313575525813,112,0.107074569789675,0,0,80,0.0764818355640535,36,0.0344168260038241,48,0.0458891013384321,9,0.00860420650095602,13,0.0124282982791587,8,0.00764818355640535,0,0,0,0,0,0,0,0,12,0.011472275334608,0,0,1,0.000956022944550669,5,0.00478011472275335,3,0.00286806883365201,23,0.0219885277246654,0,0,350,0.334608030592734,80,0.0764818355640535,19,0.0181644359464627,0,0,8,0.00764818355640535
"FALUN HOSJÖ",202246,2022-11-18,1147,591,0.515257192676548,249,0.217088055797733,206,0.179598953792502,62,0.0540540540540541,11,0.00959023539668701,0,0,6,0.00523103748910201,9,0.00784655623365301,3,0.002615518744551,0,0,45,0.039232781168265,416,0.362685265911072,320,0.27898866608544,175,0.152571926765475,0,0,74,0.0645161290322581,31,0.027027027027027,52,0.045335658238884,10,0.00871839581517001,11,0.00959023539668701,0,0,0,0,0,0,0,0,0,0,12,0.010462074978204,1,0.000871839581517001,2,0.001743679163034,0,0,3,0.002615518744551,25,0.021795989537925,20,0.01743679163034,416,0.362685265911072,74,0.0645161290322581,18,0.015693112467306,1,0.000871839581517001,3,0.002615518744551
"FALUN HOSJÖ",202246,2022-11-17,1005,501,0.498507462686567,210,0.208955223880597,160,0.159203980099502,66,0.0656716417910448,14,0.0139303482587065,0,0,10,0.00995024875621891,12,0.0119402985074627,5,0.00497512437810945,8,0.00796019900497512,16,0.0159203980099502,392,0.390049751243781,265,0.263681592039801,109,0.108457711442786,0,0,101,0.100497512437811,51,0.0507462686567164,51,0.0507462686567164,15,0.0149253731343284,4,0.00398009950248756,10,0.00995024875621891,0,0,0,0,0,0,0,0,19,0.0189054726368159,0,0,3,0.00298507462686567,2,0.00199004975124378,11,0.0109452736318408,4,0.00398009950248756,12,0.0119402985074627,392,0.390049751243781,101,0.100497512437811,13,0.0129353233830846,0,0,13,0.0129353233830846
"FALUN HOSJÖ",202246,2022-11-16,888,499,0.561936936936937,194,0.218468468468468,177,0.199324324324324,61,0.0686936936936937,16,0.018018018018018,0,0,2,0.00225225225225225,8,0.00900900900900901,6,0.00675675675675676,5,0.00563063063063063,30,0.0337837837837838,364,0.40990990990991,273,0.307432432432432,135,0.152027027027027,0,0,59,0.0664414414414414,42,0.0472972972972973,49,0.0551801801801802,12,0.0135135135135135,15,0.0168918918918919,1,0.00112612612612613,0,0,0,0,0,0,0,0,8,0.00900900900900901,0,0,2,0.00225225225225225,5,0.00563063063063063,6,0.00675675675675676,4,0.0045045045045045,26,0.0292792792792793,364,0.40990990990991,59,0.0664414414414414,21,0.0236486486486486,0,0,11,0.0123873873873874
