"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"OSKARSTRÖM BLÅKLINTSVÄGEN",202207,5435,723,0.133026678932843,13,0.00239190432382705,38,0.00699172033118675,48,0.00883164673413064,323,0.0594296228150874,0,0,45,0.00827966881324747,55,0.0101195952161914,35,0.00643974241030359,71,0.0130634774609016,8,0.00147194112235511,87,0.0160073597056118,723,0.133026678932843,144,0.0264949402023919,0,0,7,0.00128794848206072,6,0.00110395584176633,38,0.00699172033118675,18,0.00331186752529899,30,0.00551977920883165,161,0.0296228150873965,162,0.0298068077276909,0,0,45,0.00827966881324747,0,0,73,0.0134314627414903,17,0.0031278748850046,71,0.0130634774609016,8,0.00147194112235511,29,0.00533578656853726,58,0.0106715731370745,723,0.133026678932843,97,0.0178472861085557,6,0.00110395584176633,431,0.0793008279668813,45,0.00827966881324747
"OSKARSTRÖM BLÅKLINTSVÄGEN",202206,5040,1237,0.245436507936508,349,0.0692460317460317,264,0.0523809523809524,48,0.00952380952380952,260,0.0515873015873016,0,0,48,0.00952380952380952,2,0.000396825396825397,101,0.0200396825396825,58,0.0115079365079365,16,0.00317460317460317,91,0.0180555555555556,1237,0.245436507936508,375,0.0744047619047619,0,0,6,0.00119047619047619,343,0.0680555555555555,264,0.0523809523809524,16,0.00317460317460317,32,0.00634920634920635,191,0.0378968253968254,69,0.0136904761904762,0,0,48,0.00952380952380952,0,0,9,0.00178571428571429,94,0.0186507936507937,58,0.0115079365079365,16,0.00317460317460317,28,0.00555555555555556,63,0.0125,1237,0.245436507936508,109,0.0216269841269841,343,0.0680555555555555,362,0.0718253968253968,48,0.00952380952380952
"OSKARSTRÖM BLÅKLINTSVÄGEN",202205,4838,1083,0.223852831748656,23,0.00475403059115337,46,0.00950806118230674,48,0.00992145514675486,160,0.0330715171558495,0,0,51,0.010541546093427,10,0.0020669698222406,44,0.00909466721785862,617,0.127532038032245,16,0.00330715171558495,68,0.014055394791236,1083,0.223852831748656,140,0.0289375775113683,0,0,7,0.00144687887556842,16,0.00330715171558495,46,0.00950806118230674,21,0.00434063662670525,27,0.00558081852004961,102,0.0210830921868541,58,0.0119884249689955,0,0,51,0.010541546093427,0,0,27,0.00558081852004961,27,0.00558081852004961,617,0.127532038032245,16,0.00330715171558495,22,0.00454733360892931,46,0.00950806118230674,1083,0.223852831748656,61,0.0126085159156676,16,0.00330715171558495,815,0.168458040512609,51,0.010541546093427
"OSKARSTRÖM BLÅKLINTSVÄGEN",202204,4826,1047,0.216949854952341,27,0.00559469539991712,280,0.0580190634065479,67,0.013883133029424,127,0.0263157894736842,0,0,311,0.0644426025694157,15,0.00310816411106506,42,0.00870285951098218,54,0.0111893907998342,11,0.00227932034811438,113,0.0234148363033568,1047,0.216949854952341,437,0.0905511811023622,0,0,11,0.00227932034811438,16,0.00331537505180274,280,0.0580190634065479,30,0.00621632822213013,37,0.00766680480729382,115,0.0238292581848322,12,0.00248653128885205,0,0,311,0.0644426025694157,0,0,21,0.00435142975549109,36,0.00745959386655615,54,0.0111893907998342,11,0.00227932034811438,23,0.00476585163696643,90,0.0186489846663904,1047,0.216949854952341,68,0.0140903439701616,16,0.00331537505180274,215,0.0445503522585993,311,0.0644426025694157
"OSKARSTRÖM BLÅKLINTSVÄGEN",202203,4984,595,0.11938202247191,15,0.00300963081861958,152,0.0304975922953451,40,0.00802568218298555,149,0.0298956661316212,0,0,43,0.00862760834670947,4,0.000802568218298555,30,0.00601926163723917,66,0.0132423756019262,9,0.00180577849117175,87,0.0174558587479936,595,0.11938202247191,236,0.0473515248796148,0,0,5,0.00100321027287319,10,0.00200642054574639,152,0.0304975922953451,10,0.00200642054574639,30,0.00601926163723917,94,0.018860353130016,55,0.0110353130016051,0,0,43,0.00862760834670947,0,0,6,0.00120385232744783,28,0.00561797752808989,66,0.0132423756019262,9,0.00180577849117175,43,0.00862760834670947,44,0.00882825040128411,595,0.11938202247191,39,0.00782504012841092,10,0.00200642054574639,267,0.0535714285714286,43,0.00862760834670947
"OSKARSTRÖM BLÅKLINTSVÄGEN",202202,4925,695,0.141116751269036,34,0.00690355329949239,64,0.012994923857868,56,0.0113705583756345,139,0.0282233502538071,0,0,20,0.00406091370558376,4,0.000812182741116751,243,0.0493401015228426,58,0.0117766497461929,8,0.0016243654822335,69,0.014010152284264,695,0.141116751269036,171,0.0347208121827411,0,0,22,0.00446700507614213,12,0.00243654822335025,64,0.012994923857868,18,0.00365482233502538,38,0.00771573604060914,93,0.0188832487309645,46,0.00934010152284264,0,0,20,0.00406091370558376,0,0,231,0.0469035532994924,16,0.003248730964467,58,0.0117766497461929,8,0.0016243654822335,18,0.00365482233502538,51,0.0103553299492386,695,0.141116751269036,269,0.0546192893401015,12,0.00243654822335025,223,0.0452791878172589,20,0.00406091370558376
"OSKARSTRÖM BLÅKLINTSVÄGEN",202201,4970,438,0.0881287726358149,19,0.00382293762575453,52,0.0104627766599598,46,0.00925553319919517,83,0.0167002012072435,0,0,46,0.00925553319919517,3,0.000603621730382294,79,0.0158953722334004,40,0.00804828973843058,9,0.00181086519114688,61,0.0122736418511066,438,0.0881287726358149,142,0.0285714285714286,0,0,7,0.00140845070422535,12,0.00241448692152917,52,0.0104627766599598,7,0.00140845070422535,39,0.00784708249496982,73,0.0146881287726358,10,0.00201207243460765,0,0,46,0.00925553319919517,0,0,13,0.00261569416498994,69,0.0138832997987928,40,0.00804828973843058,9,0.00181086519114688,17,0.003420523138833,44,0.00885311871227364,438,0.0881287726358149,89,0.017907444668008,12,0.00241448692152917,149,0.0299798792756539,46,0.00925553319919517
"ÖRNSKÖLDSVIK DOMSJÖ",202236,6468,2810.17,0.434472789115646,861,0.133116883116883,521,0.0805504019789734,413,0.0638528138528139,263,0.0406617192331478,32.17,0.00497371675943105,0,0,116,0.0179344465058751,378,0.0584415584415584,82,0.0126777983920841,8,0.00123685837971552,136,0.0210265924551639,2440.17,0.377268089053803,1070.17,0.16545609152752,370,0.0572047000618429,91,0.0140692640692641,400,0.0618429189857761,151,0.0233457019171305,117,0.0180890538033395,296,0.0457637600494743,263,0.0406617192331478,0,0,32.17,0.00497371675943105,0,0,0,0,231,0.0357142857142857,263,0.0406617192331478,82,0.0126777983920841,8,0.00123685837971552,32,0.00494743351886209,104,0.0160791589363018,2440.17,0.377268089053803,585,0.0904452690166976,400,0.0618429189857761,385,0.0595238095238095,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202233,7074,1504.424,0.212669493921402,381,0.0538592027141645,387,0.0547073791348601,51,0.00720949957591179,358,0.0506078597681651,52.424,0.00741080011309019,0,0,0,0,70,0.00989539157478089,118,0.0166808029403449,4,0.000565450947130336,83,0.0117331071529545,1141.424,0.161354820469324,554.424,0.0783748939779474,363,0.051314673452078,7,0.000989539157478089,11,0.00155499010460843,24,0.00339270568278202,20,0.00282725473565168,31,0.00438224484026011,235,0.0332202431439073,123,0.0173876166242578,52.424,0.00741080011309019,0,0,0,0,29,0.00409951936669494,41,0.00579587220808595,118,0.0166808029403449,4,0.000565450947130336,19,0.0026858919988691,64,0.00904721515408538,1141.424,0.161354820469324,77,0.010884930732259,11,0.00155499010460843,499,0.0705400056545095,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202232,6889,683,0.0991435622006097,59,0.00856437799390332,61,0.00885469589200174,87,0.0126288285672812,222,0.0322252866889244,0,0,0,0,0,0,55,0.00798374219770649,104,0.0150965307011177,4,0.000580635796196835,91,0.013209464363478,660,0.0958049063724779,214,0.0310640150965307,23,0.0033386558281318,4,0.000580635796196835,32,0.00464508636957468,38,0.00551604006386994,36,0.00522572216577152,51,0.00740310640150965,123,0.0178545507330527,99,0.0143707359558717,0,0,0,0,0,0,12,0.00174190738859051,43,0.00624183480911598,104,0.0150965307011177,4,0.000580635796196835,25,0.00362897372623022,66,0.00958049063724779,660,0.0958049063724779,59,0.00856437799390332,32,0.00464508636957468,355,0.0515314269124692,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202231,6495,1703,0.26220169361047,373,0.0574287913779831,420,0.0646651270207852,50,0.00769822940723634,466,0.0717474980754426,0,0,0,0,0,0,148,0.0227867590454196,138,0.0212471131639723,3,0.00046189376443418,105,0.0161662817551963,1353,0.208314087759815,541,0.0832948421862972,350,0.0538876058506544,7,0.00107775211701309,16,0.00246343341031563,70,0.0107775211701309,16,0.00246343341031563,34,0.00523479599692071,188,0.0289453425712086,278,0.042802155504234,0,0,0,0,0,0,31,0.00477290223248653,117,0.018013856812933,138,0.0212471131639723,3,0.00046189376443418,34,0.00523479599692071,71,0.0109314857582756,1353,0.208314087759815,155,0.0238645111624326,16,0.00246343341031563,641,0.0986913010007698,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202230,6730,964,0.143239227340267,72,0.0106983655274889,111,0.0164933135215453,49,0.00728083209509658,290,0.0430906389301634,0,0,0,0,0,0,209,0.0310549777117385,114,0.0169390787518574,3,0.000445765230312036,116,0.0172362555720654,922,0.136998514115899,231,0.0343239227340267,42,0.0062407132243685,6,0.000891530460624071,24,0.00356612184249629,69,0.0102526002971768,21,0.00312035661218425,28,0.00416047548291233,85,0.012630014858841,205,0.0304606240713224,0,0,0,0,0,0,22,0.00326894502228826,187,0.0277860326894502,114,0.0169390787518574,3,0.000445765230312036,45,0.00668647845468053,71,0.0105497771173848,922,0.136998514115899,215,0.0319465081723626,24,0.00356612184249629,452,0.0671619613670134,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202229,6957,890,0.127928704901538,60,0.0086244070720138,86,0.0123616501365531,68,0.00977432801494897,320,0.0459968377174069,0,0,0,0,0,0,121,0.0173925542618945,117,0.0168175937904269,9,0.00129366106080207,109,0.0156676728474917,890,0.127928704901538,229,0.0329164869915193,0,0,6,0.00086244070720138,54,0.00776196636481242,86,0.0123616501365531,30,0.0043122035360069,38,0.00546212447894207,131,0.0188299554405635,189,0.0271668822768435,0,0,0,0,0,0,40,0.00574960471467587,81,0.0116429495472186,117,0.0168175937904269,9,0.00129366106080207,34,0.00488716400747449,75,0.0107805088400172,890,0.127928704901538,127,0.0182549949690959,54,0.00776196636481242,480,0.0689952565761104,0,0
"ÖRNSKÖLDSVIK DOMSJÖ",202228,6781,1088,0.160448311458487,67,0.00988054859165315,36,0.00530895148208229,151,0.0222681020498452,546,0.0805190974782481,0,0,0,0,0,0,83,0.0122400825836897,91,0.013419849579708,6,0.000884825247013715,108,0.0159268544462469,1088,0.160448311458487,264,0.0389323108686035,0,0,6,0.000884825247013715,61,0.00899572334463943,36,0.00530895148208229,26,0.00383424273705943,125,0.0184338593127857,257,0.0379000147470875,289,0.0426190827311606,0,0,0,0,0,0,21,0.003096888364548,62,0.00914319421914172,91,0.013419849579708,6,0.000884825247013715,31,0.00457159710957086,77,0.011355257336676,1088,0.160448311458487,89,0.0131249078307034,61,0.00899572334463943,674,0.0993953694145406,0,0
