"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"MALMÖ TRIANGELN",202221,17189,1425.756,0.0829458374541858,210,0.0122171155971842,184,0.010704520332771,93,0.00541043690732445,98,0.00570132061201931,3.756,0.000218511838966781,161,0.00936645529117459,99,0.00575949735295829,116,0.00674850194892082,292,0.01698760835418,169,0.00983186921868637,1368.756,0.0796297632206644,466,0.0271103612775612,57,0.00331607423352144,0,0,153,0.00890104136366281,127,0.00738844609924952,29,0.00168712548723021,64,0.00372331142009425,98,0.00570132061201931,0,0,1,5.81767409389726e-05,0.856,4.97992902437605e-05,0,0,1.9,0.000110535807784048,79,0.00459596253417884,161,0.00936645529117459,20,0.00116353481877945,234,0.0136133573797196,174,0.0101227529233812,122,0.00709756239455466,47,0.00273430682413171,1368.756,0.0796297632206644,153,0.00890104136366281,177,0.0102972831461981,164.756,0.00958496713014137,408,0.0237361103031008
"LINKÖPING RYD",202246,19733,11297.483,0.572517255359043,5594.837,0.283526934576598,3192,0.16175948918056,827,0.0419094917143871,266,0.0134799574317134,1.646,8.34135711751888e-05,352,0.017838139157756,88,0.00445953478943901,201,0.0101859828713323,399,0.0202199361475701,376,0.0190543759185121,9086.483,0.460471443774388,5246.837,0.265891501545634,2211,0.112045811584655,362.837,0.0183873207317691,3021,0.153093802260173,981,0.0497136775959053,664,0.0336492170475853,163,0.0082602746668018,159,0.00805756854000912,107,0.00542238889170425,0,0,0.574,2.90883291947499e-05,0,0,1.072,5.43252419804389e-05,358,0.0181421983479451,26,0.00131758982415243,56,0.00283788577509755,398,0.0201692596158719,202,0.0102366594030305,136,0.0068920083109512,240,0.0121623676075609,9086.483,0.460471443774388,3021,0.153093802260173,191,0.00967921755435058,27.646,0.00140100339532762,600,0.0304059190189023
"LINKÖPING RYD",202233,20434,1739.158,0.0851109914847803,312,0.0152686698639522,135,0.00660663599882549,104,0.00508955662131741,185,0.00905353822061271,1.158,5.6670255456592e-05,54,0.00264265439953019,47,0.00230008808847998,146,0.00714495448761867,679,0.0332289321718704,76,0.00371929137711657,1604.158,0.0785043554859548,359,0.0175687579524322,135,0.00660663599882549,0,0,177,0.00866203386512675,0,0,41,0.00200645982186552,63,0.00308309679945189,185,0.00905353822061271,0,0,0,0,0.66,3.22991093275913e-05,0,0,0.498,2.43711461290007e-05,63,0.00308309679945189,24,0.00117451306645786,14,0.000685132622100421,389,0.0190368992855046,436,0.0213369873739845,68,0.00332778702163062,8,0.000391504355485955,1604.158,0.0785043554859548,177,0.00866203386512675,218,0.0106684936869923,25.158,0.00123118332191446,825,0.0403738866594891
"LINKÖPING RYD",202232,16040,1684.536,0.105020947630923,356.576,0.0222304239401496,135,0.00841645885286783,114,0.0071072319201995,206,0.0128428927680798,0.96,5.98503740648379e-05,45,0.00280548628428928,34,0.00211970074812968,125,0.0077930174563591,555,0.0346009975062344,113,0.00704488778054863,1549.536,0.0966044887780549,478.576,0.0298364089775561,135,0.00841645885286783,76.576,0.00477406483790524,145,0.00903990024937656,0,0,48,0.0029925187032419,66,0.00411471321695761,206,0.0128428927680798,0,0,0,0,0.504,3.14214463840399e-05,0,0,0.456,2.8428927680798e-05,52,0.00324189526184539,16,0.000997506234413965,11,0.000685785536159601,262,0.0163341645885287,418,0.0260598503740648,65,0.00405236907730673,48,0.0029925187032419,1549.536,0.0966044887780549,145,0.00903990024937656,229,0.0142768079800499,16.96,0.0010573566084788,680,0.0423940149625935
"LINKÖPING RYD",202231,13579,1145.79,0.084379556668385,206.746,0.015225421606893,61,0.0044922306502688,87,0.0064069519110391,195,0.0143604094557773,2.044,0.000150526548346712,17,0.00125193313204212,55,0.00405037189778334,72,0.00530230502982547,392,0.0288681051623831,58,0.00427130127402607,1084.79,0.0798873260181162,228.746,0.0168455703660063,61,0.0044922306502688,8.746,0.000644082774872966,137,0.0100891081817512,0,0,28,0.00206200751159879,59,0.00434494439944031,195,0.0143604094557773,0,0,0,0,0.726,5.34649090507401e-05,0,0,1.318,9.70616392959717e-05,49,0.00360851314529789,13,0.000957360630385154,10,0.000736431254142426,178,0.0131084763237352,286,0.0210619338684734,52,0.00382944252154061,6,0.000441858752485456,1084.79,0.0798873260181162,137,0.0100891081817512,240,0.0176743500994182,15.044,0.00110788717873187,464,0.0341704101922086
"LINKÖPING RYD",202230,13662,922.99,0.0675589225589226,154,0.0112721417069243,41,0.00300102474015518,71,0.00519689650124433,177,0.012955643390426,2.99,0.000218855218855219,26,0.0019030888596106,38,0.00278143756404626,50,0.00365978626848192,298,0.0218123261601522,65,0.0047577221490265,881.99,0.0645578978187674,194,0.0141999707217099,41,0.00300102474015518,0,0,113,0.00827111696676914,0,0,31,0.00226906748645879,40,0.00292782901478554,177,0.012955643390426,0,0,0,0,0.674,4.93339188991363e-05,0,0,2.316,0.000169521299956083,39,0.0028546332894159,17,0.00124432733128385,8,0.000585565802957107,156,0.0114185331576636,192,0.0140535792709706,60,0.0043917435221783,5,0.000365978626848192,881.99,0.0645578978187674,113,0.00827111696676914,207,0.0151515151515152,19.99,0.00146318255013907,348,0.0254721124286342
"LINKÖPING RYD",202229,13012,960.52,0.0738180141407931,190,0.0146019059329849,46,0.00353519827851214,79,0.00607131878266216,212,0.0162926529357516,3.52,0.000270519520442668,25,0.00192130341223486,33,0.00253612050415002,70,0.00537964955425761,248,0.0190593298493698,54,0.0041500153704273,914.52,0.070282815862281,199,0.0152935751613895,46,0.00353519827851214,0,0,144,0.0110667076544728,0,0,23,0.00176759913925607,56,0.00430371964340609,212,0.0162926529357516,0,0,2.898,0.000222717491546265,0.204,1.56778358438365e-05,0,0,0.418,3.21241930525669e-05,37,0.00284352905010759,13,0.000999077774362127,8,0.000614817091915155,110,0.00845373501383338,208,0.015985244389794,45,0.00345834614202275,9,0.00069166922840455,914.52,0.070282815862281,144,0.0110667076544728,237,0.0182139563479865,16.52,0.0012695972948048,318,0.0244389794036274
"LINKÖPING RYD",202228,13099,1104.526,0.0843213985800443,352,0.0268722803267425,50,0.00381708527368501,73,0.00557294449958012,186,0.0141995572181083,4.526,0.000345522558973967,26,0.00198488434231621,61,0.00465684403389572,50,0.00381708527368501,243,0.0185510344301092,59,0.00450416062294832,1054.526,0.0805043133063593,224,0.0171005420261089,50,0.00381708527368501,0,0,302,0.0230551950530575,0,0,24,0.00183220093136881,49,0.00374074356821131,186,0.0141995572181083,0,0,4.202,0.000320787846400489,0.102,7.78685395831743e-06,0,0,0.222,1.69478586151615e-05,37,0.00282464310252691,17,0.0012978089930529,33,0.00251927628063211,110,0.00839758760210703,183,0.0139705321016872,51,0.00389342697915871,8,0.000610733643789602,1054.526,0.0805043133063593,302,0.0230551950530575,214,0.0163371249713719,21.526,0.00164333155202687,293,0.0223681197037942
"LINKÖPING RYD",202227,13399,2511.05,0.187405776550489,1043,0.077841629972386,79,0.00589596238525263,449,0.0335099634301067,178,0.0132845734756325,1.05,7.83640570191805e-05,278,0.0207478170012688,19,0.00141801626987089,151,0.0112694977237107,269,0.0200761250839615,44,0.00328382715127995,2445.05,0.182480035823569,843,0.0629151429211135,66,0.00492574072691992,0,0,977,0.0729158892454661,13,0.000970221658332711,408,0.0304500335845959,41,0.00305992984551086,178,0.0132845734756325,0,0,0,0,0.466,3.47787148294649e-05,0,0,0.584,4.35853421897156e-05,282,0.0210463467422942,11,0.000820956787819987,4,0.00029852974102545,175,0.0130606761698634,245,0.0182849466378088,32,0.0023882379282036,12,0.000895589223076349,2445.05,0.182480035823569,977,0.0729158892454661,193,0.0144040600044779,12.05,0.000899320844839167,420,0.0313456228076722
"LINKÖPING RYD",202226,13896,1116.79,0.0803677317213587,210,0.0151122625215889,136,0.00978698906160046,65,0.0046776050662061,170,0.0122337363270006,4.79,0.000344703511801957,23,0.00165515256188831,30,0.00215889464594128,77,0.00554116292458261,342,0.0246113989637306,59,0.00424582613701785,1045.79,0.0752583477259643,277,0.0199337938975245,71,0.00510938399539436,0,0,139,0.0100028785261946,65,0.0046776050662061,17,0.00122337363270006,48,0.00345423143350604,170,0.0122337363270006,0,0,4.484,0.000322682786413356,0.11,7.91594703511802e-06,0,0,0.196,1.4104778353483e-05,25,0.00179907887161773,17,0.00122337363270006,11,0.000791594703511802,111,0.00798791018998273,308,0.0221646516983305,52,0.00374208405296488,7,0.000503742084052965,1045.79,0.0752583477259643,139,0.0100028785261946,189,0.0136010362694301,21.79,0.00156807714450201,419,0.0301525618883132
"LINKÖPING RYD",202225,13942,1128.362,0.0809325778224071,242,0.0173576244441257,169,0.0121216468225506,81,0.00580978338832305,152,0.0109023095682112,7.362,0.000528044756849806,13,0.000932434370965428,30,0.00215177162530483,44,0.00315593171711376,335,0.0240281164825706,55,0.0039449146463922,1026.362,0.0736165542963707,309,0.0221632477406398,102,0.00731602352603644,0,0,140,0.0100416009180892,67,0.00480562329651413,23,0.00164969157940037,58,0.00416009180892268,152,0.0109023095682112,0,0,7.208,0.000516998995839908,0.154,1.10457610098981e-05,0,0,0,0,26,0.00186486874193086,13,0.000932434370965428,4,0.000286902883373978,122,0.00875053794290633,257,0.0184335102567781,49,0.00351456032133123,6,0.000430354325060967,1026.362,0.0736165542963707,140,0.0100416009180892,178,0.012767178310142,20.362,0.00146047912781523,379,0.0271840481996844
"LINKÖPING RYD",202224,15371,1354.87,0.0881445579337714,278,0.0180860061154121,174,0.0113200182161213,87,0.00566000910806063,200,0.013011515190944,9.87,0.000642118274673086,10,0.000650575759547199,45,0.0029275909179624,64,0.00416368486110208,423,0.0275193546288465,64,0.00416368486110208,1242.87,0.0808581094268428,337,0.0219244030967406,112,0.00728644850692863,0,0,166,0.0107995576084835,62,0.00403356970919264,29,0.00188666970268688,58,0.00377333940537376,200,0.013011515190944,0,0,5.534,0.00036002862533342,3.742,0.000243445449222562,0,0,0.594,3.86442001171036e-05,33,0.00214690000650576,10,0.000650575759547199,12,0.000780690911456639,187,0.0121657667035326,300,0.019517272786416,58,0.00377333940537376,6,0.00039034545572832,1242.87,0.0808581094268428,166,0.0107995576084835,233,0.0151584151974497,19.87,0.00129269403422029,487,0.0316830394899486
"LINKÖPING RYD",202223,18053,1316.582,0.0729287099097103,270,0.0149559629978397,170,0.00941671744308425,87,0.00481914363263723,192,0.0106353514651304,2.582,0.000143023320223786,18,0.00099706419985598,21,0.00116324156649864,70,0.00387747188832881,416,0.0230432615077826,70,0.00387747188832881,1217.582,0.0674448568105024,329,0.0182241178751454,99,0.00548385309920789,0,0,171,0.00947210989863181,71,0.00393286434387636,32,0.00177255857752174,55,0.00304658505511549,192,0.0106353514651304,0,0,1.676,9.28377554977012e-05,0.632,3.50080319060544e-05,0,0,0.274,1.51775328200299e-05,19,0.00105245665540353,18,0.00099706419985598,2,0.000110784911095109,195,0.0108015288317731,291,0.0161192045643383,67,0.00371129452168615,3,0.000166177366642663,1217.582,0.0674448568105024,171,0.00947210989863181,211,0.011687808120534,20.582,0.00114008752007977,486,0.0269207333961114
"LINKÖPING RYD",202222,20439,2008.256,0.0982560790645335,437,0.0213806937717109,289,0.0141396350114976,186,0.00910024952297079,220,0.0107637359949117,1.256,6.14511473164049e-05,25,0.0012231518176036,40,0.00195704290816576,89,0.00435442047066882,624,0.0305298693673859,97,0.00474582905230197,1817.256,0.088911199178042,586,0.0286706786046284,191,0.00934487988649151,0,0,246,0.0120358138852194,98,0.00479475512500612,29,0.00141885610842018,157,0.00768139341455061,220,0.0107637359949117,0,0,0,0,0.402,1.96682812270659e-05,0,0,0.854,4.1782866089339e-05,26,0.00127207789030774,25,0.0012231518176036,14,0.000684965017858017,270,0.0132100396301189,443,0.0216742502079358,85,0.00415871617985224,12,0.000587112872449728,1817.256,0.088911199178042,246,0.0120358138852194,246,0.0120358138852194,26.256,0.00128460296492001,713,0.0348842898380547
"LINKÖPING RYD",202221,19500,2098.106,0.10759517948718,300,0.0153846153846154,216,0.0110769230769231,85,0.00435897435897436,234,0.012,1.106,5.67179487179487e-05,338,0.0173333333333333,55,0.00282051282051282,96,0.00492307692307692,649,0.0332820512820513,124,0.00635897435897436,1987.106,0.101902871794872,437,0.0224102564102564,111,0.00569230769230769,0,0,189,0.00969230769230769,105,0.00538461538461538,28,0.00143589743589744,57,0.00292307692307692,234,0.012,0,0,0,0,0.886,4.54358974358974e-05,0,0,0.22,1.12820512820513e-05,43,0.0022051282051282,338,0.0173333333333333,12,0.000615384615384615,291,0.0149230769230769,454,0.0232820512820513,104,0.00533333333333333,20,0.00102564102564103,1987.106,0.101902871794872,189,0.00969230769230769,277,0.0142051282051282,339.106,0.0173900512820513,745,0.0382051282051282
"LEKSAND C",202246,12512,6527,0.521659207161125,2553,0.204044117647059,2161,0.172714194373402,699,0.055866368286445,332,0.0265345268542199,3,0.000239769820971867,264,0.0210997442455243,40,0.00319693094629156,91,0.0072730179028133,215,0.0171835038363171,169,0.0135070332480818,5520,0.441176470588235,3425,0.273737212276215,1007,0.08048273657289,0,0,1546,0.123561381074169,1154,0.0922314578005115,583,0.0465952685421995,116,0.00927109974424552,213,0.0170236572890026,119,0.00951086956521739,0,0,1.03,8.23209718670077e-05,0,0,1.97,0.000157448849104859,261,0.0208599744245524,15,0.00119884910485934,28,0.00223785166240409,118,0.0094309462915601,188,0.0150255754475703,91,0.0072730179028133,78,0.00623401534526854,5520,0.441176470588235,1546,0.123561381074169,225,0.01798273657289,18,0.0014386189258312,306,0.0244565217391304
"LEKSAND C",202233,14731,1092.86,0.0741877672934628,160,0.0108614486457131,0,0,122,0.00828185459235626,196,0.0133052745909986,1.86,0.000126264340506415,15,0.00101826081053561,62,0.00420881135021384,39,0.00264747810739257,421,0.0285791867490327,76,0.00515918810671373,1092.86,0.0741877672934628,221,0.0150023759418912,0,0,0,0,160,0.0108614486457131,0,0,36,0.00244382594528545,86,0.0058380286470708,196,0.0133052745909986,0,0,0,0,0.518,3.51639399904962e-05,0,0,1.342,9.11004005159188e-05,39,0.00264747810739257,15,0.00101826081053561,23,0.00156133324282126,104,0.00705994161971353,356,0.0241667232367117,73,0.00495553594460661,3,0.000203652162107121,1092.86,0.0741877672934628,160,0.0108614486457131,235,0.0159527526983911,16.86,0.00114452515104202,460,0.0312266648564252
