"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_OBS_snabbnudlar_Trianglen","kampanj_convrate_OBS_snabbnudlar_Trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"NORRKÖPING LASARETTSGATAN",202219,2022-05-15,847,88.372,0.104335301062574,22.694,0.0267933884297521,10.678,0.0126068476977568,1,0.00118063754427391,25,0.0295159386068477,0,0,0,0,10,0.0118063754427391,4,0.00472255017709563,5,0.00590318772136954,10,0.0118063754427391,77.694,0.091728453364817,22.694,0.0267933884297521,10.678,0.0126068476977568,1.016,0.00119952774498229,11,0.012987012987013,0,0,1,0.00118063754427391,0,0,25,0.0295159386068477,0,0,0,0,0,0,0,0,3,0.00354191263282172,7,0.00826446280991736,4,0.00472255017709563,0,0,1,0.00118063754427391,4,0.00472255017709563,8,0.00944510035419126,2,0.00236127508854782,77.694,0.091728453364817,11,0.012987012987013,41,0.0484061393152302,0,0,3,0.00354191263282172,0,0
"NORRKÖPING LASARETTSGATAN",202219,2022-05-14,798,96.784,0.12128320802005,38.941,0.0487982456140351,10.843,0.0135877192982456,0,0,11,0.0137844611528822,0,0,0,0,7,0.0087719298245614,3,0.0037593984962406,16,0.0200501253132832,10,0.012531328320802,85.941,0.107695488721805,23.941,0.0300012531328321,10.843,0.0135877192982456,3.098,0.00388220551378446,25,0.031328320802005,0,0,0,0,0,0,11,0.0137844611528822,0,0,0,0,0,0,0,0,5,0.006265664160401,2,0.0025062656641604,0,0,3,0.0037593984962406,16,0.0200501253132832,0,0,9,0.0112781954887218,1,0.0012531328320802,85.941,0.107695488721805,25,0.031328320802005,29,0.0363408521303258,0,0,5,0.006265664160401,3,0.0037593984962406
"NORRKÖPING LASARETTSGATAN",202219,2022-05-13,1071,117.918,0.110100840336134,42.959,0.0401111111111111,9.959,0.00929878618113912,2,0.00186741363211951,18,0.0168067226890756,0,0,0,0,7,0.0065359477124183,8,0.00746965452847806,19,0.0177404295051354,11,0.0102707749766573,107.959,0.100802054154995,22.959,0.021436974789916,9.959,0.00929878618113912,0,0,33,0.030812324929972,0,0,2,0.00186741363211951,2,0.00186741363211951,16,0.0149393090569561,0,0,0,0,0,0,0,0,3,0.00280112044817927,4,0.00373482726423903,5,0.00466853408029879,3,0.00280112044817927,17,0.0158730158730159,2,0.00186741363211951,10,0.00933706816059757,1,0.000933706816059757,107.959,0.100802054154995,33,0.030812324929972,46,0.0429505135387488,0,0,3,0.00280112044817927,3,0.00280112044817927
"NORRKÖPING LASARETTSGATAN",202219,2022-05-12,1040,114.172,0.109780769230769,29.086,0.0279673076923077,14.086,0.0135442307692308,4,0.00384615384615385,36,0.0346153846153846,0,0,0,0,11,0.0105769230769231,3,0.00288461538461538,7,0.00673076923076923,10,0.00961538461538462,100.086,0.0962365384615385,28.086,0.0270057692307692,14.086,0.0135442307692308,0,0,15,0.0144230769230769,0,0,4,0.00384615384615385,2,0.00192307692307692,34,0.0326923076923077,0,0,0,0,0,0,0,0,6,0.00576923076923077,5,0.00480769230769231,3,0.00288461538461538,0,0,5,0.00480769230769231,2,0.00192307692307692,8,0.00769230769230769,2,0.00192307692307692,100.086,0.0962365384615385,15,0.0144230769230769,51,0.0490384615384615,0,0,6,0.00576923076923077,0,0
"NORRKÖPING LASARETTSGATAN",202219,2022-05-11,1006,100.317,0.0997186878727634,36.519,0.0363011928429423,8.798,0.0087455268389662,4,0.00397614314115308,14,0.0139165009940358,0,0,1,0.00099403578528827,14,0.0139165009940358,3,0.00298210735586481,11,0.010934393638171,8,0.00795228628230616,91.519,0.0909731610337972,24.519,0.0243727634194831,8.798,0.0087455268389662,2.721,0.00270477137176938,25,0.0248508946322068,0,0,4,0.00397614314115308,2,0.00198807157057654,12,0.0119284294234592,0,0,0,0,0,0,1,0.00099403578528827,6,0.00596421471172962,8,0.00795228628230616,1,0.00099403578528827,2,0.00198807157057654,7,0.00695825049701789,4,0.00397614314115308,6,0.00596421471172962,2,0.00198807157057654,91.519,0.0909731610337972,25,0.0248508946322068,34,0.0337972166998012,0,0,6,0.00596421471172962,2,0.00198807157057654
"NORRKÖPING LASARETTSGATAN",202219,2022-05-10,1009,68.841,0.0682269573835481,19.491,0.0193171456888008,6.35,0.00629335976214073,2,0.00198216055500496,17,0.0168483647175421,0,0,1,0.000991080277502478,7,0.00693756194251734,0,0,15,0.0148662041625372,1,0.000991080277502478,62.491,0.0619335976214073,12.491,0.0123795837462834,6.35,0.00629335976214073,2.141,0.0021219028741328,11,0.0109018830525273,0,0,2,0.00198216055500496,0,0,17,0.0168483647175421,0,0,0,0,0,0,1,0.000991080277502478,4,0.00396432111000991,3,0.00297324083250743,0,0,0,0,13,0.0128840436075322,2,0.00198216055500496,1,0.000991080277502478,0,0,62.491,0.0619335976214073,11,0.0109018830525273,35,0.0346878097125867,0,0,4,0.00396432111000991,0,0
"NORRKÖPING LASARETTSGATAN",202219,2022-05-09,1066,92.443,0.0867195121951219,32.237,0.0302410881801126,10.206,0.00957410881801126,6,0.00562851782363977,14,0.0131332082551595,0,0,0,0,3,0.00281425891181989,5,0.00469043151969981,17,0.0159474671669794,5,0.00469043151969981,82.237,0.0771454033771107,23.237,0.0217983114446529,10.206,0.00957410881801126,2.031,0.00190525328330206,20,0.0187617260787993,0,0,6,0.00562851782363977,0,0,14,0.0131332082551595,0,0,0,0,0,0,0,0,2,0.00187617260787992,1,0.000938086303939962,3,0.00281425891181989,2,0.00187617260787992,17,0.0159474671669794,0,0,5,0.00469043151969981,0,0,82.237,0.0771454033771107,20,0.0187617260787993,35,0.0328330206378987,0,0,2,0.00187617260787992,2,0.00187617260787992
"NORRKÖPING LASARETTSGATAN",202218,2022-05-08,825,105.344,0.127689696969697,30.765,0.0372909090909091,13.579,0.0164593939393939,0,0,18,0.0218181818181818,0,0,1,0.00121212121212121,10,0.0121212121212121,6,0.00727272727272727,19,0.023030303030303,7,0.00848484848484849,91.765,0.111230303030303,22.765,0.0275939393939394,13.579,0.0164593939393939,1.186,0.00143757575757576,16,0.0193939393939394,0,0,0,0,0,0,18,0.0218181818181818,0,0,0,0,0,0,1,0.00121212121212121,6,0.00727272727272727,4,0.00484848484848485,5,0.00606060606060606,1,0.00121212121212121,19,0.023030303030303,0,0,7,0.00848484848484849,0,0,91.765,0.111230303030303,16,0.0193939393939394,46,0.0557575757575758,0,0,6,0.00727272727272727,1,0.00121212121212121
"NORRKÖPING LASARETTSGATAN",202218,2022-05-07,797,94.236,0.118238393977415,35.618,0.0446900878293601,6.618,0.00830363864491845,0,0,9,0.0112923462986198,0,0,1,0.00125470514429109,4,0.00501882057716437,5,0.00627352572145546,25,0.0313676286072773,8,0.0100376411543287,87.618,0.109934755332497,15.618,0.0195959849435383,6.618,0.00830363864491845,0,0,29,0.0363864491844417,0,0,0,0,0,0,9,0.0112923462986198,0,0,0,0,0,0,1,0.00125470514429109,2,0.00250941028858218,2,0.00250941028858218,4,0.00501882057716437,1,0.00125470514429109,23,0.0288582183186951,2,0.00250941028858218,8,0.0100376411543287,0,0,87.618,0.109934755332497,29,0.0363864491844417,40,0.0501882057716437,0,0,2,0.00250941028858218,1,0.00125470514429109
"NORRKÖPING LASARETTSGATAN",202218,2022-05-06,1072,98.381,0.0917733208955224,25.755,0.0240251865671642,5.626,0.00524813432835821,1,0.000932835820895522,17,0.0158582089552239,0,0,0,0,3,0.00279850746268657,14,0.0130597014925373,21,0.019589552238806,11,0.0102611940298507,92.755,0.0865251865671642,18.755,0.0174953358208955,5.626,0.00524813432835821,1.129,0.00105317164179104,19,0.0177238805970149,0,0,1,0.000932835820895522,0,0,17,0.0158582089552239,0,0,0,0,0,0,0,0,2,0.00186567164179104,1,0.000932835820895522,8,0.00746268656716418,6,0.00559701492537313,19,0.0177238805970149,2,0.00186567164179104,9,0.0083955223880597,2,0.00186567164179104,92.755,0.0865251865671642,19,0.0177238805970149,47,0.0438432835820896,0,0,2,0.00186567164179104,6,0.00559701492537313
"NORRKÖPING LASARETTSGATAN",202218,2022-05-05,1058,162.054,0.153170132325142,46.539,0.0439877126654064,13.515,0.0127741020793951,4,0.00378071833648393,44,0.0415879017013233,0,0,0,0,10,0.00945179584120983,4,0.00378071833648393,34,0.0321361058601134,6,0.0056710775047259,148.539,0.140396030245747,24.539,0.0231937618147448,13.515,0.0127741020793951,1.024,0.000967863894139887,32,0.0302457466918715,0,0,4,0.00378071833648393,0,0,44,0.0415879017013233,0,0,0,0,0,0,0,0,5,0.00472589792060491,5,0.00472589792060491,4,0.00378071833648393,0,0,30,0.0283553875236295,4,0.00378071833648393,4,0.00378071833648393,2,0.00189035916824197,148.539,0.140396030245747,32,0.0302457466918715,87,0.0822306238185255,0,0,5,0.00472589792060491,0,0
"NORRKÖPING LASARETTSGATAN",202218,2022-05-04,1016,130.97,0.128907480314961,37.485,0.0368946850393701,9.485,0.00933562992125984,1,0.000984251968503937,22,0.0216535433070866,0,0,0,0,5,0.00492125984251968,11,0.0108267716535433,37,0.0364173228346457,8,0.0078740157480315,121.485,0.119571850393701,18.485,0.0181938976377953,9.485,0.00933562992125984,0,0,28,0.0275590551181102,0,0,1,0.000984251968503937,3,0.00295275590551181,19,0.0187007874015748,0,0,0,0,0,0,0,0,1,0.000984251968503937,4,0.00393700787401575,11,0.0108267716535433,0,0,37,0.0364173228346457,0,0,5,0.00492125984251968,3,0.00295275590551181,121.485,0.119571850393701,28,0.0275590551181102,74,0.0728346456692913,0,0,1,0.000984251968503937,0,0
"NORRKÖPING LASARETTSGATAN",202218,2022-05-03,1081,106.196,0.0982386679000925,33.098,0.0306179463459759,13.098,0.0121165587419056,0,0,23,0.0212765957446809,0,0,0,0,17,0.0157261794634598,7,0.00647548566142461,6,0.00555041628122109,7,0.00647548566142461,93.098,0.0861221091581869,20.098,0.0185920444033302,13.098,0.0121165587419056,0,0,20,0.0185013876040703,0,0,0,0,4,0.00370027752081406,19,0.0175763182238668,0,0,0,0,0,0,0,0,13,0.0120259019426457,4,0.00370027752081406,6,0.00555041628122109,1,0.000925069380203515,6,0.00555041628122109,0,0,7,0.00647548566142461,0,0,93.098,0.0861221091581869,20,0.0185013876040703,39,0.0360777058279371,0,0,13,0.0120259019426457,1,0.000925069380203515
"NORRKÖPING LASARETTSGATAN",202218,2022-05-02,1034,130.368,0.126081237911025,31.684,0.030642166344294,13.684,0.0132340425531915,0,0,34,0.0328820116054159,0,0,0,0,5,0.00483558994197292,6,0.00580270793036751,33,0.0319148936170213,7,0.00676982591876209,116.684,0.112847195357834,20.684,0.0200038684719536,13.684,0.0132340425531915,0,0,18,0.0174081237911025,0,0,0,0,0,0,34,0.0328820116054159,0,0,0,0,0,0,0,0,2,0.00193423597678917,3,0.00290135396518375,6,0.00580270793036751,0,0,33,0.0319148936170213,0,0,6,0.00580270793036751,1,0.000967117988394584,116.684,0.112847195357834,18,0.0174081237911025,76,0.0735009671179884,0,0,2,0.00193423597678917,0,0
"NORRKÖPING LASARETTSGATAN",202217,2022-05-01,927,137.757,0.148605177993528,53.922,0.058168284789644,12.835,0.0138457389428263,9,0.00970873786407767,18,0.0194174757281553,0,0,2,0.00215749730312837,8,0.00862998921251348,2,0.00215749730312837,19,0.0204962243797195,13,0.0140237324703344,124.922,0.134759439050701,42.922,0.046302049622438,12.835,0.0138457389428263,6.087,0.0065663430420712,35,0.0377562028047465,0,0,9,0.00970873786407767,0,0,18,0.0194174757281553,0,0,0,0,0,0,2,0.00215749730312837,8,0.00862998921251348,0,0,1,0.00107874865156419,1,0.00107874865156419,19,0.0204962243797195,0,0,11,0.011866235167206,2,0.00215749730312837,124.922,0.134759439050701,35,0.0377562028047465,38,0.0409924487594391,0,0,8,0.00862998921251348,1,0.00107874865156419
"NORRKÖPING LASARETTSGATAN",202217,2022-04-30,804,92.813,0.115439054726368,30.559,0.0380087064676617,10.254,0.0127537313432836,8,0.00995024875621891,10,0.0124378109452736,0,0,0,0,8,0.00995024875621891,6,0.00746268656716418,12,0.0149253731343284,8,0.00995024875621891,82.559,0.102685323383085,33.559,0.0417400497512438,10.254,0.0127537313432836,7.305,0.00908582089552239,13,0.0161691542288557,0,0,8,0.00995024875621891,0,0,10,0.0124378109452736,0,0,0,0,0,0,0,0,4,0.00497512437810945,4,0.00497512437810945,4,0.00497512437810945,2,0.00248756218905473,8,0.00995024875621891,4,0.00497512437810945,8,0.00995024875621891,0,0,82.559,0.102685323383085,13,0.0161691542288557,30,0.0373134328358209,0,0,4,0.00497512437810945,2,0.00248756218905473
"NORRKÖPING LASARETTSGATAN",202217,2022-04-29,1017,109.412,0.107583087512291,30.753,0.0302389380530973,6.659,0.00654768928220256,12,0.0117994100294985,31,0.0304818092428712,0,0,1,0.000983284169124877,4,0.00393313667649951,4,0.00393313667649951,7,0.00688298918387414,13,0.0127826941986234,102.753,0.101035398230089,39.753,0.0390884955752212,6.659,0.00654768928220256,7.094,0.00697541789577188,17,0.0167158308751229,0,0,12,0.0117994100294985,1,0.000983284169124877,30,0.0294985250737463,0,0,0,0,0,0,1,0.000983284169124877,3,0.00294985250737463,1,0.000983284169124877,3,0.00294985250737463,1,0.000983284169124877,7,0.00688298918387414,0,0,11,0.0108161258603736,2,0.00196656833824975,102.753,0.101035398230089,17,0.0167158308751229,42,0.0412979351032448,0,0,3,0.00294985250737463,1,0.000983284169124877
