"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_OBS_snabbnudlar_Trianglen","kampanj_convrate_OBS_snabbnudlar_Trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"VÄNERSBORG TORPA",202232,2022-08-08,2198,243.144,0.110620564149227,109.423,0.0497829845313922,31.359,0.0142670609645132,0,0,0,0,0,0,5.362,0.00243949044585987,2,0.000909918107370337,14,0.00636942675159236,5,0.00227479526842584,48,0.0218380345768881,28,0.0127388535031847,215.569,0.098075068243858,64.423,0.0293098271155596,31.359,0.0142670609645132,3.064,0.00139399454049136,75,0.0341219290263876,0,0,0,0,0,0,0,0,0,0,5.362,0.00243949044585987,0,0,3.784,0.00172156505914468,0,0,2,0.000909918107370337,12,0.00545950864422202,2,0.000909918107370337,5,0.00227479526842584,44,0.0200181983621474,4,0.00181983621474067,28,0.0127388535031847,0,0,211.785,0.0963535031847134,75,0.0341219290263876,55,0.0250227479526843,5.362,0.00243949044585987,12,0.00545950864422202
"VÄNERSBORG TORPA",202231,2022-08-07,1837,185.283,0.100861731083288,87.841,0.047817637452368,17.8,0.00968971148611867,0,0,8,0.00435492651061513,0,0,3.642,0.00198258029395754,2,0.00108873162765378,13,0.00707675557974959,1,0.000544365813826892,35,0.0190528034839412,17,0.00925421883505716,171.087,0.0931339139902014,38.841,0.0211437125748503,17.8,0.00968971148611867,2.041,0.00111105062602069,68,0.0370168753402286,0,0,0,0,0,0,8,0.00435492651061513,0,0,3.642,0.00198258029395754,0,0,3.604,0.00196189439303212,0,0,2,0.00108873162765378,13,0.00707675557974959,0,0,1,0.000544365813826892,35,0.0190528034839412,0,0,15,0.00816548720740337,2,0.00108873162765378,167.483,0.0911720195971693,68,0.0370168753402286,44,0.0239520958083832,3.642,0.00198258029395754,13,0.00707675557974959
"VÄNERSBORG TORPA",202231,2022-08-06,1963,210.294,0.107128884360672,63.194,0.0321925624044829,18.18,0.00926133469179827,0,0,34,0.0173204279164544,0,0,3.92,0.0019969434538971,0,0,13,0.00662251655629139,10,0.00509424350483953,42,0.021395822720326,26,0.0132450331125828,195.396,0.0995394803871625,45.194,0.0230229240957718,18.18,0.00926133469179827,1.014,0.000516556291390728,44,0.0224146714212939,0,0,0,0,0,0,34,0.0173204279164544,0,0,3.92,0.0019969434538971,0,0,3.282,0.00167193071828833,0,0,0,0,9,0.00458481915435558,4,0.00203769740193581,10,0.00509424350483953,42,0.021395822720326,0,0,25,0.0127356087620988,1,0.000509424350483953,192.114,0.0978675496688742,44,0.0224146714212939,90,0.0458481915435558,3.92,0.0019969434538971,9,0.00458481915435558
"VÄNERSBORG TORPA",202231,2022-08-05,2165,258.94,0.119602771362587,82.173,0.0379551963048499,19.084,0.00881478060046189,0,0,52,0.0240184757505774,0,0,15.683,0.00724387990762125,1,0.00046189376443418,12,0.00554272517321016,24,0.0110854503464203,25,0.0115473441108545,28,0.012933025404157,254.381,0.117496997690531,50.173,0.0231745958429561,19.084,0.00881478060046189,2.089,0.000964896073903002,61,0.028175519630485,0,0,0,0,0,0,52,0.0240184757505774,0,0,15.683,0.00724387990762125,0,0,14.525,0.00670900692840647,0,0,1,0.00046189376443418,7,0.00323325635103926,5,0.0023094688221709,24,0.0110854503464203,23,0.0106235565819861,2,0.00092378752886836,26,0.0120092378752887,2,0.00092378752886836,239.856,0.110787990762125,61,0.028175519630485,106,0.0489607390300231,15.683,0.00724387990762125,7,0.00323325635103926
"VÄNERSBORG TORPA",202231,2022-08-04,1895,199.393,0.105220580474934,58.284,0.03075672823219,23.891,0.0126073878627968,0,0,24,0.012664907651715,0,0,4.218,0.00222585751978892,2,0.00105540897097625,14,0.00738786279683377,4,0.00211081794195251,51,0.0269129287598945,18,0.00949868073878628,178.834,0.0943715039577836,50.284,0.026535092348285,23.891,0.0126073878627968,6.393,0.00337361477572559,28,0.0147757255936675,0,0,0,0,0,0,24,0.012664907651715,0,0,4.218,0.00222585751978892,0,0,3.332,0.00175831134564644,0,0,2,0.00105540897097625,12,0.00633245382585752,2,0.00105540897097625,4,0.00211081794195251,51,0.0269129287598945,0,0,17,0.00897097625329815,1,0.000527704485488127,175.502,0.0926131926121372,28,0.0147757255936675,81,0.0427440633245383,4.218,0.00222585751978892,12,0.00633245382585752
"VÄNERSBORG TORPA",202231,2022-08-03,1905,240.333,0.12615905511811,87.174,0.0457606299212598,18.525,0.0097244094488189,0,0,28,0.0146981627296588,0,0,6.634,0.00348241469816273,2,0.0010498687664042,9,0.0047244094488189,6,0.0031496062992126,59,0.0309711286089239,24,0.0125984251968504,227.016,0.119168503937008,61.174,0.0321123359580053,18.525,0.0097244094488189,16.649,0.00873963254593176,52,0.0272965879265092,0,0,0,0,0,0,28,0.0146981627296588,0,0,6.634,0.00348241469816273,0,0,5.208,0.00273385826771654,0,0,2,0.0010498687664042,9,0.0047244094488189,0,0,6,0.0031496062992126,57,0.0299212598425197,2,0.0010498687664042,21,0.0110236220472441,3,0.0015748031496063,221.808,0.116434645669291,52,0.0272965879265092,93,0.0488188976377953,6.634,0.00348241469816273,9,0.0047244094488189
"VÄNERSBORG TORPA",202231,2022-08-02,2024,254.113,0.125549901185771,84.506,0.041751976284585,17.817,0.00880286561264822,0,0,41,0.0202569169960474,0,0,4.79,0.00236660079051383,0,0,10,0.00494071146245059,5,0.0024703557312253,58,0.0286561264822134,33,0.016304347826087,240.132,0.118642292490119,71.506,0.0353290513833992,17.817,0.00880286561264822,20.689,0.010221837944664,46,0.0227272727272727,0,0,0,0,0,0,41,0.0202569169960474,0,0,4.79,0.00236660079051383,0,0,3.836,0.00189525691699605,0,0,0,0,7,0.00345849802371542,3,0.00148221343873518,5,0.0024703557312253,58,0.0286561264822134,0,0,33,0.016304347826087,0,0,236.296,0.116747035573123,46,0.0227272727272727,107,0.0528656126482213,4.79,0.00236660079051383,7,0.00345849802371542
"VÄNERSBORG TORPA",202231,2022-08-01,1926,197.045,0.102307892004154,73.953,0.0383971962616822,19.374,0.0100591900311526,0,0,20,0.0103842159916926,0,0,3.718,0.00193042575285566,5,0.00259605399792316,16,0.0083073727933541,1,0.000519210799584631,47,0.0244029075804777,11,0.00571131879543095,179.865,0.0933878504672897,51.953,0.0269745586708204,19.374,0.0100591900311526,16.579,0.0086079958463136,38,0.019730010384216,0,0,0,0,0,0,20,0.0103842159916926,0,0,3.718,0.00193042575285566,0,0,2.194,0.00113914849428868,0,0,5,0.00259605399792316,14,0.00726895119418484,2,0.00103842159916926,1,0.000519210799584631,43,0.0223260643821391,4,0.00207684319833853,11,0.00571131879543095,0,0,177.671,0.092248701973001,38,0.019730010384216,70,0.0363447559709242,3.718,0.00193042575285566,14,0.00726895119418484
"VÄNERSBORG TORPA",202230,2022-07-31,1850,238.418,0.128874594594595,85.62,0.0462810810810811,23.774,0.0128508108108108,0,0,75,0.0405405405405405,0,0,3.024,0.00163459459459459,4,0.00216216216216216,8,0.00432432432432432,6,0.00324324324324324,15,0.00810810810810811,18,0.00972972972972973,217.668,0.117658378378378,68.62,0.0370918918918919,23.774,0.0128508108108108,22.846,0.0123491891891892,39,0.0210810810810811,0,0,0,0,0,0,75,0.0405405405405405,0,0,3.024,0.00163459459459459,0,0,3.024,0.00163459459459459,0,0,4,0.00216216216216216,7,0.00378378378378378,1,0.000540540540540541,6,0.00324324324324324,13,0.00702702702702703,2,0.00108108108108108,18,0.00972972972972973,0,0,214.644,0.116023783783784,39,0.0210810810810811,97,0.0524324324324324,3.024,0.00163459459459459,7,0.00378378378378378
"VÄNERSBORG TORPA",202230,2022-07-30,1913,249.437,0.130390486147412,99.218,0.0518651332984841,14.803,0.00773810768426555,0,0,61,0.0318870883429169,0,0,4.416,0.00230841610036592,6,0.00313643491897543,7,0.003659174072138,6,0.00313643491897543,21,0.010977522216414,30,0.0156821745948772,239.05,0.124960794563513,64.218,0.033569262937794,14.803,0.00773810768426555,13.415,0.0070125457396759,71,0.0371144798745426,0,0,0,0,0,0,61,0.0318870883429169,0,0,4.416,0.00230841610036592,0,0,4.416,0.00230841610036592,0,0,6,0.00313643491897543,6,0.00313643491897543,1,0.000522739153162572,6,0.00313643491897543,19,0.00993204391008887,2,0.00104547830632514,29,0.0151594354417146,1,0.000522739153162572,234.634,0.122652378463147,71,0.0371144798745426,89,0.0465237846314689,4.416,0.00230841610036592,6,0.00313643491897543
"VÄNERSBORG TORPA",202230,2022-07-29,2162,324.783,0.150223404255319,125.791,0.0581827012025902,20.56,0.00950971322849214,0,0,89,0.0411655874190564,0,0,4.432,0.00204995374653099,1,0.000462534690101758,10,0.00462534690101758,6,0.00277520814061055,38,0.0175763182238668,30,0.0138760407030527,307.441,0.142202127659574,60.791,0.028117946345976,20.56,0.00950971322849214,9.231,0.00426965772432932,96,0.0444033302497687,0,0,0,0,0,0,89,0.0411655874190564,0,0,4.432,0.00204995374653099,0,0,3.218,0.00148843663274746,0,0,1,0.000462534690101758,9,0.00416281221091582,1,0.000462534690101758,6,0.00277520814061055,37,0.017113783533765,1,0.000462534690101758,28,0.0129509713228492,2,0.000925069380203515,304.223,0.140713691026827,96,0.0444033302497687,134,0.0619796484736355,4.432,0.00204995374653099,9,0.00416281221091582
"VÄNERSBORG TORPA",202230,2022-07-28,1931,253.284,0.131167270844122,79.842,0.0413474883480062,23.556,0.012198860693941,0,0,73,0.0378042465044019,0,0,4.886,0.00253029518384257,2,0.00103573278094252,11,0.00569653029518384,9,0.00466079751424133,28,0.0145002589331952,22,0.0113930605903677,233.046,0.120686690833765,62.842,0.0325437597099948,23.556,0.012198860693941,15.286,0.00791610564474366,41,0.0212325220093216,0,0,0,0,1,0.000517866390471258,72,0.0372863801139306,0,0,4.886,0.00253029518384257,0,0,3.318,0.00171828068358364,0,0,2,0.00103573278094252,6,0.00310719834282755,5,0.00258933195235629,9,0.00466079751424133,26,0.0134645261522527,2,0.00103573278094252,19,0.00983946141895391,3,0.00155359917141378,229.728,0.118968410150181,41,0.0212325220093216,115,0.0595546349041947,4.886,0.00253029518384257,6,0.00310719834282755
"VÄNERSBORG TORPA",202230,2022-07-27,2014,232.707,0.115544687189672,80.269,0.0398555114200596,22.152,0.0109990069513406,0,0,50,0.0248262164846077,0,0,6.286,0.00312115193644489,2,0.00099304865938431,8,0.00397219463753724,2,0.00099304865938431,46,0.0228401191658391,16,0.00794438927507448,215.817,0.107158391261172,43.269,0.0214841112214499,22.152,0.0109990069513406,3.117,0.00154766633565045,55,0.0273088381330685,0,0,0,0,0,0,50,0.0248262164846077,0,0,6.286,0.00312115193644489,0,0,5.262,0.00261271102284012,0,0,2,0.00099304865938431,8,0.00397219463753724,0,0,2,0.00099304865938431,46,0.0228401191658391,0,0,12,0.00595829195630586,4,0.00198609731876862,210.555,0.104545680238332,55,0.0273088381330685,98,0.0486593843098312,6.286,0.00312115193644489,8,0.00397219463753724
"VÄNERSBORG TORPA",202230,2022-07-26,2079,194.564,0.0935853775853776,59.41,0.0285762385762386,23.328,0.0112207792207792,0,0,37,0.0177970177970178,0,0,4.826,0.00232130832130832,3,0.00144300144300144,9,0.00432900432900433,10,0.00481000481000481,21,0.0101010101010101,27,0.012987012987013,175.344,0.0843405483405483,57.41,0.0276142376142376,23.328,0.0112207792207792,4.082,0.00196344396344396,32,0.0153920153920154,0,0,0,0,0,0,37,0.0177970177970178,0,0,4.826,0.00232130832130832,0,0,4.108,0.00197594997594998,0,0,3,0.00144300144300144,7,0.00336700336700337,2,0.000962000962000962,10,0.00481000481000481,17,0.00817700817700818,4,0.00192400192400192,26,0.0125060125060125,1,0.000481000481000481,171.236,0.0823645983645984,32,0.0153920153920154,70,0.0336700336700337,4.826,0.00232130832130832,7,0.00336700336700337
"VÄNERSBORG TORPA",202230,2022-07-25,1875,187.627,0.100067733333333,67.126,0.0358005333333333,34.227,0.0182544,0,0,24,0.0128,0,0,5.274,0.0028128,1,0.000533333333333333,12,0.0064,5,0.00266666666666667,28,0.0149333333333333,11,0.00586666666666667,157.166,0.0838218666666667,47.126,0.0251338666666667,34.227,0.0182544,0.899,0.000479466666666667,32,0.0170666666666667,0,0,0,0,0,0,24,0.0128,0,0,5.274,0.0028128,0,0,3.766,0.00200853333333333,0,0,1,0.000533333333333333,9,0.0048,3,0.0016,5,0.00266666666666667,24,0.0128,4,0.00213333333333333,11,0.00586666666666667,0,0,153.4,0.0818133333333333,32,0.0170666666666667,60,0.032,5.274,0.0028128,9,0.0048
"VÄNERSBORG TORPA",202229,2022-07-24,1763,283.126,0.160593306863301,68.566,0.0388916619398752,21.566,0.0122325581395349,0,0,32,0.0181508791832104,0,0,3.994,0.00226545660805445,4,0.0022688598979013,9,0.00510493477027794,91,0.0516165626772547,40,0.022688598979013,13,0.00737379466817924,264.33,0.149931934203063,38.566,0.0218752127056154,21.566,0.0122325581395349,0,0,47,0.0266591038003403,0,0,0,0,0,0,32,0.0181508791832104,0,0,3.994,0.00226545660805445,0,0,2.77,0.00157118547929665,0,0,4,0.0022688598979013,6,0.00340328984685196,3,0.00170164492342598,91,0.0516165626772547,40,0.022688598979013,0,0,13,0.00737379466817924,0,0,261.56,0.148360748723766,47,0.0266591038003403,166,0.0941576857629041,3.994,0.00226545660805445,6,0.00340328984685196
"VÄNERSBORG TORPA",202229,2022-07-23,1962,342.144,0.174385321100917,74.317,0.0378781855249745,21.397,0.0109057084607543,0,0,71,0.0361875637104995,0,0,5.43,0.00276758409785933,2,0.00101936799184506,7,0.0035677879714577,94,0.0479102956167176,57,0.0290519877675841,10,0.00509683995922528,324.995,0.165644750254842,37.317,0.019019877675841,21.397,0.0109057084607543,3.92,0.00199796126401631,49,0.0249745158002039,0,0,0,0,0,0,71,0.0361875637104995,0,0,5.43,0.00276758409785933,0,0,4.248,0.0021651376146789,0,0,2,0.00101936799184506,4,0.00203873598369011,3,0.00152905198776758,94,0.0479102956167176,55,0.028032619775739,2,0.00101936799184506,8,0.00407747196738022,2,0.00101936799184506,320.747,0.163479612640163,49,0.0249745158002039,225,0.114678899082569,5.43,0.00276758409785933,4,0.00203873598369011
