"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"MALMÖ TRIANGELN",202232,2022-08-09,2283,297.292,0.130219886114761,49.12,0.0215155497152869,52.12,0.0228296101620675,17,0.00744634253175646,32,0.0140166447656592,1,0.000438020148926851,0.052,2.27770477441962e-05,2,0.000876040297853701,63,0.0275952693823916,26,0.0113885238720981,33,0.0144546649145861,22,0.00963644327639071,251.172,0.110018396846255,179.12,0.0784581690757775,46.12,0.0202014892685063,0,0,3,0.00131406044678055,6,0.0026281208935611,17,0.00744634253175646,20,0.00876040297853701,12,0.00525624178712221,1,0.000438020148926851,0,0,0.052,2.27770477441962e-05,0,0,0,0,1,0.000438020148926851,2,0.000876040297853701,62,0.0271572492334647,37,0.0162067455102935,22,0.00963644327639071,10,0.00438020148926851,12,0.00525624178712221,251.172,0.110018396846255,3,0.00131406044678055,8,0.00350416119141481,2.052,0.000898817345597898,59,0.0258431887866842
"MALMÖ TRIANGELN",202232,2022-08-08,2527,335.722,0.132853977047883,53.24,0.0210684606252473,59.24,0.0234428175702414,17,0.00672734467748318,31,0.0122675108824693,5,0.00197863078749505,0.242,9.57657301147606e-05,3,0.00118717847249703,50,0.0197863078749505,33,0.0130589631974674,62,0.0245350217649387,22,0.00870597546497823,286.482,0.113368421052632,170.24,0.0673684210526316,49.24,0.0194855559952513,1,0.000395726157499011,3,0.00118717847249703,10,0.00395726157499011,17,0.00672734467748318,17,0.00672734467748318,14,0.00554016620498615,5,0.00197863078749505,0,0,0.242,9.57657301147606e-05,0,0,0,0,2,0.000791452314998021,2,0.000791452314998021,49,0.0193905817174515,51,0.0201820340324495,44,0.0174119509299565,6,0.00237435694499406,16,0.00633161851998417,286.482,0.113368421052632,3,0.00118717847249703,16,0.00633161851998417,2.242,0.000887218045112782,95,0.037593984962406
"MALMÖ TRIANGELN",202231,2022-08-07,2152,322.974,0.150080855018587,56.395,0.0262058550185874,62.395,0.0289939591078067,13,0.00604089219330855,24,0.0111524163568773,7,0.00325278810408922,0.184,8.55018587360595e-05,3,0.00139405204460967,25,0.0116171003717472,57,0.0264869888475836,55,0.0255576208178439,20,0.00929368029739777,271.579,0.126198420074349,132.395,0.0615218401486989,51.395,0.0238824349442379,3,0.00139405204460967,2,0.000929368029739777,11,0.00511152416356877,13,0.00604089219330855,16,0.00743494423791822,8,0.00371747211895911,7,0.00325278810408922,0,0,0.184,8.55018587360595e-05,0,0,0,0,4,0.00185873605947955,3,0.00139405204460967,21,0.00975836431226766,66,0.0306691449814126,46,0.0213754646840149,14,0.00650557620817844,6,0.00278810408921933,271.579,0.126198420074349,2,0.000929368029739777,22,0.0102230483271375,3.184,0.00147955390334573,112,0.0520446096654275
"MALMÖ TRIANGELN",202231,2022-08-06,2261,243.432,0.107665634674923,32.77,0.0144935869084476,47.77,0.0211278195488722,19,0.00840336134453781,37,0.0163644405130473,3,0.00132684652808492,0.892,0.000394515701017249,4,0.00176912870411322,22,0.00973020787262273,22,0.00973020787262273,29,0.0128261831048209,26,0.011499336576736,212.662,0.0940566121185316,132.77,0.0587218045112782,30.77,0.013609022556391,1,0.000442282176028306,1,0.000442282176028306,17,0.0075187969924812,19,0.00840336134453781,23,0.010172490048651,14,0.00619195046439629,3,0.00132684652808492,0,0,0.604,0.000267138434321097,0,0,0.288,0.000127377266696152,3,0.00132684652808492,4,0.00176912870411322,19,0.00840336134453781,23,0.010172490048651,28,0.0123839009287926,18,0.00796107916850951,8,0.00353825740822645,212.662,0.0940566121185316,1,0.000442282176028306,23,0.010172490048651,4.892,0.00216364440513047,51,0.0225563909774436
"MALMÖ TRIANGELN",202231,2022-08-05,2485,260.276,0.104738832997988,44.655,0.0179698189134809,42.655,0.0171649899396378,17,0.006841046277666,38,0.0152917505030181,14,0.00563380281690141,0.966,0.000388732394366197,2,0.000804828973843058,21,0.00845070422535211,12,0.00482897384305835,31,0.0124748490945674,37,0.0148893360160966,231.621,0.0932076458752515,152.655,0.061430583501006,28.655,0.0115311871227364,14,0.00563380281690141,2,0.000804828973843058,14,0.00563380281690141,17,0.006841046277666,21,0.00845070422535211,17,0.006841046277666,14,0.00563380281690141,0,0,0.432,0.000173843058350101,0,0,0.534,0.000214889336016097,5,0.00201207243460765,1,0.000402414486921529,17,0.006841046277666,24,0.0096579476861167,19,0.00764587525150905,21,0.00845070422535211,16,0.00643863179074447,231.621,0.0932076458752515,2,0.000804828973843058,32,0.0128772635814889,1.966,0.000791146881287726,43,0.0173038229376258
"MALMÖ TRIANGELN",202231,2022-08-04,2164,179.768,0.0830720887245841,26.855,0.0124098890942699,30.855,0.0142583179297597,22,0.0101663585951941,31,0.0143253234750462,4,0.00184842883548983,1.058,0.000488909426987061,4,0.00184842883548983,14,0.00646950092421442,4,0.00184842883548983,29,0.0134011090573013,13,0.00600739371534196,160.913,0.0743590573012939,101.855,0.0470679297597043,18.855,0.0087130314232902,4,0.00184842883548983,4,0.00184842883548983,12,0.0055452865064695,22,0.0101663585951941,16,0.00739371534195933,15,0.00693160813308688,4,0.00184842883548983,0,0,0.416,0.000192236598890943,0,0,0.642,0.000296672828096118,5,0.00231053604436229,2,0.000924214417744917,11,0.00508317929759704,14,0.00646950092421442,19,0.00878003696857671,6,0.00277264325323475,7,0.00323475046210721,160.913,0.0743590573012939,4,0.00184842883548983,19,0.00878003696857671,3.058,0.00141312384473198,33,0.0152495378927911
"MALMÖ TRIANGELN",202231,2022-08-03,2258,255.302,0.113065544729849,31.28,0.0138529672276351,44.28,0.0196102745792737,24,0.0106288751107174,37,0.0163861824623561,6,0.00265721877767936,0.742,0.000328609388839681,2,0.000885739592559787,19,0.00841452612931798,18,0.00797165633303809,43,0.0190434012400354,30,0.0132860938883968,229.022,0.101426926483614,139.28,0.0616829052258636,26.28,0.0116386182462356,4,0.00177147918511957,1,0.000442869796279894,18,0.00797165633303809,24,0.0106288751107174,24,0.0106288751107174,13,0.00575730735163862,6,0.00265721877767936,0,0,0.226,0.000100088573959256,0,0,0.516,0.000228520814880425,3,0.00132860938883968,1,0.000442869796279894,17,0.00752878653675819,27,0.0119574844995571,34,0.0150575730735164,8,0.00354295837023915,22,0.00974313551815766,229.022,0.101426926483614,1,0.000442869796279894,26,0.0115146147032772,1.742,0.000771479185119575,61,0.0270150575730735
"MALMÖ TRIANGELN",202231,2022-08-02,2225,242.752,0.10910202247191,43.025,0.0193370786516854,44.025,0.0197865168539326,20,0.00898876404494382,30,0.0134831460674157,4,0.00179775280898876,0.702,0.000315505617977528,1,0.000449438202247191,12,0.00539325842696629,19,0.00853932584269663,45,0.0202247191011236,24,0.0107865168539326,211.727,0.095158202247191,128.025,0.0575393258426966,31.025,0.0139438202247191,11,0.0049438202247191,1,0.000449438202247191,13,0.00584269662921348,20,0.00898876404494382,17,0.00764044943820225,13,0.00584269662921348,4,0.00179775280898876,0,0,0.232,0.000104269662921348,0,0,0.47,0.00021123595505618,0,0,1,0.000449438202247191,12,0.00539325842696629,37,0.0166292134831461,27,0.0121348314606742,10,0.00449438202247191,14,0.00629213483146067,211.727,0.095158202247191,1,0.000449438202247191,17,0.00764044943820225,1.702,0.000764943820224719,64,0.0287640449438202
"MALMÖ TRIANGELN",202231,2022-08-01,2425,239.66,0.0988288659793814,49.55,0.0204329896907216,40.55,0.0167216494845361,16,0.0065979381443299,21,0.00865979381443299,4,0.00164948453608247,0.56,0.000230927835051546,2,0.000824742268041237,21,0.00865979381443299,32,0.0131958762886598,37,0.0152577319587629,16,0.0065979381443299,211.11,0.0870556701030928,118.55,0.0488865979381443,28.55,0.0117731958762887,18,0.00742268041237113,3,0.00123711340206186,12,0.00494845360824742,16,0.0065979381443299,15,0.00618556701030928,6,0.00247422680412371,4,0.00164948453608247,0,0,0.472,0.000194639175257732,0,0,0.088,3.62886597938144e-05,6,0.00247422680412371,0,0,17,0.00701030927835052,33,0.0136082474226804,36,0.0148453608247423,6,0.00247422680412371,10,0.00412371134020619,211.11,0.0870556701030928,3,0.00123711340206186,20,0.00824742268041237,0.56,0.000230927835051546,69,0.0284536082474227
"MALMÖ TRIANGELN",202230,2022-07-31,2059,210.338,0.102155415250121,27.22,0.0132200097134531,43.22,0.020990772219524,9,0.00437105390966489,33,0.0160271976687712,0,0,2.898,0.00140747935891209,1,0.000485672656629432,19,0.0092277804759592,24,0.0116561437591064,33,0.0160271976687712,18,0.00874210781932977,183.118,0.0889354055366683,104.22,0.0506168042739194,27.22,0.0132200097134531,0,0,0,0,16,0.00777076250607091,9,0.00437105390966489,11,0.00534239922292375,22,0.0106847984458475,0,0,1,0.000485672656629432,0.378,0.000183584264205925,0,0,1.52,0.000738222438076736,2,0.000971345313258863,1,0.000485672656629432,17,0.00825643516270034,39,0.0189412336085478,18,0.00874210781932977,9,0.00437105390966489,9,0.00437105390966489,183.118,0.0889354055366683,0,0,18,0.00874210781932977,3.898,0.00189315201554153,57,0.0276833414278776
"MALMÖ TRIANGELN",202230,2022-07-30,2171,227.02,0.104569322892676,31.565,0.0145393827729157,50.565,0.0232911100875173,4,0.00184246890833717,49,0.0225702441271304,2,0.000921234454168586,0.89,0.000409949332105021,2,0.000921234454168586,20,0.00921234454168586,14,0.0064486411791801,29,0.0133578995854445,24,0.011054813450023,197.455,0.0909511745739291,122.565,0.0564555504375864,29.565,0.0136181483187471,0,0,2,0.000921234454168586,21,0.00967296176877015,4,0.00184246890833717,23,0.0105941962229387,26,0.0119760479041916,2,0.000921234454168586,0.116,5.3431598341778e-05,0,0,0,0,0.774,0.000356517733763243,4,0.00184246890833717,2,0.000921234454168586,16,0.00736987563334869,17,0.00783049286043298,26,0.0119760479041916,10,0.00460617227084293,14,0.0064486411791801,197.455,0.0909511745739291,2,0.000921234454168586,27,0.0124366651312759,2.89,0.00133118378627361,43,0.0198065407646246
"MALMÖ TRIANGELN",202230,2022-07-29,2412,214.206,0.0888084577114428,23.77,0.00985489220563847,37.77,0.0156592039800995,7,0.00290215588723051,47,0.019485903814262,3,0.00124378109452736,2.666,0.00110530679933665,3,0.00124378109452736,15,0.00621890547263682,11,0.00456053067993367,31,0.0128524046434494,33,0.013681592039801,191.436,0.0793681592039801,122.77,0.0508996683250415,22.77,0.00944029850746269,0,0,1,0.000414593698175788,15,0.00621890547263682,7,0.00290215588723051,22,0.00912106135986733,25,0.0103648424543947,3,0.00124378109452736,0,0,0.104,4.31177446102819e-05,0,0,2.562,0.00106218905472637,2,0.000829187396351575,3,0.00124378109452736,13,0.00538971807628524,22,0.00912106135986733,20,0.00829187396351575,20,0.00829187396351575,13,0.00538971807628524,191.436,0.0793681592039801,1,0.000414593698175788,20,0.00829187396351575,5.666,0.00234908789386401,42,0.0174129353233831
"MALMÖ TRIANGELN",202230,2022-07-28,2310,256.9,0.111212121212121,34.535,0.0149502164502164,51.535,0.0223095238095238,9,0.0038961038961039,56,0.0242424242424242,0,0,1.83,0.000792207792207792,2,0.000865800865800866,20,0.00865800865800866,20,0.00865800865800866,33,0.0142857142857143,29,0.0125541125541126,222.365,0.0962619047619048,147.535,0.0638679653679654,34.535,0.0149502164502164,0,0,0,0,17,0.00735930735930736,9,0.0038961038961039,6,0.0025974025974026,50,0.0216450216450216,0,0,0,0,0.124,5.36796536796537e-05,0,0,1.706,0.000738528138528139,1,0.000432900432900433,2,0.000865800865800866,19,0.00822510822510823,22,0.00952380952380952,31,0.0134199134199134,14,0.00606060606060606,15,0.00649350649350649,222.365,0.0962619047619048,0,0,18,0.00779220779220779,3.83,0.00165800865800866,53,0.0229437229437229
"MALMÖ TRIANGELN",202230,2022-07-27,2445,254.012,0.103890388548057,40.645,0.0166237218813906,46.645,0.0190777096114519,11,0.00449897750511247,55,0.0224948875255624,1,0.000408997955010225,2.722,0.00111329243353783,4,0.0016359918200409,18,0.00736196319018405,22,0.00899795501022495,40,0.016359918200409,13,0.00531697341513292,214.367,0.0876756646216769,137.645,0.0562965235173824,39.645,0.0162147239263804,0,0,1,0.000408997955010225,7,0.00286298568507157,11,0.00449897750511247,5,0.00204498977505112,50,0.0204498977505112,1,0.000408997955010225,0,0,0.17,6.95296523517383e-05,0,0,2.552,0.00104376278118609,1,0.000408997955010225,3,0.00122699386503067,18,0.00736196319018405,33,0.0134969325153374,29,0.0118609406952965,6,0.00245398773006135,7,0.00286298568507157,214.367,0.0876756646216769,1,0.000408997955010225,8,0.0032719836400818,5.722,0.00234028629856851,62,0.0253578732106339
"MALMÖ TRIANGELN",202230,2022-07-26,2303,254.89,0.110677377333912,40.63,0.0176422058184976,50.63,0.0219843682153713,11,0.00477637863656101,56,0.0243161094224924,4,0.00173686495874946,0.63,0.000273556231003039,1,0.000434216239687364,18,0.00781589231437256,15,0.00651324359531046,28,0.0121580547112462,30,0.0130264871906209,214.26,0.0930351715154147,153.63,0.0667086409031698,40.63,0.0176422058184976,0,0,0,0,10,0.00434216239687364,11,0.00477637863656101,14,0.0060790273556231,42,0.0182370820668693,4,0.00173686495874946,0,0,0.024,1.04211897524967e-05,0,0,0.606,0.000263135041250543,2,0.000868432479374729,1,0.000434216239687364,16,0.00694745983499783,17,0.00738167607468519,26,0.0112896222318715,14,0.0060790273556231,16,0.00694745983499783,214.26,0.0930351715154147,0,0,16,0.00694745983499783,1.63,0.000707772470690404,43,0.0186712983065567
