"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Extra","kampanj_convrate_Extra","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"VENDELSÖ SÅGEN",202224,7999,704.108,0.0880245030628829,155.054,0.0193841730216277,56.054,0.00700762595324416,34,0.00425053131641455,181,0.0226278284785598,0,0,0,0,9,0.00112514064258032,49,0.00612576572071509,7,0.000875109388673584,107,0.0133766720840105,106,0.0132516564570571,659.054,0.0823920490061258,498.054,0.0622645330666333,45.054,0.00563245405675709,81,0.0101262657832229,29,0.00362545318164771,11,0.00137517189648706,34,0.00425053131641455,44,0.00550068758594824,137,0.0171271408926116,0,0,0,0,0,0,0,0,0,0,2,0.000250031253906738,7,0.000875109388673584,49,0.00612576572071509,19,0.00237529691211401,95,0.0118764845605701,60,0.00750093761720215,46,0.00575071883985498,659.054,0.0823920490061258,29,0.00362545318164771,11,0.00137517189648706,7,0.000875109388673584,114,0.0142517814726841
"VENDELSÖ SÅGEN",202223,8419,569.852,0.0676864235657441,53.926,0.00640527378548521,64.926,0.00771184226155125,41,0.00486993704715524,93,0.0110464425703765,2,0.00023755790473928,0,0,25,0.002969473809241,46,0.00546383180900344,15,0.0017816842855446,66,0.00783941085639625,163,0.0193609692362513,530.926,0.0630628340658035,394.926,0.0469088965435325,38.926,0.00462358949994061,0,0,15,0.0017816842855446,26,0.00308825276161064,41,0.00486993704715524,59,0.00700795818980877,34,0.00403848438056776,2,0.00023755790473928,0,0,0,0,0,0,0,0,15,0.0017816842855446,11,0.00130656847606604,45,0.0053450528566338,10,0.0011877895236964,71,0.00843330561824445,87,0.0103337688561587,76,0.00902720038009265,530.926,0.0630628340658035,15,0.0017816842855446,29,0.00344458961871956,11,0.00130656847606604,81,0.00962109514194085
"VENDELSÖ SÅGEN",202222,8040,647.752,0.0805661691542288,64.876,0.00806915422885572,106.876,0.0132930348258706,36,0.00447761194029851,82,0.0101990049751244,9,0.00111940298507463,0,0,105,0.0130597014925373,43,0.00534825870646766,3,0.000373134328358209,87,0.0108208955223881,111,0.0138059701492537,604.876,0.0752333333333333,405.876,0.0504820895522388,42.876,0.00533283582089552,0,0,22,0.0027363184079602,64,0.00796019900497512,36,0.00447761194029851,67,0.00833333333333333,15,0.00186567164179104,9,0.00111940298507463,0,0,0,0,0,0,0,0,99,0.0123134328358209,10,0.00124378109452736,39,0.00485074626865672,25,0.00310945273631841,65,0.00808457711442786,47,0.00584577114427861,64,0.00796019900497512,604.876,0.0752333333333333,22,0.0027363184079602,77,0.0095771144278607,10,0.00124378109452736,90,0.0111940298507463
"VENDELSÖ SÅGEN",202221,7987,962.212,0.120472267434581,63.106,0.00790108927006385,200.106,0.0250539626893702,32,0.004006510579692,330,0.0413171403530737,0,0,0,0,52,0.0065105796919995,40,0.005008138224615,11,0.00137723801176912,90,0.0112683110053837,144,0.018029297608614,930.106,0.116452485288594,580.106,0.0726312758232127,32.106,0.00401978214598723,0,0,31,0.00388130712407662,168,0.021034180543383,32,0.004006510579692,302,0.0378114435958432,28,0.0035056967572305,0,0,0,0,0,0,0,0,0,0,2,0.00025040691123075,50,0.00626017278076875,40,0.005008138224615,26,0.00325528984599975,75,0.00939025917115312,74,0.00926505571553775,70,0.00876424189307625,930.106,0.116452485288594,31,0.00388130712407662,168,0.021034180543383,50,0.00626017278076875,101,0.0126455490171529
"VÄNERSBORG TORPA",202245,14715,6339.982,0.430851647978253,1912.804,0.129990078151546,1632.804,0.110961875637105,239,0.0162419300033979,1360,0.0924226979272851,0,0,5.374,0.000365205572545022,310,0.0210669384981312,512,0.0347944274549779,18,0.00122324159021407,84,0.00570846075433231,266,0.018076792388719,4954.178,0.33667536527353,3767.804,0.256051919809718,1385.804,0.0941762827047231,52,0.00353380903839619,475,0.0322799864084268,247,0.0167855929323819,239,0.0162419300033979,955,0.0648997621474686,405,0.0275229357798165,0,0,0,0,4.084,0.000277539925246347,0,0,1.29,8.76656472986748e-05,605,0.0411145090044173,31,0.00210669384981312,186,0.0126401630988787,11,0.000747536527353041,91,0.00618416581719334,133,0.0090383961943595,133,0.0090383961943595,4954.178,0.33667536527353,475,0.0322799864084268,573,0.0389398572884811,36.374,0.00247189942235814,102,0.00693170234454638
"VÄNERSBORG TORPA",202233,15975,1567.378,0.0981144287949922,170.121,0.0106492018779343,257.121,0.0160952112676056,148,0.00926447574334898,450,0.028169014084507,0,0,10.136,0.000634491392801252,37,0.00231611893583725,125,0.00782472613458529,44,0.00275430359937402,129,0.00807511737089202,197,0.0123317683881064,1397.257,0.0874652269170579,1050.121,0.0657352738654147,170.121,0.0106492018779343,0,0,0,0,87,0.00544600938967136,148,0.00926447574334898,0,0,450,0.028169014084507,0,0,0.34,2.1283255086072e-05,8.522,0.000533458528951487,0,0,1.274,7.97496087636933e-05,44,0.00275430359937402,35,0.00219092331768388,83,0.00519561815336463,67,0.00419405320813772,106,0.00663536776212833,117,0.00732394366197183,80,0.00500782472613458,1397.257,0.0874652269170579,0,0,129,0.00807511737089202,45.136,0.00282541471048513,173,0.010829420970266
"VÄNERSBORG TORPA",202232,15380,1588.956,0.103313133940182,183.68,0.0119427828348505,268.68,0.0174694408322497,159,0.0103381014304291,159,0.0103381014304291,0,0,9.596,0.000623927178153446,30,0.00195058517555267,361,0.0234720416124837,36,0.0023407022106632,112,0.00728218465539662,270,0.017555266579974,1417.276,0.0921505851755527,1103.68,0.0717607282184655,171.68,0.0111625487646294,12,0.000780234070221066,0,0,97,0.00630689206762029,159,0.0103381014304291,0,0,159,0.0103381014304291,0,0,0,0,6.716,0.00043667100130039,0,0,2.88,0.000187256176853056,37,0.00240572171651495,26,0.00169050715214564,328,0.0213263979193758,32,0.00208062418725618,116,0.00754226267880364,130,0.00845253576072822,140,0.00910273081924577,1417.276,0.0921505851755527,0,0,130,0.00845253576072822,35.596,0.00231443433029909,148,0.00962288686605982
"VÄNERSBORG TORPA",202231,13715,1370.41,0.0999205249726577,159.58,0.011635435654393,228.58,0.0166664236237696,220,0.016040831206708,195,0.014218009478673,0,0,8.25,0.000601531170251549,41,0.0029894276339774,142,0.0103536274152388,16,0.0011666059059424,147,0.0107181917608458,213,0.0155304411228582,1241.83,0.0905453882610281,902.58,0.0658096974115931,128.58,0.0093751367116296,31,0.0022602989427634,0,0,100,0.00729128691213999,220,0.016040831206708,22,0.0016040831206708,173,0.0126139263580022,0,0,0,0,6.624,0.000482974845060153,0,0,1.626,0.000118556325191396,35,0.002551950419249,37,0.0026977761574918,111,0.00809332847247539,15,0.001093693036821,148,0.0107911046299672,132,0.00962449872402479,81,0.00590594239883339,1241.83,0.0905453882610281,0,0,131,0.00955158585490339,45.25,0.00329930732774335,163,0.0118847976667882
"VÄNERSBORG TORPA",202230,13824,1588.868,0.114935474537037,153.756,0.0111223958333333,236.756,0.0171264467592593,201,0.0145399305555556,388,0.0280671296296296,0,0,6.356,0.000459780092592593,37,0.00267650462962963,148,0.0107060185185185,29,0.00209780092592593,169,0.0122251157407407,220,0.0159143518518519,1435.112,0.103813078703704,1078.756,0.0780350115740741,153.756,0.0111223958333333,0,0,0,0,83,0.00600405092592593,201,0.0145399305555556,12,0.000868055555555556,376,0.0271990740740741,0,0,0,0,6.032,0.000436342592592593,0,0,0.324,2.34375e-05,32,0.00231481481481481,37,0.00267650462962963,116,0.0083912037037037,44,0.00318287037037037,154,0.0111400462962963,126,0.00911458333333333,94,0.00679976851851852,1435.112,0.103813078703704,0,0,115,0.00831886574074074,43.356,0.00313628472222222,198,0.0143229166666667
"VÄNERSBORG TORPA",202229,14252,1581.452,0.110963513892787,140.748,0.00987566657311255,535.748,0.037591074936851,180,0.0126298063429694,167,0.0117176536626438,0,0,11.956,0.000838899803536346,18,0.00126298063429694,147,0.0103143418467584,29,0.00203480213303396,153,0.010735335391524,199,0.0139629525680606,1440.704,0.101087847319674,808.748,0.0567462812236879,140.748,0.00987566657311255,0,0,0,0,395,0.0277154083637384,180,0.0126298063429694,38,0.00266629245018243,129,0.00905136121246141,0,0,0,0,9.686,0.000679623912433343,0,0,2.27,0.000159275891103003,29,0.00203480213303396,16,0.00112264945270839,120,0.00841987089531294,30,0.00210496772382823,152,0.0106651698007297,125,0.00877069884928431,74,0.00519225371877631,1440.704,0.101087847319674,0,0,422,0.0296098793151838,27.956,0.00196154925624474,182,0.012770137524558
"VÄNERSBORG TORPA",202228,14426,1293.266,0.0896482739498128,196.413,0.0136152086510467,247.413,0.0171504921669208,186,0.0128933869402468,170,0.0117842783862471,0,0,9.44,0.000654374046859837,27,0.00187162068487453,127,0.0088035491473728,16,0.00110910855399972,144,0.0099819769859975,170,0.0117842783862471,1142.853,0.0792217523915153,837.413,0.0580488700956606,150.413,0.0104265215582975,46,0.0031886870927492,0,0,97,0.00672397060862332,186,0.0128933869402468,12,0.000831831415499792,158,0.0109524469707473,0,0,0,0,8.108,0.00056204075973936,0,0,1.332,9.23332871204769e-05,22,0.00152502426174962,22,0.00152502426174962,110,0.00762512130874809,20,0.00138638569249965,140,0.00970469984749757,107,0.00741716345487315,63,0.00436711493137391,1142.853,0.0792217523915153,0,0,114,0.00790239844724802,31.44,0.00217939830860946,160,0.0110910855399972
