"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"ÖRNSKÖLDSVIK DOMSJÖ",202231,6495,283.945,0.0437174749807544,14,0.00215550423402617,53.275,0.00820246343341031,57,0.00877598152424942,39,0.00600461893764434,0,0,1.67,0.000257120862201694,6,0.00092378752886836,70,0.0107775211701309,34,0.00523479599692071,3,0.00046189376443418,6,0.00092378752886836,283.945,0.0437174749807544,144.945,0.0223163972286374,0,0,0,0,14,0.00215550423402617,53.275,0.00820246343341031,39,0.00600461893764434,18,0.00277136258660508,0,0,39,0.00600461893764434,0,0,0,0,1.67,0.000257120862201694,0,0,6,0.00092378752886836,43,0.00662047729022325,27,0.00415704387990762,18,0.00277136258660508,16,0.00246343341031563,3,0.00046189376443418,6,0.00092378752886836,283.945,0.0437174749807544,49,0.00754426481909161,14,0.00215550423402617,60,0.0092378752886836,16,0.00246343341031563
"ÖRNSKÖLDSVIK DOMSJÖ",202230,6730,426.838,0.0634231797919762,14,0.00208023774145617,212.02,0.0315037147102526,53,0.00787518573551263,7,0.00104011887072808,0,0,1.818,0.000270133729569094,10,0.00148588410104012,62,0.00921248142644874,45,0.00668647845468053,3,0.000445765230312036,19,0.00282317979197623,423.838,0.0629774145616642,295.838,0.0439580980683507,3,0.000445765230312036,0,0,11,0.00163447251114413,209.02,0.0310579494799406,44,0.00653789004457652,9,0.00133729569093611,0,0,7,0.00104011887072808,0,0,0,0,1.818,0.000270133729569094,0,0,10,0.00148588410104012,40,0.00594353640416048,22,0.00326894502228826,35,0.00520059435364042,10,0.00148588410104012,3,0.000445765230312036,19,0.00282317979197623,423.838,0.0629774145616642,62,0.00921248142644874,11,0.00163447251114413,45,0.00668647845468053,10,0.00148588410104012
"ÖRNSKÖLDSVIK DOMSJÖ",202229,6957,596.159,0.0856919649274112,67,0.00963058789708207,81.055,0.0116508552537013,45,0.00646830530401035,59,0.0084806669541469,1,0.000143740117866897,0.104,1.49489722581573e-05,10,0.00143740117866897,58,0.00833692683628001,253,0.0363662498203249,9,0.00129366106080207,13,0.00186862153226966,542.159,0.0779299985625988,96.159,0.0138219059939629,54,0.00776196636481242,0,0,13,0.00186862153226966,27.055,0.00388888888888889,34,0.00488716400747449,11,0.00158114129653586,0,0,59,0.0084806669541469,1,0.000143740117866897,0.104,1.49489722581573e-05,0,0,0,0,10,0.00143740117866897,45,0.00646830530401035,13,0.00186862153226966,247,0.0355038091131235,6,0.00086244070720138,9,0.00129366106080207,13,0.00186862153226966,542.159,0.0779299985625988,112,0.0160988932010924,13,0.00186862153226966,315,0.0452781371280724,6,0.00086244070720138
"ÖRNSKÖLDSVIK DOMSJÖ",202228,6781,285.843,0.0421535171803569,14,0.002064592243032,22.665,0.00334242737059431,69,0.0101754903406577,39,0.00575136410558915,7,0.001032296121516,1.178,0.000173720690163693,22,0.00324435923905029,50,0.00737354372511429,43,0.00634124760359829,6,0.000884825247013715,12,0.00176965049402743,285.843,0.0421535171803569,145.843,0.0215075947500369,0,0,0,0,14,0.002064592243032,22.665,0.00334242737059431,62,0.00914319421914172,7,0.001032296121516,0,0,39,0.00575136410558915,7,0.001032296121516,0,0,1.178,0.000173720690163693,0,0,22,0.00324435923905029,26,0.00383424273705943,24,0.00353930098805486,30,0.00442412623506857,13,0.00191712136852972,6,0.000884825247013715,12,0.00176965049402743,285.843,0.0421535171803569,38,0.00560389323108686,14,0.002064592243032,75,0.0110603155876714,13,0.00191712136852972
"ÖRNSKÖLDSVIK DOMSJÖ",202227,6596,360.391,0.0546378107944209,13,0.00197089144936325,33.435,0.00506898120072771,55,0.00833838690115221,66,0.0100060642813827,1,0.000151607034566404,14.956,0.00226743480897514,54,0.00818677986658581,72,0.0109157064887811,34,0.00515463917525773,6,0.000909642207398423,11,0.00166767738023044,360.391,0.0546378107944209,189.391,0.0287130078835658,0,0,0,0,13,0.00197089144936325,33.435,0.00506898120072771,41,0.00621588841722256,14,0.00212249848392965,0,0,66,0.0100060642813827,1,0.000151607034566404,0,0,0.956,0.000144936325045482,14,0.00212249848392965,54,0.00818677986658581,41,0.00621588841722256,31,0.00469981807155852,27,0.0040933899332929,7,0.00106124924196483,6,0.000909642207398423,11,0.00166767738023044,360.391,0.0546378107944209,52,0.007883565797453,13,0.00197089144936325,99,0.015009096422074,7,0.00106124924196483
"ÖRNSKÖLDSVIK DOMSJÖ",202226,7080,339.79,0.0479929378531073,15,0.00211864406779661,32.95,0.00465395480225989,66,0.00932203389830509,22,0.00310734463276836,2,0.000282485875706215,75.84,0.0107118644067797,6,0.000847457627118644,59,0.00833333333333333,43,0.00607344632768362,6,0.000847457627118644,12,0.00169491525423729,339.79,0.0479929378531073,209.79,0.0296313559322034,0,0,0,0,15,0.00211864406779661,32.95,0.00465395480225989,44,0.00621468926553672,22,0.00310734463276836,0,0,22,0.00310734463276836,2,0.000282485875706215,0,0,0.84,0.00011864406779661,75,0.0105932203389831,6,0.000847457627118644,32,0.00451977401129944,27,0.0038135593220339,30,0.00423728813559322,13,0.0018361581920904,6,0.000847457627118644,12,0.00169491525423729,339.79,0.0479929378531073,44,0.00621468926553672,15,0.00211864406779661,58,0.00819209039548023,13,0.0018361581920904
"ÖRNSKÖLDSVIK DOMSJÖ",202225,6808,242.815,0.0356661280846063,20,0.00293772032902468,35.38,0.00519682726204465,46,0.00675675675675676,52,0.00763807285546416,0,0,1.435,0.000210781433607521,9,0.0013219741480611,41,0.00602232667450059,29,0.00425969447708578,3,0.000440658049353702,6,0.000881316098707403,242.815,0.0356661280846063,113.815,0.0167178319623972,0,0,0,0,20,0.00293772032902468,35.38,0.00519682726204465,42,0.00616921269095182,4,0.000587544065804935,0,0,52,0.00763807285546416,0,0,0,0,1.435,0.000210781433607521,0,0,9,0.0013219741480611,19,0.00279083431257344,22,0.00323149236192714,21,0.00308460634547591,8,0.00117508813160987,3,0.000440658049353702,6,0.000881316098707403,242.815,0.0356661280846063,25,0.00367215041128085,20,0.00293772032902468,76,0.0111633372502938,8,0.00117508813160987
"ÖRNSKÖLDSVIK DOMSJÖ",202224,6850,277.67,0.0405357664233577,17,0.00248175182481752,45.65,0.00666423357664234,57,0.00832116788321168,37,0.0054014598540146,0,0,8.02,0.00117080291970803,6,0.000875912408759124,63,0.0091970802919708,21,0.00306569343065693,12,0.00175182481751825,11,0.00160583941605839,277.67,0.0405357664233577,152.67,0.0222875912408759,0,0,0,0,17,0.00248175182481752,45.65,0.00666423357664234,43,0.00627737226277372,14,0.00204379562043796,0,0,37,0.0054014598540146,0,0,0,0,3.02,0.000440875912408759,5,0.00072992700729927,6,0.000875912408759124,27,0.00394160583941606,36,0.00525547445255474,16,0.00233576642335766,5,0.00072992700729927,12,0.00175182481751825,11,0.00160583941605839,277.67,0.0405357664233577,38,0.00554744525547445,17,0.00248175182481752,65,0.00948905109489051,5,0.00072992700729927
"ÖRNSKÖLDSVIK DOMSJÖ",202223,7105,487.457,0.0686076002814919,19,0.00267417311752287,16.205,0.0022807881773399,149,0.0209711470795215,68,0.0095707248416608,3,0.000422237860661506,17.252,0.00242814919071077,6,0.000844475721323012,74,0.0104152005629838,34,0.0047853624208304,6,0.000844475721323012,95,0.0133708655876144,487.457,0.0686076002814919,238.457,0.0335618578465869,0,0,0,0,19,0.00267417311752287,16.205,0.0022807881773399,137,0.0192821956368754,12,0.00168895144264602,0,0,68,0.0095707248416608,3,0.000422237860661506,0,0,3.27,0.000460239268121042,13.982,0.00196790992258973,6,0.000844475721323012,27,0.00380014074595355,47,0.00661505981703026,31,0.0043631245601689,3,0.000422237860661506,6,0.000844475721323012,95,0.0133708655876144,487.457,0.0686076002814919,122,0.0171710063335679,19,0.00267417311752287,105,0.0147783251231527,3,0.000422237860661506
"ÖRNSKÖLDSVIK DOMSJÖ",202222,6681,673.77,0.100848675348002,14,0.00209549468642419,19.42,0.00290675048645412,69,0.0103277952402335,96,0.0143691064211944,7,0.00104774734321209,40.35,0.00603951504265828,5,0.00074839095943721,370,0.0553809309983535,30,0.00449034575662326,10,0.00149678191887442,13,0.00194581649453675,673.77,0.100848675348002,165.77,0.0248121538691813,0,0,0,0,14,0.00209549468642419,19.42,0.00290675048645412,53,0.00793294417003443,16,0.00239485107019907,0,0,96,0.0143691064211944,7,0.00104774734321209,0,0,2.032,0.000304146085915282,38.318,0.005735368956743,5,0.00074839095943721,345,0.0516389762011675,25,0.00374195479718605,25,0.00374195479718605,5,0.00074839095943721,10,0.00149678191887442,13,0.00194581649453675,673.77,0.100848675348002,358,0.0535847926957042,14,0.00209549468642419,131,0.0196078431372549,5,0.00074839095943721
"ÖRNSKÖLDSVIK DOMSJÖ",202221,6428,398.977,0.0620686060983198,27,0.00420037336652147,50.325,0.00782902924704418,51,0.00793403858120722,90,0.0140012445550716,0,0,66.652,0.0103690105787181,5,0.000777846919726198,65,0.0101120099564406,23,0.00357809583074051,9,0.00140012445550716,12,0.00186683260734287,397.977,0.0619130367143746,197.977,0.0307991599253267,1,0.00015556938394524,0,0,26,0.00404480398257623,49.325,0.00767345986309894,39,0.00606720597386434,12,0.00186683260734287,0,0,90,0.0140012445550716,0,0,0,0,1.652,0.000257000622277536,65,0.0101120099564406,5,0.000777846919726198,39,0.00606720597386434,26,0.00404480398257623,19,0.00295581829495955,4,0.000622277535780958,9,0.00140012445550716,12,0.00186683260734287,397.977,0.0619130367143746,52,0.00808960796515246,26,0.00404480398257623,118,0.0183571873055383,4,0.000622277535780958
"ÖRNSKÖLDSVIK DOMSJÖ",202220,6787,567.215,0.0835737439222042,141,0.0207750110505378,165.005,0.0243119198467659,72,0.0106085162811257,76,0.0111978782967438,0,0,5.21,0.000767644025342567,1,0.000147340503904523,65,0.00957713275379402,27,0.00397819360542213,7,0.00103138352733166,8,0.00117872403123619,449.215,0.0661875644614704,163.215,0.0240481803447768,118,0.0173861794607338,0,0,23,0.00338883158980404,47.005,0.00692574038603212,56,0.00825106821865331,16,0.00235744806247237,0,0,76,0.0111978782967438,0,0,0,0,0.21,3.09415058199499e-05,5,0.000736702519522617,1,0.000147340503904523,27,0.00397819360542213,38,0.00559893914837189,23,0.00338883158980404,4,0.000589362015618093,7,0.00103138352733166,8,0.00117872403123619,449.215,0.0661875644614705,153,0.0225430970973921,23,0.00338883158980404,106,0.0156180934138795,4,0.000589362015618093
"ÖRNSKÖLDSVIK DOMSJÖ",202219,6248,397.386,0.0636021126760563,13,0.00208066581306018,50.085,0.00801616517285531,53,0.00848271446862996,118,0.0188860435339309,0,0,46.301,0.00741053137003841,2,0.000320102432778489,66,0.0105633802816901,31,0.00496158770806658,10,0.00160051216389245,8,0.00128040973111396,397.386,0.0636021126760563,178.386,0.0285508962868118,0,0,0,0,13,0.00208066581306018,50.085,0.00801616517285531,38,0.00608194622279129,15,0.00240076824583867,2,0.000320102432778489,116,0.0185659411011524,0,0,0.373,5.96991037131882e-05,1.928,0.000308578745198463,44,0.00704225352112676,2,0.000320102432778489,39,0.00624199743918054,27,0.0043213828425096,23,0.00368117797695263,8,0.00128040973111396,10,0.00160051216389245,8,0.00128040973111396,397.386,0.0636021126760563,49,0.00784250960307298,13,0.00208066581306018,149,0.0238476312419974,8,0.00128040973111396
