"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"TROLLHÄTTAN HJORTMOSSEN",202232,2022-08-09,1419,107,0.0754052149400987,2,0.00140944326990839,3,0.00211416490486258,13,0.00916138125440451,48,0.0338266384778013,0,0,0,0,2,0.00140944326990839,15,0.0105708245243129,8,0.00563777307963354,0,0,16,0.0112755461592671,106,0.0747004933051445,27,0.0190274841437632,1,0.000704721634954193,0,0,1,0.000704721634954193,2,0.00140944326990839,8,0.00563777307963354,5,0.00352360817477097,48,0.0338266384778013,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00140944326990839,15,0.0105708245243129,8,0.00563777307963354,0,0,5,0.00352360817477097,11,0.00775193798449612,106,0.0747004933051445,17,0.0119802677942213,1,0.000704721634954193,61,0.0429880197322058,0,0
"TROLLHÄTTAN HJORTMOSSEN",202232,2022-08-08,1494,126,0.0843373493975904,6,0.00401606425702811,6,0.00401606425702811,10,0.00669344042838019,44,0.0294511378848728,0,0,0,0,0,0,20,0.0133868808567604,22,0.0147255689424364,3,0.00200803212851406,15,0.0100401606425703,125,0.0836680053547523,26,0.0174029451137885,1,0.000669344042838019,0,0,5,0.00334672021419009,5,0.00334672021419009,5,0.00334672021419009,5,0.00334672021419009,44,0.0294511378848728,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000669344042838019,19,0.0127175368139224,22,0.0147255689424364,3,0.00200803212851406,5,0.00334672021419009,10,0.00669344042838019,125,0.0836680053547523,20,0.0133868808567604,5,0.00334672021419009,74,0.0495314591700134,0,0
"TROLLHÄTTAN HJORTMOSSEN",202231,2022-08-07,1175,168,0.142978723404255,31,0.0263829787234043,40,0.0340425531914894,11,0.00936170212765958,29,0.0246808510638298,0,0,0,0,0,0,24,0.0204255319148936,10,0.00851063829787234,0,0,23,0.0195744680851064,137,0.116595744680851,67,0.0570212765957447,31,0.0263829787234043,0,0,0,0,9,0.00765957446808511,11,0.00936170212765958,0,0,29,0.0246808510638298,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00340425531914894,20,0.0170212765957447,10,0.00851063829787234,0,0,7,0.00595744680851064,16,0.0136170212765957,137,0.116595744680851,24,0.0204255319148936,0,0,46,0.0391489361702128,0,0
"TROLLHÄTTAN HJORTMOSSEN",202231,2022-08-06,1125,211,0.187555555555556,31,0.0275555555555556,33,0.0293333333333333,12,0.0106666666666667,82,0.0728888888888889,0,0,0,0,0,0,19,0.0168888888888889,14,0.0124444444444444,0,0,20,0.0177777777777778,184,0.163555555555556,59,0.0524444444444444,27,0.024,0,0,4,0.00355555555555556,6,0.00533333333333333,4,0.00355555555555556,8,0.00711111111111111,73,0.0648888888888889,9,0.008,0,0,0,0,0,0,0,0,0,0,7,0.00622222222222222,12,0.0106666666666667,14,0.0124444444444444,0,0,6,0.00533333333333333,14,0.0124444444444444,184,0.163555555555556,19,0.0168888888888889,4,0.00355555555555556,102,0.0906666666666667,0,0
"TROLLHÄTTAN HJORTMOSSEN",202231,2022-08-05,1344,247,0.183779761904762,47,0.0349702380952381,51,0.0379464285714286,7,0.00520833333333333,75,0.0558035714285714,0,0,0,0,1,0.000744047619047619,17,0.0126488095238095,20,0.0148809523809524,2,0.00148809523809524,27,0.0200892857142857,205,0.152529761904762,81,0.0602678571428571,42,0.03125,2,0.00148809523809524,3,0.00223214285714286,9,0.00669642857142857,2,0.00148809523809524,5,0.0037202380952381,75,0.0558035714285714,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00223214285714286,15,0.0111607142857143,20,0.0148809523809524,2,0.00148809523809524,4,0.00297619047619048,23,0.0171130952380952,205,0.152529761904762,20,0.0148809523809524,3,0.00223214285714286,101,0.0751488095238095,0,0
"TROLLHÄTTAN HJORTMOSSEN",202231,2022-08-04,1291,212,0.164213787761425,37,0.0286599535243997,49,0.0379550735863672,7,0.00542215336948102,66,0.0511231603408211,0,0,0,0,0,0,21,0.0162664601084431,14,0.010844306738962,0,0,18,0.0139426800929512,178,0.137877614252517,71,0.0549961270333075,34,0.0263361735089078,2,0.00154918667699458,1,0.000774593338497289,15,0.0116189000774593,2,0.00154918667699458,5,0.00387296669248644,66,0.0511231603408211,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00154918667699458,19,0.0147172734314485,14,0.010844306738962,0,0,3,0.00232378001549187,15,0.0116189000774593,178,0.137877614252517,23,0.0178156467854376,1,0.000774593338497289,83,0.064291247095275,0,0
"TROLLHÄTTAN HJORTMOSSEN",202231,2022-08-03,1214,165,0.135914332784185,38,0.0313014827018122,40,0.0329489291598023,8,0.00658978583196046,39,0.0321252059308072,0,0,0,0,1,0.000823723228995058,16,0.0131795716639209,7,0.0057660626029654,0,0,16,0.0131795716639209,129,0.106260296540362,61,0.0502471169686985,36,0.0296540362438221,0,0,2,0.00164744645799012,4,0.00329489291598023,4,0.00329489291598023,4,0.00329489291598023,39,0.0321252059308072,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00247116968698517,14,0.0115321252059308,7,0.0057660626029654,0,0,3,0.00247116968698517,13,0.0107084019769358,129,0.106260296540362,17,0.014003294892916,2,0.00164744645799012,49,0.0403624382207578,0,0
"TROLLHÄTTAN HJORTMOSSEN",202231,2022-08-02,1294,224,0.173106646058733,42,0.0324574961360124,41,0.0316846986089645,13,0.0100463678516229,74,0.0571870170015456,0,0,0,0,1,0.000772797527047913,13,0.0100463678516229,21,0.0162287480680062,0,0,19,0.0146831530139104,187,0.14451313755796,67,0.0517774343122102,37,0.0285935085007728,0,0,5,0.00386398763523957,4,0.00309119010819165,6,0.00463678516228748,7,0.00540958268933539,74,0.0571870170015456,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000772797527047913,13,0.0100463678516229,21,0.0162287480680062,0,0,6,0.00463678516228748,13,0.0100463678516229,187,0.14451313755796,14,0.0108191653786708,5,0.00386398763523957,101,0.0780525502318393,0,0
"TROLLHÄTTAN HJORTMOSSEN",202231,2022-08-01,1420,222,0.156338028169014,44,0.0309859154929577,40,0.028169014084507,7,0.00492957746478873,59,0.0415492957746479,0,0,0,0,0,0,36,0.0253521126760563,22,0.0154929577464789,0,0,14,0.00985915492957747,182,0.128169014084507,59,0.0415492957746479,40,0.028169014084507,0,0,4,0.0028169014084507,0,0,5,0.00352112676056338,2,0.00140845070422535,59,0.0415492957746479,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0028169014084507,32,0.0225352112676056,22,0.0154929577464789,0,0,2,0.00140845070422535,12,0.00845070422535211,182,0.128169014084507,36,0.0253521126760563,4,0.0028169014084507,83,0.0584507042253521,0,0
"TROLLHÄTTAN HJORTMOSSEN",202230,2022-07-31,1167,143,0.122536418166238,10,0.00856898029134533,16,0.0137103684661525,2,0.00171379605826907,44,0.0377035132819195,0,0,0,0,2,0.00171379605826907,37,0.0317052270779777,17,0.0145672664952871,0,0,15,0.012853470437018,139,0.1191088260497,31,0.0265638389031705,4,0.00342759211653813,3,0.0025706940874036,3,0.0025706940874036,12,0.0102827763496144,2,0.00171379605826907,0,0,44,0.0377035132819195,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0025706940874036,36,0.0308483290488432,17,0.0145672664952871,0,0,2,0.00171379605826907,13,0.0111396743787489,139,0.1191088260497,42,0.0359897172236504,3,0.0025706940874036,63,0.0539845758354756,0,0
"TROLLHÄTTAN HJORTMOSSEN",202230,2022-07-30,1155,129,0.111688311688312,6,0.00519480519480519,13,0.0112554112554113,1,0.000865800865800866,44,0.0380952380952381,0,0,0,0,0,0,30,0.025974025974026,11,0.00952380952380952,0,0,24,0.0207792207792208,126,0.109090909090909,31,0.0268398268398268,3,0.0025974025974026,0,0,3,0.0025974025974026,10,0.00865800865800866,0,0,1,0.000865800865800866,44,0.0380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0025974025974026,27,0.0233766233766234,11,0.00952380952380952,0,0,7,0.00606060606060606,17,0.0147186147186147,126,0.109090909090909,30,0.025974025974026,3,0.0025974025974026,62,0.0536796536796537,0,0
"TROLLHÄTTAN HJORTMOSSEN",202230,2022-07-29,1239,125,0.10088781275222,4,0.00322841000807102,12,0.00968523002421308,7,0.00564971751412429,38,0.0306698950766747,0,0,0,0,0,0,39,0.0314769975786925,7,0.00564971751412429,0,0,18,0.0145278450363196,123,0.099273607748184,32,0.0258272800645682,2,0.00161420500403551,1,0.000807102502017756,1,0.000807102502017756,10,0.00807102502017756,3,0.00242130750605327,4,0.00322841000807102,38,0.0306698950766747,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000807102502017756,38,0.0306698950766747,7,0.00564971751412429,0,0,5,0.00403551251008878,13,0.0104923325262308,123,0.099273607748184,40,0.0322841000807102,1,0.000807102502017756,50,0.0403551251008878,0,0
"TROLLHÄTTAN HJORTMOSSEN",202230,2022-07-28,1269,132,0.104018912529551,15,0.0118203309692671,15,0.0118203309692671,6,0.00472813238770686,47,0.037037037037037,0,0,0,0,1,0.000788022064617809,26,0.020488573680063,11,0.0086682427107959,0,0,11,0.0086682427107959,123,0.0969267139479905,31,0.0244286840031521,9,0.00709219858156028,4,0.00315208825847124,2,0.00157604412923562,6,0.00472813238770686,4,0.00315208825847124,2,0.00157604412923562,47,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,7,0.00551615445232467,20,0.0157604412923562,11,0.0086682427107959,0,0,1,0.000788022064617809,10,0.00788022064617809,123,0.0969267139479905,31,0.0244286840031521,2,0.00157604412923562,59,0.0464933018124507,0,0
"TROLLHÄTTAN HJORTMOSSEN",202230,2022-07-27,1258,123,0.0977742448330684,4,0.00317965023847377,16,0.0127186009538951,9,0.00715421303656598,42,0.0333863275039746,0,0,0,0,0,0,24,0.0190779014308426,15,0.0119236883942766,0,0,13,0.0103338632750397,120,0.095389507154213,34,0.027027027027027,3,0.00238473767885533,0,0,1,0.000794912559618442,13,0.0103338632750397,9,0.00715421303656598,0,0,42,0.0333863275039746,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000794912559618442,23,0.0182829888712242,15,0.0119236883942766,0,0,4,0.00317965023847377,9,0.00715421303656598,120,0.095389507154213,24,0.0190779014308426,1,0.000794912559618442,61,0.048489666136725,0,0
"TROLLHÄTTAN HJORTMOSSEN",202230,2022-07-26,1310,113,0.0862595419847328,5,0.00381679389312977,11,0.0083969465648855,9,0.00687022900763359,41,0.0312977099236641,0,0,0,0,1,0.000763358778625954,20,0.0152671755725191,10,0.00763358778625954,0,0,16,0.0122137404580153,108,0.0824427480916031,30,0.0229007633587786,5,0.00381679389312977,0,0,0,0,6,0.00458015267175573,6,0.00458015267175573,3,0.00229007633587786,41,0.0312977099236641,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00152671755725191,19,0.0145038167938931,10,0.00763358778625954,0,0,6,0.00458015267175573,10,0.00763358778625954,108,0.0824427480916031,21,0.016030534351145,0,0,57,0.0435114503816794,0,0
"TROLLHÄTTAN HJORTMOSSEN",202230,2022-07-25,1280,127,0.09921875,2,0.0015625,6,0.0046875,7,0.00546875,48,0.0375,0,0,0,0,0,0,29,0.02265625,13,0.01015625,2,0.0015625,20,0.015625,125,0.09765625,27,0.02109375,2,0.0015625,0,0,0,0,4,0.003125,3,0.00234375,4,0.003125,48,0.0375,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0046875,23,0.01796875,13,0.01015625,2,0.0015625,6,0.0046875,14,0.0109375,125,0.09765625,29,0.02265625,0,0,69,0.05390625,0,0
"TROLLHÄTTAN HJORTMOSSEN",202229,2022-07-24,1132,127,0.112190812720848,6,0.00530035335689046,18,0.0159010600706714,3,0.00265017667844523,52,0.0459363957597173,0,0,0,0,0,0,14,0.0123674911660777,12,0.0106007067137809,0,0,22,0.019434628975265,124,0.109540636042403,36,0.0318021201413428,3,0.00265017667844523,0,0,3,0.00265017667844523,15,0.0132508833922261,2,0.00176678445229682,1,0.00088339222614841,52,0.0459363957597173,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00088339222614841,13,0.0114840989399293,12,0.0106007067137809,0,0,7,0.00618374558303887,15,0.0132508833922261,124,0.109540636042403,14,0.0123674911660777,3,0.00265017667844523,71,0.0627208480565371,0,0
"TROLLHÄTTAN HJORTMOSSEN",202229,2022-07-23,1219,152,0.124692370795734,7,0.00574241181296144,22,0.0180475799835931,8,0.00656275635767022,70,0.0574241181296144,0,0,0,0,0,0,11,0.00902378999179656,9,0.007383100902379,0,0,25,0.0205086136177194,147,0.12059064807219,48,0.0393765381460213,5,0.00410172272354389,0,0,2,0.00164068908941756,17,0.0139458572600492,4,0.00328137817883511,4,0.00328137817883511,70,0.0574241181296144,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00328137817883511,7,0.00574241181296144,9,0.007383100902379,0,0,7,0.00574241181296144,18,0.014766201804758,147,0.12059064807219,11,0.00902378999179656,2,0.00164068908941756,86,0.0705496308449549,0,0
"TROLLHÄTTAN HJORTMOSSEN",202229,2022-07-22,1230,164,0.133333333333333,4,0.0032520325203252,17,0.0138211382113821,5,0.0040650406504065,70,0.0569105691056911,0,0,0,0,1,0.000813008130081301,24,0.0195121951219512,19,0.0154471544715447,1,0.000813008130081301,23,0.0186991869918699,161,0.130894308943089,37,0.0300813008130081,3,0.0024390243902439,0,0,1,0.000813008130081301,14,0.0113821138211382,2,0.0016260162601626,3,0.0024390243902439,67,0.0544715447154472,3,0.0024390243902439,0,0,0,0,0,0,0,0,0,0,2,0.0016260162601626,23,0.0186991869918699,19,0.0154471544715447,1,0.000813008130081301,8,0.00650406504065041,15,0.0121951219512195,161,0.130894308943089,25,0.0203252032520325,1,0.000813008130081301,98,0.0796747967479675,0,0
