"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"NORRKÖPING LASARETTSGATAN",202225,2022-06-20,942,289,0.306794055201699,166,0.176220806794055,43,0.0456475583864119,9,0.00955414012738853,28,0.029723991507431,3,0.00318471337579618,0,0,0,0,2,0.00212314225053079,3,0.00318471337579618,12,0.0127388535031847,23,0.024416135881104,251,0.266454352441614,92,0.0976645435244161,38,0.0403397027600849,0,0,128,0.13588110403397,5,0.00530785562632696,9,0.00955414012738853,28,0.029723991507431,0,0,3,0.00318471337579618,0,0,0,0,0,0,0,0,2,0.00212314225053079,0,0,5,0.00530785562632696,10,0.0106157112526539,11,0.0116772823779193,12,0.0127388535031847,251,0.266454352441614,128,0.13588110403397,16,0.0169851380042463,0,0,15,0.0159235668789809
"NORRKÖPING LASARETTSGATAN",202224,2022-06-19,853,131.728,0.154429073856975,7.728,0.00905978898007034,7,0.0082063305978898,3,0.00351699882766706,51,0.05978898007034,0,0,0,0,3,0.00351699882766706,4,0.00468933177022274,5,0.00586166471277843,25,0.0293083235638921,26,0.0304806565064478,130.728,0.15325674091442,84.728,0.0993294255568581,1,0.00117233294255569,6.728,0.00788745603751465,0,0,6,0.00703399765533412,3,0.00351699882766706,51,0.05978898007034,0,0,0,0,0,0,0,0,0,0,0,0,6,0.00703399765533412,1,0.00117233294255569,10,0.0117233294255569,20,0.0234466588511137,16,0.018757327080891,10,0.0117233294255569,130.728,0.15325674091442,0,0,13,0.0152403282532239,3,0.00351699882766706,30,0.0351699882766706
"NORRKÖPING LASARETTSGATAN",202224,2022-06-18,808,109.903,0.136018564356436,5.903,0.00730569306930693,9,0.0111386138613861,4,0.00495049504950495,22,0.0272277227722772,3,0.00371287128712871,0,0,0,0,6,0.00742574257425743,2,0.00247524752475248,22,0.0272277227722772,36,0.0445544554455446,104.903,0.129830445544554,66.903,0.0828007425742574,5,0.00618811881188119,0.903,0.00111757425742574,0,0,4,0.00495049504950495,4,0.00495049504950495,22,0.0272277227722772,0,0,3,0.00371287128712871,0,0,0,0,0,0,0,0,4,0.00495049504950495,2,0.00247524752475248,8,0.0099009900990099,16,0.0198019801980198,30,0.0371287128712871,6,0.00742574257425743,104.903,0.129830445544554,0,0,14,0.0173267326732673,0,0,24,0.0297029702970297
"NORRKÖPING LASARETTSGATAN",202224,2022-06-17,1016,119.251,0.117373031496063,11.251,0.0110738188976378,12,0.0118110236220472,6,0.00590551181102362,22,0.0216535433070866,0,0,0,0,2,0.00196850393700787,7,0.00688976377952756,2,0.00196850393700787,9,0.00885826771653543,48,0.047244094488189,110.251,0.108514763779528,81.251,0.0799714566929134,9,0.00885826771653543,2.251,0.00221555118110236,0,0,3,0.00295275590551181,6,0.00590551181102362,22,0.0216535433070866,0,0,0,0,0,0,0,0,0,0,0,0,7,0.00688976377952756,2,0.00196850393700787,4,0.00393700787401575,7,0.00688976377952756,36,0.0354330708661417,12,0.0118110236220472,110.251,0.108514763779528,0,0,17,0.0167322834645669,1,0.000984251968503937,11,0.0108267716535433
"NORRKÖPING LASARETTSGATAN",202224,2022-06-16,1080,111.102,0.102872222222222,14.102,0.0130574074074074,13,0.012037037037037,2,0.00185185185185185,34,0.0314814814814815,0,0,0,0,4,0.0037037037037037,10,0.00925925925925926,4,0.0037037037037037,3,0.00277777777777778,27,0.025,98.102,0.0908351851851852,75.102,0.0695388888888889,13,0.012037037037037,1.102,0.00102037037037037,0,0,0,0,2,0.00185185185185185,34,0.0314814814814815,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0101851851851852,3,0.00277777777777778,3,0.00277777777777778,4,0.0037037037037037,16,0.0148148148148148,11,0.0101851851851852,98.102,0.0908351851851852,0,0,12,0.0111111111111111,4,0.0037037037037037,7,0.00648148148148148
"NORRKÖPING LASARETTSGATAN",202224,2022-06-15,1102,128.891,0.116960980036298,16.891,0.0153275862068966,19,0.0172413793103448,4,0.00362976406533575,30,0.0272232304900181,0,0,0,0,0,0,8,0.00725952813067151,6,0.00544464609800363,11,0.00998185117967332,34,0.0308529945553539,112.891,0.102441923774955,80.891,0.0734038112522686,16,0.014519056261343,0.891,0.000808529945553539,0,0,3,0.00272232304900181,4,0.00362976406533575,30,0.0272232304900181,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00453720508166969,3,0.00272232304900181,8,0.00725952813067151,9,0.00816696914700544,13,0.0117967332123412,21,0.0190562613430127,112.891,0.102441923774955,0,0,15,0.0136116152450091,0,0,17,0.015426497277677
"NORRKÖPING LASARETTSGATAN",202224,2022-06-14,1105,106.817,0.0966669683257919,23.817,0.0215538461538462,14,0.0126696832579186,5,0.00452488687782805,24,0.0217194570135747,1,0.000904977375565611,0,0,0,0,3,0.00271493212669683,5,0.00452488687782805,8,0.00723981900452489,23,0.020814479638009,93.817,0.0849022624434389,71.817,0.0649927601809955,13,0.0117647058823529,10.817,0.00978914027149321,0,0,1,0.000904977375565611,5,0.00452488687782805,24,0.0217194570135747,0,0,1,0.000904977375565611,0,0,0,0,0,0,0,0,1,0.000904977375565611,2,0.00180995475113122,5,0.00452488687782805,8,0.00723981900452489,15,0.0135746606334842,8,0.00723981900452489,93.817,0.0849022624434389,0,0,9,0.0081447963800905,0,0,13,0.0117647058823529
"NORRKÖPING LASARETTSGATAN",202224,2022-06-13,1158,127,0.109671848013817,18,0.0155440414507772,18,0.0155440414507772,8,0.00690846286701209,21,0.0181347150259067,0,0,0,0,4,0.00345423143350604,6,0.00518134715025907,0,0,21,0.0181347150259067,31,0.0267702936096718,109,0.0941278065630397,70,0.0604490500863558,18,0.0155440414507772,0,0,0,0,0,0,8,0.00690846286701209,21,0.0181347150259067,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0077720207253886,1,0.000863557858376511,10,0.00863557858376511,11,0.00949913644214162,18,0.0155440414507772,13,0.0112262521588946,109,0.0941278065630397,0,0,16,0.0138169257340242,2,0.00172711571675302,21,0.0181347150259067
"NORRKÖPING LASARETTSGATAN",202223,2022-06-12,775,172.941,0.223149677419355,18.941,0.02444,14,0.0180645161290323,4,0.00516129032258065,98,0.126451612903226,0,0,0,0,1,0.00129032258064516,2,0.00258064516129032,7,0.00903225806451613,17,0.0219354838709677,11,0.0141935483870968,158.941,0.205085161290323,127.941,0.165085161290323,14,0.0180645161290323,4.941,0.00637548387096774,0,0,0,0,4,0.00516129032258065,98,0.126451612903226,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00129032258064516,2,0.00258064516129032,12,0.0154838709677419,12,0.0154838709677419,7,0.00903225806451613,4,0.00516129032258065,158.941,0.205085161290323,0,0,6,0.00774193548387097,1,0.00129032258064516,24,0.0309677419354839
"NORRKÖPING LASARETTSGATAN",202223,2022-06-11,880,237.805,0.270232954545455,21.805,0.0247784090909091,22,0.025,6,0.00681818181818182,129,0.146590909090909,0,0,0,0,3,0.00340909090909091,7,0.00795454545454545,1,0.00113636363636364,8,0.00909090909090909,40,0.0454545454545455,220.805,0.250914772727273,190.805,0.216823863636364,17,0.0193181818181818,4.805,0.00546022727272727,0,0,5,0.00568181818181818,6,0.00681818181818182,129,0.146590909090909,0,0,0,0,0,0,0,0,0,0,0,0,7,0.00795454545454545,3,0.00340909090909091,0,0,9,0.0102272727272727,28,0.0318181818181818,12,0.0136363636363636,220.805,0.250914772727273,0,0,19,0.0215909090909091,2,0.00227272727272727,9,0.0102272727272727
"NORRKÖPING LASARETTSGATAN",202223,2022-06-10,992,236.761,0.238670362903226,12.761,0.0128639112903226,10,0.0100806451612903,3,0.0030241935483871,134,0.13508064516129,0,0,0,0,4,0.00403225806451613,5,0.00504032258064516,5,0.00504032258064516,12,0.0120967741935484,51,0.0514112903225806,227.761,0.229597782258065,197.761,0.199355846774194,9,0.00907258064516129,3.761,0.00379133064516129,0,0,1,0.00100806451612903,3,0.0030241935483871,134,0.13508064516129,0,0,0,0,0,0,0,0,0,0,0,0,8,0.00806451612903226,1,0.00100806451612903,9,0.00907258064516129,8,0.00806451612903226,37,0.0372983870967742,14,0.0141129032258065,227.761,0.229597782258065,0,0,10,0.0100806451612903,3,0.0030241935483871,17,0.0171370967741935
"NORRKÖPING LASARETTSGATAN",202223,2022-06-09,1123,275.797,0.245589492430988,17.797,0.0158477292965272,16,0.0142475512021371,5,0.00445235975066785,196,0.17453250222618,0,0,0,0,0,0,4,0.00356188780053428,0,0,11,0.00979519145146928,26,0.0231522707034728,261.797,0.233122885129118,239.797,0.21353250222618,14,0.01246660730187,3.797,0.00338112199465717,0,0,2,0.00178094390026714,5,0.00445235975066785,196,0.17453250222618,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00356188780053428,0,0,4,0.00356188780053428,7,0.006233303650935,18,0.0160284951024043,8,0.00712377560106857,261.797,0.233122885129118,0,0,11,0.00979519145146928,0,0,11,0.00979519145146928
"NORRKÖPING LASARETTSGATAN",202223,2022-06-08,1090,269.505,0.247252293577982,19.505,0.017894495412844,15,0.0137614678899083,4,0.0036697247706422,191,0.175229357798165,1,0.000917431192660551,0,0,0,0,5,0.00458715596330275,0,0,13,0.0119266055045872,21,0.0192660550458716,255.505,0.234408256880734,232.505,0.213307339449541,14,0.0128440366972477,5.505,0.00505045871559633,0,0,1,0.000917431192660551,4,0.0036697247706422,191,0.175229357798165,0,0,1,0.000917431192660551,0,0,0,0,0,0,0,0,3,0.00275229357798165,2,0.0018348623853211,0,0,13,0.0119266055045872,10,0.00917431192660551,11,0.0100917431192661,255.505,0.234408256880734,0,0,10,0.00917431192660551,0,0,13,0.0119266055045872
"NORRKÖPING LASARETTSGATAN",202223,2022-06-07,1085,287.521,0.264996313364055,26.521,0.0244433179723502,29,0.0267281105990783,1,0.000921658986175115,195,0.179723502304147,0,0,0,0,1,0.000921658986175115,3,0.00276497695852535,4,0.00368663594470046,7,0.00645161290322581,21,0.0193548387096774,264.521,0.243798156682028,242.521,0.223521658986175,23,0.0211981566820276,3.521,0.00324516129032258,0,0,6,0.00552995391705069,1,0.000921658986175115,195,0.179723502304147,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000921658986175115,3,0.00276497695852535,6,0.00552995391705069,5,0.00460829493087558,7,0.00645161290322581,14,0.0129032258064516,264.521,0.243798156682028,0,0,10,0.00921658986175115,1,0.000921658986175115,11,0.0101382488479263
"NORRKÖPING LASARETTSGATAN",202223,2022-06-06,867,177.529,0.204762399077278,18.529,0.0213713956170704,17,0.0196078431372549,0,0,96,0.110726643598616,0,0,0,0,3,0.00346020761245675,12,0.013840830449827,0,0,16,0.0184544405997693,15,0.0173010380622837,161.529,0.186307958477509,129.529,0.14939907727797,16,0.0184544405997693,2.529,0.00291695501730104,0,0,1,0.00115340253748558,0,0,96,0.110726643598616,0,0,0,0,0,0,0,0,0,0,0,0,4,0.00461361014994233,11,0.0126874279123414,4,0.00461361014994233,12,0.013840830449827,14,0.0161476355247982,1,0.00115340253748558,161.529,0.186307958477509,0,0,14,0.0161476355247982,2,0.00230680507497117,16,0.0184544405997693
"NORRKÖPING LASARETTSGATAN",202222,2022-06-05,821,95.826,0.116718635809988,7.826,0.00953227771010962,10,0.0121802679658952,3,0.00365408038976857,28,0.0341047503045067,0,0,0,0,3,0.00365408038976857,7,0.00852618757612668,3,0.00365408038976857,3,0.00365408038976857,31,0.0377588306942753,88.826,0.108192448233861,66.826,0.0813958587088916,7,0.00852618757612668,0.826,0.00100609013398295,0,0,3,0.00365408038976857,3,0.00365408038976857,28,0.0341047503045067,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0048721071863581,6,0.00730816077953715,3,0.00365408038976857,3,0.00365408038976857,18,0.0219244823386114,13,0.0158343483556638,88.826,0.108192448233861,0,0,14,0.0170523751522534,2,0.00243605359317905,6,0.00730816077953715
"NORRKÖPING LASARETTSGATAN",202222,2022-06-04,845,125.924,0.149022485207101,20.924,0.0247621301775148,21,0.0248520710059172,6,0.00710059171597633,16,0.0189349112426036,0,0,0,0,1,0.00118343195266272,8,0.00946745562130178,0,0,16,0.0189349112426036,37,0.0437869822485207,105.924,0.125353846153846,73.924,0.0874840236686391,20,0.0236686390532544,0.924,0.00109349112426036,0,0,1,0.00118343195266272,6,0.00710059171597633,16,0.0189349112426036,0,0,0,0,0,0,0,0,0,0,0,0,3,0.00355029585798817,6,0.00710059171597633,8,0.00946745562130178,8,0.00946745562130178,23,0.0272189349112426,14,0.0165680473372781,105.924,0.125353846153846,0,0,16,0.0189349112426036,0,0,16,0.0189349112426036
"NORRKÖPING LASARETTSGATAN",202222,2022-06-03,1110,138.043,0.124363063063063,15.043,0.0135522522522523,16,0.0144144144144144,5,0.0045045045045045,30,0.027027027027027,1,0.000900900900900901,0,0,1,0.000900900900900901,12,0.0108108108108108,0,0,4,0.0036036036036036,54,0.0486486486486487,124.043,0.11175045045045,100.043,0.0901288288288288,14,0.0126126126126126,1.043,0.00093963963963964,0,0,2,0.0018018018018018,5,0.0045045045045045,30,0.027027027027027,0,0,1,0.000900900900900901,0,0,0,0,0,0,0,0,6,0.00540540540540541,7,0.00630630630630631,3,0.0027027027027027,1,0.000900900900900901,44,0.0396396396396396,10,0.00900900900900901,124.043,0.11175045045045,0,0,20,0.018018018018018,0,0,4,0.0036036036036036
"NORRKÖPING LASARETTSGATAN",202222,2022-06-02,1091,148.72,0.136315307057745,16.72,0.0153253895508708,20,0.0183318056828598,7,0.00641613198900092,29,0.0265811182401467,1,0.000916590284142988,0,0,4,0.00366636113657195,23,0.0210815765352887,2,0.00183318056828598,16,0.0146654445462878,30,0.0274977085242896,133.72,0.1225664527956,76.72,0.07032080659945,15,0.0137488542621448,1.72,0.00157653528872594,0,0,5,0.00458295142071494,7,0.00641613198900092,29,0.0265811182401467,0,0,1,0.000916590284142988,0,0,0,0,0,0,0,0,8,0.0073327222731439,19,0.0174152153987168,6,0.00549954170485793,12,0.0109990834097159,15,0.0137488542621448,15,0.0137488542621448,133.72,0.1225664527956,0,0,35,0.0320806599450046,4,0.00366636113657195,18,0.0164986251145738
