"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_Deli","skylttyp_convrate_Deli","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"NORRKÖPING LASARETTSGATAN",202226,2022-07-02,787,100,0.127064803049555,1,0.00127064803049555,19,0.0241423125794155,4,0.00508259212198221,39,0.0495552731893266,6,0.00762388818297332,0,0,2,0.00254129606099111,6,0.00762388818297332,3,0.00381194409148666,20,0.0254129606099111,99,0.12579415501906,60,0.0762388818297332,1,0.00127064803049555,0,0,0,0,18,0.0228716645489199,0,0,4,0.00508259212198221,32,0.0406607369758577,7,0.00889453621346887,6,0.00762388818297332,0,0,1,0.00127064803049555,1,0.00127064803049555,6,0.00762388818297332,3,0.00381194409148666,7,0.00889453621346887,13,0.0165184243964422,99,0.12579415501906,17,0.0216010165184244,0,0,7,0.00889453621346887,6,0.00762388818297332,9,0.01143583227446
"NORRKÖPING LASARETTSGATAN",202226,2022-07-01,976,93,0.0952868852459016,5,0.00512295081967213,24,0.0245901639344262,2,0.00204918032786885,12,0.0122950819672131,9,0.00922131147540984,0,0,6,0.00614754098360656,12,0.0122950819672131,0,0,23,0.0235655737704918,88,0.0901639344262295,45,0.0461065573770492,5,0.00512295081967213,0,0,0,0,19,0.0194672131147541,1,0.00102459016393443,1,0.00102459016393443,8,0.00819672131147541,4,0.00409836065573771,9,0.00922131147540984,0,0,1,0.00102459016393443,5,0.00512295081967213,12,0.0122950819672131,0,0,6,0.00614754098360656,17,0.0174180327868852,88,0.0901639344262295,18,0.0184426229508197,0,0,4,0.00409836065573771,9,0.00922131147540984,12,0.0122950819672131
"NORRKÖPING LASARETTSGATAN",202226,2022-06-30,978,121.088,0.123811860940695,8.088,0.00826993865030675,24,0.0245398773006135,6,0.00613496932515337,30,0.0306748466257669,6,0.00613496932515337,0,0,6,0.00613496932515337,27,0.0276073619631902,0,0,14,0.0143149284253579,115.088,0.117676891615542,62,0.0633946830265849,6,0.00613496932515337,2.088,0.00213496932515337,0,0,18,0.0184049079754601,3,0.00306748466257669,3,0.00306748466257669,26,0.0265848670756646,4,0.00408997955010225,6,0.00613496932515337,0,0,2,0.00204498977505112,4,0.00408997955010225,27,0.0276073619631902,0,0,3,0.00306748466257669,11,0.0112474437627812,115.088,0.117676891615542,16.088,0.0164498977505112,0,0,4,0.00408997955010225,6,0.00613496932515337,27,0.0276073619631902
"NORRKÖPING LASARETTSGATAN",202226,2022-06-29,939,99,0.105431309904153,7,0.00745473908413206,21,0.0223642172523962,5,0.0053248136315229,34,0.0362087326943557,6,0.00638977635782748,0,0,7,0.00745473908413206,6,0.00638977635782748,2,0.00212992545260916,11,0.0117145899893504,92,0.0979765708200213,65,0.0692225772097977,7,0.00745473908413206,0,0,0,0,14,0.0149094781682641,2,0.00212992545260916,3,0.00319488817891374,32,0.0340788072417465,2,0.00212992545260916,6,0.00638977635782748,0,0,1,0.00106496272630458,6,0.00638977635782748,6,0.00638977635782748,2,0.00212992545260916,3,0.00319488817891374,8,0.00851970181043664,92,0.0979765708200213,11,0.0117145899893504,0,0,2,0.00212992545260916,6,0.00638977635782748,8,0.00851970181043664
"NORRKÖPING LASARETTSGATAN",202226,2022-06-28,927,92,0.0992448759439051,2,0.00215749730312837,12,0.0129449838187702,1,0.00107874865156419,32,0.0345199568500539,5,0.00539374325782093,0,0,8,0.00862998921251348,15,0.0161812297734628,2,0.00215749730312837,15,0.0161812297734628,90,0.0970873786407767,44,0.0474649406688242,2,0.00215749730312837,0,0,0,0,10,0.0107874865156419,0,0,1,0.00107874865156419,23,0.0248112189859763,9,0.00970873786407767,5,0.00539374325782093,0,0,0,0,8,0.00862998921251348,15,0.0161812297734628,2,0.00215749730312837,1,0.00107874865156419,14,0.0151024811218986,90,0.0970873786407767,15,0.0161812297734628,0,0,9,0.00970873786407767,5,0.00539374325782093,17,0.0183387270765912
"NORRKÖPING LASARETTSGATAN",202226,2022-06-27,1041,92.04,0.0884149855907781,5.04,0.00484149855907781,20,0.0192122958693564,7,0.00672430355427474,26,0.0249759846301633,10,0.00960614793467819,0,0,4,0.00384245917387128,10,0.00960614793467819,0,0,10,0.00960614793467819,88.04,0.0845725264169068,54,0.0518731988472622,4,0.00384245917387128,1.04,0.000999039385206532,0,0,16,0.0153698366954851,4,0.00384245917387128,3,0.00288184438040346,22,0.021133525456292,4,0.00384245917387128,10,0.00960614793467819,0,0,2,0.00192122958693564,2,0.00192122958693564,10,0.00960614793467819,0,0,4,0.00384245917387128,6,0.00576368876080692,88.04,0.0845725264169068,10.04,0.00964457252641691,0,0,4,0.00384245917387128,10,0.00960614793467819,10,0.00960614793467819
"NORRKÖPING LASARETTSGATAN",202225,2022-06-26,578,46,0.0795847750865052,2,0.00346020761245675,2,0.00346020761245675,5,0.00865051903114187,3,0.00519031141868512,6,0.0103806228373702,0,0,2,0.00346020761245675,6,0.0103806228373702,3,0.00519031141868512,17,0.0294117647058824,44,0.0761245674740484,15,0.0259515570934256,2,0.00346020761245675,0,0,0,0,0,0,1,0.00173010380622837,4,0.0069204152249135,3,0.00519031141868512,0,0,6,0.0103806228373702,0,0,0,0,2,0.00346020761245675,6,0.0103806228373702,3,0.00519031141868512,7,0.0121107266435986,10,0.0173010380622837,44,0.0761245674740484,14,0.0242214532871972,0,0,0,0,6,0.0103806228373702,9,0.0155709342560554
"NORRKÖPING LASARETTSGATAN",202225,2022-06-25,543,47,0.0865561694290976,1,0.00184162062615101,1,0.00184162062615101,3,0.00552486187845304,25,0.0460405156537753,0,0,0,0,2,0.00368324125230203,3,0.00552486187845304,0,0,12,0.0220994475138122,46,0.0847145488029466,27,0.0497237569060773,1,0.00184162062615101,0,0,0,0,0,0,2,0.00368324125230203,1,0.00184162062615101,16,0.0294659300184162,9,0.0165745856353591,0,0,0,0,1,0.00184162062615101,1,0.00184162062615101,3,0.00552486187845304,0,0,6,0.0110497237569061,6,0.0110497237569061,46,0.0847145488029466,7,0.0128913443830571,0,0,9,0.0165745856353591,0,0,3,0.00552486187845304
"NORRKÖPING LASARETTSGATAN",202225,2022-06-24,595,81.01,0.136151260504202,13.01,0.0218655462184874,13,0.0218487394957983,1,0.00168067226890756,19,0.0319327731092437,7,0.0117647058823529,0,0,0,0,7,0.0117647058823529,4,0.00672268907563025,17,0.0285714285714286,71.01,0.119344537815126,39,0.065546218487395,10,0.0168067226890756,3.01,0.00505882352941176,0,0,3,0.00504201680672269,0,0,1,0.00168067226890756,19,0.0319327731092437,0,0,7,0.0117647058823529,0,0,0,0,0,0,7,0.0117647058823529,4,0.00672268907563025,7,0.0117647058823529,10,0.0168067226890756,71.01,0.119344537815126,14.01,0.023546218487395,0,0,0,0,7,0.0117647058823529,11,0.0184873949579832
"NORRKÖPING LASARETTSGATAN",202225,2022-06-23,1130,134,0.11858407079646,4,0.00353982300884956,29,0.0256637168141593,8,0.00707964601769911,37,0.0327433628318584,8,0.00707964601769911,0,0,8,0.00707964601769911,9,0.0079646017699115,0,0,31,0.0274336283185841,130,0.115044247787611,84,0.0743362831858407,4,0.00353982300884956,0,0,0,0,25,0.0221238938053097,3,0.00265486725663717,5,0.00442477876106195,33,0.0292035398230088,4,0.00353982300884956,8,0.00707964601769911,0,0,3,0.00265486725663717,5,0.00442477876106195,9,0.0079646017699115,0,0,11,0.00973451327433628,20,0.0176991150442478,130,0.115044247787611,25,0.0221238938053097,0,0,4,0.00353982300884956,8,0.00707964601769911,9,0.0079646017699115
"NORRKÖPING LASARETTSGATAN",202225,2022-06-22,992,118,0.118951612903226,2,0.00201612903225806,38,0.0383064516129032,2,0.00201612903225806,31,0.03125,11,0.0110887096774194,0,0,2,0.00201612903225806,11,0.0110887096774194,2,0.00201612903225806,19,0.0191532258064516,116,0.116935483870968,76,0.0766129032258065,2,0.00201612903225806,0,0,0,0,36,0.0362903225806452,0,0,2,0.00201612903225806,31,0.03125,0,0,11,0.0110887096774194,0,0,2,0.00201612903225806,0,0,11,0.0110887096774194,2,0.00201612903225806,5,0.00504032258064516,14,0.0141129032258065,116,0.116935483870968,16,0.0161290322580645,0,0,0,0,11,0.0110887096774194,13,0.0131048387096774
"NORRKÖPING LASARETTSGATAN",202225,2022-06-21,932,127.433,0.136730686695279,6.433,0.00690236051502146,53,0.0568669527896996,5,0.00536480686695279,29,0.0311158798283262,5,0.00536480686695279,0,0,5,0.00536480686695279,7,0.00751072961373391,4,0.00429184549356223,13,0.0139484978540773,124.433,0.133511802575107,92,0.0987124463519313,3,0.00321888412017167,3.433,0.00368347639484979,0,0,50,0.0536480686695279,1,0.00107296137339056,4,0.00429184549356223,29,0.0311158798283262,0,0,5,0.00536480686695279,0,0,1,0.00107296137339056,4,0.00429184549356223,7,0.00751072961373391,4,0.00429184549356223,4,0.00429184549356223,9,0.00965665236051502,124.433,0.133511802575107,16.433,0.017631974248927,0,0,0,0,5,0.00536480686695279,11,0.0118025751072961
"NORRKÖPING LASARETTSGATAN",202225,2022-06-20,942,131.111,0.139183651804671,3.111,0.00330254777070064,40,0.0424628450106157,5,0.00530785562632696,28,0.029723991507431,5,0.00530785562632696,0,0,12,0.0127388535031847,26,0.0276008492569002,0,0,12,0.0127388535031847,129.111,0.13706050955414,82,0.0870488322717622,2,0.00212314225053079,1.111,0.00117940552016985,0,0,38,0.0403397027600849,1,0.00106157112526539,4,0.00424628450106157,28,0.029723991507431,0,0,5,0.00530785562632696,0,0,2,0.00212314225053079,10,0.0106157112526539,26,0.0276008492569002,0,0,1,0.00106157112526539,11,0.0116772823779193,129.111,0.13706050955414,16.111,0.0171029723991507,0,0,0,0,5,0.00530785562632696,26,0.0276008492569002
"NORRKÖPING LASARETTSGATAN",202224,2022-06-19,853,168.951,0.198066822977726,3.951,0.00463188745603751,2,0.00234466588511137,4,0.00468933177022274,53,0.0621336459554514,39,0.0457209847596717,0,0,5,0.00586166471277843,26,0.0304806565064478,4,0.00468933177022274,32,0.0375146541617819,167.951,0.19689449003517,65,0.0762016412661196,1,0.00117233294255569,2.951,0.00345955451348183,0,0,1,0.00117233294255569,0,0,4,0.00468933177022274,51,0.05978898007034,2,0.00234466588511137,39,0.0457209847596717,0,0,0,0,5,0.00586166471277843,26,0.0304806565064478,4,0.00468933177022274,7,0.0082063305978898,25,0.0293083235638921,167.951,0.19689449003517,31.951,0.0374572098475967,0,0,2,0.00234466588511137,39,0.0457209847596717,30,0.0351699882766706
"NORRKÖPING LASARETTSGATAN",202224,2022-06-18,808,159,0.196782178217822,3,0.00371287128712871,8,0.0099009900990099,1,0.00123762376237624,31,0.0383663366336634,31,0.0383663366336634,0,0,7,0.00866336633663366,10,0.0123762376237624,2,0.00247524752475248,66,0.0816831683168317,156,0.193069306930693,51,0.0631188118811881,3,0.00371287128712871,0,0,0,0,5,0.00618811881188119,0,0,1,0.00123762376237624,22,0.0272277227722772,9,0.0111386138613861,31,0.0383663366336634,0,0,0,0,7,0.00866336633663366,10,0.0123762376237624,2,0.00247524752475248,14,0.0173267326732673,52,0.0643564356435644,156,0.193069306930693,53,0.0655940594059406,0,0,9,0.0111386138613861,31,0.0383663366336634,12,0.0148514851485149
"NORRKÖPING LASARETTSGATAN",202224,2022-06-17,1016,163,0.160433070866142,1,0.000984251968503937,10,0.00984251968503937,2,0.00196850393700787,28,0.0275590551181102,43,0.0423228346456693,0,0,4,0.00393700787401575,14,0.0137795275590551,2,0.00196850393700787,59,0.0580708661417323,162,0.159448818897638,54,0.0531496062992126,1,0.000984251968503937,0,0,0,0,9,0.00885826771653543,0,0,2,0.00196850393700787,22,0.0216535433070866,6,0.00590551181102362,43,0.0423228346456693,0,0,1,0.000984251968503937,3,0.00295275590551181,14,0.0137795275590551,2,0.00196850393700787,18,0.0177165354330709,41,0.0403543307086614,162,0.159448818897638,43,0.0423228346456693,0,0,6,0.00590551181102362,43,0.0423228346456693,16,0.015748031496063
"NORRKÖPING LASARETTSGATAN",202224,2022-06-16,1080,182,0.168518518518519,8,0.00740740740740741,21,0.0194444444444444,4,0.0037037037037037,43,0.0398148148148148,44,0.0407407407407407,0,0,3,0.00277777777777778,10,0.00925925925925926,2,0.00185185185185185,47,0.0435185185185185,174,0.161111111111111,63,0.0583333333333333,8,0.00740740740740741,0,0,0,0,13,0.012037037037037,0,0,4,0.0037037037037037,34,0.0314814814814815,9,0.00833333333333333,44,0.0407407407407407,0,0,0,0,3,0.00277777777777778,10,0.00925925925925926,2,0.00185185185185185,5,0.00462962962962963,42,0.0388888888888889,174,0.161111111111111,46,0.0425925925925926,0,0,9,0.00833333333333333,44,0.0407407407407407,12,0.0111111111111111
"NORRKÖPING LASARETTSGATAN",202224,2022-06-15,1102,184,0.166969147005445,1,0.000907441016333938,17,0.015426497277677,5,0.00453720508166969,35,0.0317604355716878,54,0.0490018148820327,0,0,8,0.00725952813067151,11,0.00998185117967332,2,0.00181488203266788,51,0.0462794918330309,183,0.166061705989111,60,0.0544464609800363,1,0.000907441016333938,0,0,0,0,16,0.014519056261343,2,0.00181488203266788,3,0.00272232304900181,30,0.0272232304900181,5,0.00453720508166969,54,0.0490018148820327,0,0,0,0,8,0.00725952813067151,11,0.00998185117967332,2,0.00181488203266788,3,0.00272232304900181,48,0.043557168784029,183,0.166061705989111,51,0.0462794918330309,0,0,5,0.00453720508166969,54,0.0490018148820327,13,0.0117967332123412
"NORRKÖPING LASARETTSGATAN",202224,2022-06-14,1105,153,0.138461538461538,2,0.00180995475113122,15,0.0135746606334842,6,0.00542986425339366,29,0.0262443438914027,49,0.0443438914027149,0,0,7,0.00633484162895928,10,0.00904977375565611,4,0.00361990950226244,31,0.0280542986425339,151,0.136651583710407,51,0.0461538461538462,2,0.00180995475113122,0,0,0,0,13,0.0117647058823529,1,0.000904977375565611,5,0.00452488687782805,24,0.0217194570135747,5,0.00452488687782805,49,0.0443438914027149,0,0,0,0,7,0.00633484162895928,10,0.00904977375565611,4,0.00361990950226244,4,0.00361990950226244,27,0.0244343891402715,151,0.136651583710407,32,0.0289592760180995,0,0,5,0.00452488687782805,49,0.0443438914027149,14,0.0126696832579186
