"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_OBS_endast_trianglen","kampanj_convrate_OBS_endast_trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"GÖTEBORG GULDHEDEN",202228,2022-07-17,1079,152,0.140871177015755,56,0.0518999073215941,23,0.0213160333642261,21,0.0194624652455978,21,0.0194624652455978,0,0,4,0.00370713623725672,8,0.00741427247451344,4,0.00370713623725672,9,0.00834105653382762,6,0.00556070435588508,137,0.126969416126043,36,0.0333642261353105,15,0.0139017608897127,20,0.0185356811862836,21,0.0194624652455978,8,0.00741427247451344,2,0.00185356811862836,19,0.0176088971269694,21,0.0194624652455978,0,0,0,0,0,0,0,0,5,0.0046339202965709,7,0.00648748841519926,4,0.00370713623725672,4,0.00370713623725672,5,0.0046339202965709,1,0.00092678405931418,5,0.0046339202965709,116,0.107506950880445,46,0.0426320667284523,21,0.0194624652455978,0,0,13,0.0120481927710843
"GÖTEBORG GULDHEDEN",202228,2022-07-16,967,115,0.118924508790072,45,0.046535677352637,19,0.0196483971044467,17,0.0175801447776629,6,0.0062047569803516,0,0,3,0.0031023784901758,3,0.0031023784901758,4,0.00413650465356774,5,0.00517063081695967,13,0.0134436401240951,100,0.103412616339193,43,0.0444674250258532,15,0.015511892450879,24,0.0248190279214064,6,0.0062047569803516,4,0.00413650465356774,5,0.00517063081695967,12,0.0124095139607032,6,0.0062047569803516,0,0,0,0,0,0,0,0,6,0.0062047569803516,0,0,4,0.00413650465356774,5,0.00517063081695967,0,0,2,0.00206825232678387,11,0.0113753877973113,94,0.0972078593588418,36,0.0372285418821096,6,0.0062047569803516,0,0,9,0.0093071354705274
"GÖTEBORG GULDHEDEN",202228,2022-07-15,1063,179,0.168391345249294,80,0.0752587017873942,39,0.0366886171213547,14,0.013170272812794,24,0.0225776105362183,0,0,3,0.00282220131702728,6,0.00564440263405456,4,0.00376293508936971,6,0.00564440263405456,3,0.00282220131702728,150,0.141110065851364,53,0.0498588899341486,29,0.0272812793979304,27,0.0253998118532455,24,0.0225776105362183,10,0.00940733772342427,5,0.00470366886171214,9,0.00846660395108184,24,0.0225776105362183,0,0,0,0,0,0,0,0,6,0.00564440263405456,3,0.00282220131702728,4,0.00376293508936971,4,0.00376293508936971,2,0.00188146754468485,1,0.000940733772342427,2,0.00188146754468485,126,0.118532455315146,39,0.0366886171213547,24,0.0225776105362183,0,0,10,0.00940733772342427
"GÖTEBORG GULDHEDEN",202228,2022-07-14,1071,172,0.160597572362278,67,0.0625583566760037,23,0.0214752567693744,25,0.0233426704014939,30,0.0280112044817927,0,0,0,0,7,0.0065359477124183,2,0.00186741363211951,13,0.0121381886087768,5,0.00466853408029879,156,0.145658263305322,39,0.0364145658263305,16,0.0149393090569561,21,0.0196078431372549,30,0.0280112044817927,7,0.0065359477124183,9,0.00840336134453781,16,0.0149393090569561,30,0.0280112044817927,0,0,0,0,0,0,0,0,2,0.00186741363211951,5,0.00466853408029879,2,0.00186741363211951,11,0.0102707749766573,2,0.00186741363211951,0,0,5,0.00466853408029879,126,0.117647058823529,42,0.0392156862745098,30,0.0280112044817927,0,0,15,0.0140056022408964
"GÖTEBORG GULDHEDEN",202228,2022-07-13,1097,151,0.137648131267092,68,0.0619872379216044,20,0.0182315405651778,17,0.0154968094804011,20,0.0182315405651778,0,0,8,0.0072926162260711,7,0.00638103919781222,4,0.00364630811303555,1,0.000911577028258888,6,0.00546946216955333,138,0.125797629899727,44,0.0401093892433911,13,0.0118505013673655,35,0.0319051959890611,20,0.0182315405651778,7,0.00638103919781222,7,0.00638103919781222,10,0.00911577028258888,20,0.0182315405651778,0,0,0,0,0,0,0,0,11,0.0100273473108478,4,0.00364630811303555,4,0.00364630811303555,0,0,1,0.000911577028258888,1,0.000911577028258888,5,0.00455788514129444,118,0.107566089334549,49,0.0446672743846855,20,0.0182315405651778,0,0,5,0.00455788514129444
"GÖTEBORG GULDHEDEN",202228,2022-07-12,1124,194,0.172597864768683,86,0.0765124555160142,29,0.0258007117437722,23,0.0204626334519573,18,0.0160142348754448,0,0,4,0.00355871886120996,8,0.00711743772241993,7,0.00622775800711744,9,0.00800711743772242,10,0.00889679715302491,171,0.152135231316726,49,0.0435943060498221,23,0.0204626334519573,45,0.0400355871886121,18,0.0160142348754448,6,0.00533807829181495,4,0.00355871886120996,19,0.0169039145907473,18,0.0160142348754448,0,0,0,0,0,0,0,0,6,0.00533807829181495,6,0.00533807829181495,7,0.00622775800711744,9,0.00800711743772242,0,0,0,0,10,0.00889679715302491,153,0.136120996441281,70,0.0622775800711744,18,0.0160142348754448,0,0,16,0.0142348754448399
"GÖTEBORG GULDHEDEN",202228,2022-07-11,1226,188,0.153344208809135,86,0.0701468189233279,31,0.0252854812398042,31,0.0252854812398042,18,0.0146818923327896,0,0,1,0.000815660685154976,8,0.0065252854812398,8,0.0065252854812398,4,0.0032626427406199,1,0.000815660685154976,163,0.132952691680261,45,0.0367047308319739,25,0.0203915171288744,43,0.0350734094616639,18,0.0146818923327896,6,0.00489396411092985,8,0.0065252854812398,23,0.0187601957585644,18,0.0146818923327896,0,0,0,0,0,0,0,0,5,0.00407830342577488,4,0.0032626427406199,8,0.0065252854812398,4,0.0032626427406199,0,0,0,0,1,0.000815660685154976,145,0.118270799347471,70,0.0570962479608483,18,0.0146818923327896,0,0,12,0.00978792822185971
"GÖTEBORG GULDHEDEN",202227,2022-07-10,1156,387,0.33477508650519,154,0.133217993079585,43,0.03719723183391,19,0.0164359861591695,135,0.116782006920415,0,0,8,0.0069204152249135,9,0.00778546712802768,4,0.00346020761245675,10,0.00865051903114187,5,0.00432525951557093,372,0.321799307958477,63,0.0544982698961938,15,0.0129757785467128,4,0.00346020761245675,135,0.116782006920415,28,0.0242214532871972,2,0.00173010380622837,17,0.0147058823529412,135,0.116782006920415,0,0,0,0,0,0,0,0,13,0.0112456747404844,4,0.00346020761245675,4,0.00346020761245675,3,0.00259515570934256,7,0.00605536332179931,0,0,5,0.00432525951557093,237,0.205017301038062,25,0.0216262975778547,135,0.116782006920415,0,0,14,0.0121107266435986
"GÖTEBORG GULDHEDEN",202227,2022-07-09,1040,393,0.377884615384615,163,0.156730769230769,29,0.0278846153846154,23,0.0221153846153846,152,0.146153846153846,0,0,5,0.00480769230769231,5,0.00480769230769231,5,0.00480769230769231,6,0.00576923076923077,5,0.00480769230769231,383,0.368269230769231,45,0.0432692307692308,10,0.00961538461538462,1,0.000961538461538462,152,0.146153846153846,19,0.0182692307692308,4,0.00384615384615385,19,0.0182692307692308,152,0.146153846153846,0,0,0,0,0,0,0,0,7,0.00673076923076923,3,0.00288461538461538,5,0.00480769230769231,4,0.00384615384615385,2,0.00192307692307692,2,0.00192307692307692,3,0.00288461538461538,231,0.222115384615385,23,0.0221153846153846,152,0.146153846153846,0,0,11,0.0105769230769231
"GÖTEBORG GULDHEDEN",202227,2022-07-08,1314,379,0.288432267884323,157,0.119482496194825,38,0.0289193302891933,10,0.0076103500761035,141,0.107305936073059,0,0,6,0.0045662100456621,4,0.0030441400304414,5,0.00380517503805175,8,0.0060882800608828,10,0.0076103500761035,367,0.279299847792998,59,0.0449010654490107,12,0.0091324200913242,4,0.0030441400304414,141,0.107305936073059,26,0.0197869101978691,5,0.00380517503805175,5,0.00380517503805175,141,0.107305936073059,0,0,0,0,0,0,0,0,6,0.0045662100456621,4,0.0030441400304414,5,0.00380517503805175,6,0.0045662100456621,2,0.0015220700152207,5,0.00380517503805175,5,0.00380517503805175,226,0.171993911719939,13,0.00989345509893455,141,0.107305936073059,0,0,13,0.00989345509893455
