"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Deli-Mölnlycke","kampanj_convrate_Deli-Mölnlycke","kampanj_count_Deli-Triangeln","kampanj_convrate_Deli-Triangeln","kampanj_count_Deli-Trianglen","kampanj_convrate_Deli-Trianglen","kampanj_count_Deli-Dala_Järna","kampanj_convrate_Deli-Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_convrate_Ordinariepris_test_(endast_produkt_ej_pris)","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Vara_2","kampanj_convrate_Vara_2","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_Alltid_bra_pris","skylttyp_convrate_Alltid_bra_pris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"OSKARSTRÖM BLÅKLINTSVÄGEN",202243,5312,3990.585,0.751239646084337,1149,0.216302710843373,895,0.168486445783133,32,0.00602409638554217,303,0.0570406626506024,6,0.00112951807228916,0,0,76,0.0143072289156626,711,0.133847891566265,30,0.00564759036144578,82,0.0154367469879518,706.585,0.133016754518072,3743.585,0.704741152108434,925.585,0.174244164156626,247,0.0464984939759036,254,0.047816265060241,648,0.121987951807229,648,0.121987951807229,32,0.00602409638554217,303,0.0570406626506024,6,0.00112951807228916,0,0,0,0,0,0,0,0,535,0.100715361445783,71,0.0133659638554217,181,0.0340737951807229,31,0.00583584337349398,81,0.0152484939759036,306,0.057605421686747,400.585,0.0754113328313253,3095.585,0.582753200301205,1036,0.195030120481928,648,0.121987951807229,32,0.00602409638554217,383,0.0721009036144578,71,0.0133659638554217
"OSKARSTRÖM BLÅKLINTSVÄGEN",202233,5986,1098.01,0.183429669228199,70,0.0116939525559639,46,0.00768459739391914,5,0.000835282325425994,148,0.0247243568326094,0,0,0,0,63,0.0105245573003675,454,0.0758436351486803,17,0.00283995990644838,45,0.00751754092883395,250.01,0.0417657868359506,1053.01,0.175912128299365,453.01,0.0756782492482459,45,0.00751754092883395,24,0.00400935516204477,1,0.000167056465085199,1,0.000167056465085199,5,0.000835282325425994,148,0.0247243568326094,0,0,0,0,0,0,0,0,0,0,260,0.0434346809221517,59,0.00985633144002673,198,0.0330771800868694,14,0.00233879051119278,48,0.00801871032408954,171,0.028566655529569,79.01,0.0131991313063816,1052.01,0.17574507183428,329,0.0549615770130304,1,0.000167056465085199,20,0.00334112930170398,190,0.0317407283661878,59,0.00985633144002673
"OSKARSTRÖM BLÅKLINTSVÄGEN",202232,5809,1431.16,0.246369426751592,316,0.054398347391978,302,0.0519882940265106,5,0.000860733344809778,129,0.0222069202960923,0,0,0,0,52,0.00895162678602169,251,0.0432088139094509,11,0.00189361335858151,98,0.0168703735582716,267.16,0.0459907040798761,1148.16,0.197651919435359,343.16,0.0590738509209847,283,0.0487175073162334,14,0.00241005336546738,19,0.00327078671027716,19,0.00327078671027716,5,0.000860733344809778,129,0.0222069202960923,0,0,0,0,0,0,0,0,0,0,184,0.0316749870889998,48,0.00826304011017387,71,0.0122224134962988,24,0.00413152005508693,85,0.0146324668617662,194,0.0333964537786194,73.16,0.0125942503012567,1129.16,0.194381132725082,481,0.0828025477707006,19,0.00327078671027716,15,0.00258220003442933,223,0.0383887071785161,48,0.00826304011017387
"OSKARSTRÖM BLÅKLINTSVÄGEN",202231,5588,918.82,0.164427344309234,63,0.0112741589119542,43,0.00769506084466714,10,0.00178954903364352,166,0.0297065139584825,12,0.00214745884037223,0,0,83,0.0148532569792412,168,0.0300644237652112,12,0.00214745884037223,81,0.0144953471725125,280.82,0.0502541159627774,891.82,0.159595561918397,376.82,0.0674337866857552,27,0.00483178239083751,20,0.00357909806728704,16,0.00286327845382963,16,0.00286327845382963,10,0.00178954903364352,166,0.0297065139584825,12,0.00214745884037223,0,0,0,0,0,0,0,0,95,0.0170007158196135,82,0.0146743020758769,74,0.0132426628489621,22,0.00393700787401575,71,0.012705798138869,193,0.03453829634932,87.82,0.0157158196134574,875.82,0.156732283464567,142,0.025411596277738,16,0.00286327845382963,19,0.00340014316392269,240,0.0429491768074445,82,0.0146743020758769
"OSKARSTRÖM BLÅKLINTSVÄGEN",202230,5499,1044.315,0.189909983633388,99,0.0180032733224223,81,0.0147299509001637,6,0.0010911074740862,111,0.0201854882705947,0,0,0,0,64,0.0116384797235861,183,0.033278777959629,30,0.00545553737043099,92,0.016730314602655,378.315,0.06879705400982,1019.315,0.185363702491362,440.315,0.080071831242044,25,0.00454628114202582,18,0.00327332242225859,56,0.0101836697581378,56,0.0101836697581378,6,0.0010911074740862,111,0.0201854882705947,0,0,0,0,0,0,0,0,0,0,128,0.0232769594471722,63,0.0114566284779051,56,0.0101836697581378,37,0.00672849609019822,85,0.0154573558828878,286,0.0520094562647754,92.315,0.0167875977450446,963.315,0.175180032733224,171,0.0310965630114566,56,0.0101836697581378,16,0.00290961993089653,217,0.0394617203127841,63,0.0114566284779051
"OSKARSTRÖM BLÅKLINTSVÄGEN",202229,5777,1112.355,0.192548900813571,91,0.0157521204777566,60,0.0103860135018176,9,0.00155790202527263,146,0.0252726328544227,4,0.00069240090012117,0,0,79,0.0136749177773931,159,0.0275229357798165,34,0.00588540765102995,62,0.0107322139518781,468.355,0.0810723558940627,1094.355,0.189433096763026,546.355,0.0945741734464255,18,0.00311580405054527,31,0.00536610697593907,42,0.00727020945127229,42,0.00727020945127229,9,0.00155790202527263,146,0.0252726328544227,4,0.00069240090012117,0,0,0,0,0,0,0,0,100,0.0173100225030293,73,0.0126363164272114,65,0.011251514626969,33,0.00571230742599965,63,0.0109053141769084,384,0.0664704864116323,84.355,0.0146018694824303,1052.355,0.182162887311754,149,0.0257919335295136,42,0.00727020945127229,20,0.00346200450060585,222,0.0384282499567249,73,0.0126363164272114
"OSKARSTRÖM BLÅKLINTSVÄGEN",202228,5652,1064.815,0.188396142958245,44,0.00778485491861288,38,0.00672328379334749,7,0.00123849964614296,161,0.028485491861288,10,0.00176928520877565,0,0,76,0.013446567586695,182,0.0322009907997169,24,0.00424628450106157,76,0.013446567586695,446.815,0.0790543170559094,1054.815,0.186626857749469,553.815,0.0979856687898089,10,0.00176928520877565,6,0.00106157112526539,28,0.00495399858457183,28,0.00495399858457183,7,0.00123849964614296,161,0.028485491861288,10,0.00176928520877565,0,0,0,0,0,0,0,0,96,0.0169851380042463,72,0.0127388535031847,90,0.0159235668789809,22,0.00389242745930644,78,0.0138004246284501,370,0.0654635527246992,76.815,0.0135907643312102,1026.815,0.181672859164897,112,0.0198159943382873,28,0.00495399858457183,15,0.00265392781316348,246,0.0435244161358811,72,0.0127388535031847
"OSKARSTRÖM BLÅKLINTSVÄGEN",202227,5635,1085.725,0.192675244010648,54,0.0095829636202307,46,0.00816326530612245,5,0.000887311446317658,116,0.0205856255545697,0,0,0,0,66,0.0117125110913931,150,0.0266193433895297,68,0.0120674356699201,92,0.0163265306122449,488.725,0.0867302573203194,1076.725,0.191078083407276,548.725,0.0973779946761313,9,0.00159716060337178,8,0.00141969831410825,37,0.00656610470275067,37,0.00656610470275067,5,0.000887311446317658,116,0.0205856255545697,0,0,0,0,0,0,0,0,0,0,95,0.0168589174800355,66,0.0117125110913931,55,0.00976042590949423,77,0.0136645962732919,83,0.0147293700088731,403,0.0715173025732032,85.725,0.0152129547471162,1039.725,0.184511978704525,112,0.0198757763975155,37,0.00656610470275067,7,0.00124223602484472,269,0.04773735581189,66,0.0117125110913931
"OSKARSTRÖM BLÅKLINTSVÄGEN",202226,5365,840.93,0.156743709226468,76,0.014165890027959,57,0.0106244175209692,5,0.000931966449207828,140,0.0260950605778192,0,0,0,0,67,0.0124883504193849,134,0.0249767008387698,18,0.00335507921714818,91,0.0169617893755825,252.93,0.0471444547996272,827.93,0.154320596458527,320.93,0.0598191985088537,13,0.00242311276794035,19,0.00354147250698975,44,0.00820130475302889,44,0.00820130475302889,5,0.000931966449207828,140,0.0260950605778192,0,0,0,0,0,0,0,0,0,0,82,0.0152842497670084,56,0.0104380242311277,63,0.0117427772600186,16,0.00298229263746505,93,0.0173345759552656,178,0.0331780055917987,74.93,0.0139664492078285,783.93,0.146119291705499,114,0.0212488350419385,44,0.00820130475302889,15,0.00279589934762349,234,0.0436160298229264,56,0.0104380242311277
"OSKARSTRÖM BLÅKLINTSVÄGEN",202225,5916,1128.32,0.190723461798512,73,0.0123394185260311,52,0.00878972278566599,8,0.00135226504394861,153,0.0258620689655172,0,0,0,0,60,0.0101419878296146,266,0.0449628127112914,17,0.0028735632183908,94,0.0158891142663962,405.32,0.0685125084516565,1101.32,0.186159567275186,521.32,0.0881203515889114,27,0.00456389452332657,21,0.00354969574036511,25,0.00422582826233942,25,0.00422582826233942,8,0.00135226504394861,153,0.0258620689655172,0,0,0,0,0,0,0,0,0,0,161,0.0272143340094659,57,0.00963488843813387,108,0.0182555780933063,13,0.0021974306964165,98,0.0165652467883705,306,0.0517241379310345,99.32,0.016788370520622,1076.32,0.181933739012847,209,0.0353279242731575,25,0.00422582826233942,13,0.0021974306964165,251,0.0424273157538878,57,0.00963488843813387
"OSKARSTRÖM BLÅKLINTSVÄGEN",202224,5852,924.94,0.158055365686945,64,0.0109364319890636,53,0.00905673274094327,4,0.000683526999316473,131,0.0223855092276145,0,0,0,0,110,0.018796992481203,217,0.0370813397129187,17,0.00290498974709501,86,0.0146958304853042,242.94,0.041514012303486,908.94,0.155321257689679,306.94,0.0524504442925496,16,0.00273410799726589,11,0.0018796992481203,37,0.00632262474367738,37,0.00632262474367738,4,0.000683526999316473,131,0.0223855092276145,0,0,0,0,0,0,0,0,0,0,164,0.0280246069719754,103,0.0176008202323992,60,0.0102529049897471,25,0.00427204374572796,78,0.0133287764866712,185,0.0316131237183869,57.94,0.00990088858509911,871.94,0.148998632946001,191,0.0326384142173616,37,0.00632262474367738,16,0.00273410799726589,218,0.0372522214627478,103,0.0176008202323992
"OSKARSTRÖM BLÅKLINTSVÄGEN",202223,5873,1063.43,0.181071002894602,191,0.0325217095181338,44,0.00749191214030308,10,0.00170270730461434,146,0.0248595266473693,7,0.00119189511323004,0,0,70,0.0119189511323004,183,0.0311595436744424,16,0.00272433168738294,89,0.0151540950110676,307.43,0.0523463306657586,1042.43,0.177495317554912,388.43,0.0661382598331347,21,0.00357568533969011,147,0.0250297973778308,23,0.00391622680061297,23,0.00391622680061297,10,0.00170270730461434,146,0.0248595266473693,7,0.00119189511323004,0,0,0,0,0,0,0,0,123,0.0209432998467563,66,0.0112378682104546,64,0.0108973267495318,29,0.00493785118338158,76,0.012940575515069,219,0.037289289971054,88.43,0.0150570406947046,1019.43,0.173579090754299,291,0.0495487825642772,23,0.00391622680061297,16,0.00272433168738294,235,0.0400136216584369,66,0.0112378682104546
