"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ABP","skylttyp_convrate_ABP","skylttyp_count_Deli","skylttyp_convrate_Deli","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"OSKARSTRÖM BLÅKLINTSVÄGEN",202224,5852,1172.073,0.200285885167464,51.073,0.00872744360902256,52,0.00888585099111415,36,0.00615174299384826,190,0.0324675324675325,245,0.041866028708134,0,0,19,0.00324675324675325,47,0.00803144224196856,5,0.000854408749145591,527,0.0900546821599453,1159.073,0.198064422419686,240,0.0410116199589884,13,0.00222146274777854,6.073,0.00103776486671224,32,0.00546821599453178,39,0.00666438824333561,13,0.00222146274777854,23,0.00393028024606972,123,0.0210184552289815,67,0.0114490772385509,245,0.041866028708134,0,0,5,0.000854408749145591,14,0.00239234449760766,47,0.00803144224196856,5,0.000854408749145591,33,0.0056390977443609,494,0.0844155844155844,1159.073,0.198064422419686,523.073,0.0893836295283664,32,0.00546821599453178,67,0.0114490772385509,245,0.041866028708134,52,0.00888585099111415
"OSKARSTRÖM BLÅKLINTSVÄGEN",202223,5873,1386.786,0.23612906521369,61.786,0.0105203473522901,73,0.0124297633236847,36,0.00612974629661161,878,0.149497701345139,45,0.00766218287076452,0,0,38,0.00647028775753448,46,0.00783245360122595,6,0.0010216243827686,203,0.034564958283671,1356.786,0.231020943299847,945,0.160905840286055,30,0.00510812191384301,8.786,0.00149599863783416,23,0.00391622680061297,43,0.00732164140984165,11,0.00187297803507577,25,0.00425676826153584,793,0.135024689255917,85,0.0144730120892219,45,0.00766218287076452,0,0,13,0.00221351949599864,25,0.00425676826153584,46,0.00783245360122595,6,0.0010216243827686,30,0.00510812191384301,173,0.029456836369828,1356.786,0.231020943299847,206.786,0.035209603269198,23,0.00391622680061297,85,0.0144730120892219,45,0.00766218287076452,52,0.00885407798399455
"OSKARSTRÖM BLÅKLINTSVÄGEN",202222,5778,694.041,0.120117860851506,67.041,0.0116028037383178,63,0.0109034267912773,41,0.00709588092765663,191,0.0330564209068882,43,0.00744202146071305,0,0,69,0.0119418483904465,29,0.0050190377293181,13,0.00224991346486674,178,0.0308065074420215,668.041,0.115618033921772,355,0.0614399446175147,26,0.00449982692973347,6.041,0.00104551748009692,35,0.00605745932848737,37,0.00640359986154379,12,0.00207684319833853,29,0.0050190377293181,182,0.0314987885081343,9,0.00155763239875389,43,0.00744202146071305,0,0,24,0.00415368639667705,45,0.00778816199376947,29,0.0050190377293181,13,0.00224991346486674,29,0.0050190377293181,149,0.0257874697127034,668.041,0.115618033921772,184.041,0.0318520249221184,35,0.00605745932848737,9,0.00155763239875389,43,0.00744202146071305,42,0.00726895119418484
"OSKARSTRÖM BLÅKLINTSVÄGEN",202221,5725,835.246,0.145894497816594,97.246,0.0169862008733624,100,0.0174672489082969,41,0.00716157205240175,180,0.0314410480349345,54,0.00943231441048035,0,0,132,0.023056768558952,32,0.00558951965065502,7,0.00122270742358079,192,0.0335371179039301,767.246,0.134016768558952,420,0.0733624454148472,68,0.0118777292576419,5.246,0.000916331877729258,24,0.00419213973799127,32,0.00558951965065502,10,0.00174672489082969,31,0.00541484716157205,139,0.0242794759825328,41,0.00716157205240175,54,0.00943231441048035,0,0,116,0.0202620087336245,16,0.00279475982532751,32,0.00558951965065502,7,0.00122270742358079,39,0.00681222707423581,153,0.0267248908296943,767.246,0.134016768558952,189.246,0.0330560698689956,24,0.00419213973799127,41,0.00716157205240175,54,0.00943231441048035,39,0.00681222707423581
"OSKARSTRÖM BLÅKLINTSVÄGEN",202220,5821,914.387,0.157084177976293,93.387,0.0160431197388765,103,0.0176945542003092,94,0.0161484281051366,223,0.0383095688026112,42,0.0072152551108057,11,0.00188970967187768,41,0.00704346332245319,160,0.0274866861364027,4,0.000687167153410067,143,0.0245662257344099,859.387,0.147635629616904,398,0.0683731317643017,55,0.00944854835938842,7.387,0.00126902594056004,31,0.00532554543892802,48,0.0082460058409208,58,0.00996392372444597,36,0.0061845043806906,176,0.0302353547500429,47,0.00807421405256829,42,0.0072152551108057,0,0,24,0.0041230029204604,28,0.00481017007387047,160,0.0274866861364027,4,0.000687167153410067,20,0.00343583576705034,123,0.0211303899673596,859.387,0.147635629616904,177.387,0.0304736299604879,31,0.00532554543892802,47,0.00807421405256829,42,0.0072152551108057,164,0.0281738532898127
"OSKARSTRÖM BLÅKLINTSVÄGEN",202219,5657,1259.108,0.222575216545872,44.108,0.0077970655824642,59,0.0104295563019268,60,0.0106063284426374,748,0.132225561251547,42,0.00742442990984621,6,0.00106063284426374,31,0.00547993636202934,67,0.0118437334276118,6,0.00106063284426374,196,0.0346473395792823,1252.108,0.221337811560898,801,0.14159448470921,7,0.00123740498497437,4.108,0.000726179954039243,33,0.00583348064345059,52,0.00919215131695245,11,0.00194449354781686,49,0.00866183489482058,679,0.120028283542514,69,0.0121972777090331,42,0.00742442990984621,0,0,22,0.00388898709563373,15,0.00265158211065936,67,0.0118437334276118,6,0.00106063284426374,21,0.0037122149549231,175,0.0309351246243592,1252.108,0.221337811560898,234.108,0.0413837723174828,33,0.00583348064345059,69,0.0121972777090331,42,0.00742442990984621,73,0.0129043662718756
"OSKARSTRÖM BLÅKLINTSVÄGEN",202218,5555,797.068,0.143486588658866,65.564,0.011802700270027,74,0.0133213321332133,62,0.0111611161116112,281,0.0505850585058506,36.504,0.00657137713771377,4,0.00072007200720072,39,0.00702070207020702,60,0.0108010801080108,4,0.00072007200720072,171,0.0307830783078308,778.068,0.140066246624662,280,0.0504050405040504,19,0.00342034203420342,19.564,0.00352187218721872,27,0.00486048604860486,55,0.0099009900990099,13,0.00234023402340234,49,0.00882088208820882,128,0.023042304230423,153,0.0275427542754275,36.504,0.00657137713771377,0,0,34,0.00612061206120612,9,0.00162016201620162,60,0.0108010801080108,4,0.00072007200720072,26,0.00468046804680468,145,0.0261026102610261,778.068,0.140066246624662,217.564,0.0391654365436544,27,0.00486048604860486,153,0.0275427542754275,36.504,0.00657137713771377,64,0.0115211521152115
"OSKARSTRÖM BLÅKLINTSVÄGEN",202217,5454,1182.353,0.216786395306197,131.353,0.0240837917125046,108,0.0198019801980198,46,0.00843417675100843,363,0.0665566556655666,74,0.0135680234690136,6,0.0011001100110011,26,0.00476714338100477,48,0.0088008800880088,6,0.0011001100110011,374,0.0685735240190686,1143.353,0.20963568023469,342,0.0627062706270627,39,0.00715071507150715,62.353,0.0114325265859919,30,0.0055005500550055,69,0.0126512651265127,12,0.0022002200220022,34,0.00623395672900623,164,0.0300696736340301,199,0.0364869820315365,74,0.0135680234690136,0,0,28,0.00513384671800513,4,0.000733406674000733,48,0.0088008800880088,6,0.0011001100110011,32,0.00586725339200587,342,0.0627062706270627,1143.353,0.20963568023469,444.353,0.081472863953062,30,0.0055005500550055,199,0.0364869820315365,74,0.0135680234690136,54,0.0099009900990099
"OSKARSTRÖM BLÅKLINTSVÄGEN",202216,5827,850.147,0.145897889136777,138.147,0.0237080830616097,115,0.0197357130598936,83,0.014244036382358,166,0.028488072764716,53,0.00909558949716835,7,0.00120130427321091,22,0.00377552771580573,91,0.0156169555517419,9,0.00154453406555689,166,0.028488072764716,782.147,0.134228076197014,326,0.055946456152394,68,0.0116698129397632,9.147,0.00156976145529432,61,0.0104685086665523,47,0.00806590012013043,19,0.00326068302728677,64,0.0109833533550712,144,0.0247125450489102,22,0.00377552771580573,53,0.00909558949716835,0,0,24,0.00411875750815171,5,0.000858074480864939,91,0.0156169555517419,9,0.00154453406555689,26,0.00446198730049768,140,0.0240260854642183,782.147,0.134228076197014,220.147,0.0377805045477947,61,0.0104685086665523,22,0.00377552771580573,53,0.00909558949716835,100,0.0171614896172988
"OSKARSTRÖM BLÅKLINTSVÄGEN",202215,5849,699.053,0.119516669516157,62.053,0.0106091639596512,79,0.0135065823217644,42,0.00718071465207728,211,0.0360745426568644,37,0.00632586766968713,6,0.00102581637886818,8,0.00136775517182424,51,0.00871943922037955,5,0.000854846982390152,198,0.03385194050265,674.053,0.115242434604206,294,0.0502650025645409,25,0.00427423491195076,6.053,0.00103487775688152,31,0.00530005129081894,54,0.00923234740981364,16,0.00273551034364849,26,0.00444520430842879,166,0.0283809198153531,45,0.00769362284151137,37,0.00632586766968713,0,0,9,0.00153872456830227,5,0.000854846982390152,51,0.00871943922037955,5,0.000854846982390152,25,0.00427423491195076,173,0.0295777055906993,674.053,0.115242434604206,211.053,0.0360836040348778,31,0.00530005129081894,45,0.00769362284151137,37,0.00632586766968713,56,0.0095742862027697
"OSKARSTRÖM BLÅKLINTSVÄGEN",202214,5417,1246.866,0.230176481447296,72.866,0.0134513568395791,107,0.0197526306073472,32,0.0059073287797674,673,0.124238508399483,42,0.00775336902344471,3,0.000553812073103194,10,0.00184604024367731,54,0.00996861731585749,9,0.00166143621930958,244,0.0450433819457264,1202.866,0.222053904375115,771,0.142329702787521,44,0.00812257707218017,2.866,0.000529075133837918,26,0.00479970463356101,63,0.0116300535351671,9,0.00166143621930958,23,0.00424589256045782,626,0.1155621192542,47,0.00867638914528337,42,0.00775336902344471,0,0,12,0.00221524829241277,1,0.000184604024367731,54,0.00996861731585749,9,0.00166143621930958,19,0.00350747646298689,225,0.0415359054827395,1202.866,0.222053904375115,253.866,0.0468646852501385,26,0.00479970463356101,47,0.00867638914528337,42,0.00775336902344471,63,0.0116300535351671
"OSKARSTRÖM BLÅKLINTSVÄGEN",202213,5377,1114.885,0.207343314115678,119.885,0.022295889901432,80,0.0148781848614469,97,0.0180397991445044,230,0.0427747814766598,240,0.0446345545843407,6,0.00111586386460852,25,0.00464943276920216,89,0.0165519806583597,8,0.00148781848614469,220,0.040915008368979,1071.885,0.19934628975265,304,0.0565371024734982,43,0.00799702436302771,45.885,0.00853356890459364,31,0.00576529663381068,37,0.00688116049841919,8,0.00148781848614469,89,0.0165519806583597,159,0.0295703924121257,71,0.0132043890645341,240,0.0446345545843407,0,0,30,0.00557931932304259,1,0.000185977310768086,89,0.0165519806583597,8,0.00148781848614469,32,0.00595127394457876,188,0.0349637344244002,1071.885,0.19934628975265,328.885,0.0611651478519621,31,0.00576529663381068,71,0.0132043890645341,240,0.0446345545843407,97,0.0180397991445044
"OSKARSTRÖM BLÅKLINTSVÄGEN",202212,5456,776.94,0.142401026392962,95.94,0.0175843108504399,69,0.0126466275659824,36,0.00659824046920821,218,0.0399560117302053,60,0.0109970674486804,42,0.00769794721407625,18,0.00329912023460411,62,0.0113636363636364,4,0.000733137829912023,172,0.031524926686217,748.94,0.137269061583578,269,0.0493035190615836,28,0.00513196480938416,37.94,0.00695381231671554,30,0.00549853372434018,41,0.00751466275659824,11,0.00201612903225806,25,0.00458211143695015,156,0.0285923753665689,62,0.0113636363636364,60,0.0109970674486804,0,0,56,0.0102639296187683,4,0.000733137829912023,62,0.0113636363636364,4,0.000733137829912023,15,0.00274926686217009,157,0.0287756598240469,748.94,0.137269061583578,261.94,0.0480095307917889,30,0.00549853372434018,62,0.0113636363636364,60,0.0109970674486804,66,0.0120967741935484
"OSKARSTRÖM BLÅKLINTSVÄGEN",202211,5340,1171.079,0.219303183520599,64.079,0.0119998127340824,232,0.0434456928838951,38,0.00711610486891386,334,0.0625468164794007,42,0.00786516853932584,5,0.000936329588014981,165,0.0308988764044944,97,0.0181647940074906,4,0.000749063670411985,190,0.0355805243445693,1146.079,0.214621535580524,624,0.11685393258427,25,0.00468164794007491,5.079,0.000951123595505618,34,0.00636704119850187,207,0.0387640449438202,10,0.00187265917602996,28,0.0052434456928839,193,0.0361423220973783,141,0.0264044943820225,42,0.00786516853932584,0,0,164,0.0307116104868914,6,0.00112359550561798,97,0.0181647940074906,4,0.000749063670411985,24,0.00449438202247191,166,0.0310861423220974,1146.079,0.214621535580524,204.079,0.0382170411985019,34,0.00636704119850187,141,0.0264044943820225,42,0.00786516853932584,101,0.0189138576779026
"OSKARSTRÖM BLÅKLINTSVÄGEN",202210,5261,899.097,0.170898498384338,72.097,0.0137040486599506,94,0.0178673256034974,53,0.0100741303934613,371,0.0705189127542292,26,0.00494202623075461,2,0.000380155863904201,25,0.00475194829880251,73,0.0138756890325033,23,0.00437179243489831,160,0.0304124691123361,863.097,0.164055692834062,338,0.0642463409998099,36,0.00684280555027561,6.097,0.00115890515111196,30,0.00570233795856301,58,0.0110245200532218,18,0.00342140277513781,35,0.00665272761832351,173,0.0328834822277134,198,0.0376354305265159,26,0.00494202623075461,0,0,23,0.00437179243489831,4,0.000760311727808401,73,0.0138756890325033,23,0.00437179243489831,28,0.00532218209465881,132,0.0250902870176772,863.097,0.164055692834062,175.097,0.0332820756510169,30,0.00570233795856301,198,0.0376354305265159,26,0.00494202623075461,96,0.0182474814674016
"OSKARSTRÖM BLÅKLINTSVÄGEN",202209,5146,793.269,0.154152545666537,65.269,0.0126834434512243,75,0.0145744267392149,48,0.00932763311309755,252,0.0489700738437621,54,0.0104935872522347,8,0.00155460551884959,8,0.00155460551884959,79,0.0153517294986397,15,0.00291488534784298,189,0.0367275553828216,763.269,0.148322774970851,252,0.0489700738437621,30,0.00582977069568597,4.269,0.000829576369996114,31,0.00602409638554217,45,0.00874465604352895,14,0.00272055965798679,34,0.00660707345511077,131,0.0254566653711621,121,0.0235134084726001,54,0.0104935872522347,0,0,10,0.00194325689856199,6,0.00116595413913719,79,0.0153517294986397,15,0.00291488534784298,24,0.00466381655654878,165,0.0320637388262728,763.269,0.148322774970851,211.269,0.0410549941702293,31,0.00602409638554217,121,0.0235134084726001,54,0.0104935872522347,94,0.0182666148464827
"OSKARSTRÖM BLÅKLINTSVÄGEN",202208,5255,3440.073,0.654628544243578,53.073,0.010099524262607,63,0.011988582302569,33,0.00627973358705994,2242,0.426641294005709,327,0.0622264509990485,1,0.000190294957183635,13,0.00247383444338725,91,0.0173168411037108,7,0.00133206470028544,610,0.116079923882017,3427.073,0.65215470980019,240,0.0456707897240723,13,0.00247383444338725,5.073,0.000965366317792578,35,0.00666032350142721,50,0.00951474785918173,7,0.00133206470028544,26,0.0049476688867745,130,0.0247383444338725,2112,0.401902949571836,327,0.0622264509990485,0,0,8,0.00152235965746908,6,0.00114176974310181,91,0.0173168411037108,7,0.00133206470028544,27,0.00513796384395813,583,0.110941960038059,3427.073,0.65215470980019,615.073,0.11704529019981,35,0.00666032350142721,2112,0.401902949571836,327,0.0622264509990485,98,0.0186489058039962
