"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_ABP_3_för_25","kampanj_convrate_ABP_3_för_25","kampanj_count_ABP_2_för_28","kampanj_convrate_ABP_2_för_28","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"DALA-JÄRNA MYRBACKA",202220,2022-05-20,1054,244,0.231499051233397,36,0.0341555977229602,58,0.0550284629981025,12,0.0113851992409867,18,0.0170777988614801,0,0,3,0.00284629981024668,1,0.00094876660341556,35,0.0332068311195446,49,0.0464895635673624,0,0,32,0.0303605313092979,208,0.197343453510436,92,0.0872865275142315,36,0.0341555977229602,0,0,0,0,22,0.0208728652751423,8,0.00759013282732448,4,0.00379506641366224,15,0.0142314990512334,3,0.00284629981024668,0,0,3,0.00284629981024668,0,0,15,0.0142314990512334,21,0.0199240986717268,49,0.0464895635673624,0,0,10,0.0094876660341556,22,0.0208728652751423,208,0.197343453510436,36,0.0341555977229602,0,0,77,0.0730550284629981,3,0.00284629981024668
"DALA-JÄRNA MYRBACKA",202220,2022-05-19,939,120,0.12779552715655,19,0.020234291799787,23,0.0244941427050053,15,0.0159744408945687,14,0.0149094781682641,0,0,7,0.00745473908413206,1,0.00106496272630458,16,0.0170394036208733,17,0.0181043663471778,0,0,8,0.00851970181043664,106,0.112886048988285,43,0.0457933972310969,14,0.0149094781682641,0,0,5,0.0053248136315229,9,0.00958466453674121,12,0.012779552715655,3,0.00319488817891374,11,0.0117145899893504,3,0.00319488817891374,0,0,7,0.00745473908413206,0,0,10,0.0106496272630458,7,0.00745473908413206,17,0.0181043663471778,0,0,3,0.00319488817891374,5,0.0053248136315229,106,0.112886048988285,17,0.0181043663471778,5,0.0053248136315229,34,0.0362087326943557,7,0.00745473908413206
"DALA-JÄRNA MYRBACKA",202220,2022-05-18,864,135,0.15625,7,0.00810185185185185,18,0.0208333333333333,7,0.00810185185185185,34,0.0393518518518519,0,0,3,0.00347222222222222,0,0,11,0.0127314814814815,46,0.0532407407407407,2,0.00231481481481481,7,0.00810185185185185,132,0.152777777777778,29,0.0335648148148148,3,0.00347222222222222,0,0,4,0.00462962962962963,15,0.0173611111111111,6,0.00694444444444444,1,0.00115740740740741,18,0.0208333333333333,16,0.0185185185185185,0,0,3,0.00347222222222222,0,0,7,0.00810185185185185,4,0.00462962962962963,46,0.0532407407407407,2,0.00231481481481481,3,0.00347222222222222,4,0.00462962962962963,132,0.152777777777778,11,0.0127314814814815,4,0.00462962962962963,85,0.0983796296296296,3,0.00347222222222222
"DALA-JÄRNA MYRBACKA",202220,2022-05-17,883,180,0.203850509626274,44,0.0498301245753114,53,0.0600226500566251,9,0.0101925254813137,3,0.00339750849377123,0,0,4,0.00453001132502831,1,0.00113250283125708,12,0.0135900339750849,46,0.0520951302378256,0,0,8,0.00906002265005663,141,0.159682899207248,68,0.0770101925254813,39,0.044167610419026,0,0,5,0.00566251415628539,14,0.0158550396375991,7,0.00792751981879955,2,0.00226500566251416,3,0.00339750849377123,0,0,0,0,4,0.00453001132502831,0,0,6,0.00679501698754247,7,0.00792751981879955,46,0.0520951302378256,0,0,2,0.00226500566251416,6,0.00679501698754247,141,0.159682899207248,13,0.014722536806342,5,0.00566251415628539,51,0.057757644394111,4,0.00453001132502831
"DALA-JÄRNA MYRBACKA",202220,2022-05-16,826,82,0.099273607748184,5,0.00605326876513317,22,0.026634382566586,7,0.00847457627118644,7,0.00847457627118644,0,0,4,0.00484261501210654,1,0.00121065375302663,10,0.0121065375302663,26,0.0314769975786925,0,0,0,0,82,0.099273607748184,29,0.0351089588377724,0,0,2,0.00242130750605327,3,0.0036319612590799,22,0.026634382566586,1,0.00121065375302663,6,0.00726392251815981,6,0.00726392251815981,1,0.00121065375302663,0,0,4,0.00484261501210654,0,0,7,0.00847457627118644,4,0.00484261501210654,26,0.0314769975786925,0,0,0,0,0,0,82,0.099273607748184,13,0.0157384987893462,3,0.0036319612590799,33,0.0399515738498789,4,0.00484261501210654
"DALA-JÄRNA MYRBACKA",202219,2022-05-15,780,85,0.108974358974359,6,0.00769230769230769,10,0.0128205128205128,21,0.0269230769230769,3,0.00384615384615385,0,0,3,0.00384615384615385,0,0,18,0.0230769230769231,22,0.0282051282051282,0,0,2,0.00256410256410256,84,0.107692307692308,32,0.041025641025641,1,0.00128205128205128,3,0.00384615384615385,2,0.00256410256410256,9,0.0115384615384615,18,0.0230769230769231,3,0.00384615384615385,0,0,3,0.00384615384615385,0,0,3,0.00384615384615385,0,0,7,0.00897435897435897,11,0.0141025641025641,22,0.0282051282051282,0,0,1,0.00128205128205128,1,0.00128205128205128,84,0.107692307692308,21,0.0269230769230769,2,0.00256410256410256,26,0.0333333333333333,3,0.00384615384615385
"DALA-JÄRNA MYRBACKA",202219,2022-05-14,939,124,0.132055378061768,4,0.00425985090521832,17,0.0181043663471778,36,0.0383386581469649,21,0.0223642172523962,0,0,3,0.00319488817891374,0,0,11,0.0117145899893504,20,0.0212992545260916,0,0,12,0.012779552715655,122,0.129925452609159,62,0.0660276890308839,2,0.00212992545260916,1,0.00106496272630458,1,0.00106496272630458,15,0.0159744408945687,35,0.0372736954206603,1,0.00106496272630458,18,0.0191693290734824,3,0.00319488817891374,0,0,3,0.00319488817891374,0,0,8,0.00851970181043664,3,0.00319488817891374,20,0.0212992545260916,0,0,3,0.00319488817891374,9,0.00958466453674121,122,0.129925452609159,12,0.012779552715655,1,0.00106496272630458,44,0.0468583599574015,3,0.00319488817891374
"DALA-JÄRNA MYRBACKA",202219,2022-05-13,963,175,0.181723779854621,2,0.00207684319833853,15,0.0155763239875389,50,0.0519210799584631,22,0.0228452751817238,0,0,6,0.00623052959501558,0,0,36,0.0373831775700935,15,0.0155763239875389,0,0,29,0.0301142263759086,175,0.181723779854621,82,0.0851505711318795,0,0,0,0,2,0.00207684319833853,15,0.0155763239875389,47,0.0488058151609553,3,0.00311526479750779,6,0.00623052959501558,16,0.0166147455867082,0,0,6,0.00623052959501558,0,0,12,0.0124610591900312,24,0.0249221183800623,15,0.0155763239875389,0,0,12,0.0124610591900312,17,0.0176531671858775,175,0.181723779854621,36,0.0373831775700935,2,0.00207684319833853,49,0.0508826583592939,6,0.00623052959501558
"DALA-JÄRNA MYRBACKA",202219,2022-05-12,809,100,0.123609394313968,7,0.00865265760197775,2,0.00247218788627936,33,0.0407911001236094,20,0.0247218788627936,0,0,11,0.0135970333745365,0,0,9,0.0111248454882571,9,0.0111248454882571,1,0.00123609394313968,8,0.00988875154511743,100,0.123609394313968,39,0.0482076637824475,0,0,2,0.00247218788627936,5,0.00618046971569839,2,0.00247218788627936,31,0.03831891223733,2,0.00247218788627936,6,0.00741656365883807,14,0.0173053152039555,0,0,11,0.0135970333745365,0,0,2,0.00247218788627936,7,0.00865265760197775,9,0.0111248454882571,1,0.00123609394313968,4,0.00494437577255871,4,0.00494437577255871,100,0.123609394313968,11,0.0135970333745365,5,0.00618046971569839,34,0.0420271940667491,11,0.0135970333745365
"DALA-JÄRNA MYRBACKA",202219,2022-05-11,819,100,0.122100122100122,7,0.00854700854700855,9,0.010989010989011,24,0.0293040293040293,29,0.0354090354090354,0,0,3,0.00366300366300366,1,0.00122100122100122,15,0.0183150183150183,6,0.00732600732600733,0,0,6,0.00732600732600733,96,0.117216117216117,37,0.0451770451770452,4,0.00488400488400488,0,0,3,0.00366300366300366,5,0.00610500610500611,18,0.021978021978022,6,0.00732600732600733,15,0.0183150183150183,14,0.0170940170940171,0,0,3,0.00366300366300366,0,0,3,0.00366300366300366,13,0.0158730158730159,6,0.00732600732600733,0,0,2,0.00244200244200244,4,0.00488400488400488,96,0.117216117216117,16,0.0195360195360195,3,0.00366300366300366,37,0.0451770451770452,3,0.00366300366300366
"DALA-JÄRNA MYRBACKA",202219,2022-05-10,818,145,0.177261613691932,14,0.0171149144254279,8,0.0097799511002445,35,0.0427872860635697,30,0.0366748166259169,0,0,4,0.00488997555012225,1,0.00122249388753056,14,0.0171149144254279,32,0.039119804400978,0,0,7,0.00855745721271394,141,0.172371638141809,46,0.0562347188264059,4,0.00488997555012225,8,0.0097799511002445,2,0.00244498777506112,4,0.00488997555012225,29,0.0354523227383863,6,0.00733496332518337,9,0.0110024449877751,21,0.0256723716381418,0,0,4,0.00488997555012225,0,0,6,0.00733496332518337,9,0.0110024449877751,32,0.039119804400978,0,0,4,0.00488997555012225,3,0.00366748166259169,141,0.172371638141809,23,0.0281173594132029,2,0.00244498777506112,66,0.0806845965770171,4,0.00488997555012225
"DALA-JÄRNA MYRBACKA",202219,2022-05-09,814,165,0.202702702702703,19,0.0233415233415233,8,0.00982800982800983,54,0.0663390663390663,32,0.0393120393120393,0,0,0,0,1,0.00122850122850123,22,0.027027027027027,29,0.0356265356265356,0,0,0,0,163,0.2002457002457,62,0.0761670761670762,2,0.00245700245700246,15,0.0184275184275184,2,0.00245700245700246,6,0.00737100737100737,50,0.0614250614250614,4,0.00491400491400491,6,0.00737100737100737,26,0.0319410319410319,0,0,0,0,0,0,2,0.00245700245700246,21,0.0257985257985258,29,0.0356265356265356,0,0,0,0,0,0,163,0.2002457002457,38,0.0466830466830467,2,0.00245700245700246,61,0.0749385749385749,0,0
"DALA-JÄRNA MYRBACKA",202218,2022-05-08,725,90,0.124137931034483,19,0.0262068965517241,21,0.0289655172413793,1,0.00137931034482759,13,0.0179310344827586,0,0,0,0,1,0.00137931034482759,10,0.0137931034482759,21,0.0289655172413793,2,0.00275862068965517,2,0.00275862068965517,85,0.117241379310345,24,0.0331034482758621,5,0.00689655172413793,12,0.016551724137931,2,0.00275862068965517,16,0.0220689655172414,0,0,1,0.00137931034482759,0,0,13,0.0179310344827586,0,0,0,0,0,0,4,0.00551724137931034,7,0.0096551724137931,21,0.0289655172413793,2,0.00275862068965517,0,0,2,0.00275862068965517,85,0.117241379310345,23,0.0317241379310345,2,0.00275862068965517,36,0.0496551724137931,0,0
"DALA-JÄRNA MYRBACKA",202218,2022-05-07,912,108,0.118421052631579,12,0.0131578947368421,22,0.0241228070175439,3,0.00328947368421053,31,0.0339912280701754,0,0,0,0,0,0,13,0.0142543859649123,14,0.0153508771929825,0,0,13,0.0142543859649123,106,0.116228070175439,34,0.037280701754386,2,0.00219298245614035,8,0.0087719298245614,2,0.00219298245614035,20,0.0219298245614035,0,0,3,0.00328947368421053,8,0.0087719298245614,23,0.025219298245614,0,0,0,0,0,0,1,0.00109649122807018,12,0.0131578947368421,14,0.0153508771929825,0,0,4,0.0043859649122807,9,0.00986842105263158,106,0.116228070175439,21,0.0230263157894737,2,0.00219298245614035,49,0.0537280701754386,0,0
"DALA-JÄRNA MYRBACKA",202218,2022-05-06,1028,192,0.186770428015564,22,0.0214007782101167,37,0.0359922178988327,3,0.00291828793774319,63,0.061284046692607,0,0,2,0.00194552529182879,0,0,24,0.0233463035019455,12,0.0116731517509728,3,0.00291828793774319,26,0.0252918287937743,186,0.180933852140078,50,0.0486381322957198,6,0.00583657587548638,16,0.0155642023346304,0,0,31,0.0301556420233463,0,0,3,0.00291828793774319,10,0.00972762645914397,53,0.051556420233463,0,0,2,0.00194552529182879,0,0,5,0.00486381322957198,19,0.0184824902723735,12,0.0116731517509728,3,0.00291828793774319,16,0.0155642023346304,10,0.00972762645914397,186,0.180933852140078,40,0.0389105058365759,0,0,94,0.0914396887159533,2,0.00194552529182879
"DALA-JÄRNA MYRBACKA",202218,2022-05-05,848,131,0.154481132075472,8,0.00943396226415094,17,0.0200471698113208,5,0.00589622641509434,32,0.0377358490566038,0,0,25,0.0294811320754717,0,0,14,0.0165094339622642,12,0.0141509433962264,2,0.00235849056603774,16,0.0188679245283019,129,0.152122641509434,36,0.0424528301886792,2,0.00235849056603774,4,0.00471698113207547,2,0.00235849056603774,15,0.017688679245283,0,0,5,0.00589622641509434,4,0.00471698113207547,28,0.0330188679245283,0,0,25,0.0294811320754717,0,0,4,0.00471698113207547,10,0.0117924528301887,12,0.0141509433962264,2,0.00235849056603774,2,0.00235849056603774,14,0.0165094339622642,129,0.152122641509434,18,0.0212264150943396,2,0.00235849056603774,48,0.0566037735849057,25,0.0294811320754717
"DALA-JÄRNA MYRBACKA",202218,2022-05-04,824,120,0.145631067961165,7,0.00849514563106796,30,0.0364077669902913,2,0.00242718446601942,27,0.0327669902912621,0,0,20,0.0242718446601942,4,0.00485436893203883,7,0.00849514563106796,13,0.0157766990291262,3,0.00364077669902913,7,0.00849514563106796,118,0.143203883495146,35,0.0424757281553398,2,0.00242718446601942,3,0.00364077669902913,2,0.00242718446601942,28,0.0339805825242718,0,0,2,0.00242718446601942,2,0.00242718446601942,25,0.0303398058252427,0,0,20,0.0242718446601942,0,0,6,0.00728155339805825,5,0.00606796116504854,13,0.0157766990291262,3,0.00364077669902913,4,0.00485436893203883,3,0.00364077669902913,118,0.143203883495146,14,0.0169902912621359,2,0.00242718446601942,47,0.0570388349514563,20,0.0242718446601942
"DALA-JÄRNA MYRBACKA",202218,2022-05-03,824,103,0.125,5,0.00606796116504854,25,0.0303398058252427,4,0.00485436893203883,27,0.0327669902912621,0,0,8,0.00970873786407767,0,0,10,0.0121359223300971,20,0.0242718446601942,3,0.00364077669902913,1,0.00121359223300971,102,0.12378640776699,29,0.0351941747572816,1,0.00121359223300971,0,0,4,0.00485436893203883,24,0.029126213592233,0,0,4,0.00485436893203883,10,0.0121359223300971,17,0.020631067961165,0,0,8,0.00970873786407767,0,0,3,0.00364077669902913,7,0.00849514563106796,20,0.0242718446601942,3,0.00364077669902913,1,0.00121359223300971,0,0,102,0.12378640776699,10,0.0121359223300971,4,0.00485436893203883,51,0.0618932038834951,8,0.00970873786407767
