"butik","vecka","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_frac_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_frac_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_frac_F&G","sales_zoner_count_Bröd","sales_zoner_frac_Bröd","sales_zoner_count_Bake off","sales_zoner_frac_Bake off","sales_zoner_count_Fisk","sales_zoner_frac_Fisk","sales_zoner_count_Deli","sales_zoner_frac_Deli","sales_zoner_count_Frys","sales_zoner_frac_Frys","sales_zoner_count_Mejeri","sales_zoner_frac_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_frac_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_frac_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_frac_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_frac_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_frac_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_frac_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_frac_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_frac_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_frac_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_frac_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_frac_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_frac_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_frac_Kampanj 1 - bladet eller Lax","sales_kampanj_count_Mölnlycke","sales_kampanj_frac_Mölnlycke","sales_kampanj_count_Triangeln","sales_kampanj_frac_Triangeln","sales_kampanj_count_Trianglen","sales_kampanj_frac_Trianglen","sales_kampanj_count_Kampanj 1","sales_kampanj_frac_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_frac_Kampanj 2","sales_kampanj_count_ABP_3_för_25","sales_kampanj_frac_ABP_3_för_25","sales_kampanj_count_ABP_2_för_28","sales_kampanj_frac_ABP_2_för_28","sales_kampanj_count_Kampanj 1 - snacks","sales_kampanj_frac_Kampanj 1 - snacks","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_frac_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_frac_TOTAL","sales_skylttyp_count_Kampanjvara","sales_skylttyp_frac_Kampanjvara","sales_skylttyp_count_Klubbpris","sales_skylttyp_frac_Klubbpris","sales_skylttyp_count_veckans klipp","sales_skylttyp_frac_veckans klipp","sales_skylttyp_count_klubbpris","sales_skylttyp_frac_klubbpris","sales_skylttyp_count_kampanjvara","sales_skylttyp_frac_kampanjvara","sales_skylttyp_count_ABP","sales_skylttyp_frac_ABP","sales_skylttyp_count_Ordinarie","sales_skylttyp_frac_Ordinarie","sales_skylttyp_count_Deli","sales_skylttyp_frac_Deli","sales_skylttyp_count_alltid bra pris","sales_skylttyp_frac_alltid bra pris"
"HEMKÖP OSKARSTRÖM BLÅKLINTSVÄGEN",202141,5288,815.099,0.154141263237519,58.099,0.0109869515885023,64,0.0121028744326778,58,0.0109682299546142,185,0.0349848714069592,0,0,41,0.00775340393343419,7,0.00132375189107413,27,0.00510590015128593,107,0.0202344931921331,4,0.00075642965204236,264,0.0499243570347958,794.099,0.150170007564297,21,0.00397125567322239,4.099,0.000775151285930409,33,0.00624054462934947,43,0.00813161875945537,9,0.00170196671709531,49,0.00926626323751891,184,0.0347957639939486,1,0.00018910741301059,0,0,41,0.00775340393343419,0,0,0,0,27,0.00510590015128593,7,0.00132375189107413,107,0.0202344931921331,4,0.00075642965204236,54,0.0102118003025719,210,0.0397125567322239,794.099,0.150170007564297,127,0.0240166414523449,4.099,0.000775151285930409,33,0.00624054462934947,266,0.0503025718608169,211,0.0399016641452345,1,0.00018910741301059,0,0,41,0.00775340393343419,111,0.0209909228441755
"HEMKÖP OSKARSTRÖM BLÅKLINTSVÄGEN",202140,5496,3058.089,0.556420851528384,134.089,0.0243975618631732,86,0.0156477438136827,66,0.0120087336244541,2314,0.421033478893741,0,0,57,0.0103711790393013,2,0.000363901018922853,7,0.00127365356622999,108,0.0196506550218341,8,0.00145560407569141,276,0.0502183406113537,3005.089,0.546777474526929,53,0.0096433770014556,3.089,0.000562045123726346,78,0.0141921397379913,33,0.00600436681222707,22,0.00400291120815138,44,0.00800582241630277,2314,0.421033478893741,0,0,0,0,57,0.0103711790393013,0,0,0,0,2,0.000363901018922853,7,0.00127365356622999,108,0.0196506550218341,8,0.00145560407569141,43,0.00782387190684134,233,0.0423944687045124,3005.089,0.546777474526929,151,0.0274745269286754,3.089,0.000562045123726346,78,0.0141921397379913,279,0.050764192139738,2321,0.422307132459971,0,0,0,0,57,0.0103711790393013,116,0.0211062590975255
"HEMKÖP OSKARSTRÖM BLÅKLINTSVÄGEN",202139,5233,980,0.187273074718135,74,0.0141410280909612,76,0.0145232180393656,44,0.00840817886489585,250,0.0477737435505446,0,0,65,0.0124211733231416,15,0.00286642461303268,30,0.00573284922606535,126,0.0240779667494745,11,0.00210204471622396,289,0.0552264475444296,936,0.178864895853239,44,0.00840817886489585,0,0,30,0.00573284922606535,32,0.00611503917446971,4,0.000764379896808714,40,0.00764379896808714,248,0.0473915536021403,2,0.000382189948404357,0,0,65,0.0124211733231416,0,0,0,0,40,0.00764379896808714,5,0.000955474871010892,126,0.0240779667494745,11,0.00210204471622396,24,0.00458627938085228,265,0.0506401681635773,936,0.178864895853239,104,0.0198738773170266,0,0,30,0.00573284922606535,320,0.0611503917446971,278,0.0531244028282056,2,0.000382189948404357,0,0,65,0.0124211733231416,137,0.0261800114656985
"HEMKÖP OSKARSTRÖM BLÅKLINTSVÄGEN",202138,5375,958.147,0.178259906976744,78.147,0.014538976744186,64,0.011906976744186,55,0.0102325581395349,266,0.0494883720930233,0,0,57,0.0106046511627907,0,0,42,0.00781395348837209,108,0.020093023255814,12,0.00223255813953488,276,0.0513488372093023,919.147,0.171004093023256,39,0.00725581395348837,3.147,0.000585488372093023,36,0.00669767441860465,25,0.00465116279069767,9,0.00167441860465116,46,0.00855813953488372,216,0.0401860465116279,50,0.00930232558139535,0,0,57,0.0106046511627907,0,0,0,0,33,0.00613953488372093,9,0.00167441860465116,108,0.020093023255814,12,0.00223255813953488,27,0.00502325581395349,249,0.0463255813953488,919.147,0.171004093023256,100,0.0186046511627907,3.147,0.000585488372093023,36,0.00669767441860465,295,0.0548837209302326,258,0.048,50,0.00930232558139535,0,0,57,0.0106046511627907,120,0.0223255813953488
"HEMKÖP MÖLNLYCKE C",202235,14595,13279.1,0.909838985954094,3228.506,0.221206303528606,2504,0.17156560465913,306,0.0209660842754368,4358,0.298595409386776,0,0,190.594,0.0130588557725248,344,0.0235697156560466,549,0.0376156217882837,424,0.029051044878383,52,0.00356286399451867,1323,0.0906474820143885,11753.1,0.805282631038027,1526,0.104556354916067,574.506,0.0393632065775951,1128,0.0772867420349435,978,0.0670092497430627,35,0.00239808153477218,271,0.0185680027406646,4185,0.286742034943474,173,0.0118533744433025,0,0,182,0.0124700239808153,3.61,0.000247344981157931,4.984,0.000341486810551559,570,0.039054470709147,323,0.0221308667351833,424,0.029051044878383,52,0.00356286399451867,282,0.0193216855087359,1041,0.0713257965056526,11753.1,0.805282631038027,2821,0.193285371702638,574.506,0.0393632065775951,1128,0.0772867420349435,1656,0.113463514902364,4734,0.324357656731757,173,0.0118533744433025,0,0,190.594,0.0130588557725248,476,0.0326139088729017
"HEMKÖP MÖLNLYCKE C",202234,14611,5698.281,0.389999384025734,176.909,0.0121079323797139,522,0.035726507425912,86,0.00588597631921155,699,0.0478406679898706,0,0,664.372,0.0454706727807816,18,0.001231948531928,198,0.013551433851208,2590,0.177263705427418,54,0.003695845595784,690,0.0472246937239066,5628.281,0.385208473068236,70,0.00479091095749778,47.909,0.00327896790089658,59,0.00403805352131955,452,0.0309355964684142,21,0.00143727328724933,65,0.00444870303196222,531,0.036342481691876,168,0.0114981862979947,0,0,650,0.0444870303196222,3.598,0.000246252823215386,10.774,0.000737389637944015,76,0.00520156046814044,140,0.00958182191499555,2590,0.177263705427418,54,0.003695845595784,204,0.0139620833618507,486,0.033262610362056,5628.281,0.385208473068236,747,0.051125864075012,47.909,0.00327896790089658,59,0.00403805352131955,569,0.0389432619259462,729,0.049893915543084,168,0.0114981862979947,0,0,664.372,0.0454706727807816,2644,0.180959551023202
"HEMKÖP MÖLNLYCKE C",202233,14801,3439.478,0.232381460712114,769.836,0.05201243159246,544,0.0367542733599081,84,0.00567529220998581,607,0.0410107425173975,0,0,194.642,0.0131505979325721,25,0.00168907506249578,181,0.0122289034524694,547,0.0369569623674076,27,0.00182420106749544,460,0.0310789811499223,3309.478,0.223598270387136,130,0.00878319032497804,549.836,0.0371485710424971,90,0.0060806702249848,414,0.0279710830349301,13,0.000878319032497804,71,0.00479697317748801,400,0.0270252009999324,207,0.013985541517465,0,0,180,0.0121613404499696,1.15,7.76974528748058e-05,13.492,0.000911560029727721,58,0.0039186541449902,148,0.009999324369975,547,0.0369569623674076,27,0.00182420106749544,166,0.011215458414972,294,0.0198635227349503,3309.478,0.223598270387136,723,0.0488480508073779,549.836,0.0371485710424971,90,0.0060806702249848,390,0.0263495709749341,581,0.0392541044524019,207,0.013985541517465,0,0,194.642,0.0131505979325721,574,0.038781163434903
"HEMKÖP MÖLNLYCKE C",202232,13591,3366.478,0.24769906555809,367.19,0.0270171436980355,741,0.054521374438967,86,0.00632771687145905,697,0.0512839379000809,0,0,314.288,0.0231247148848503,21,0.00154514016628651,164,0.0120668089176661,459,0.0337723493488338,16,0.00117724965050401,501,0.0368626296814068,3096.478,0.227832977705835,270,0.0198660878522552,41.19,0.00303068206901626,56,0.00412037377676404,471,0.0346552865867118,26,0.00191303068206902,60,0.00441468618939004,537,0.0395114413950408,160,0.0117724965050401,0,0,301,0.0221470090501067,3.29,0.000242071959384887,9.998,0.000735633875358693,43,0.00316385843572953,142,0.0104480906482231,459,0.0337723493488338,16,0.00117724965050401,214,0.0157457140754911,287,0.0211169156059157,3096.478,0.227832977705835,981,0.0721801191965271,41.19,0.00303068206901626,56,0.00412037377676404,368,0.0270767419615922,701,0.0515782503127069,160,0.0117724965050401,0,0,314.288,0.0231247148848503,475,0.0349495989993378
"HEMKÖP MÖLNLYCKE C",202231,12476,5434.746,0.435616062840654,260.636,0.0208909907021481,468,0.0375120230843219,92,0.00737415838409747,3254,0.260820775889708,0,0,174.11,0.0139555947419045,32,0.00256492465533825,155,0.0124238537992946,457,0.0366303302340494,20,0.00160307790958641,522,0.0418403334402052,5351.746,0.42896328951587,83,0.00665277332478358,177.636,0.0142382173773645,0,0,385,0.0308592497595383,26,0.00208400128246233,66,0.00529015710163514,3141,0.251763385700545,113,0.00905739018916319,0,0,163,0.0130650849631292,3.822,0.000306348188521962,7.288,0.000584161590253286,71,0.00569092657903174,116,0.00929785187560115,457,0.0366303302340494,20,0.00160307790958641,160,0.0128246232766912,362,0.0290157101635139,5351.746,0.42896328951587,654,0.0524206476434755,177.636,0.0142382173773645,0,0,460,0.0368707919204873,3296,0.26418723949984,113,0.00905739018916319,0,0,174.11,0.0139555947419045,477,0.0382334081436358
"HEMKÖP MÖLNLYCKE C",202230,12086,3061.526,0.253311765679298,246.948,0.0204325666059904,537,0.0444315737216614,97,0.00802581499255337,538,0.0445143140824094,0,0,505.578,0.0418317061062386,27,0.00223398974019527,142,0.0117491312262121,406,0.033592586463677,16,0.00132384577196757,546,0.0451762369683932,2942.526,0.24346566275029,119,0.00984610292900877,127.948,0.0105864636769816,0,0,418,0.0345854707926527,35,0.00289591262617905,62,0.00512990236637432,380,0.0314413370842297,158,0.0130729769981797,0,0,498,0.0412046996524905,2.924,0.000241932814827073,4.654,0.000385073638921066,75,0.00620552705609796,94,0.00777759391030945,406,0.033592586463677,16,0.00132384577196757,186,0.015389707099123,360,0.0297865298692702,2942.526,0.24346566275029,758,0.0627171934469634,127.948,0.0105864636769816,0,0,449,0.0371504219758398,522,0.0431904683104418,158,0.0130729769981797,0,0,505.578,0.0418317061062386,422,0.0349164322356445
