"butik","vecka","datum","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_convrate_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_convrate_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_convrate_F&G","sales_zoner_count_Bröd","sales_zoner_convrate_Bröd","sales_zoner_count_Bake off","sales_zoner_convrate_Bake off","sales_zoner_count_Deli","sales_zoner_convrate_Deli","sales_zoner_count_Frys","sales_zoner_convrate_Frys","sales_zoner_count_Mejeri","sales_zoner_convrate_Mejeri","sales_zoner_count_Gavel 3","sales_zoner_convrate_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_convrate_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_convrate_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_convrate_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_convrate_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_convrate_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_convrate_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_convrate_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_convrate_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_convrate_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_convrate_Kampanj 1 - bladet eller Lax","sales_kampanj_count_kampanjDeli","sales_kampanj_convrate_kampanjDeli","sales_kampanj_count_Kampanj 1","sales_kampanj_convrate_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_convrate_Kampanj 2","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_convrate_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_convrate_TOTAL","sales_skylttyp_count_klubbpris","sales_skylttyp_convrate_klubbpris","sales_skylttyp_count_Kampanjvara","sales_skylttyp_convrate_Kampanjvara","sales_skylttyp_count_veckans klipp","sales_skylttyp_convrate_veckans klipp","sales_skylttyp_count_kampanjvara","sales_skylttyp_convrate_kampanjvara","sales_skylttyp_count_alltid bra pris","sales_skylttyp_convrate_alltid bra pris"
"HEMKÖP FALUN C",202149,2021-12-12,1072,26,0.0242537313432836,4,0.00373134328358209,0,0,10,0.00932835820895522,8,0.00746268656716418,0,0,0,0,4,0.00373134328358209,0,0,26,0.0242537313432836,0,0,0,0,4,0.00373134328358209,0,0,5,0.00466417910447761,5,0.00466417910447761,0,0,8,0.00746268656716418,0,0,0,0,1,0.000932835820895522,3,0.00279850746268657,0,0,26,0.0242537313432836,1,0.000932835820895522,0,0,4,0.00373134328358209,13,0.0121268656716418,8,0.00746268656716418
"HEMKÖP FALUN C",202149,2021-12-11,1382,49.128,0.035548480463097,1,0.000723589001447178,0,0,10,0.00723589001447178,16,0.0115774240231548,0.128,9.26193921852388e-05,16,0.0115774240231548,2,0.00144717800289436,4,0.00289435600578871,49.128,0.035548480463097,0,0,0,0,1,0.000723589001447178,0,0,4,0.00289435600578871,6,0.00434153400868307,0,0,16,0.0115774240231548,0,0,0.128,9.26193921852388e-05,16,0.0115774240231548,2,0.00144717800289436,4,0.00289435600578871,49.128,0.035548480463097,4,0.00289435600578871,0,0,1,0.000723589001447178,28.128,0.0203531114327062,16,0.0115774240231548
"HEMKÖP FALUN C",202149,2021-12-10,2214,70,0.031616982836495,2,0.000903342366757001,0,0,11,0.0049683830171635,39,0.0176151761517615,0,0,8,0.003613369467028,10,0.004516711833785,0,0,70,0.031616982836495,0,0,0,0,2,0.000903342366757001,0,0,5,0.0022583559168925,6,0.002710027100271,0,0,39,0.0176151761517615,0,0,0,0,14,0.00632339656729901,4,0.001806684733514,0,0,70,0.031616982836495,6,0.002710027100271,0,0,2,0.000903342366757001,23,0.0103884372177055,39,0.0176151761517615
"HEMKÖP FALUN C",202149,2021-12-09,2173,77,0.0354348826507133,8,0.00368154624942476,0,0,9,0.00414173953060285,22,0.0101242521859181,0,0,10,0.00460193281178095,12,0.00552231937413714,16,0.00736309249884952,77,0.0354348826507133,0,0,0,0,8,0.00368154624942476,0,0,2,0.00092038656235619,7,0.00322135296824666,0,0,22,0.0101242521859181,0,0,0,0,10,0.00460193281178095,12,0.00552231937413714,16,0.00736309249884952,77,0.0354348826507133,16,0.00736309249884952,0,0,8,0.00368154624942476,31,0.0142659917165209,22,0.0101242521859181
"HEMKÖP FALUN C",202149,2021-12-08,2102,45,0.0214081826831589,3,0.00142721217887726,0,0,14,0.00666032350142721,19,0.00903901046622265,0,0,5,0.00237868696479543,3,0.00142721217887726,1,0.000475737392959087,45,0.0214081826831589,0,0,0,0,3,0.00142721217887726,0,0,8,0.00380589914367269,6,0.00285442435775452,0,0,19,0.00903901046622265,0,0,0,0,6,0.00285442435775452,2,0.000951474785918173,1,0.000475737392959087,45,0.0214081826831589,2,0.000951474785918173,0,0,3,0.00142721217887726,21,0.00999048525214082,19,0.00903901046622265
"HEMKÖP FALUN C",202149,2021-12-07,2088,56,0.0268199233716475,5,0.00239463601532567,0,0,17,0.00814176245210728,15,0.00718390804597701,0,0,9,0.00431034482758621,8,0.00383141762452107,2,0.000957854406130268,56,0.0268199233716475,0,0,0,0,5,0.00239463601532567,0,0,12,0.00574712643678161,5,0.00239463601532567,0,0,15,0.00718390804597701,0,0,0,0,12,0.00574712643678161,5,0.00239463601532567,2,0.000957854406130268,56,0.0268199233716475,5,0.00239463601532567,0,0,5,0.00239463601532567,31,0.0148467432950192,15,0.00718390804597701
"HEMKÖP FALUN C",202149,2021-12-06,2187,56,0.0256058527663466,9,0.00411522633744856,0,0,6,0.00274348422496571,30,0.0137174211248285,0,0,1,0.000457247370827618,8,0.00365797896662094,2,0.000914494741655235,56,0.0256058527663466,0,0,0,0,9,0.00411522633744856,0,0,4,0.00182898948331047,2,0.000914494741655235,0,0,30,0.0137174211248285,0,0,0,0,3,0.00137174211248285,6,0.00274348422496571,2,0.000914494741655235,56,0.0256058527663466,4,0.00182898948331047,0,0,9,0.00411522633744856,13,0.00594421582075903,30,0.0137174211248285
"HEMKÖP FALUN C",202148,2021-12-05,1070,35,0.0327102803738318,5,0.00467289719626168,0,0,4,0.00373831775700935,15,0.014018691588785,0,0,0,0,9,0.00841121495327103,2,0.00186915887850467,35,0.0327102803738318,0,0,0,0,5,0.00467289719626168,0,0,0,0,4,0.00373831775700935,0,0,15,0.014018691588785,0,0,0,0,6,0.00560747663551402,3,0.00280373831775701,2,0.00186915887850467,35,0.0327102803738318,8,0.00747663551401869,0,0,5,0.00467289719626168,7,0.00654205607476636,15,0.014018691588785
"HEMKÖP FALUN C",202148,2021-12-04,1562,39,0.0249679897567221,5,0.00320102432778489,0,0,7,0.00448143405889885,14,0.0089628681177977,0,0,0,0,8,0.00512163892445583,5,0.00320102432778489,39,0.0249679897567221,0,0,0,0,5,0.00320102432778489,0,0,5,0.00320102432778489,2,0.00128040973111396,0,0,14,0.0089628681177977,0,0,0,0,2,0.00128040973111396,6,0.00384122919334187,5,0.00320102432778489,39,0.0249679897567221,7,0.00448143405889885,0,0,5,0.00320102432778489,13,0.00832266325224072,14,0.0089628681177977
"HEMKÖP FALUN C",202148,2021-12-03,2348,56,0.0238500851788756,12,0.00511073253833049,0,0,8,0.00340715502555366,25,0.0106473594548552,0,0,1,0.000425894378194208,5,0.00212947189097104,5,0.00212947189097104,56,0.0238500851788756,0,0,0,0,12,0.00511073253833049,0,0,4,0.00170357751277683,4,0.00170357751277683,0,0,25,0.0106473594548552,0,0,0,0,2,0.000851788756388416,4,0.00170357751277683,5,0.00212947189097104,56,0.0238500851788756,6,0.00255536626916525,0,0,12,0.00511073253833049,13,0.0055366269165247,25,0.0106473594548552
"HEMKÖP FALUN C",202148,2021-12-02,2154,60.148,0.0279238625812442,5,0.00232126276694522,0,0,11,0.00510677808727948,37,0.0171773444753946,0.148,6.87093779015785e-05,1,0.000464252553389044,6,0.00278551532033426,0,0,60.148,0.0279238625812442,0,0,0,0,5,0.00232126276694522,0,0,7,0.00324976787372331,4,0.00185701021355617,0,0,37,0.0171773444753946,0,0,0.148,6.87093779015785e-05,3,0.00139275766016713,4,0.00185701021355617,0,0,60.148,0.0279238625812442,2,0.000928505106778087,0,0,5,0.00232126276694522,16.148,0.00749675023212628,37,0.0171773444753946
"HEMKÖP FALUN C",202148,2021-12-01,2060,32,0.0155339805825243,6,0.0029126213592233,0,0,7,0.00339805825242718,13,0.00631067961165049,0,0,0,0,5,0.00242718446601942,1,0.000485436893203883,32,0.0155339805825243,0,0,0,0,6,0.0029126213592233,0,0,4,0.00194174757281553,3,0.00145631067961165,0,0,13,0.00631067961165049,0,0,0,0,1,0.000485436893203883,4,0.00194174757281553,1,0.000485436893203883,32,0.0155339805825243,2,0.000970873786407767,0,0,6,0.0029126213592233,11,0.00533980582524272,13,0.00631067961165049
"HEMKÖP FALUN C",202148,2021-11-30,2250,56,0.0248888888888889,10,0.00444444444444444,0,0,9,0.004,10,0.00444444444444444,14,0.00622222222222222,0,0,9,0.004,4,0.00177777777777778,56,0.0248888888888889,0,0,0,0,10,0.00444444444444444,0,0,5,0.00222222222222222,4,0.00177777777777778,0,0,10,0.00444444444444444,0,0,14,0.00622222222222222,3,0.00133333333333333,6,0.00266666666666667,4,0.00177777777777778,56,0.0248888888888889,7,0.00311111111111111,0,0,10,0.00444444444444444,29,0.0128888888888889,10,0.00444444444444444
"HEMKÖP FALUN C",202148,2021-11-29,2278,87,0.0381913959613696,11,0.004828797190518,0,0,9,0.00395083406496927,22,0.009657594381036,28,0.0122914837576822,4,0.00175592625109745,6,0.00263388937664618,7,0.00307287093942054,87,0.0381913959613696,0,0,0,0,11,0.004828797190518,0,0,7,0.00307287093942054,2,0.000877963125548727,0,0,22,0.009657594381036,0,0,28,0.0122914837576822,7,0.00307287093942054,3,0.00131694468832309,7,0.00307287093942054,87,0.0381913959613696,10,0.00438981562774363,0,0,11,0.004828797190518,44,0.019315188762072,22,0.009657594381036
"HEMKÖP FALUN C",202147,2021-11-28,1309,36,0.027501909854851,1,0.000763941940412529,0,0,2,0.00152788388082506,8,0.00611153552330023,18,0.0137509549274255,0,0,6,0.00458365164247517,1,0.000763941940412529,36,0.027501909854851,0,0,0,0,1,0.000763941940412529,0,0,1,0.000763941940412529,1,0.000763941940412529,0,0,8,0.00611153552330023,0,0,18,0.0137509549274255,1,0.000763941940412529,5,0.00381970970206264,1,0.000763941940412529,36,0.027501909854851,2,0.00152788388082506,0,0,1,0.000763941940412529,25,0.0190985485103132,8,0.00611153552330023
