"butik","vecka","datum","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_frac_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_frac_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_frac_F&G","sales_zoner_count_Bröd","sales_zoner_frac_Bröd","sales_zoner_count_Bake off","sales_zoner_frac_Bake off","sales_zoner_count_Fisk","sales_zoner_frac_Fisk","sales_zoner_count_Deli","sales_zoner_frac_Deli","sales_zoner_count_Frys","sales_zoner_frac_Frys","sales_zoner_count_Mejeri","sales_zoner_frac_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_frac_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_frac_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_frac_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_frac_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_frac_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_frac_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_frac_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_frac_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_frac_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_frac_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_frac_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_frac_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_frac_Kampanj 1 - bladet eller Lax","sales_kampanj_count_Mölnlycke","sales_kampanj_frac_Mölnlycke","sales_kampanj_count_Triangeln","sales_kampanj_frac_Triangeln","sales_kampanj_count_Trianglen","sales_kampanj_frac_Trianglen","sales_kampanj_count_Kampanj 1","sales_kampanj_frac_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_frac_Kampanj 2","sales_kampanj_count_ABP_3_för_25","sales_kampanj_frac_ABP_3_för_25","sales_kampanj_count_ABP_2_för_28","sales_kampanj_frac_ABP_2_för_28","sales_kampanj_count_Kampanj 1 - snacks","sales_kampanj_frac_Kampanj 1 - snacks","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_frac_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_frac_TOTAL","sales_skylttyp_count_Kampanjvara","sales_skylttyp_frac_Kampanjvara","sales_skylttyp_count_Klubbpris","sales_skylttyp_frac_Klubbpris","sales_skylttyp_count_veckans klipp","sales_skylttyp_frac_veckans klipp","sales_skylttyp_count_klubbpris","sales_skylttyp_frac_klubbpris","sales_skylttyp_count_kampanjvara","sales_skylttyp_frac_kampanjvara","sales_skylttyp_count_ABP","sales_skylttyp_frac_ABP","sales_skylttyp_count_Ordinarie","sales_skylttyp_frac_Ordinarie","sales_skylttyp_count_Deli","sales_skylttyp_frac_Deli","sales_skylttyp_count_alltid bra pris","sales_skylttyp_frac_alltid bra pris"
"HEMKÖP FALUN C",202210,2022-03-13,1217,206.928,0.170031224322104,8.928,0.00733607230895645,28,0.0230073952341824,3,0.00246507806080526,95,0.0780608052588332,0,0,11,0.00903861955628595,0,0,3,0.00246507806080526,24,0.0197206244864421,5,0.00410846343467543,29,0.0238290879211175,199.928,0.164279375513558,7,0.0057518488085456,1.928,0.00158422350041085,0,0,21,0.0172555464256368,3,0.00246507806080526,0,0,31,0.0254724732949877,64,0.0525883319638455,0,0,11,0.00903861955628595,0,0,0,0,1,0.000821692686935086,2,0.00164338537387017,24,0.0197206244864421,5,0.00410846343467543,4,0.00328677074774034,25,0.0205423171733772,199.928,0.164279375513558,35,0.028759244042728,1.928,0.00158422350041085,0,0,25,0.0205423171733772,34,0.0279375513557929,64,0.0525883319638455,0,0,11,0.00903861955628595,29,0.0238290879211175
"HEMKÖP FALUN C",202210,2022-03-12,1526,235,0.153997378768021,8,0.00524246395806029,36,0.0235910878112713,4,0.00262123197903014,105,0.0688073394495413,0,0,16,0.0104849279161206,0,0,6,0.00393184796854522,17,0.0111402359108781,0,0,43,0.028178243774574,227,0.148754914809961,8,0.00524246395806029,0,0,0,0,28,0.018348623853211,2,0.00131061598951507,2,0.00131061598951507,38,0.0249017038007864,67,0.0439056356487549,0,0,16,0.0104849279161206,0,0,0,0,5,0.00327653997378768,1,0.000655307994757536,17,0.0111402359108781,0,0,13,0.00851900393184797,30,0.0196592398427261,227,0.148754914809961,51,0.0334207077326343,0,0,0,0,32,0.0209698558322412,44,0.0288335517693316,67,0.0439056356487549,0,0,16,0.0104849279161206,17,0.0111402359108781
"HEMKÖP FALUN C",202210,2022-03-11,2518,375,0.148927720413026,14,0.00555996822875298,65,0.0258141382049245,5,0.00198570293884035,135,0.0536139793486894,0,0,19,0.00754567116759333,0,0,7,0.00277998411437649,16,0.00635424940428912,2,0.00079428117553614,112,0.0444797458300238,361,0.143367752184273,14,0.00555996822875298,0,0,0,0,51,0.0202541699761716,5,0.00198570293884035,0,0,52,0.0206513105639396,83,0.0329626687847498,0,0,19,0.00754567116759333,0,0,0,0,2,0.00079428117553614,5,0.00198570293884035,16,0.00635424940428912,2,0.00079428117553614,38,0.0150913423351867,74,0.0293884034948372,361,0.143367752184273,108,0.0428911834789516,0,0,0,0,74,0.0293884034948372,59,0.0234312946783161,83,0.0329626687847498,0,0,19,0.00754567116759333,18,0.00714853057982526
"HEMKÖP FALUN C",202210,2022-03-10,2225,302,0.135730337078652,11,0.0049438202247191,32,0.0143820224719101,6,0.00269662921348315,149,0.0669662921348315,0,0,20,0.00898876404494382,1,0.000449438202247191,9,0.00404494382022472,21,0.00943820224719101,7,0.00314606741573034,46,0.0206741573033708,291,0.130786516853933,11,0.0049438202247191,0,0,0,0,21,0.00943820224719101,0,0,6,0.00269662921348315,43,0.0193258426966292,106,0.0476404494382022,0,0,20,0.00898876404494382,0,0,0,0,6,0.00269662921348315,4,0.00179775280898876,21,0.00943820224719101,7,0.00314606741573034,12,0.00539325842696629,34,0.0152808988764045,291,0.130786516853933,44,0.0197752808988764,0,0,0,0,41,0.0184269662921348,52,0.0233707865168539,106,0.0476404494382022,0,0,20,0.00898876404494382,28,0.0125842696629213
"HEMKÖP FALUN C",202210,2022-03-09,2298,292.11,0.127114882506527,9.11,0.00396431679721497,27,0.0117493472584856,5,0.00217580504786771,160,0.0696257615317667,0,0,17,0.00739773716275022,1,0.000435161009573542,3,0.00130548302872063,30,0.0130548302872063,7,0.0030461270670148,33,0.0143603133159269,285.11,0.124068755439513,7,0.0030461270670148,2.11,0.000918189730200174,0,0,20,0.00870322019147084,4,0.00174064403829417,1,0.000435161009573542,50,0.0217580504786771,110,0.0478677110530896,0,0,17,0.00739773716275022,0,0,0,0,3,0.00130548302872063,1,0.000435161009573542,30,0.0130548302872063,7,0.0030461270670148,7,0.0030461270670148,26,0.0113141862489121,285.11,0.124068755439513,38,0.0165361183637946,2.11,0.000918189730200174,0,0,28,0.0121845082680592,53,0.0230635335073977,110,0.0478677110530896,0,0,17,0.00739773716275022,37,0.0161009573542211
"HEMKÖP FALUN C",202210,2022-03-08,2315,254.121,0.109771490280778,11.121,0.00480388768898488,34,0.0146868250539957,6,0.00259179265658747,95,0.041036717062635,0,0,22,0.00950323974082073,1,0.000431965442764579,2,0.000863930885529158,29,0.0125269978401728,6,0.00259179265658747,48,0.0207343412526998,244.121,0.105451835853132,10,0.00431965442764579,1.121,0.000484233261339093,0,0,24,0.0103671706263499,2,0.000863930885529158,4,0.00172786177105832,37,0.0159827213822894,58,0.0250539956803456,0,0,22,0.00950323974082073,0,0,0,0,2,0.000863930885529158,1,0.000431965442764579,29,0.0125269978401728,6,0.00259179265658747,5,0.00215982721382289,43,0.0185745140388769,244.121,0.105451835853132,41,0.0177105831533477,1.121,0.000484233261339093,0,0,48,0.0207343412526998,39,0.0168466522678186,58,0.0250539956803456,0,0,22,0.00950323974082073,35,0.0151187904967603
"HEMKÖP FALUN C",202210,2022-03-07,2317,243,0.104876996115667,5,0.00215796288303841,44,0.018990073370738,4,0.00172637030643073,91,0.0392749244712991,0,0,11,0.00474751834268451,0,0,6,0.00258955545964609,32,0.0138109624514458,3,0.00129477772982305,47,0.0202848511005611,238,0.102719033232628,5,0.00215796288303841,0,0,0,0,39,0.0168321104876996,1,0.000431592576607682,3,0.00129477772982305,20,0.00863185153215365,71,0.0306430729391454,0,0,11,0.00474751834268451,0,0,0,0,4,0.00172637030643073,2,0.000863185153215365,32,0.0138109624514458,3,0.00129477772982305,10,0.00431592576607682,37,0.0159689253344842,238,0.102719033232628,55,0.0237375917134225,0,0,0,0,40,0.0172637030643073,26,0.0112214069917997,71,0.0306430729391454,0,0,11,0.00474751834268451,35,0.0151057401812689
"HEMKÖP FALUN C",202209,2022-03-06,1150,212,0.184347826086957,5,0.00434782608695652,30,0.0260869565217391,1,0.000869565217391304,93,0.0808695652173913,0,0,14,0.0121739130434783,2,0.00173913043478261,1,0.000869565217391304,23,0.02,8,0.00695652173913044,35,0.0304347826086957,207,0.18,5,0.00434782608695652,0,0,0,0,25,0.0217391304347826,0,0,1,0.000869565217391304,34,0.0295652173913043,59,0.051304347826087,0,0,14,0.0121739130434783,0,0,0,0,2,0.00173913043478261,1,0.000869565217391304,23,0.02,8,0.00695652173913044,4,0.00347826086956522,31,0.0269565217391304,207,0.18,34,0.0295652173913043,0,0,0,0,34,0.0295652173913043,35,0.0304347826086957,59,0.051304347826087,0,0,14,0.0121739130434783,31,0.0269565217391304
"HEMKÖP FALUN C",202209,2022-03-05,1564,305,0.195012787723785,15,0.00959079283887468,33,0.0210997442455243,6,0.00383631713554987,117,0.0748081841432225,0,0,24,0.0153452685421995,3,0.00191815856777494,3,0.00191815856777494,26,0.0166240409207161,7,0.00447570332480818,71,0.0453964194373402,290,0.18542199488491,15,0.00959079283887468,0,0,0,0,18,0.0115089514066496,5,0.00319693094629156,1,0.000639386189258312,48,0.030690537084399,69,0.0441176470588235,0,0,24,0.0153452685421995,0,0,0,0,4,0.00255754475703325,2,0.00127877237851662,26,0.0166240409207161,7,0.00447570332480818,22,0.0140664961636829,49,0.0313299232736573,290,0.18542199488491,60,0.0383631713554987,0,0,0,0,53,0.0338874680306905,51,0.0326086956521739,69,0.0441176470588235,0,0,24,0.0153452685421995,33,0.0210997442455243
"HEMKÖP FALUN C",202209,2022-03-04,1963,341.086,0.17375751400917,14.086,0.00717575140091696,62,0.0315843097300051,5,0.00254712175241977,105,0.0534895568008151,0,0,23,0.0117167600611309,0,0,3,0.00152827305145186,33,0.0168110035659705,6,0.00305654610290372,90,0.0458481915435558,328.086,0.167134997452878,13,0.00662251655629139,1.086,0.000553234844625573,0,0,49,0.0249617931737137,4,0.00203769740193581,1,0.000509424350483953,27,0.0137544574630667,78,0.0397350993377483,0,0,23,0.0117167600611309,0,0,0,0,1,0.000509424350483953,2,0.00101884870096791,33,0.0168110035659705,6,0.00305654610290372,31,0.0157921548650025,59,0.0300560366785532,328.086,0.167134997452878,97,0.0494141619969435,1.086,0.000553234844625573,0,0,60,0.0305654610290372,30,0.0152827305145186,78,0.0397350993377483,0,0,23,0.0117167600611309,39,0.0198675496688742
"HEMKÖP FALUN C",202209,2022-03-03,1824,206.062,0.112972587719298,13.062,0.00716118421052632,28,0.0153508771929825,7,0.00383771929824561,52,0.0285087719298246,0,0,15,0.00822368421052632,0,0,1,0.000548245614035088,29,0.0158991228070175,1,0.000548245614035088,60,0.0328947368421053,196.062,0.107490131578947,10,0.00548245614035088,3.062,0.00167872807017544,0,0,18,0.00986842105263158,1,0.000548245614035088,6,0.00328947368421053,13,0.00712719298245614,39,0.0213815789473684,0,0,15,0.00822368421052632,0,0,0,0,0,0,1,0.000548245614035088,29,0.0158991228070175,1,0.000548245614035088,8,0.0043859649122807,52,0.0285087719298246,196.062,0.107490131578947,37,0.0202850877192982,3.062,0.00167872807017544,0,0,58,0.0317982456140351,14,0.00767543859649123,39,0.0213815789473684,0,0,15,0.00822368421052632,30,0.0164473684210526
"HEMKÖP FALUN C",202209,2022-03-02,1884,250,0.132696390658174,12,0.00636942675159236,32,0.0169851380042463,6,0.00318471337579618,112,0.059447983014862,0,0,14,0.00743099787685775,0,0,1,0.000530785562632696,27,0.0143312101910828,8,0.00424628450106157,38,0.0201698513800425,238,0.126326963906582,12,0.00636942675159236,0,0,0,0,20,0.0106157112526539,3,0.00159235668789809,3,0.00159235668789809,28,0.0148619957537155,84,0.0445859872611465,0,0,14,0.00743099787685775,0,0,0,0,0,0,1,0.000530785562632696,27,0.0143312101910828,8,0.00424628450106157,9,0.00477707006369427,29,0.0153927813163482,238,0.126326963906582,44,0.0233545647558386,0,0,0,0,32,0.0169851380042463,29,0.0153927813163482,84,0.0445859872611465,0,0,14,0.00743099787685775,35,0.0185774946921444
"HEMKÖP FALUN C",202209,2022-03-01,1866,205,0.109860664523044,7,0.0037513397642015,33,0.0176848874598071,3,0.00160771704180064,61,0.0326902465166131,0,0,14,0.007502679528403,0,0,4,0.00214362272240086,40,0.0214362272240086,2,0.00107181136120043,41,0.0219721329046088,198,0.106109324758842,7,0.0037513397642015,0,0,0,0,26,0.0139335476956056,0,0,3,0.00160771704180064,22,0.0117899249732047,39,0.0209003215434084,0,0,14,0.007502679528403,0,0,0,0,1,0.000535905680600214,3,0.00160771704180064,40,0.0214362272240086,2,0.00107181136120043,8,0.00428724544480171,33,0.0176848874598071,198,0.106109324758842,41,0.0219721329046088,0,0,0,0,36,0.0192926045016077,26,0.0139335476956056,39,0.0209003215434084,0,0,14,0.007502679528403,42,0.022508038585209
"HEMKÖP FALUN C",202209,2022-02-28,1948,262.088,0.134542094455852,19.088,0.00979876796714579,53,0.0272073921971253,3,0.00154004106776181,84,0.0431211498973306,0,0,16,0.0082135523613963,1,0.000513347022587269,2,0.00102669404517454,32,0.0164271047227926,7,0.00359342915811088,45,0.0231006160164271,245.088,0.125815195071869,17,0.00872689938398357,2.088,0.00107186858316222,0,0,36,0.0184804928131417,0,0,3,0.00154004106776181,21,0.0107802874743326,63,0.0323408624229979,0,0,16,0.0082135523613963,0,0,0,0,1,0.000513347022587269,2,0.00102669404517454,32,0.0164271047227926,7,0.00359342915811088,9,0.00462012320328542,36,0.0184804928131417,245.088,0.125815195071869,62,0.0318275154004107,2.088,0.00107186858316222,0,0,40,0.0205338809034908,23,0.0118069815195072,63,0.0323408624229979,0,0,16,0.0082135523613963,39,0.0200205338809035
