"butik","vecka","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_frac_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_frac_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_frac_F&G","sales_zoner_count_Bröd","sales_zoner_frac_Bröd","sales_zoner_count_Bake off","sales_zoner_frac_Bake off","sales_zoner_count_Fisk","sales_zoner_frac_Fisk","sales_zoner_count_Deli","sales_zoner_frac_Deli","sales_zoner_count_Frys","sales_zoner_frac_Frys","sales_zoner_count_Mejeri","sales_zoner_frac_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_frac_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_frac_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_frac_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_frac_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_frac_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - Hero protein","sales_kampanj_frac_Kampanj 2 - Hero protein","sales_kampanj_count_Kampanj 3 - Bomben","sales_kampanj_frac_Kampanj 3 - Bomben","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_frac_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_frac_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_frac_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_frac_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_frac_Kampanj 2 - om ej två kampanjer, multi eller ordinarie","sales_kampanj_count_Kampanj 1 - bladet eller Lax","sales_kampanj_frac_Kampanj 1 - bladet eller Lax","sales_kampanj_count_Mölnlycke","sales_kampanj_frac_Mölnlycke","sales_kampanj_count_Triangeln","sales_kampanj_frac_Triangeln","sales_kampanj_count_Trianglen","sales_kampanj_frac_Trianglen","sales_kampanj_count_Kampanj 1","sales_kampanj_frac_Kampanj 1","sales_kampanj_count_Kampanj 2","sales_kampanj_frac_Kampanj 2","sales_kampanj_count_ABP 3 för 25","sales_kampanj_frac_ABP 3 för 25","sales_kampanj_count_ABP_2_för_28","sales_kampanj_frac_ABP_2_för_28","sales_kampanj_count_Kampanj 1 - snacks","sales_kampanj_frac_Kampanj 1 - snacks","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_frac_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_frac_TOTAL","sales_skylttyp_count_kampanjvara","sales_skylttyp_frac_kampanjvara","sales_skylttyp_count_klubbpris","sales_skylttyp_frac_klubbpris","sales_skylttyp_count_veckans klipp","sales_skylttyp_frac_veckans klipp","sales_skylttyp_count_alltid bra pris","sales_skylttyp_frac_alltid bra pris","sales_skylttyp_count_ordinariepris","sales_skylttyp_frac_ordinariepris","sales_skylttyp_count_Alltid bra pris","sales_skylttyp_frac_Alltid bra pris"
"HEMKÖP UPPSALA VÄSTERTORG",202214,7915,1075,0.135818066961466,142,0.0179406190777006,386,0.0487681617182565,48,0.00606443461781428,175,0.0221099178774479,0,0,40,0.00505369551484523,1,0.000126342387871131,117,0.0147820593809223,44,0.00555906506632975,39,0.0049273531269741,83,0.0104864181933039,1043,0.131775110549589,32,0.00404295641187618,6,0.000758054327226785,104,0.0131396083385976,354,0.0447252053063803,0,0,48,0.00606443461781428,103,0.0130132659507265,72,0.00909665192672142,0,0,40,0.00505369551484523,0,0,0,0,64,0.00808591282375237,54,0.00682248894504106,44,0.00555906506632975,39,0.0049273531269741,51,0.00644346178142767,32,0.00404295641187618,1043,0.131775110549589,466,0.0588755527479469,124,0.0156664560960202,104,0.0131396083385976,226,0.0285533796588756,40,0.00505369551484523,83,0.0104864181933039
"HEMKÖP UPPSALA VÄSTERTORG",202213,8286,1147,0.138426261163408,189,0.0228095582910934,242,0.0292058894520879,56,0.00675838764180546,193,0.0232923002655081,0,0,173,0.0208785903934347,0,0,89,0.0107410089307265,87,0.0104996379435192,33,0.00398262128892107,85,0.0102582669563119,1109,0.133840212406469,38,0.00458604875693942,66,0.00796524257784214,85,0.0102582669563119,204,0.0246198406951484,0,0,56,0.00675838764180546,92,0.0111030654115375,101,0.0121892348539706,0,0,173,0.0208785903934347,0,0,0,0,19,0.00229302437846971,70,0.00844798455225682,87,0.0104996379435192,33,0.00398262128892107,36,0.00434467776973208,49,0.00591358918657977,1109,0.133840212406469,347,0.0418778662804731,155,0.0187062515085687,85,0.0102582669563119,229,0.0276369780352402,173,0.0208785903934347,120,0.0144822592324403
"HEMKÖP UPPSALA VÄSTERTORG",202212,8440,1295,0.153436018957346,278,0.0329383886255924,180,0.0213270142180095,139,0.0164691943127962,306,0.0362559241706161,0,0,52,0.00616113744075829,4,0.0004739336492891,134,0.0158767772511848,101,0.0119668246445498,37,0.00438388625592417,64,0.00758293838862559,1115,0.132109004739336,180,0.0213270142180095,9,0.00106635071090047,89,0.0105450236966825,0,0,14,0.00165876777251185,125,0.0148104265402844,127,0.0150473933649289,179,0.0212085308056872,0,0,52,0.00616113744075829,0,0,0,0,39,0.00462085308056872,99,0.0117298578199052,101,0.0119668246445498,37,0.00438388625592417,28,0.0033175355450237,36,0.0042654028436019,1115,0.132109004739336,355,0.0420616113744076,147,0.0174170616113744,89,0.0105450236966825,334,0.0395734597156398,52,0.00616113744075829,138,0.0163507109004739
"HEMKÖP UPPSALA VÄSTERTORG",202211,8251,1152,0.139619440067871,110,0.0133317173675918,22,0.00266634347351836,145,0.0175736274390983,264,0.0319961216822203,0,0,48,0.00581747666949461,7,0.000848382014301297,367,0.0444794570355108,67,0.00812022785116956,28,0.00339352805720519,94,0.0113925584777603,1130,0.136953096594352,22,0.00266634347351836,17,0.00206035632044601,71,0.00860501757362744,0,0,79,0.00957459701854321,66,0.00799903042055508,136,0.0164828505635681,128,0.0155132711186523,0,0,48,0.00581747666949461,0,0,0,0,17,0.00206035632044601,357,0.0432674827293661,67,0.00812022785116956,28,0.00339352805720519,50,0.00605987153072355,44,0.00533268694703672,1130,0.136953096594352,211,0.0255726578596534,391,0.0473881953702582,71,0.00860501757362744,314,0.0380559932129439,48,0.00581747666949461,95,0.0115137559083747
"HEMKÖP UPPSALA VÄSTERTORG",202210,8070,1106,0.137050805452292,96,0.0118959107806691,344,0.0426270136307311,161,0.0199504337050805,227,0.0281288723667906,0,0,38,0.0047087980173482,5,0.000619578686493185,47,0.00582403965303594,74,0.00916976456009913,25,0.00309789343246592,89,0.0110285006195787,1094,0.135563816604709,12,0.00148698884758364,14,0.00173482032218092,70,0.00867410161090459,332,0.0411400247831475,120,0.0148698884758364,41,0.00508054522924411,136,0.0168525402726146,91,0.011276332094176,0,0,38,0.0047087980173482,0,0,0,0,22,0.00272614622057001,30,0.00371747211895911,74,0.00916976456009913,25,0.00309789343246592,48,0.00594795539033457,41,0.00508054522924411,1094,0.135563816604709,546,0.0676579925650558,66,0.00817843866171004,70,0.00867410161090459,275,0.0340768277571252,38,0.0047087980173482,99,0.0122676579925651
"HEMKÖP UPPSALA VÄSTERTORG",202209,8308,808.522,0.0973184882041406,128,0.0154068367838228,100,0.0120365912373616,47,0.00565719788155994,174,0.0209436687530091,22.522,0.00271088107847857,52,0.00625902744342802,4,0.000481463649494463,56,0.00674049109292248,85,0.0102311025517573,44,0.00529610014443909,96,0.0115551275878671,792.522,0.0953926336061627,16,0.00192585459797785,9,0.00108329321136254,103,0.0123976889744824,84,0.0101107366393837,0,0,47,0.00565719788155994,91,0.010953298025999,83,0.00999037072701011,22.522,0.00271088107847857,52,0.00625902744342802,0,0,0,0,9,0.00108329321136254,51,0.00613866153105441,85,0.0102311025517573,44,0.00529610014443909,57,0.0068608570052961,39,0.00469427058257102,792.522,0.0953926336061627,208.522,0.0250989407799711,69,0.00830524795377949,103,0.0123976889744824,231,0.0278045257583052,52,0.00625902744342802,129,0.0155272026961964
"HEMKÖP UPPSALA VÄSTERTORG",202208,7292,2346,0.321722435545804,163,0.0223532638507954,200,0.0274273176083379,48,0.0065825562260011,1469,0.201453647833242,0,0,166,0.0227646736149205,0,0,81,0.0111080636313769,105,0.0143993417443774,22,0.00301700493691717,92,0.0126165660998354,2321,0.318294020844761,25,0.00342841470104224,59,0.00809105869445968,79,0.0108337904552935,175,0.0239989029072957,0,0,48,0.0065825562260011,154,0.0211190345584202,1315,0.180334613274822,0,0,166,0.0227646736149205,0,0,0,0,31,0.00425123422929238,50,0.00685682940208448,105,0.0143993417443774,22,0.00301700493691717,49,0.00671969281404279,43,0.00589687328579265,2321,0.318294020844761,291,0.0399067471201317,140,0.0191991223258365,79,0.0108337904552935,1518,0.208173340647285,166,0.0227646736149205,127,0.0174163466812946
"HEMKÖP UPPSALA VÄSTERTORG",202207,8153,617,0.0756776646633141,92,0.01128418986876,25,0.00306635594259782,38,0.00466086103274868,180,0.0220777627867043,0,0,41,0.00502882374586042,13,0.00159450509015086,65,0.00797252545075432,68,0.00834048816386606,25,0.00306635594259782,70,0.00858579663927389,592,0.0726113087207163,25,0.00306635594259782,9,0.00110388813933521,58,0.00711394578682694,0,0,0,0,38,0.00466086103274868,132,0.0161903593769165,48,0.00588740340978781,0,0,41,0.00502882374586042,0,0,0,0,36,0.00441555255734086,42,0.00515147798356433,68,0.00834048816386606,25,0.00306635594259782,35,0.00429289831963694,35,0.00429289831963694,592,0.0726113087207163,98,0.0120201152949834,87,0.0106709186802404,58,0.00711394578682694,215,0.0263706611063412,41,0.00502882374586042,93,0.0114068441064639
"HEMKÖP UPPSALA VÄSTERTORG",202206,7882,2505,0.317812737883786,1011,0.128266937325552,332,0.0421212890129409,40,0.00507485409794468,380,0.0482111139304745,0,0,56,0.00710479573712256,12,0.00152245622938341,469,0.0595026642984014,70,0.0088809946714032,37,0.00469424004059883,98,0.0124333925399645,2483,0.315021568129916,22,0.00279116975386958,8,0.00101497081958894,981,0.124460796752093,310,0.0393301192590713,0,0,40,0.00507485409794468,319,0.0404719614311089,61,0.00773915249936564,0,0,56,0.00710479573712256,0,0,0,0,25,0.00317178381121543,456,0.0578533367165694,70,0.0088809946714032,37,0.00469424004059883,50,0.00634356762243085,48,0.00608982491753362,2483,0.315021568129916,420,0.0532859680284192,489,0.0620400913473738,981,0.124460796752093,430,0.0545546815529054,56,0.00710479573712256,107,0.013575234712002
"HEMKÖP UPPSALA VÄSTERTORG",202205,7954,1334,0.167714357555947,103,0.0129494593915011,27,0.00339451848126729,46,0.00578325370882575,156,0.0196127734473221,0,0,44,0.00553180789539854,7,0.000880060346995222,54,0.00678903696253457,792,0.0995725421171737,29,0.00364596429469449,76,0.00955494091023384,1307,0.164319839074679,27,0.00339451848126729,12,0.00150867488056324,64,0.00804626602967061,0,0,5,0.000628614533568016,41,0.00515463917525773,106,0.0133266281116419,50,0.00628614533568016,0,0,44,0.00553180789539854,0,0,0,0,15,0.00188584360070405,46,0.00578325370882575,792,0.0995725421171737,29,0.00364596429469449,31,0.0038974101081217,45,0.00565753080211214,1307,0.164319839074679,118,0.0148353029922052,73,0.00917777219009304,64,0.00804626602967061,187,0.0235101835554438,44,0.00553180789539854,821,0.103218506411868
"HEMKÖP UPPSALA VÄSTERTORG",202204,7721,1304,0.16889004015024,121,0.0156715451366403,399,0.0516772438803264,204,0.0264214479989639,142,0.0183914000777101,0,0,175,0.0226654578422484,26,0.00336743945084834,71,0.00919570003885507,53,0.00686439580365238,20,0.0025903380391141,93,0.0120450718818806,1272,0.164745499287657,32,0.00414454086258257,9,0.00116565211760135,80,0.0103613521564564,367,0.0475327030177438,165,0.0213702888226914,39,0.0050511591762725,89,0.0115270042740578,53,0.00686439580365238,0,0,175,0.0226654578422484,0,0,0,0,44,0.00569874368605103,53,0.00686439580365238,53,0.00686439580365238,20,0.0025903380391141,48,0.00621681129387385,45,0.00582826058800673,1272,0.164745499287657,648,0.083926952467297,106,0.0137287916073048,80,0.0103613521564564,190,0.024608211371584,175,0.0226654578422484,73,0.00945473384276648
"HEMKÖP UPPSALA VÄSTERTORG",202203,8031,824,0.102602415639397,134,0.0166853442908729,191,0.0237828414892292,42,0.00522973477773627,146,0.0181795542273689,0,0,46,0.0057278047565683,9,0.00112065745237206,59,0.00734653218777238,73,0.00908977711368447,45,0.00560328726186029,79,0.00983688208193251,789,0.0982443033246171,35,0.00435811231478023,10,0.00124517494708006,89,0.0110820570290126,156,0.019424729174449,0,0,42,0.00522973477773627,79,0.00983688208193251,67,0.00834267214543643,0,0,46,0.0057278047565683,0,0,0,0,20,0.00249034989416013,48,0.00597683974598431,73,0.00908977711368447,45,0.00560328726186029,38,0.00473166479890425,41,0.00510521728302827,789,0.0982443033246171,274,0.0341177935499938,78,0.0097123645872245,89,0.0110820570290126,184,0.0229112190262732,46,0.0057278047565683,118,0.0146930643755448
"HEMKÖP UPPSALA VÄSTERTORG",202202,7903,803,0.101606984689358,131,0.0165759838036189,28,0.00354295837023915,48,0.00607364292040997,184,0.0232822978615716,0,0,46,0.00582057446539289,11,0.00139187650259395,160,0.0202454764013666,63,0.00797165633303809,50,0.00632671137542705,82,0.0103758066557004,775,0.0980640263191193,28,0.00354295837023915,9,0.00113880804757687,94,0.0118942173858029,0,0,0,0,48,0.00607364292040997,113,0.0142983677084651,71,0.00898393015310642,0,0,46,0.00582057446539289,0,0,0,0,122,0.015437175756042,49,0.00620017714791851,63,0.00797165633303809,50,0.00632671137542705,47,0.00594710869290143,35,0.00442869796279894,775,0.0980640263191193,111,0.0140452992534481,180,0.0227761609515374,94,0.0118942173858029,231,0.029229406554473,46,0.00582057446539289,113,0.0142983677084651
