"butik","vecka","datum","antal_kvitton","sales_zoner_count_TOTAL","sales_zoner_convrate_TOTAL","sales_zoner_count_Inkastare/entré","sales_zoner_convrate_Inkastare/entré","sales_zoner_count_F&G","sales_zoner_convrate_F&G","sales_zoner_count_Bröd","sales_zoner_convrate_Bröd","sales_zoner_count_Bake off","sales_zoner_convrate_Bake off","sales_zoner_count_Fisk - endast manuell disk","sales_zoner_convrate_Fisk - endast manuell disk","sales_zoner_count_Deli - endast manuell","sales_zoner_convrate_Deli - endast manuell","sales_zoner_count_Frys","sales_zoner_convrate_Frys","sales_zoner_count_Mejeri","sales_zoner_convrate_Mejeri","sales_zoner_count_Gavel 1","sales_zoner_convrate_Gavel 1","sales_zoner_count_Gavel 2","sales_zoner_convrate_Gavel 2","sales_zoner_count_Gavel 3","sales_zoner_convrate_Gavel 3","sales_kampanj_count_TOTAL","sales_kampanj_convrate_TOTAL","sales_kampanj_count_Kampanj 1 - F&G 1","sales_kampanj_convrate_Kampanj 1 - F&G 1","sales_kampanj_count_Kampanj 2 - F&G 2","sales_kampanj_convrate_Kampanj 2 - F&G 2","sales_kampanj_count_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_convrate_Kampanj 1 - bröd, industribakat, hamburger/korv, tortillas osv","sales_kampanj_count_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_convrate_Kampanj 2 -  om vi inte har två, kör vi Garant hamburgerbröd Brioche ord.pris/ABP?","sales_kampanj_count_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_convrate_Kampanj 1 - frallor, bullar, baguette, bake off bröd - om ej kampanj multipris","sales_kampanj_count_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_convrate_Kampanj 2 - om ej två kampanjer, multi ABP","sales_kampanj_count_Kampanj 1 - bladet eller skagen","sales_kampanj_convrate_Kampanj 1 - bladet eller skagen","sales_kampanj_count_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_convrate_Kampanj 1 - Triangeln, Mölnlycke, Dala-Järna","sales_kampanj_count_Kampanj 1 Frys","sales_kampanj_convrate_Kampanj 1 Frys","sales_kampanj_count_Kampanj 1 Mejeri","sales_kampanj_convrate_Kampanj 1 Mejeri","sales_kampanj_count_Kampanj 2 Mejeri","sales_kampanj_convrate_Kampanj 2 Mejeri","sales_kampanj_count_Kampanj 3 – Bomben","sales_kampanj_convrate_Kampanj 3 – Bomben","sales_kampanj_count_ABP","sales_kampanj_convrate_ABP","sales_kampanj_count_Kampanj 1 - dryck","sales_kampanj_convrate_Kampanj 1 - dryck","sales_kampanj_count_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_kampanj_convrate_Kampanj 2 - Snacks, choklad, ABP om det finns","sales_skylttyp_count_TOTAL","sales_skylttyp_convrate_TOTAL","sales_skylttyp_count_klubbvara","sales_skylttyp_convrate_klubbvara","sales_skylttyp_count_kampanjvara","sales_skylttyp_convrate_kampanjvara","sales_skylttyp_count_veckans klipp","sales_skylttyp_convrate_veckans klipp","sales_skylttyp_count_alltid bra pris","sales_skylttyp_convrate_alltid bra pris","sales_skylttyp_count_klubbpris","sales_skylttyp_convrate_klubbpris","sales_skylttyp_count_ordinarie","sales_skylttyp_convrate_ordinarie"
"HEMKÖP MALMÖ TRIANGELN",202148,2021-12-01,2526,253.178,0.1002288202692,122,0.0482977038796516,25,0.00989707046714173,7,0.00277117973079968,19,0.00752177355502771,2.178,0.000862232779097387,0,0,7,0.00277117973079968,26,0.0102929532858274,13,0.0051464766429137,4,0.00158353127474268,28,0.0110847189231987,243.178,0.0962699920823436,122,0.0482977038796516,15,0.00593824228028504,5,0.00197941409342835,2,0.000791765637371338,18,0.00712589073634204,1,0.000395882818685669,2.178,0.000862232779097387,0,0,7,0.00277117973079968,17,0.00673000791765637,9,0.00356294536817102,13,0.0051464766429137,4,0.00158353127474268,1,0.000395882818685669,27,0.0106888361045131,243.178,0.0962699920823436,10,0.00395882818685669,169,0.0669041963578781,13,0.0051464766429137,22,0.00870942201108472,27,0.0106888361045131,2.178,0.000862232779097387
"HEMKÖP MALMÖ TRIANGELN",202148,2021-11-30,2585,289.456,0.111975241779497,145,0.0560928433268859,20,0.00773694390715667,5,0.00193423597678917,34,0.0131528046421663,1.456,0.000563249516441006,0,0,3,0.0011605415860735,15,0.00580270793036751,24,0.00928433268858801,7,0.00270793036750484,35,0.0135396518375242,279.456,0.108106769825919,145,0.0560928433268859,10,0.00386847195357834,5,0.00193423597678917,0,0,32,0.0123791102514507,2,0.000773694390715667,1.456,0.000563249516441006,0,0,3,0.0011605415860735,8,0.00309477756286267,7,0.00270793036750484,24,0.00928433268858801,7,0.00270793036750484,2,0.000773694390715667,33,0.0127659574468085,279.456,0.108106769825919,10,0.00386847195357834,188,0.0727272727272727,24,0.00928433268858801,39,0.0150870406189555,17,0.00657640232108317,1.456,0.000563249516441006
"HEMKÖP MALMÖ TRIANGELN",202148,2021-11-29,2764,320.92,0.116107091172214,171,0.0618668596237337,34,0.012301013024602,7,0.00253256150506512,21,0.00759768451519537,0.92,0.000332850940665702,0,0,8,0.00289435600578871,29,0.0104920405209841,12,0.00434153400868307,10,0.00361794500723589,28,0.0101302460202605,313.92,0.113574529667149,171,0.0618668596237337,27,0.0097684515195369,4,0.00144717800289436,3,0.00108538350217077,17,0.00615050651230101,4,0.00144717800289436,0.92,0.000332850940665702,0,0,8,0.00289435600578871,19,0.00687409551374819,10,0.00361794500723589,12,0.00434153400868307,10,0.00361794500723589,9,0.0032561505065123,19,0.00687409551374819,313.92,0.113574529667149,7,0.00253256150506512,234,0.0846599131693198,12,0.00434153400868307,27,0.0097684515195369,33,0.0119392185238784,0.92,0.000332850940665702
"HEMKÖP MALMÖ TRIANGELN",202147,2021-11-28,2546,325,0.127651217596229,42,0.016496465043205,35,0.0137470542026709,3,0.0011783189316575,13,0.00510604870384918,0,0,0,0,21,0.00824823252160251,129,0.0506677140612726,33,0.0129615082482325,6,0.002356637863315,43,0.0168892380204242,316,0.124116260801257,42,0.016496465043205,26,0.0102120974076984,2,0.000785545954438335,1,0.000392772977219167,10,0.00392772977219167,3,0.0011783189316575,0,0,0,0,21,0.00824823252160251,11,0.00432050274941084,118,0.0463472113118617,33,0.0129615082482325,6,0.002356637863315,4,0.00157109190887667,39,0.0153181461115475,316,0.124116260801257,9,0.00353495679497251,126,0.0494893951296151,33,0.0129615082482325,16,0.00628436763550668,132,0.0518460329929301,0,0
"HEMKÖP MALMÖ TRIANGELN",202147,2021-11-27,2848,365.646,0.128386938202247,32,0.0112359550561798,31,0.0108848314606742,11,0.0038623595505618,38,0.0133426966292135,0.646,0.000226825842696629,0,0,7,0.00245786516853933,151,0.0530196629213483,18,0.00632022471910112,0,0,77,0.0270365168539326,351.646,0.123471207865169,32,0.0112359550561798,17,0.00596910112359551,6,0.00210674157303371,5,0.00175561797752809,36,0.0126404494382022,2,0.000702247191011236,0.646,0.000226825842696629,0,0,7,0.00245786516853933,14,0.00491573033707865,137,0.0481039325842697,18,0.00632022471910112,0,0,4,0.00140449438202247,73,0.0256320224719101,351.646,0.123471207865169,14,0.00491573033707865,130,0.0456460674157303,18,0.00632022471910112,36,0.0126404494382022,153,0.0537219101123595,0.646,0.000226825842696629
"HEMKÖP MALMÖ TRIANGELN",202147,2021-11-26,3055,394.846,0.129245826513912,28,0.00916530278232406,35,0.0114566284779051,12,0.00392798690671031,26,0.00851063829787234,0.846,0.000276923076923077,0,0,3,0.000981996726677578,141,0.0461538461538462,6,0.00196399345335516,1,0.000327332242225859,142,0.046481178396072,372.846,0.122044517184943,28,0.00916530278232406,13,0.00425531914893617,7,0.00229132569558101,5,0.0016366612111293,24,0.00785597381342062,2,0.000654664484451719,0.846,0.000276923076923077,0,0,3,0.000981996726677578,24,0.00785597381342062,117,0.0382978723404255,6,0.00196399345335516,1,0.000327332242225859,11,0.00360065466448445,131,0.0428805237315876,372.846,0.122044517184943,22,0.0072013093289689,176,0.0576104746317512,6,0.00196399345335516,25,0.00818330605564648,143,0.0468085106382979,0.846,0.000276923076923077
"HEMKÖP MALMÖ TRIANGELN",202147,2021-11-25,2541,274.776,0.108136953955136,22,0.00865800865800866,21,0.00826446280991736,8,0.00314836678473042,31,0.0121999212908304,0.776,0.000305391578118851,0,0,4,0.00157418339236521,141,0.0554899645808737,14,0.00550964187327824,3,0.00118063754427391,30,0.0118063754427391,266.776,0.104988587170405,22,0.00865800865800866,13,0.00511609602518693,4,0.00157418339236521,4,0.00157418339236521,28,0.0110192837465565,3,0.00118063754427391,0.776,0.000305391578118851,0,0,4,0.00157418339236521,19,0.00747737111373475,122,0.0480125934671389,14,0.00550964187327824,3,0.00118063754427391,3,0.00118063754427391,27,0.0106257378984652,266.776,0.104988587170405,8,0.00314836678473042,69,0.0271546635182999,14,0.00550964187327824,31,0.0121999212908304,144,0.0566706021251476,0.776,0.000305391578118851
"HEMKÖP MALMÖ TRIANGELN",202147,2021-11-24,2455,280.282,0.114167820773931,26,0.0105906313645621,24,0.00977596741344196,11,0.0044806517311609,36,0.0146639511201629,0.282,0.000114867617107943,0,0,11,0.0044806517311609,120,0.0488798370672098,16,0.0065173116089613,5,0.00203665987780041,31,0.0126272912423625,270.282,0.11009450101833,26,0.0105906313645621,14,0.00570264765784114,5,0.00203665987780041,6,0.00244399185336049,33,0.0134419551934827,3,0.00122199592668024,0.282,0.000114867617107943,0,0,11,0.0044806517311609,13,0.00529531568228106,107,0.0435845213849287,16,0.0065173116089613,5,0.00203665987780041,2,0.000814663951120163,29,0.0118126272912424,270.282,0.11009450101833,10,0.00407331975560081,83,0.0338085539714868,16,0.0065173116089613,38,0.0154786150712831,123,0.05010183299389,0.282,0.000114867617107943
"HEMKÖP MALMÖ TRIANGELN",202147,2021-11-23,2448,309.42,0.126397058823529,34,0.0138888888888889,18,0.00735294117647059,4,0.00163398692810458,56,0.0228758169934641,0.42,0.00017156862745098,0,0,6,0.00245098039215686,127,0.0518790849673203,30,0.0122549019607843,1,0.000408496732026144,33,0.0134803921568627,305.42,0.124763071895425,34,0.0138888888888889,14,0.00571895424836601,2,0.000816993464052288,2,0.000816993464052288,53,0.0216503267973856,3,0.00122549019607843,0.42,0.00017156862745098,0,0,6,0.00245098039215686,19,0.00776143790849673,108,0.0441176470588235,30,0.0122549019607843,1,0.000408496732026144,4,0.00163398692810458,29,0.0118464052287582,305.42,0.124763071895425,4,0.00163398692810458,87,0.0355392156862745,30,0.0122549019607843,54,0.0220588235294118,130,0.0531045751633987,0.42,0.00017156862745098
"HEMKÖP MALMÖ TRIANGELN",202147,2021-11-22,2508,333.322,0.13290350877193,48,0.0191387559808612,30,0.0119617224880383,4,0.00159489633173844,40,0.0159489633173844,0.322,0.000128389154704944,0,0,7,0.00279106858054226,131,0.0522328548644338,39,0.0155502392344498,7,0.00279106858054226,27,0.0107655502392345,324.322,0.129314992025518,48,0.0191387559808612,21,0.00837320574162679,2,0.000797448165869219,2,0.000797448165869219,36,0.0143540669856459,4,0.00159489633173844,0.322,0.000128389154704944,0,0,7,0.00279106858054226,15,0.00598086124401914,116,0.0462519936204147,39,0.0155502392344498,7,0.00279106858054226,5,0.00199362041467305,22,0.0087719298245614,324.322,0.129314992025518,9,0.00358851674641148,98,0.0390749601275917,39,0.0155502392344498,43,0.0171451355661882,135,0.0538277511961723,0.322,0.000128389154704944
"HEMKÖP MALMÖ TRIANGELN",202146,2021-11-21,2408,319,0.132475083056478,40,0.0166112956810631,16,0.00664451827242525,23,0.0095514950166113,106,0.0440199335548173,0,0,0,0,6,0.00249169435215947,56,0.0232558139534884,37,0.0153654485049834,0,0,35,0.0145348837209302,316,0.131229235880399,40,0.0166112956810631,13,0.00539867109634551,20,0.00830564784053156,3,0.00124584717607973,105,0.0436046511627907,1,0.000415282392026578,0,0,0,0,6,0.00249169435215947,50,0.0207641196013289,6,0.00249169435215947,37,0.0153654485049834,0,0,3,0.00124584717607973,32,0.0132890365448505,316,0.131229235880399,3,0.00124584717607973,114,0.0473421926910299,37,0.0153654485049834,105,0.0436046511627907,57,0.0236710963455149,0,0
"HEMKÖP MALMÖ TRIANGELN",202146,2021-11-20,2861,336,0.11744145403705,30,0.0104858441104509,21,0.00734009087731562,23,0.00803914715134568,35,0.012233484795526,0,0,0,0,6,0.00209716882209018,96,0.0335547011534429,24,0.00838867528836071,3,0.00104858441104509,98,0.0342537574274729,330,0.11534428521496,30,0.0104858441104509,15,0.00524292205522545,21,0.00734009087731562,2,0.000699056274030059,35,0.012233484795526,0,0,0,0,0,0,6,0.00209716882209018,78,0.0272631946871723,18,0.00629150646627053,24,0.00838867528836071,3,0.00104858441104509,11,0.00384480950716533,87,0.0304089479203076,330,0.11534428521496,6,0.00209716882209018,166,0.0580216707444949,24,0.00838867528836071,38,0.0132820692065711,96,0.0335547011534429,0,0
"HEMKÖP MALMÖ TRIANGELN",202146,2021-11-19,3021,381.792,0.126379344587885,22,0.00728235683548494,27,0.00893743793445879,18,0.00595829195630586,49,0.0162197947699437,0.792,0.000262164846077458,0,0,5,0.00165508109897385,116,0.0383978814961933,14,0.00463422707712678,2,0.00066203243958954,128,0.0423700761337306,373.792,0.123731214829527,22,0.00728235683548494,19,0.00628930817610063,12,0.00397219463753724,6,0.00198609731876862,47,0.0155577623303542,2,0.00066203243958954,0.792,0.000262164846077458,0,0,5,0.00165508109897385,97,0.0321085733200927,19,0.00628930817610063,14,0.00463422707712678,2,0.00066203243958954,12,0.00397219463753724,116,0.0383978814961933,373.792,0.123731214829527,8,0.00264812975835816,184,0.0609069844422377,14,0.00463422707712678,49,0.0162197947699437,118,0.0390599139357829,0.792,0.000262164846077458
"HEMKÖP MALMÖ TRIANGELN",202146,2021-11-18,2557,241.242,0.0943457176378569,20,0.00782166601486117,27,0.0105592491200626,19,0.00743058271411811,20,0.00782166601486117,0.242,9.46421587798201e-05,0,0,0,0,97,0.0379350801720767,13,0.00508408290965976,8,0.00312866640594447,37,0.0144700821274932,234.242,0.0916081345326555,20,0.00782166601486117,20,0.00782166601486117,14,0.00547516621040282,5,0.00195541650371529,17,0.00664841611263199,3,0.00117324990222917,0.242,9.46421587798201e-05,0,0,0,0,85,0.03324208056316,12,0.0046929996089167,13,0.00508408290965976,8,0.00312866640594447,4,0.00156433320297223,33,0.0129057489245209,234.242,0.0916081345326555,7,0.00273758310520141,89,0.0348064137661322,13,0.00508408290965976,25,0.00977708251857646,100,0.0391083300743058,0.242,9.46421587798201e-05
"HEMKÖP MALMÖ TRIANGELN",202146,2021-11-17,2311,220.38,0.0953613154478581,27,0.0116832540025963,17,0.00735612289052358,19,0.00822154911293812,22,0.00951968844655993,0.38,0.000164430982258762,0,0,0,0,85,0.0367806144526179,20,0.00865426222414539,5,0.00216356555603635,25,0.0108178277801817,213.38,0.0923323236694072,27,0.0116832540025963,10,0.0043271311120727,16,0.00692340977931631,3,0.00129813933362181,19,0.00822154911293812,3,0.00129813933362181,0.38,0.000164430982258762,0,0,0,0,78,0.033751622674167,7,0.00302899177845089,20,0.00865426222414539,5,0.00216356555603635,7,0.00302899177845089,18,0.00778883600173085,213.38,0.0923323236694072,7,0.00302899177845089,74,0.0320207702293379,20,0.00865426222414539,24,0.0103851146689745,88,0.0380787537862397,0.38,0.000164430982258762
"HEMKÖP MALMÖ TRIANGELN",202146,2021-11-16,2580,272,0.105426356589147,31,0.012015503875969,20,0.00775193798449612,28,0.0108527131782946,15,0.00581395348837209,0,0,0,0,0,0,115,0.0445736434108527,24,0.00930232558139535,7,0.00271317829457364,32,0.0124031007751938,265,0.102713178294574,31,0.012015503875969,13,0.00503875968992248,24,0.00930232558139535,4,0.00155038759689922,12,0.00465116279069767,3,0.00116279069767442,0,0,0,0,0,0,106,0.0410852713178295,9,0.00348837209302326,24,0.00930232558139535,7,0.00271317829457364,6,0.00232558139534884,26,0.010077519379845,265,0.102713178294574,7,0.00271317829457364,97,0.0375968992248062,24,0.00930232558139535,19,0.00736434108527132,118,0.0457364341085271,0,0
