"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk_endast_manuell_disk","zoner_convrate_Fisk_endast_manuell_disk","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_1_bladet_eller_skagen","kampanj_convrate_Kampanj_1_bladet_eller_skagen","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_ABP","kampanj_convrate_ABP","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbvara","skylttyp_convrate_klubbvara","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris"
"STOCKHOLM SKARPNÄCK",202218,2022-05-06,1494,234,0.156626506024096,37,0.0247657295850067,33,0.0220883534136546,49,0.0327978580990629,0,0,4,0.00267737617135207,20,0.0133868808567604,2,0.00133868808567604,89,0.0595716198125837,217,0.14524765729585,125,0.0836680053547523,37,0.0247657295850067,16,0.0107095046854083,49,0.0327978580990629,0,0,4,0.00267737617135207,20,0.0133868808567604,2,0.00133868808567604,89,0.0595716198125837,217,0.14524765729585,17,0.0113788487282463,20,0.0133868808567604,51,0.034136546184739,0,0,4,0.00267737617135207
"STOCKHOLM SKARPNÄCK",202218,2022-05-05,1214,149,0.122734761120264,40,0.0329489291598023,17,0.014003294892916,29,0.0238879736408567,0,0,1,0.000823723228995058,32,0.0263591433278418,5,0.00411861614497529,25,0.0205930807248764,141,0.116144975288303,66,0.0543657331136738,40,0.0329489291598023,9,0.00741350906095552,29,0.0238879736408567,0,0,1,0.000823723228995058,32,0.0263591433278418,5,0.00411861614497529,25,0.0205930807248764,141,0.116144975288303,8,0.00658978583196046,32,0.0263591433278418,34,0.028006589785832,0,0,1,0.000823723228995058
"STOCKHOLM SKARPNÄCK",202218,2022-05-04,1122,140,0.124777183600713,37,0.0329768270944742,16,0.0142602495543672,22,0.0196078431372549,0,0,10,0.0089126559714795,31,0.0276292335115865,0,0,24,0.0213903743315508,134,0.119429590017825,65,0.0579322638146168,37,0.0329768270944742,10,0.0089126559714795,22,0.0196078431372549,0,0,10,0.0089126559714795,31,0.0276292335115865,0,0,24,0.0213903743315508,134,0.119429590017825,6,0.0053475935828877,31,0.0276292335115865,22,0.0196078431372549,0,0,10,0.0089126559714795
"STOCKHOLM SKARPNÄCK",202218,2022-05-03,1138,126,0.110720562390158,39,0.0342706502636204,18,0.015817223198594,16,0.0140597539543058,0,0,9,0.00790861159929701,35,0.0307557117750439,4,0.00351493848857645,5,0.00439367311072056,122,0.107205623901582,54,0.0474516695957821,39,0.0342706502636204,14,0.0123022847100176,16,0.0140597539543058,0,0,9,0.00790861159929701,35,0.0307557117750439,4,0.00351493848857645,5,0.00439367311072056,122,0.107205623901582,4,0.00351493848857645,35,0.0307557117750439,20,0.0175746924428823,0,0,9,0.00790861159929701
"STOCKHOLM SKARPNÄCK",202218,2022-05-02,1057,187,0.176915799432356,55,0.0520340586565752,17,0.0160832544938505,42,0.0397350993377483,0,0,9,0.00851466414380322,52,0.0491958372753075,3,0.00283822138126774,9,0.00851466414380322,184,0.174077578051088,75,0.0709555345316935,55,0.0520340586565752,14,0.0132450331125828,42,0.0397350993377483,0,0,9,0.00851466414380322,52,0.0491958372753075,3,0.00283822138126774,9,0.00851466414380322,184,0.174077578051088,3,0.00283822138126774,52,0.0491958372753075,45,0.0425733207190161,0,0,9,0.00851466414380322
"STOCKHOLM SKARPNÄCK",202217,2022-05-01,1293,186,0.14385150812065,50,0.0386697602474865,24,0.0185614849187935,36,0.0278422273781903,0,0,22,0.017014694508894,35,0.0270688321732405,0,0,19,0.0146945088940449,171,0.132250580046404,63,0.0487238979118329,50,0.0386697602474865,9,0.00696055684454756,36,0.0278422273781903,0,0,22,0.017014694508894,35,0.0270688321732405,0,0,19,0.0146945088940449,171,0.132250580046404,15,0.0116009280742459,35,0.0270688321732405,36,0.0278422273781903,0,0,22,0.017014694508894
"STOCKHOLM SKARPNÄCK",202217,2022-04-30,1525,308,0.201967213114754,72,0.0472131147540984,37,0.0242622950819672,51,0.0334426229508197,0,0,38,0.0249180327868852,47,0.0308196721311475,3,0.0019672131147541,60,0.039344262295082,283,0.185573770491803,119,0.0780327868852459,72,0.0472131147540984,12,0.00786885245901639,51,0.0334426229508197,0,0,38,0.0249180327868852,47,0.0308196721311475,3,0.0019672131147541,60,0.039344262295082,283,0.185573770491803,25,0.0163934426229508,47,0.0308196721311475,54,0.0354098360655738,0,0,38,0.0249180327868852
"STOCKHOLM SKARPNÄCK",202217,2022-04-29,1413,308,0.217975937721161,75,0.0530785562632696,25,0.0176928520877565,26,0.0184005661712668,0,0,36,0.0254777070063694,57,0.0403397027600849,0,0,89,0.0629865534324133,290,0.205237084217976,153,0.10828025477707,75,0.0530785562632696,7,0.00495399858457183,26,0.0184005661712668,0,0,36,0.0254777070063694,57,0.0403397027600849,0,0,89,0.0629865534324133,290,0.205237084217976,18,0.0127388535031847,57,0.0403397027600849,26,0.0184005661712668,0,0,36,0.0254777070063694
"STOCKHOLM SKARPNÄCK",202217,2022-04-28,1170,160,0.136752136752137,29,0.0247863247863248,15,0.0128205128205128,53,0.0452991452991453,0,0,25,0.0213675213675214,19,0.0162393162393162,0,0,19,0.0162393162393162,150,0.128205128205128,43,0.0367521367521368,29,0.0247863247863248,5,0.00427350427350427,53,0.0452991452991453,0,0,25,0.0213675213675214,19,0.0162393162393162,0,0,19,0.0162393162393162,150,0.128205128205128,10,0.00854700854700855,19,0.0162393162393162,53,0.0452991452991453,0,0,25,0.0213675213675214
"STOCKHOLM SKARPNÄCK",202217,2022-04-27,1183,166,0.140321217244294,43,0.0363482671174979,15,0.0126796280642434,29,0.0245139475908707,0,0,29,0.0245139475908707,38,0.0321217244294167,0,0,12,0.0101437024513948,161,0.136094674556213,60,0.0507185122569738,43,0.0363482671174979,10,0.0084530853761623,29,0.0245139475908707,0,0,29,0.0245139475908707,38,0.0321217244294167,0,0,12,0.0101437024513948,161,0.136094674556213,5,0.00422654268808115,38,0.0321217244294167,29,0.0245139475908707,0,0,29,0.0245139475908707
