"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F_G","zoner_convrate_F_G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F_G_1","kampanj_convrate_Kampanj_1_F_G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F_G_2","kampanj_convrate_Kampanj_2_F_G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1","kampanj_convrate_Kampanj_1","kampanj_count_Kampanj_2","kampanj_convrate_Kampanj_2","kampanj_count_Vara_1","kampanj_convrate_Vara_1","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"FALUN C",202225,2022-06-21,1901,166.35,0.087506575486586,17,0.00894266175697002,17,0.00894266175697002,0,0,22,0.011572856391373,0,0,0.35,0.000184113624408206,0,0,25,0.0131509731720147,4,0.00210415570752236,54,0.0284061020515518,27,0.0142030510257759,155.7,0.0819042609153077,46,0.0241977906365071,11,0.00578642819568648,0,0,6,0.00315623356128353,6,0.00315623356128353,0,0,0,0,22,0.011572856391373,0,0,0,0,0.35,0.000184113624408206,0,0,0.35,0.000184113624408206,0,0,4,0.00210415570752236,21,0.0110468174644924,58,0.0305102577590742,20,0.0105207785376118,7,0.00368227248816412,149.35,0.078563913729616,32,0.0168332456601789,6,0.00315623356128353,0.35,0.000184113624408206,65,0.0341925302472383
"FALUN C",202225,2022-06-20,1878,140.189,0.0746480298189563,15,0.00798722044728434,15,0.00798722044728434,7,0.00372736954206603,15,0.00798722044728434,0,0,0.189,0.000100638977635783,0,0,24,0.012779552715655,4,0.00212992545260916,33,0.0175718849840256,27,0.0143769968051118,132.313,0.0704542066027689,50,0.0266240681576145,8,0.00425985090521832,0,0,7,0.00372736954206603,7,0.00372736954206603,7,0.00372736954206603,0,0,15,0.00798722044728434,0,0,0,0,0.189,0.000100638977635783,0,0,0.124,6.60276890308839e-05,0,0,4,0.00212992545260916,20,0.0106496272630458,37,0.0197018104366347,24,0.012779552715655,3,0.00159744408945687,125.189,0.066660809371672,28,0.0149094781682641,7,0.00372736954206603,0.189,0.000100638977635783,40,0.0212992545260916
"FALUN C",202224,2022-06-19,1175,127.1,0.108170212765957,30,0.025531914893617,30,0.025531914893617,0,0,10,0.00851063829787234,0,0,0.1,8.51063829787234e-05,0,0,1,0.000851063829787234,2,0.00170212765957447,20,0.0170212765957447,34,0.028936170212766,105.1,0.0894468085106383,39,0.0331914893617021,22,0.0187234042553192,0,0,8,0.00680851063829787,8,0.00680851063829787,0,0,0,0,10,0.00851063829787234,0,0,0,0,0.1,8.51063829787234e-05,0,0,0,0,0,0,1,0.000851063829787234,0,0,22,0.0187234042553192,28,0.0238297872340426,6,0.0051063829787234,97.1,0.0826382978723404,22,0.0187234042553192,8,0.00680851063829787,0.1,8.51063829787234e-05,28,0.0238297872340426
"FALUN C",202224,2022-06-18,1574,180.576,0.114724269377382,43,0.0273189326556544,43,0.0273189326556544,0,0,8,0.00508259212198221,0,0,0.576,0.000365946632782719,0,0,3,0.00190597204574333,8,0.00508259212198221,24,0.0152477763659466,51,0.0324015247776366,139.782,0.0888068614993647,57,0.0362134688691233,41,0.0260482846251588,0,0,2,0.00127064803049555,2,0.00127064803049555,0,0,0,0,8,0.00508259212198221,0,0,0,0,0.576,0.000365946632782719,0,0,0.206,0.000130876747141042,0,0,0,0,3,0.00190597204574333,32,0.0203303684879288,49,0.031130876747141,2,0.00127064803049555,137.576,0.0874053367217281,44,0.0279542566709022,2,0.00127064803049555,0.576,0.000365946632782719,34,0.0216010165184244
"FALUN C",202224,2022-06-17,1993,215.684,0.108220772704466,40,0.0200702458605118,40,0.0200702458605118,4,0.00200702458605118,14,0.00702458605117913,0,0,0.684,0.000343201204214752,0,0,6,0.00301053687907677,8,0.00401404917210236,23,0.0115403913697943,80,0.0401404917210236,182.028,0.091333667837431,93,0.0466633216256899,34,0.017059708981435,0,0,6,0.00301053687907677,6,0.00301053687907677,4,0.00200702458605118,0,0,14,0.00702458605117913,0,0,0,0,0.684,0.000343201204214752,0,0,0.344,0.000172604114400401,0,0,1,0.000501756146512795,5,0.00250878073256397,31,0.0155544405418966,74,0.0371299548419468,6,0.00301053687907677,175.684,0.0881505268439538,39,0.019568489713999,6,0.00301053687907677,0.684,0.000343201204214752,37,0.0185649774209734
"FALUN C",202224,2022-06-16,1888,122.13,0.0646875,10,0.00529661016949153,10,0.00529661016949153,2,0.00105932203389831,20,0.0105932203389831,0,0,0.13,6.88559322033898e-05,0,0,10,0.00529661016949153,6,0.00317796610169492,33,0.017478813559322,31,0.0164194915254237,113.13,0.0599205508474576,54,0.0286016949152542,9,0.00476694915254237,0,0,1,0.000529661016949153,1,0.000529661016949153,2,0.00105932203389831,0,0,20,0.0105932203389831,0,0,0,0,0,0,0,0,0,0,0.13,6.88559322033898e-05,4,0.00211864406779661,6,0.00317796610169492,39,0.0206567796610169,28,0.0148305084745763,3,0.00158898305084746,112.13,0.0593908898305085,15,0.00794491525423729,1,0.000529661016949153,0.13,6.88559322033898e-05,42,0.0222457627118644
"FALUN C",202224,2022-06-15,1877,145.654,0.0775993606819393,14,0.00745871070857752,14,0.00745871070857752,2,0.00106553010122536,29,0.0154501864677677,0,0,0.654,0.000348428343100693,0,0,11,0.00586041555673948,3,0.00159829515183804,34,0.0181140117208311,38,0.0202450719232818,133.856,0.0713137986148109,65,0.0346297282898242,12,0.00639318060735216,0,0,2,0.00106553010122536,2,0.00106553010122536,2,0.00106553010122536,0,0,29,0.0154501864677677,0,0,0,0,0.402,0.000214171550346297,0,0,0.202,0.000107618540223761,0.252,0.000134256792754395,2,0.00106553010122536,9,0.00479488545551412,37,0.0197123068726692,32,0.0170484816196058,6,0.00319659030367608,131.654,0.0701406499733618,21,0.0111880660628663,2,0.00106553010122536,0.654,0.000348428343100693,43,0.0229088971763452
"FALUN C",202224,2022-06-14,2019,145.346,0.0719891035165924,17,0.00842000990589401,17,0.00842000990589401,2,0.000990589400693413,11,0.00544824170381377,0,0,0.346,0.00017137196631996,0,0,6,0.00297176820208024,3,0.00148588410104012,51,0.025260029717682,38,0.0188211986131748,134.654,0.0666934125804854,45,0.0222882615156018,11,0.00544824170381377,0,0,6,0.00297176820208024,6,0.00297176820208024,2,0.000990589400693413,0,0,11,0.00544824170381377,0,0,0,0,0.346,0.00017137196631996,0,0,0.308,0.000152550767706786,0,0,3,0.00148588410104012,3,0.00148588410104012,54,0.0267459138187221,29,0.0143635463100545,9,0.00445765230312036,128.346,0.0635690936106984,14,0.00693412580485389,6,0.00297176820208024,0.346,0.00017137196631996,63,0.0312035661218425
"FALUN C",202224,2022-06-13,2050,126.836,0.0618712195121951,11,0.00536585365853659,11,0.00536585365853659,4,0.00195121951219512,21,0.0102439024390244,0,0,0.836,0.00040780487804878,0,0,5,0.0024390243902439,5,0.0024390243902439,31,0.0151219512195122,38,0.0185365853658537,121.178,0.0591112195121951,55,0.0268292682926829,6,0.00292682926829268,0,0,5,0.0024390243902439,5,0.0024390243902439,4,0.00195121951219512,0,0,21,0.0102439024390244,0,0,0,0,0.362,0.000176585365853659,0,0,0.342,0.000166829268292683,0.474,0.000231219512195122,1,0.00048780487804878,4,0.00195121951219512,36,0.0175609756097561,29,0.0141463414634146,9,0.00439024390243902,115.836,0.0565053658536585,10,0.0048780487804878,5,0.0024390243902439,0.836,0.00040780487804878,45,0.0219512195121951
"FALUN C",202223,2022-06-12,1121,108,0.096342551293488,9,0.008028545941124,9,0.008028545941124,19,0.0169491525423729,6,0.00535236396074933,0,0,0,0,0,0,6,0.00535236396074933,6,0.00535236396074933,26,0.0231935771632471,27,0.024085637823372,104,0.0927743086529884,32,0.0285459411239964,4,0.00356824264049955,0,0,5,0.00446030330062444,5,0.00446030330062444,2,0.00178412132024978,17,0.0151650312221231,6,0.00535236396074933,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000892060660124889,5,0.00446030330062444,32,0.0285459411239964,23,0.0205173951828724,4,0.00356824264049955,99,0.088314005352364,26,0.0231935771632471,5,0.00446030330062444,0,0,36,0.032114183764496
"FALUN C",202223,2022-06-11,1451,90.092,0.0620895933838732,8,0.00551343900758098,8,0.00551343900758098,19,0.0130944176430048,6,0.00413507925568573,0,0,0.092,6.34045485871812e-05,0,0,2,0.00137835975189524,2,0.00137835975189524,6,0.00413507925568573,39,0.0268780151619573,83.092,0.0572653342522398,44,0.0303239145416954,7,0.00482425913163336,0,0,1,0.000689179875947622,1,0.000689179875947622,1,0.000689179875947622,18,0.0124052377670572,6,0.00413507925568573,0,0,0,0,0.092,6.34045485871812e-05,0,0,0,0,0,0,1,0.000689179875947622,1,0.000689179875947622,8,0.00551343900758098,36,0.0248104755341144,3,0.00206753962784287,82.092,0.0565761543762922,26,0.0179186767746382,1,0.000689179875947622,0.092,6.34045485871812e-05,11,0.00758097863542385
"FALUN C",202223,2022-06-10,2342,168.31,0.071865926558497,8,0.00341588385994876,8,0.00341588385994876,18,0.00768573868488471,27,0.0115286080273271,0,0,0.31,0.000132365499573015,0,0,7,0.00298889837745517,17,0.00725875320239112,16,0.00683176771989752,67,0.0286080273270709,161.31,0.0688770281810418,95,0.0405636208368915,7,0.00298889837745517,0,0,1,0.000426985482493595,1,0.000426985482493595,2,0.00085397096498719,16,0.00683176771989752,27,0.0115286080273271,0,0,0,0,0.31,0.000132365499573015,0,0,0,0,0,0,3,0.00128095644748079,4,0.00170794192997438,33,0.0140905209222886,63,0.0269000853970965,4,0.00170794192997438,160.31,0.0684500426985482,27,0.0115286080273271,1,0.000426985482493595,0.31,0.000132365499573015,37,0.015798462852263
"FALUN C",202223,2022-06-09,2429,155.512,0.0640230547550432,12,0.00494030465212021,12,0.00494030465212021,25,0.0102923013585838,21,0.00864553314121038,0,0,0.512,0.000210786331823796,0,0,6,0.00247015232606011,7,0.00288184438040346,26,0.0107039934129271,46,0.0189378344997942,150.512,0.0619645944833265,59,0.0242898312062577,5,0.00205846027171676,0,0,7,0.00288184438040346,7,0.00288184438040346,0,0,25,0.0102923013585838,21,0.00864553314121038,0,0,0,0,0.232,9.55125566076575e-05,0,0,0,0,0.28,0.000115273775216138,1,0.000411692054343351,5,0.00205846027171676,33,0.0135858377933306,37,0.015232606010704,9,0.00370522848909016,143.512,0.059082750102923,35,0.0144092219020173,7,0.00288184438040346,0.512,0.000210786331823796,42,0.0172910662824208
"FALUN C",202223,2022-06-08,2269,155.184,0.0683931247245483,14,0.00617011899515205,14,0.00617011899515205,34,0.0149845747025121,11,0.00484795063904804,0,0,0.184,8.10929925077126e-05,0,0,16,0.00705156456588806,2,0.000881445570736007,34,0.0149845747025121,30,0.0132216835610401,144.184,0.0635451740855002,40,0.0176289114147201,11,0.00484795063904804,0,0,3,0.00132216835610401,3,0.00132216835610401,3,0.00132216835610401,31,0.0136624063464081,11,0.00484795063904804,0,0,0,0,0.13,5.72939620978405e-05,0,0,0,0,0.054,2.37990304098722e-05,2,0.000881445570736007,14,0.00617011899515205,36,0.0158660202732481,24,0.0105773468488321,6,0.00264433671220802,141.184,0.0622230057293962,56,0.0246804759806082,3,0.00132216835610401,0.184,8.10929925077126e-05,42,0.0185103569854561
"FALUN C",202223,2022-06-07,2494,211.096,0.0846415396952686,21,0.00842020850040096,21,0.00842020850040096,35,0.0140336808340016,29,0.0116279069767442,0,0,0.096,3.84923817161187e-05,0,0,11,0.00441058540497193,3,0.00120288692862871,63,0.0252606255012029,28,0.0112269446672013,201.096,0.0806319165998396,55,0.0220529270248597,10,0.00400962309542903,0,0,11,0.00441058540497193,11,0.00441058540497193,3,0.00120288692862871,32,0.0128307939053729,29,0.0116279069767442,0,0,0,0,0,0,0,0,0,0,0.096,3.84923817161187e-05,0,0,11,0.00441058540497193,66,0.0264635124298316,23,0.00922213311948677,5,0.00200481154771451,190.096,0.0762213311948677,53,0.0212510024057739,11,0.00441058540497193,0.096,3.84923817161187e-05,71,0.0284683239775461
"FALUN C",202223,2022-06-06,1532,84,0.0548302872062663,13,0.00848563968668407,13,0.00848563968668407,0,0,12,0.00783289817232376,0,0,0,0,0,0,1,0.000652741514360313,3,0.00195822454308094,12,0.00783289817232376,30,0.0195822454308094,78,0.0509138381201044,40,0.0261096605744125,6,0.00391644908616188,0,0,7,0.00456919060052219,7,0.00456919060052219,0,0,0,0,12,0.00783289817232376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000652741514360313,15,0.0097911227154047,28,0.0182767624020888,2,0.00130548302872063,71,0.0463446475195822,7,0.00456919060052219,7,0.00456919060052219,0,0,17,0.0110966057441253
"FALUN C",202222,2022-06-05,1488,101,0.0678763440860215,6,0.00403225806451613,6,0.00403225806451613,2,0.00134408602150538,4,0.00268817204301075,0,0,0,0,0,0,7,0.00470430107526882,0,0,30,0.0201612903225806,46,0.0309139784946237,96,0.0645161290322581,47,0.0315860215053763,5,0.00336021505376344,0,0,1,0.000672043010752688,1,0.000672043010752688,2,0.00134408602150538,0,0,4,0.00268817204301075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.00470430107526882,30,0.0201612903225806,41,0.0275537634408602,5,0.00336021505376344,95,0.0638440860215054,12,0.00806451612903226,1,0.000672043010752688,0,0,35,0.0235215053763441
"FALUN C",202222,2022-06-04,2167,120.092,0.055418550992155,11,0.0050761421319797,11,0.0050761421319797,2,0.000922934933087217,11,0.0050761421319797,0,0,0.092,4.2455006922012e-05,0,0,24,0.0110752191970466,5,0.00230733733271804,4,0.00184586986617443,52,0.0239963082602677,112.092,0.0517268112598062,83,0.0383017997231195,8,0.00369173973234887,0,0,3,0.00138440239963083,3,0.00138440239963083,2,0.000922934933087217,0,0,11,0.0050761421319797,0,0,0,0,0.092,4.2455006922012e-05,0,0,0,0,0,0,22,0.0101522842639594,2,0.000922934933087217,9,0.00415320719889248,48,0.0221504383940932,4,0.00184586986617443,109.092,0.0503424088601754,10,0.00461467466543609,3,0.00138440239963083,0.092,4.2455006922012e-05,13,0.00599907706506691
"FALUN C",202222,2022-06-03,2505,212,0.0846307385229541,12,0.00479041916167665,12,0.00479041916167665,1,0.000399201596806387,26,0.0103792415169661,4,0.00159680638722555,0,0,0,0,45,0.0179640718562874,12,0.00479041916167665,30,0.0119760479041916,70,0.0279441117764471,203,0.0810379241516966,128,0.0510978043912176,9,0.00359281437125748,0,0,3,0.00119760479041916,3,0.00119760479041916,1,0.000399201596806387,0,0,26,0.0103792415169661,0,0,4,0.00159680638722555,0,0,0,0,0,0,0,0,41,0.0163672654690619,4,0.00159680638722555,42,0.0167664670658683,60,0.0239520958083832,10,0.00399201596806387,200,0.0798403193612774,17,0.00678642714570858,3,0.00119760479041916,0,0,52,0.0207584830339321
