"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Kampanj_1_Deli","kampanj_convrate_Kampanj_1_Deli","kampanj_count_Kampanj_2_Deli","kampanj_convrate_Kampanj_2_Deli","kampanj_count_Kampanj_3_Deli","kampanj_convrate_Kampanj_3_Deli","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_1_Gavel_2","kampanj_convrate_Vara_1_Gavel_2","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris"
"FALUN HOSJÖ",202237,2022-09-17,1107,441.815,0.399110207768744,177,0.159891598915989,37.815,0.034159891598916,27,0.024390243902439,103,0.0930442637759711,0,0,10,0.00903342366757001,4,0.003613369467028,56,0.0505871725383921,9,0.00813008130081301,0,0,18,0.016260162601626,422.815,0.381946702800361,77.815,0.070293586269196,19,0.017163504968383,1,0.000903342366757001,157,0.141824751580849,18.815,0.016996386630533,24,0.021680216802168,3,0.002710027100271,99,0.0894308943089431,4,0.003613369467028,0,0,0,0,0,0,10,0.00903342366757001,4,0.003613369467028,39,0.035230352303523,17,0.015356820234869,9,0.00813008130081301,0,0,18,0.016260162601626,422.815,0.381946702800361,175,0.158084914182475,157,0.141824751580849,13,0.011743450767841
"FALUN HOSJÖ",202237,2022-09-16,1283,568.095,0.442786438035853,237,0.184723304754482,54.095,0.0421628994544037,34,0.0265003897116134,92,0.0717069368667186,1,0.000779423226812159,13,0.0101325019485581,3,0.00233826968043648,78,0.0607950116913484,19,0.014809041309431,6,0.00467653936087295,31,0.0241621200311769,537.095,0.418624318004677,111.095,0.0865900233826968,31,0.0241621200311769,2,0.00155884645362432,204,0.15900233826968,23.095,0.0180007794232268,31,0.0241621200311769,3,0.00233826968043648,86,0.0670303975058457,6,0.00467653936087295,1,0.000779423226812159,0,0,0,0,13,0.0101325019485581,3,0.00233826968043648,43,0.0335151987529228,35,0.0272798129384256,19,0.014809041309431,6,0.00467653936087295,31,0.0241621200311769,537.095,0.418624318004677,191,0.148869836321122,204,0.15900233826968,31,0.0241621200311769
"FALUN HOSJÖ",202237,2022-09-15,1012,396.38,0.391679841897233,144,0.142292490118577,31.38,0.0310079051383399,34,0.033596837944664,64,0.0632411067193676,1,0.000988142292490119,7,0.00691699604743083,7,0.00691699604743083,84,0.08300395256917,3,0.00296442687747036,4,0.00395256916996047,17,0.016798418972332,380.38,0.375869565217391,79.38,0.0784387351778656,16,0.0158102766798419,4,0.00395256916996047,124,0.122529644268775,15.38,0.015197628458498,29,0.0286561264822134,5,0.00494071146245059,61,0.0602766798418972,3,0.00296442687747036,1,0.000988142292490119,0,0,0,0,7,0.00691699604743083,7,0.00691699604743083,73,0.0721343873517787,11,0.0108695652173913,3,0.00296442687747036,4,0.00395256916996047,17,0.016798418972332,380.38,0.375869565217391,167,0.16501976284585,124,0.122529644268775,10,0.00988142292490119
"FALUN HOSJÖ",202237,2022-09-14,983,389.61,0.396347914547304,146,0.14852492370295,30.61,0.0311393692777213,24,0.0244150559511699,47,0.0478128179043744,0,0,9,0.00915564598168871,1,0.00101729399796541,98,0.0996948118006104,7,0.00712105798575788,2,0.00203458799593082,25,0.0254323499491353,373.61,0.380071210579858,94.61,0.0962461851475076,16,0.0162767039674466,4,0.00406917599186165,126,0.128179043743642,14.61,0.0148626653102747,23,0.0233977619532045,1,0.00101729399796541,44,0.0447609359104781,3,0.00305188199389624,0,0,0,0,0,0,9,0.00915564598168871,1,0.00101729399796541,56,0.0569684638860631,42,0.0427263479145473,7,0.00712105798575788,2,0.00203458799593082,25,0.0254323499491353,373.61,0.380071210579858,141,0.143438453713123,126,0.128179043743642,12,0.0122075279755849
"FALUN HOSJÖ",202237,2022-09-13,1017,679.845,0.668480825958702,248,0.24385447394297,56.845,0.0558947885939036,32,0.0314650934119961,106,0.104228121927237,3,0.00294985250737463,8,0.00786627335299902,16,0.015732546705998,157,0.154375614552606,5,0.00491642084562439,0,0,48,0.0471976401179941,649.845,0.638982300884956,134.845,0.132590953785644,30,0.0294985250737463,7,0.00688298918387414,211,0.207472959685349,26.845,0.0263962635201573,29,0.0285152409046214,3,0.00294985250737463,106,0.104228121927237,0,0,3,0.00294985250737463,0,0,0,0,8,0.00786627335299902,16,0.015732546705998,115,0.113077679449361,42,0.0412979351032448,5,0.00491642084562439,0,0,48,0.0471976401179941,649.845,0.638982300884956,299,0.294001966568338,211,0.207472959685349,5,0.00491642084562439
"FALUN HOSJÖ",202237,2022-09-12,989,460.915,0.466041456016178,203,0.20525783619818,45.915,0.0464256825075834,34,0.0343781597573306,50,0.0505561172901921,0,0,5,0.00505561172901921,6,0.00606673407482305,94,0.0950455005055612,4,0.00404448938321537,1,0.00101112234580384,18,0.0182002022244692,432.915,0.43773003033367,106.915,0.108104145601618,28,0.0283114256825076,3,0.00303336703741153,172,0.173913043478261,17.915,0.0181142568250758,29,0.0293225480283114,5,0.00505561172901921,44,0.0444893832153691,6,0.00606673407482305,0,0,0,0,0,0,5,0.00505561172901921,6,0.00606673407482305,53,0.0535894843276036,41,0.0414560161779575,4,0.00404448938321537,1,0.00101112234580384,18,0.0182002022244692,432.915,0.43773003033367,143,0.144590495449949,172,0.173913043478261,11,0.0111223458038423
"FALUN HOSJÖ",202233,2022-08-21,1052,49.96,0.047490494296578,0,0,11.96,0.0113688212927757,6,0.00570342205323194,6,0.00570342205323194,1,0.000950570342205323,0,0,1,0.000950570342205323,13,0.0123574144486692,1,0.000950570342205323,8,0.00760456273764259,2,0.00190114068441065,49.96,0.047490494296578,25.96,0.0246768060836502,0,0,0,0,0,0,11.96,0.0113688212927757,6,0.00570342205323194,0,0,0,0,6,0.00570342205323194,1,0.000950570342205323,0,0,0,0,0,0,1,0.000950570342205323,7,0.00665399239543726,6,0.00570342205323194,1,0.000950570342205323,8,0.00760456273764259,2,0.00190114068441065,49.96,0.047490494296578,9,0.00855513307984791,0,0,15,0.0142585551330798
"FALUN HOSJÖ",202233,2022-08-20,1141,40.72,0.0356879929886065,0,0,8.72,0.00764241893076249,7,0.00613496932515337,5,0.00438212094653812,0,0,0,0,0,0,4,0.0035056967572305,10,0.00876424189307625,0,0,6,0.00525854513584575,40.72,0.0356879929886065,18.72,0.0164066608238387,0,0,0,0,0,0,8.72,0.00764241893076249,6,0.00525854513584575,1,0.000876424189307625,0,0,5,0.00438212094653812,0,0,0,0,0,0,0,0,0,0,1,0.000876424189307625,3,0.00262927256792287,10,0.00876424189307625,0,0,6,0.00525854513584575,40.72,0.0356879929886065,7,0.00613496932515337,0,0,15,0.0131463628396144
"FALUN HOSJÖ",202233,2022-08-19,1268,50.88,0.0401261829652997,0,0,11.88,0.00936908517350158,13,0.0102523659305994,4,0.00315457413249211,0,0,0,0,0,0,7,0.0055205047318612,9,0.00709779179810726,2,0.00157728706624606,4,0.00315457413249211,50.88,0.0401261829652997,28.88,0.0227760252365931,0,0,0,0,0,0,11.88,0.00936908517350158,11,0.00867507886435331,2,0.00157728706624606,0,0,4,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,3,0.00236593059936909,4,0.00315457413249211,9,0.00709779179810726,2,0.00157728706624606,4,0.00315457413249211,50.88,0.0401261829652997,7,0.0055205047318612,0,0,15,0.0118296529968454
"FALUN HOSJÖ",202233,2022-08-18,1155,45.375,0.0392857142857143,0,0,13.375,0.0115800865800866,9,0.00779220779220779,5,0.00432900432900433,0,0,0,0,1,0.000865800865800866,9,0.00779220779220779,3,0.0025974025974026,2,0.00173160173160173,3,0.0025974025974026,45.375,0.0392857142857143,27.375,0.0237012987012987,0,0,0,0,0,0,13.375,0.0115800865800866,8,0.00692640692640693,1,0.000865800865800866,0,0,5,0.00432900432900433,0,0,0,0,0,0,0,0,1,0.000865800865800866,5,0.00432900432900433,4,0.00346320346320346,3,0.0025974025974026,2,0.00173160173160173,3,0.0025974025974026,45.375,0.0392857142857143,8,0.00692640692640693,0,0,10,0.00865800865800866
"FALUN HOSJÖ",202233,2022-08-17,1147,39.055,0.0340496948561465,0,0,7.055,0.00615082824760244,10,0.00871839581517001,1,0.000871839581517001,1,0.000871839581517001,0,0,2,0.001743679163034,8,0.00697471665213601,6,0.00523103748910201,2,0.001743679163034,2,0.001743679163034,39.055,0.0340496948561465,25.055,0.0218439407149085,0,0,0,0,0,0,7.055,0.00615082824760244,10,0.00871839581517001,0,0,1,0.000871839581517001,0,0,1,0.000871839581517001,0,0,0,0,0,0,2,0.001743679163034,3,0.002615518744551,5,0.004359197907585,6,0.00523103748910201,2,0.001743679163034,2,0.001743679163034,39.055,0.0340496948561465,6,0.00523103748910201,0,0,8,0.00697471665213601
"FALUN HOSJÖ",202233,2022-08-16,1174,39.29,0.0334667802385009,0,0,11.29,0.00961669505962521,6,0.00511073253833049,6,0.00511073253833049,0,0,0,0,0,0,11,0.00936967632027257,0,0,4,0.00340715502555366,1,0.000851788756388416,39.29,0.0334667802385009,25.29,0.021541737649063,0,0,0,0,0,0,11.29,0.00961669505962521,6,0.00511073253833049,0,0,0,0,6,0.00511073253833049,0,0,0,0,0,0,0,0,0,0,3,0.00255536626916525,8,0.00681431005110733,0,0,4,0.00340715502555366,1,0.000851788756388416,39.29,0.0334667802385009,4,0.00340715502555366,0,0,10,0.00851788756388416
"FALUN HOSJÖ",202233,2022-08-15,1148,52.395,0.045640243902439,0,0,9.395,0.00818379790940767,20,0.0174216027874564,7,0.00609756097560976,0,0,0,0,1,0.000871080139372822,9,0.0078397212543554,0,0,3,0.00261324041811847,3,0.00261324041811847,52.395,0.045640243902439,38.395,0.0334451219512195,0,0,0,0,0,0,9.395,0.00818379790940767,17,0.014808362369338,3,0.00261324041811847,0,0,7,0.00609756097560976,0,0,0,0,0,0,0,0,1,0.000871080139372822,1,0.000871080139372822,8,0.00696864111498258,0,0,3,0.00261324041811847,3,0.00261324041811847,52.395,0.045640243902439,4,0.00348432055749129,0,0,10,0.00871080139372822
"FALUN HOSJÖ",202232,2022-08-14,1160,55.6,0.0479310344827586,0,0,17.6,0.0151724137931035,22,0.0189655172413793,3,0.00258620689655172,0,0,0,0,1,0.000862068965517241,5,0.00431034482758621,2,0.00172413793103448,4,0.00344827586206897,1,0.000862068965517241,55.6,0.0479310344827586,42.6,0.0367241379310345,0,0,0,0,0,0,17.6,0.0151724137931035,20,0.0172413793103448,2,0.00172413793103448,0,0,3,0.00258620689655172,0,0,0,0,0,0,0,0,1,0.000862068965517241,3,0.00258620689655172,2,0.00172413793103448,2,0.00172413793103448,4,0.00344827586206897,1,0.000862068965517241,55.6,0.0479310344827586,4,0.00344827586206897,0,0,9,0.00775862068965517
"FALUN HOSJÖ",202232,2022-08-13,1207,52.425,0.0434341342170671,0,0,15.425,0.0127796188898094,21,0.0173985086992543,3,0.00248550124275062,1,0.000828500414250207,0,0,2,0.00165700082850041,6,0.00497100248550124,4,0.00331400165700083,0,0,0,0,52.425,0.0434341342170671,40.425,0.0334921292460646,0,0,0,0,0,0,15.425,0.0127796188898094,19,0.0157415078707539,2,0.00165700082850041,0,0,3,0.00248550124275062,1,0.000828500414250207,0,0,0,0,0,0,2,0.00165700082850041,5,0.00414250207125104,1,0.000828500414250207,4,0.00331400165700083,0,0,0,0,52.425,0.0434341342170671,5,0.00414250207125104,0,0,7,0.00579950289975145
"FALUN HOSJÖ",202232,2022-08-12,1383,85.565,0.0618691250903832,0,0,13.565,0.00980838756326826,39,0.0281995661605206,2,0.00144613159797542,2,0.00144613159797542,0,0,2,0.00144613159797542,15,0.0108459869848156,9,0.00650759219088937,0,0,3,0.00216919739696312,85.565,0.0618691250903832,61.565,0.0445155459146782,0,0,0,0,0,0,13.565,0.00980838756326826,39,0.0281995661605206,0,0,0,0,2,0.00144613159797542,2,0.00144613159797542,0,0,0,0,0,0,2,0.00144613159797542,10,0.00723065798987708,5,0.00361532899493854,9,0.00650759219088937,0,0,3,0.00216919739696312,85.565,0.0618691250903832,13,0.0093998553868402,0,0,11,0.00795372378886479
"FALUN HOSJÖ",202232,2022-08-11,1223,71.05,0.0580948487326247,0,0,16.05,0.0131234668847097,26,0.0212591986917416,6,0.00490596892886345,0,0,0,0,0,0,12,0.0098119378577269,8,0.00654129190515127,1,0.000817661488143908,2,0.00163532297628782,71.05,0.0580948487326247,45.05,0.0368356500408831,0,0,0,0,0,0,16.05,0.0131234668847097,26,0.0212591986917416,0,0,0,0,6,0.00490596892886345,0,0,0,0,0,0,0,0,0,0,9,0.00735895339329518,3,0.00245298446443173,8,0.00654129190515127,1,0.000817661488143908,2,0.00163532297628782,71.05,0.0580948487326247,11,0.00899427636958299,0,0,15,0.0122649223221586
"FALUN HOSJÖ",202232,2022-08-10,1195,66.455,0.0556108786610879,0,0,12.455,0.0104225941422594,28,0.0234309623430962,5,0.00418410041841004,4,0.00334728033472803,0,0,2,0.00167364016736402,10,0.00836820083682008,4,0.00334728033472803,1,0.000836820083682008,0,0,66.455,0.0556108786610879,51.455,0.0430585774058577,0,0,0,0,0,0,12.455,0.0104225941422594,26,0.0217573221757322,2,0.00167364016736402,0,0,5,0.00418410041841004,4,0.00334728033472803,0,0,0,0,0,0,2,0.00167364016736402,5,0.00418410041841004,5,0.00418410041841004,4,0.00334728033472803,1,0.000836820083682008,0,0,66.455,0.0556108786610879,5,0.00418410041841004,0,0,10,0.00836820083682008
"FALUN HOSJÖ",202232,2022-08-09,1228,85.95,0.0699918566775244,0,0,16.95,0.0138029315960912,35,0.0285016286644951,7,0.00570032573289902,0,0,0,0,2,0.00162866449511401,14,0.011400651465798,6,0.00488599348534202,0,0,5,0.00407166123778502,85.95,0.0699918566775244,58.95,0.0480048859934853,0,0,0,0,0,0,16.95,0.0138029315960912,35,0.0285016286644951,0,0,2,0.00162866449511401,5,0.00407166123778502,0,0,0,0,0,0,0,0,2,0.00162866449511401,9,0.00732899022801303,5,0.00407166123778502,6,0.00488599348534202,0,0,5,0.00407166123778502,85.95,0.0699918566775244,16,0.0130293159609121,0,0,11,0.00895765472312704
